t,q,t_model,q_model
2017-01-01,6296.0,2017-12-01,12577.548153096004
2017-02-01,3.0,2018-01-01,8337.301633807592
2017-03-01,0.0,2018-02-01,6237.435591469541
2017-04-01,11516.0,2018-03-01,4983.560336900707
2017-05-01,5285.0,2018-04-01,4149.999403193557
2017-06-01,17251.0,2018-05-01,3555.677244230161
2017-07-01,18475.0,2018-06-01,3110.4854140736757
2017-08-01,12304.0,2018-07-01,2764.527611475726
2017-09-01,8620.0,2018-08-01,2487.937446813916
2017-10-01,7938.0,2018-09-01,2261.7433037635924
2017-11-01,14149.0,2018-10-01,2073.315173972218
2017-12-01,12374.0,2018-11-01,1913.918953266286
2018-01-01,8569.0,2018-12-01,1777.321622398077
2018-02-01,6516.0,2019-01-01,1658.9556833581223
2018-03-01,6287.0,2019-02-01,1555.3976174311742
2018-04-01,4464.0,2019-03-01,1464.0307882446364
2018-05-01,2969.0,2019-04-01,1382.8209202190424
2018-06-01,1930.0,2019-05-01,1310.1626013538519
2018-07-01,1760.0,2019-06-01,1244.771909346981
2018-08-01,1615.0,2019-07-01,1185.6097620155183
2018-09-01,1379.0,2019-08-01,1131.8262014440622
2018-10-01,2221.0,2019-09-01,1082.7192317519894
2018-11-01,1683.0,2019-10-01,1037.703960048863
2018-12-01,1551.0,2019-11-01,996.2891520833286
2019-01-01,1720.0,2019-12-01,958.0592039705894
2019-02-01,1597.0,2020-01-01,922.6601242679575
2019-03-01,1777.0,2020-02-01,889.7885227571163
2019-04-01,1475.0,2020-03-01,859.1828794541094
2019-05-01,1026.0,2020-04-01,830.6165612925554
2019-06-01,1369.0,2020-05-01,803.8921914917948
2019-07-01,1997.0,2020-06-01,778.8370754595912
2019-08-01,1471.0,2020-07-01,755.2994589359625
2019-09-01,1506.0,2020-08-01,733.1454469037408
2019-10-01,1509.0,2020-09-01,712.256451016848
2019-11-01,1749.0,2020-10-01,692.5270627082942
2019-12-01,1349.0,2020-11-01,673.8632713912967
2020-01-01,231.0,2020-12-01,656.1809641442866
2020-02-01,941.0,2021-01-01,639.4046563272625
2020-03-01,1095.0,2021-02-01,623.4664126938615
2020-04-01,806.0,2021-03-01,608.3049264581744
2020-05-01,987.0,2021-04-01,593.8647299771982
2020-06-01,836.0,2021-05-01,580.0955156128331
2020-07-01,1615.0,2021-06-01,566.951549236859
2020-08-01,1736.0,2021-07-01,554.391161961522
2020-09-01,618.0,2021-08-01,542.3763081869413
2020-10-01,984.0,2021-09-01,530.8721800845093
2020-11-01,776.0,2021-10-01,519.8468702829989
2020-12-01,569.0,2021-11-01,509.27107586886046
2021-01-01,637.0,2021-12-01,499.11783791481025
2021-02-01,454.0,2022-01-01,489.36231165874455
2021-03-01,679.0,2022-02-01,479.9815632057539
2021-04-01,518.0,2022-03-01,470.9543892492072
2021-05-01,503.0,2022-04-01,462.2611568261638
2021-06-01,490.0,2022-05-01,453.883660556657
2021-07-01,391.0,2022-06-01,445.80499518085605
2021-08-01,417.0,2022-07-01,438.00944151500676
2021-09-01,395.0,2022-08-01,430.48236420631076
2021-10-01,487.0,2022-09-01,423.2101198866012
2021-11-01,477.0,2022-10-01,416.1799745114036
2021-12-01,519.0,2022-11-01,409.3800288301465
2022-01-01,446.0,2022-12-01,402.79915106934743
2022-02-01,319.0,2023-01-01,396.4269160272165
2022-03-01,354.0,2023-02-01,390.2535498783383
2022-04-01,208.0,2023-03-01,384.2698800734248
2022-05-01,309.0,2023-04-01,378.4672897936964
2022-06-01,292.0,2023-05-01,372.83767648398316
2022-07-01,226.0,2023-06-01,367.37341404464354
2022-08-01,109.0,2023-07-01,362.06731831108607
2022-09-01,496.0,2023-08-01,356.9126154921088
2022-10-01,389.0,2023-09-01,351.9029132753268
2022-11-01,146.0,2023-10-01,347.03217434037185
2022-12-01,239.0,2023-11-01,342.29469204897345
2023-01-01,378.0,2023-12-01,337.68506810599223
2023-02-01,295.0,2024-01-01,333.19819200744433
2023-03-01,294.0,2024-02-01,328.8292221109249
2023-04-01,192.0,2024-03-01,324.5735681809346
2023-05-01,0.0,2024-04-01,320.42687527674946
2023-06-01,239.0,2024-05-01,316.38500886387254
2023-07-01,162.0,2024-06-01,312.44404104200504
2023-08-01,267.0,2024-07-01,308.60023779305135
2023-09-01,902.0,2024-08-01,304.8500471620825
2023-10-01,919.0,2024-09-01,301.19008829257706
2023-11-01,212.0,2024-10-01,297.61714124475424
2023-12-01,282.0,2024-11-01,294.1281375325095
2024-01-01,282.0,2024-12-01,290.7201513204679
2024-02-01,202.0,2025-01-01,287.3903912280422
2024-03-01,224.0,2025-02-01,284.13619269221635
2024-04-01,216.0,2025-03-01,280.9550108451124
2024-05-01,347.0,2025-04-01,277.84441386630385
2024-06-01,396.0,2025-05-01,274.8020767733614
2024-07-01,596.0,2025-06-01,271.82577561728834
2024-08-01,649.0,2025-07-01,268.9133820523739
2024-09-01,338.0,2025-08-01,266.0628582525849
2024-10-01,842.0,2025-09-01,263.27225214896316
2024-11-01,394.0,2025-10-01,260.53969296462617
2024-12-01,429.0,2025-11-01,257.86338702589427
2025-01-01,476.0,2025-12-01,255.24161382982604
2025-02-01,364.0,2026-01-01,252.67272235003247
,,2026-02-01,250.155127564093
,,2026-03-01,247.68730718721693
,,2026-04-01,245.26779859799817
,,2026-05-01,242.89519594320973
,,2026-06-01,240.56814740958922
,,2026-07-01,238.28535265148477
,,2026-08-01,236.04556036406905
,,2026-09-01,233.84756599260103
,,2026-10-01,231.6902095689181
,,2026-11-01,229.57237366698936
,,2026-12-01,227.492981469955
,,2027-01-01,225.4509949416218
,,2027-02-01,223.44541309588797
,,2027-03-01,221.4752703580314
,,2027-04-01,219.53963501222202
,,2027-05-01,217.6376077300109
,,2027-06-01,215.76832017490963
,,2027-07-01,213.93093367850997
,,2027-08-01,212.12463798389905
,,2027-09-01,210.34865005241346
,,2027-10-01,208.60221293003778
,,2027-11-01,206.88459466999774
,,2027-12-01,205.19508730832442
,,2028-01-01,203.5330058893759
,,2028-02-01,201.8976875384958
,,2028-03-01,200.28849057917103
,,2028-04-01,198.70479369221567
,,2028-05-01,197.14599511466608
,,2028-06-01,195.6115118762158
,,2028-07-01,194.10077907115334
,,2028-08-01,192.61324916389185
,,2028-09-01,191.14839132629638
,,2028-10-01,189.70569080512223
,,2028-11-01,188.28464831798047
,,2028-12-01,186.88477947634078
,,2029-01-01,185.50561423416983
,,2029-02-01,184.14669636088564
,,2029-03-01,182.80758293738717
,,2029-04-01,181.4878438739871
,,2029-05-01,180.18706144914668
,,2029-06-01,178.90482986797159
,,2029-07-01,177.64075483948886
,,2029-08-01,176.39445317177905
,,2029-09-01,175.1655523840893
,,2029-10-01,173.953690335103
,,2029-11-01,172.7585148665856
,,2029-12-01,171.5796834616696
,,2030-01-01,170.41686291708226
,,2030-02-01,169.26972902865623
,,2030-03-01,168.1379662894997
,,2030-04-01,167.02126760023472
,,2030-05-01,165.9193339907457
,,2030-06-01,164.83187435290657
,,2030-07-01,163.75860518378562
,,2030-08-01,162.6992503388517
,,2030-09-01,161.65354079472965
,,2030-10-01,160.62121442107718
,,2030-11-01,159.6020157611766
,,2030-12-01,158.5956958208551
,,2031-01-01,157.60201186536705
,,2031-02-01,156.62072722389053
,,2031-03-01,155.65161110130666
,,2031-04-01,154.69443839694725
,,2031-05-01,153.7489895300117
,,2031-06-01,152.81505027136873
,,2031-07-01,151.89241158147152
,,2031-08-01,150.9808694541293
,,2031-09-01,150.08022476588974
,,2031-10-01,149.190283130798
,,2031-11-01,148.3108547603105
,,2031-12-01,147.44175432815052
,,2032-01-01,146.58280083990428
,,2032-02-01,145.73381750716362
,,2032-03-01,144.894631626032
,,2032-04-01,144.06507445981842
,,2032-05-01,143.24498112575128
,,2032-06-01,142.43419048555288
,,2032-07-01,141.6325450397215
,,2032-08-01,140.83989082537576
,,2032-09-01,140.05607731752139
,,2032-10-01,139.2809573336081
,,2032-11-01,138.51438694124863
,,2032-12-01,137.75622536897896
,,2033-01-01,137.00633491994293
,,2033-02-01,136.2645808883906
,,2033-03-01,135.53083147888336
,,2033-04-01,134.80495772810403
,,2033-05-01,134.0868334291752
,,2033-06-01,133.3763350583913
