t,q,t_model,q_model
2014-11-01,10670.0,2014-12-01,21465.40824777472
2014-12-01,22277.0,2015-01-01,17137.069640802914
2015-01-01,16524.0,2015-02-01,14234.374190534718
2015-02-01,12560.0,2015-03-01,12155.916473090552
2015-03-01,11860.0,2015-04-01,10596.12014251457
2015-04-01,10081.0,2015-05-01,9383.479981231398
2015-05-01,9572.0,2015-06-01,8414.399888074437
2015-06-01,10409.0,2015-07-01,7622.658300038313
2015-07-01,9802.0,2015-08-01,6963.974554997727
2015-08-01,7322.0,2015-09-01,6407.632151842908
2015-09-01,5207.0,2015-10-01,5931.6634911272195
2015-10-01,6833.0,2015-11-01,5519.947666385759
2015-11-01,5082.0,2015-12-01,5160.390327620428
2015-12-01,5369.0,2016-01-01,4843.742836102487
2016-01-01,4889.0,2016-02-01,4562.813446267038
2016-02-01,4219.0,2016-03-01,4311.926762881884
2016-03-01,4274.0,2016-04-01,4086.5449292146745
2016-04-01,3956.0,2016-05-01,3882.996822537901
2016-05-01,3826.0,2016-06-01,3698.2809916001097
2016-06-01,2216.0,2016-07-01,3529.9199475851865
2016-07-01,3690.0,2016-08-01,3375.8508602738607
2016-08-01,3589.0,2016-09-01,3234.342482040355
2016-09-01,3305.0,2016-10-01,3103.931246803384
2016-10-01,3259.0,2016-11-01,2983.3715768513994
2016-11-01,2986.0,2016-12-01,2871.596847415707
2016-12-01,2928.0,2017-01-01,2767.688436982362
2017-01-01,2837.0,2017-02-01,2670.85097653807
2017-02-01,2491.0,2017-03-01,2580.3923975203516
2017-03-01,2621.0,2017-04-01,2495.707728140882
2017-04-01,2361.0,2017-05-01,2416.2658423208545
2017-05-01,2322.0,2017-06-01,2341.5985527153903
2017-06-01,1981.0,2017-07-01,2271.2915784241245
2017-07-01,2415.0,2017-08-01,2204.977022339198
2017-08-01,2118.0,2017-09-01,2142.327072058015
2017-09-01,2124.0,2017-10-01,2083.048698560231
2017-10-01,2097.0,2017-11-01,2026.8791732097432
2017-11-01,1995.0,2017-12-01,1973.582259569578
2017-12-01,1973.0,2018-01-01,1922.944964554753
