t,q,t_model,q_model
1995-06-01,599.0,1995-08-01,8996.340905196465
1995-07-01,9459.0,1995-09-01,7634.676803608192
1995-08-01,9042.0,1995-10-01,6582.241388944658
1995-09-01,7474.0,1995-11-01,5749.241447892472
1995-10-01,6628.0,1995-12-01,5076.77688147182
1995-11-01,6029.0,1996-01-01,4524.787975806419
1995-12-01,5285.0,1996-02-01,4065.18733041618
1996-01-01,4424.0,1996-03-01,3677.764331619326
1996-02-01,3898.0,1996-04-01,3347.647033692977
1996-03-01,3575.0,1996-05-01,3063.676282539447
1996-04-01,2781.0,1996-06-01,2817.3338199934215
1996-05-01,2956.0,1996-07-01,2602.0175566109656
1996-06-01,2459.0,1996-08-01,2412.5405118497647
1996-07-01,2709.0,1996-09-01,2244.777433914879
1996-08-01,2553.0,1996-10-01,2095.4110873587965
1996-09-01,2384.0,1996-11-01,1961.7471432304033
1996-10-01,2358.0,1996-12-01,1841.5771369890713
1996-11-01,2214.0,1997-01-01,1733.0756548239644
1996-12-01,2073.0,1997-02-01,1634.7222556303327
1997-01-01,1950.0,1997-03-01,1545.2415116960176
1997-02-01,1752.0,1997-04-01,1463.5564871333272
1997-03-01,1769.0,1997-05-01,1388.7522973228217
1997-04-01,1637.0,1997-06-01,1320.0473118256466
1997-05-01,1534.0,1997-07-01,1256.770209985432
1997-06-01,1213.0,1997-08-01,1198.3415592902538
1997-07-01,1129.0,1997-09-01,1144.2589188132752
1997-08-01,1013.0,1997-10-01,1094.0847122167802
1997-09-01,949.0,1997-11-01,1047.4362931252426
1997-10-01,876.0,1997-12-01,1003.9777582444633
1997-11-01,768.0,1998-01-01,963.4131630531296
1997-12-01,975.0,1998-02-01,925.4808701293605
1998-01-01,852.0,1998-03-01,889.9488175487116
1998-02-01,748.0,1998-04-01,856.6105388730396
1998-03-01,832.0,1998-05-01,825.2818003624305
1998-04-01,806.0,1998-06-01,795.7977476186079
1998-05-01,914.0,1998-07-01,768.0104747056763
1998-06-01,856.0,1998-08-01,741.7869452315248
1998-07-01,779.0,1998-09-01,717.0072079148894
1998-08-01,734.0,1998-10-01,693.562859567557
1998-09-01,690.0,1998-11-01,671.3557167654319
1998-10-01,715.0,1998-12-01,650.2966642076815
1998-11-01,685.0,1999-01-01,630.3046532099876
1998-12-01,677.0,1999-02-01,611.3058282093558
1999-01-01,645.0,1999-03-01,593.2327627791121
1999-02-01,513.0,1999-04-01,576.0237896242166
1999-03-01,635.0,1999-05-01,559.6224114752625
1999-04-01,588.0,1999-06-01,543.9767818244458
1999-05-01,630.0,1999-07-01,529.0392461278036
1999-06-01,671.0,1999-08-01,514.7659354985593
1999-07-01,643.0,1999-09-01,501.11640608724844
1999-08-01,523.0,1999-10-01,488.0533183263811
1999-09-01,490.0,1999-11-01,475.54215104377107
1999-10-01,478.0,1999-12-01,463.5509461461581
1999-11-01,601.0,2000-01-01,452.05008016521367
1999-12-01,603.0,2000-02-01,441.01205945931844
2000-01-01,496.0,2000-03-01,430.41133629126693
2000-02-01,440.0,2000-04-01,420.2241433663502
2000-03-01,482.0,2000-05-01,410.4283447270373
2000-04-01,482.0,2000-06-01,401.0033011679737
2000-05-01,446.0,2000-07-01,391.92974856506345
2000-06-01,457.0,2000-08-01,383.18968771073526
2000-07-01,363.0,2000-09-01,374.7662844188488
2000-08-01,244.0,2000-10-01,366.64377881109215
2000-09-01,431.0,2000-11-01,358.807402825492
2000-10-01,561.0,2000-12-01,351.24330509964386
2000-11-01,536.0,2001-01-01,343.9384824788495
2000-12-01,467.0,2001-02-01,336.88071748453945
2001-01-01,479.0,2001-03-01,330.05852115288576
2001-02-01,467.0,2001-04-01,323.4610807188201
2001-03-01,470.0,2001-05-01,317.07821167800677
2001-04-01,383.0,2001-06-01,310.90031380975415
2001-05-01,381.0,2001-07-01,304.9183307882751
2001-06-01,382.0,2001-08-01,299.12371304890854
2001-07-01,349.0,2001-09-01,293.50838361057214
2001-08-01,354.0,2001-10-01,288.06470658639336
2001-09-01,302.0,2001-11-01,282.7854581416639
2001-10-01,338.0,2001-12-01,277.6637996824209
2001-11-01,294.0,2002-01-01,272.69325307943217
2001-12-01,307.0,2002-02-01,267.8676777514966
2002-01-01,285.0,2002-03-01,263.18124944902536
2002-02-01,293.0,2002-04-01,258.6284405941024
2002-03-01,297.0,2002-05-01,254.2040020468491
2002-04-01,255.0,2002-06-01,249.90294618010685
2002-05-01,269.0,2002-07-01,245.72053115539038
2002-06-01,256.0,2002-08-01,241.65224630287494
2002-07-01,240.0,2002-09-01,237.69379851700162
2002-08-01,213.0,2002-10-01,233.84109958722007
2002-09-01,233.0,2002-11-01,230.09025439053494
2002-10-01,241.0,2002-12-01,226.4375498789694
2002-11-01,280.0,2003-01-01,222.87944480087882
2002-12-01,222.0,2003-02-01,219.4125601003066
2003-01-01,243.0,2003-03-01,216.03366994333308
2003-02-01,219.0,2003-04-01,212.73969332467917
2003-03-01,199.0,2003-05-01,209.52768621173263
2003-04-01,167.0,2003-06-01,206.39483418671156
2003-05-01,165.0,2003-07-01,203.3384455509009
2003-06-01,174.0,2003-08-01,200.35594485782715
2003-07-01,139.0,2003-09-01,197.4448668449009
2003-08-01,0.0,2003-10-01,194.60285073548715
2003-09-01,0.0,2003-11-01,191.8276348855763
2003-10-01,53.0,2003-12-01,189.11705175124956
2003-11-01,97.0,2004-01-01,186.46902315497883
