t,q,t_model,q_model
2011-11-01,13564.0,2012-01-01,21491.04299647067
2011-12-01,24179.0,2012-02-01,16727.945036411034
2012-01-01,22208.0,2012-03-01,13582.200060084308
2012-02-01,15382.0,2012-04-01,11364.20823141733
2012-03-01,13752.0,2012-05-01,9724.32111661179
2012-04-01,11525.0,2012-06-01,8467.338683425212
2012-05-01,9639.0,2012-07-01,7476.1621126108685
2012-06-01,8399.0,2012-08-01,6676.5093447482695
2012-07-01,7201.0,2012-09-01,6019.104831604577
2012-08-01,6752.0,2012-10-01,5470.041945459817
2012-09-01,5745.0,2012-11-01,5005.265225914143
2012-10-01,5871.0,2012-12-01,4607.260245328917
2012-11-01,4913.0,2013-01-01,4262.988100090261
2012-12-01,4851.0,2013-02-01,3962.5524321068506
2013-01-01,4641.0,2013-03-01,3698.313780096702
2013-02-01,3836.0,2013-04-01,3464.2859814226344
2013-03-01,3904.0,2013-05-01,3255.7154699579346
2013-04-01,3612.0,2013-06-01,3068.7821492290236
2013-05-01,3146.0,2013-07-01,2900.3828828572023
2013-06-01,3137.0,2013-08-01,2747.9722498443916
2013-07-01,3162.0,2013-09-01,2609.443706372204
2013-08-01,2992.0,2013-10-01,2483.03972341297
2013-09-01,2923.0,2013-11-01,2367.2830112826946
2013-10-01,2538.0,2013-12-01,2260.923298089795
2013-11-01,2712.0,2014-01-01,2162.895723573062
2013-12-01,2703.0,2014-02-01,2072.2880064936126
2014-01-01,2494.0,2014-03-01,1988.314309189522
2014-02-01,1945.0,2014-04-01,1910.2942644748325
2014-03-01,2223.0,2014-05-01,1837.6360181016853
2014-04-01,2003.0,2014-06-01,1769.822421306897
2014-05-01,2076.0,2014-07-01,1706.399714127616
2014-06-01,755.0,2014-08-01,1646.968192812218
2014-07-01,1846.0,2014-09-01,1591.1744687499142
2014-08-01,1928.0,2014-10-01,1538.7050123949205
2014-09-01,687.0,2014-11-01,1489.2807411098925
2014-10-01,1645.0,2014-12-01,1442.652460027563
2014-11-01,1802.0,2015-01-01,1398.597003782368
2014-12-01,1961.0,2015-02-01,1356.913957107313
2015-01-01,1866.0,2015-03-01,1317.4228558953262
2015-02-01,1241.0,2015-04-01,1279.9607889249894
2015-03-01,1653.0,2015-05-01,1244.3803351968654
2015-04-01,1526.0,2015-06-01,1210.547783584279
2015-05-01,1641.0,2015-07-01,1178.3415909283049
2015-06-01,1097.0,2015-08-01,1147.651042302487
2015-07-01,1450.0,2015-09-01,1118.3750833242152
2015-08-01,1067.0,2015-10-01,1090.4212993949168
2015-09-01,1327.0,2015-11-01,1063.705020842299
2015-10-01,992.0,2015-12-01,1038.1485362962276
2015-11-01,1024.0,2016-01-01,1013.6803993981353
2015-12-01,1068.0,2016-02-01,990.2348162348643
2016-01-01,902.0,2016-03-01,967.7511027910648
2016-02-01,981.0,2016-04-01,946.1732033011642
2016-03-01,787.0,2016-05-01,925.4492617097067
2016-04-01,913.0,2016-06-01,905.531239563605
2016-05-01,878.0,2016-07-01,886.374574598807
2016-06-01,1013.0,2016-08-01,867.9378750772282
2016-07-01,675.0,2016-09-01,850.1826456021832
2016-08-01,642.0,2016-10-01,833.073040712048
2016-09-01,842.0,2016-11-01,816.5756430390155
2016-10-01,824.0,2016-12-01,800.6592632361642
2016-11-01,758.0,2017-01-01,785.2947592328475
2016-12-01,804.0,2017-02-01,770.4548726849383
2017-01-01,751.0,2017-03-01,756.114080750462
2017-02-01,665.0,2017-04-01,742.248461549053
2017-03-01,761.0,2017-05-01,728.8355718608798
2017-04-01,881.0,2017-06-01,715.8543357916957
2017-05-01,711.0,2017-07-01,703.2849432793156
2017-06-01,493.0,2017-08-01,691.1087574462646
2017-07-01,854.0,2017-09-01,679.3082299163173
2017-08-01,482.0,2017-10-01,667.8668233114412
2017-09-01,616.0,2017-11-01,656.7689402321987
2017-10-01,798.0,2017-12-01,645.9998581006446
2017-11-01,434.0,2018-01-01,635.5456693115508
2017-12-01,645.0,2018-02-01,625.3932261966536
2018-01-01,644.0,2018-03-01,615.5300903585344
2018-02-01,396.0,2018-04-01,605.944485976663
2018-03-01,526.0,2018-05-01,596.6252567287611
2018-04-01,544.0,2018-06-01,587.5618260066846
2018-05-01,354.0,2018-07-01,578.7441601380325
2018-06-01,686.0,2018-08-01,570.1627343531514
2018-07-01,330.0,2018-09-01,561.8085012625663
2018-08-01,501.0,2018-10-01,553.6728616324918
2018-09-01,464.0,2018-11-01,545.7476372662786
2018-10-01,465.0,2018-12-01,538.0250458177296
2018-11-01,410.0,2019-01-01,530.4976773784099
2018-12-01,452.0,2019-02-01,523.1584726955929
2019-01-01,427.0,2019-03-01,516.0007028905272
2019-02-01,347.0,2019-04-01,509.01795055842877
2019-03-01,436.0,2019-05-01,502.20409214216056
2019-04-01,384.0,2019-06-01,495.55328148107264
2019-05-01,388.0,2019-07-01,489.05993444505646
2019-06-01,360.0,2019-08-01,482.7187145716227
2019-07-01,363.0,2019-09-01,476.52451963082336
2019-08-01,101.0,2019-10-01,470.47246904918444
2019-09-01,0.0,2019-11-01,464.55789212957
2019-10-01,0.0,2019-12-01,458.7763170091182
2019-11-01,581.0,2020-01-01,453.1234603021263
2019-12-01,283.0,2020-02-01,447.59521737907335
2020-01-01,408.0,2020-03-01,442.1876532368897
2020-02-01,349.0,2020-04-01,436.89699391914905
2020-03-01,56.0,2020-05-01,431.7196184481209
2020-04-01,0.0,2020-06-01,426.65205123358555
2020-05-01,0.0,2020-07-01,421.6909549260298
2020-06-01,0.0,2020-08-01,416.83312368432235
2020-07-01,0.0,2020-09-01,412.0754768302334
2020-08-01,0.0,2020-10-01,407.4150528642445
2020-09-01,0.0,2020-11-01,402.84900381899627
2020-10-01,70.0,2020-12-01,398.3745899284688
2020-11-01,961.0,2021-01-01,393.9891745925926
2020-12-01,832.0,2021-02-01,389.6902196184613
2021-01-01,879.0,2021-03-01,385.47528072066973
2021-02-01,323.0,2021-04-01,381.3420032645484
2021-03-01,576.0,2021-05-01,377.28811823721134
2021-04-01,584.0,2021-06-01,373.31143843239147
2021-05-01,571.0,2021-07-01,369.40985483601213
2021-06-01,518.0,2021-08-01,365.5813332003429
2021-07-01,431.0,2021-09-01,361.82391079541804
2021-08-01,417.0,2021-10-01,358.13569332716185
2021-09-01,280.0,2021-11-01,354.5148520123783
2021-10-01,431.0,2021-12-01,350.9596208014132
2021-11-01,387.0,2022-01-01,347.4682937399102
2021-12-01,381.0,2022-02-01,344.03922246164166
2022-01-01,374.0,2022-03-01,340.6708138049176
2022-02-01,316.0,2022-04-01,337.36152754556247
