t,q,t_model,q_model
2010-09-01,2506.0,2011-05-01,14280.679645421478
2010-10-01,8845.0,2011-06-01,8667.16245152738
2010-11-01,7573.0,2011-07-01,6197.545780909366
2010-12-01,5530.0,2011-08-01,4812.771196722734
2011-01-01,7454.0,2011-09-01,3928.3374854517906
2011-02-01,6927.0,2011-10-01,3315.289759816774
2011-03-01,5758.0,2011-11-01,2865.708600740456
2011-04-01,15159.0,2011-12-01,2522.1190052526986
2011-05-01,14068.0,2012-01-01,2251.122877058683
2011-06-01,8597.0,2012-02-01,2031.997251339383
2011-07-01,7713.0,2012-03-01,1851.2078169398035
2011-08-01,6768.0,2012-04-01,1699.5435740014489
2011-09-01,3385.0,2012-05-01,1570.5199936146046
2011-10-01,708.0,2012-06-01,1459.4407994765338
2011-11-01,2240.0,2012-07-01,1362.8219680670866
2011-12-01,1247.0,2012-08-01,1278.024735932612
2012-01-01,1309.0,2012-09-01,1203.0142216219258
2012-02-01,1222.0,2012-10-01,1136.1962326403284
2012-03-01,960.0,2012-11-01,1076.3042399393792
2012-04-01,1469.0,2012-12-01,1022.3194137898149
2012-05-01,1740.0,2013-01-01,973.4129688765069
2012-06-01,2073.0,2013-02-01,928.9038838269718
2012-07-01,1462.0,2013-03-01,888.2274182829128
2012-08-01,2082.0,2013-04-01,850.9113436368505
2012-09-01,1520.0,2013-05-01,816.5577702911172
2012-10-01,414.0,2013-06-01,784.8290930588431
2012-11-01,2338.0,2013-07-01,755.4370062259907
2012-12-01,2232.0,2013-08-01,728.1338340335659
2013-01-01,1922.0,2013-09-01,702.7056268620499
2013-02-01,1158.0,2013-10-01,678.9666175974585
2013-03-01,1170.0,2013-11-01,656.7547356683109
2013-04-01,1102.0,2013-12-01,635.9279507313362
2013-05-01,837.0,2014-01-01,616.3612724611662
2013-06-01,401.0,2014-02-01,597.9442731641064
2013-07-01,589.0,2014-03-01,580.5790299910346
2013-08-01,659.0,2014-04-01,564.178406166525
2013-09-01,640.0,2014-05-01,548.6646078571712
2013-10-01,247.0,2014-06-01,533.9679664839147
2013-11-01,695.0,2014-07-01,520.0259064598847
2013-12-01,616.0,2014-08-01,506.78206624901594
2014-01-01,530.0,2014-09-01,494.1855468370108
2014-02-01,652.0,2014-10-01,482.19026658930875
2014-03-01,461.0,2014-11-01,470.7544053426572
2014-04-01,654.0,2014-12-01,459.839923664994
2014-05-01,1006.0,2015-01-01,449.4121456950264
2014-06-01,1010.0,2015-02-01,439.4393959696962
2014-07-01,472.0,2015-03-01,429.89268226577076
2014-08-01,341.0,2015-04-01,420.74541779923203
2014-09-01,669.0,2015-05-01,411.9731772037486
2014-10-01,560.0,2015-06-01,403.55348159482645
2014-11-01,644.0,2015-07-01,395.46560875663107
2014-12-01,562.0,2015-08-01,387.6904250934808
2015-01-01,562.0,2015-09-01,380.2102364911026
2015-02-01,427.0,2015-10-01,373.008655652625
2015-03-01,340.0,2015-11-01,366.07048382598265
2015-04-01,308.0,2015-12-01,359.3816051349868
2015-05-01,27.0,2016-01-01,352.92889197556514
2015-06-01,0.0,2016-02-01,346.70012014951305
