t,q,t_model,q_model
2014-09-01,639.0,2017-05-01,
2014-10-01,6.0,2017-06-01,
2014-11-01,12.0,2017-07-01,
2014-12-01,44.0,2017-08-01,
2015-01-01,269.0,2017-09-01,
2015-02-01,237.0,2017-10-01,
2015-03-01,292.0,2017-11-01,
2015-04-01,215.0,2017-12-01,
2015-05-01,176.0,2018-01-01,
2015-06-01,0.0,2018-02-01,
2015-07-01,0.0,2018-03-01,
2015-08-01,0.0,2018-04-01,
2015-09-01,0.0,2012-12-01,
2015-10-01,0.0,2013-01-01,
2015-11-01,0.0,2013-02-01,
2015-12-01,19.0,2013-03-01,
2016-01-01,45.0,2013-04-01,
2016-02-01,52.0,2013-05-01,
2016-03-01,42.0,2013-06-01,
2016-04-01,40.0,2013-07-01,
2016-05-01,57.0,2013-08-01,
2016-06-01,544.0,2013-09-01,
2016-07-01,391.0,2013-10-01,
2016-08-01,269.0,2013-11-01,
2016-09-01,229.0,2013-12-01,
2016-10-01,233.0,2014-01-01,
2016-11-01,198.0,2014-02-01,
2016-12-01,158.0,2014-03-01,
2017-01-01,171.0,2014-04-01,
2017-02-01,155.0,2014-05-01,
2017-03-01,123.0,2014-06-01,
2017-04-01,103.0,2014-07-01,
2017-05-01,113.0,2014-08-01,
2017-06-01,77.0,2014-09-01,
2017-07-01,75.0,2014-10-01,
2017-08-01,59.0,2014-11-01,
2017-09-01,50.0,2014-12-01,
2017-10-01,44.0,2015-01-01,
2017-11-01,30.0,2015-02-01,
2017-12-01,9.0,2015-03-01,
2018-01-01,28.0,2015-04-01,
2018-02-01,23.0,2015-05-01,
2018-03-01,21.0,2015-06-01,
2018-04-01,11.0,2015-07-01,
2012-12-01,18.0,2015-08-01,
2013-01-01,17094.0,2015-09-01,
2013-02-01,14647.0,2015-10-01,
2013-03-01,19707.0,2015-11-01,
2013-04-01,15445.0,2015-12-01,
2013-05-01,10079.0,2016-01-01,
2013-06-01,6537.0,2016-02-01,
2013-07-01,6420.0,2016-03-01,
2013-08-01,4947.0,2016-04-01,
2013-09-01,4229.0,2016-05-01,
2013-10-01,3847.0,2016-06-01,
2013-11-01,3611.0,2016-07-01,
2013-12-01,2971.0,2016-08-01,
2014-01-01,3109.0,2016-09-01,
2014-02-01,2129.0,2016-10-01,
2014-03-01,915.0,2016-11-01,
2014-04-01,2994.0,2016-12-01,
2014-05-01,2997.0,2017-01-01,
2014-06-01,2534.0,2017-02-01,
2014-07-01,2346.0,2017-03-01,
2014-08-01,2498.0,2017-04-01,
2014-09-01,2345.0,2017-05-01,
2014-10-01,1946.0,2017-06-01,
2014-11-01,1493.0,2017-07-01,
2014-12-01,1618.0,2017-08-01,
2015-01-01,1269.0,2017-09-01,
2015-02-01,1052.0,2017-10-01,
2015-03-01,1294.0,2017-11-01,
2015-04-01,999.0,2017-12-01,
2015-05-01,1283.0,2018-01-01,
2015-06-01,1102.0,2018-02-01,
2015-07-01,1018.0,2018-03-01,
2015-08-01,1513.0,2018-04-01,
2015-09-01,1281.0,2018-05-01,
2015-10-01,2014.0,2018-06-01,
2015-11-01,2109.0,2018-07-01,
2015-12-01,1802.0,2018-08-01,
2016-01-01,1552.0,2018-09-01,
2016-02-01,1266.0,2018-10-01,
2016-03-01,1278.0,2018-11-01,
2016-04-01,1192.0,2018-12-01,
2016-05-01,1121.0,2019-01-01,
2016-06-01,1050.0,2019-02-01,
2016-07-01,1137.0,2019-03-01,
2016-08-01,994.0,2019-04-01,
2016-09-01,714.0,2019-05-01,
2016-10-01,960.0,2019-06-01,
2016-11-01,1006.0,2019-07-01,
2016-12-01,1084.0,2019-08-01,
2017-01-01,1037.0,2019-09-01,
2017-02-01,888.0,2019-10-01,
2017-03-01,916.0,2019-11-01,
2017-04-01,853.0,2019-12-01,
2017-05-01,754.0,2020-01-01,
2017-06-01,850.0,2020-02-01,
2017-07-01,822.0,2020-03-01,
2017-08-01,777.0,2020-04-01,
2017-09-01,1138.0,2020-05-01,
2017-10-01,1316.0,2020-06-01,
2017-11-01,1109.0,2020-07-01,
2017-12-01,1005.0,2020-08-01,
2018-01-01,970.0,2020-09-01,
2018-02-01,817.0,2020-10-01,
2018-03-01,892.0,2020-11-01,
2018-04-01,999.0,2020-12-01,
2018-05-01,640.0,2021-01-01,
2018-06-01,747.0,2021-02-01,
2018-07-01,759.0,2021-03-01,
2018-08-01,746.0,2021-04-01,
2018-09-01,696.0,2021-05-01,
2018-10-01,732.0,2021-06-01,
2018-11-01,710.0,2021-07-01,
2018-12-01,718.0,2021-08-01,
2019-01-01,638.0,2021-09-01,
2019-02-01,562.0,2021-10-01,
2019-03-01,605.0,2021-11-01,
2019-04-01,605.0,2021-12-01,
2019-05-01,618.0,2022-01-01,
2019-06-01,592.0,2022-02-01,
2019-07-01,535.0,2022-03-01,
2019-08-01,478.0,2022-04-01,
2019-09-01,446.0,2022-05-01,
2019-10-01,498.0,2022-06-01,
2019-11-01,485.0,2022-07-01,
2019-12-01,472.0,2022-08-01,
2020-01-01,454.0,2022-09-01,
2020-02-01,421.0,2022-10-01,
2020-03-01,433.0,2022-11-01,
2020-04-01,140.0,2022-12-01,
2020-05-01,25.0,2023-01-01,
2020-06-01,3.0,2023-02-01,
2020-07-01,544.0,2023-03-01,
2020-08-01,487.0,2023-04-01,
2020-09-01,513.0,2023-05-01,
2020-10-01,504.0,2023-06-01,
2020-11-01,489.0,2023-07-01,
2020-12-01,481.0,2023-08-01,
2021-01-01,435.0,2023-09-01,
2021-02-01,294.0,2023-10-01,
2021-03-01,545.0,2023-11-01,
2021-04-01,648.0,2023-12-01,
2021-05-01,652.0,2024-01-01,
2021-06-01,592.0,2024-02-01,
2021-07-01,539.0,2024-03-01,
2021-08-01,597.0,2024-04-01,
2021-09-01,524.0,2024-05-01,
2021-10-01,563.0,2024-06-01,
2021-11-01,621.0,2024-07-01,
2021-12-01,536.0,2024-08-01,
2022-01-01,600.0,2024-09-01,
2022-02-01,489.0,2024-10-01,
2022-03-01,576.0,2024-11-01,
2022-04-01,481.0,2015-09-01,
2022-05-01,510.0,2015-10-01,
2022-06-01,492.0,2015-11-01,
2022-07-01,511.0,2015-12-01,
2022-08-01,483.0,2016-01-01,
2022-09-01,425.0,2016-02-01,
2022-10-01,439.0,2016-03-01,
2022-11-01,423.0,2016-04-01,
2022-12-01,387.0,2016-05-01,
2023-01-01,373.0,2016-06-01,
2023-02-01,156.0,2016-07-01,
2023-03-01,283.0,2016-08-01,
2023-04-01,82.0,2016-09-01,
2023-05-01,90.0,2016-10-01,
2023-06-01,274.0,2016-11-01,
2023-07-01,319.0,2016-12-01,
2023-08-01,311.0,2017-01-01,
2023-09-01,702.0,2017-02-01,
2023-10-01,779.0,2017-03-01,
2023-11-01,585.0,2017-04-01,
2023-12-01,648.0,2017-05-01,
2024-01-01,533.0,2017-06-01,
2024-02-01,509.0,2017-07-01,
2024-03-01,414.0,2017-08-01,
2024-04-01,446.0,2017-09-01,
2024-05-01,444.0,2017-10-01,
2024-06-01,400.0,2017-11-01,
2024-07-01,333.0,2017-12-01,
2024-08-01,374.0,2018-01-01,
2024-09-01,425.0,2018-02-01,
2024-10-01,397.0,2018-03-01,
2024-11-01,320.0,2018-04-01,
2015-09-01,14369.0,2018-05-01,
2015-10-01,17176.0,2018-06-01,
2015-11-01,11669.0,2018-07-01,
2015-12-01,8954.0,2018-08-01,
2016-01-01,7318.0,2018-09-01,
2016-02-01,6143.0,2018-10-01,
2016-03-01,5204.0,2018-11-01,
2016-04-01,4629.0,2018-12-01,
2016-05-01,4629.0,2019-01-01,
2016-06-01,3782.0,2019-02-01,
2016-07-01,3358.0,2019-03-01,
2016-08-01,2863.0,2019-04-01,
2016-09-01,2573.0,2019-05-01,
2016-10-01,2447.0,2019-06-01,
2016-11-01,2138.0,2019-07-01,
2016-12-01,2076.0,2019-08-01,
2017-01-01,1934.0,2019-09-01,
2017-02-01,1696.0,2019-10-01,
2017-03-01,1694.0,2019-11-01,
2017-04-01,1377.0,2019-12-01,
2017-05-01,1397.0,2020-01-01,
2017-06-01,1164.0,2020-02-01,
2017-07-01,1101.0,2020-03-01,
2017-08-01,1027.0,2020-04-01,
2017-09-01,1011.0,2020-05-01,
2017-10-01,936.0,2020-06-01,
2017-11-01,914.0,2020-07-01,
2017-12-01,844.0,2020-08-01,
2018-01-01,1040.0,2020-09-01,
2018-02-01,832.0,2020-10-01,
2018-03-01,806.0,2020-11-01,
2018-04-01,792.0,2020-12-01,
2018-05-01,761.0,2021-01-01,
2018-06-01,617.0,2021-02-01,
2018-07-01,725.0,2021-03-01,
2018-08-01,669.0,2021-04-01,
2018-09-01,635.0,2021-05-01,
2018-10-01,686.0,2021-06-01,
2018-11-01,511.0,2021-07-01,
2018-12-01,579.0,2021-08-01,
2019-01-01,506.0,2021-09-01,
2019-02-01,472.0,2021-10-01,
2019-03-01,471.0,2021-11-01,
2019-04-01,470.0,2021-12-01,
2019-05-01,392.0,2022-01-01,
2019-06-01,442.0,2022-02-01,
2019-07-01,388.0,2022-03-01,
2019-08-01,416.0,2022-04-01,
2019-09-01,286.0,2022-05-01,
2019-10-01,331.0,2022-06-01,
2019-11-01,338.0,2022-07-01,
2019-12-01,284.0,2022-08-01,
2020-01-01,389.0,2022-09-01,
2020-02-01,217.0,2022-10-01,
2020-03-01,338.0,2022-11-01,
2020-04-01,332.0,2022-12-01,
2020-05-01,442.0,2023-01-01,
2020-06-01,259.0,2023-02-01,
2020-07-01,374.0,2023-03-01,
2020-08-01,253.0,2023-04-01,
2020-09-01,348.0,2023-05-01,
2020-10-01,268.0,2023-06-01,
2020-11-01,219.0,2023-07-01,
2020-12-01,220.0,2023-08-01,
2021-01-01,74.0,2023-09-01,
2021-02-01,69.0,2023-10-01,
2021-03-01,220.0,2023-11-01,
2021-04-01,281.0,2023-12-01,
2021-05-01,341.0,2024-01-01,
2021-06-01,214.0,2024-02-01,
2021-07-01,381.0,2024-03-01,
2021-08-01,202.0,2024-04-01,
2021-09-01,186.0,2024-05-01,
2021-10-01,356.0,2024-06-01,
2021-11-01,195.0,2024-07-01,
2021-12-01,232.0,2024-08-01,
2022-01-01,197.0,2024-09-01,
2022-02-01,169.0,2024-10-01,
2022-03-01,245.0,2015-01-01,
2022-04-01,277.0,2015-02-01,
2022-05-01,286.0,2015-03-01,
2022-06-01,254.0,2015-04-01,
2022-07-01,240.0,2015-05-01,
2022-08-01,276.0,2015-06-01,
2022-09-01,324.0,2015-07-01,
2022-10-01,280.0,2015-08-01,
2022-11-01,297.0,2015-09-01,
2022-12-01,230.0,2015-10-01,
2023-01-01,268.0,2015-11-01,
2023-02-01,307.0,2015-12-01,
2023-03-01,300.0,2016-01-01,
2023-04-01,161.0,2016-02-01,
2023-05-01,159.0,2016-03-01,
2023-06-01,188.0,2016-04-01,
2023-07-01,240.0,2016-05-01,
2023-08-01,173.0,2016-06-01,
2023-09-01,153.0,2016-07-01,
