t,q,t_model,q_model
1992-08-01,10870.0,1993-05-01,3447.2538696453057
1992-09-01,43940.0,1993-06-01,2797.1756217981615
1992-10-01,18824.0,1993-07-01,2345.804914509774
1992-11-01,32194.0,1993-08-01,2015.0119056741748
1992-12-01,11574.0,1993-09-01,1762.6920571842497
1993-01-01,5878.0,1993-10-01,1564.2016948930452
1993-02-01,3214.0,1993-11-01,1404.1824822744209
1993-03-01,4593.0,1993-12-01,1272.5779904653054
1993-04-01,2350.0,1994-01-01,1162.5349855371617
1993-05-01,3577.0,1994-02-01,1069.226461065145
1993-06-01,2588.0,1994-03-01,989.1569832902679
1993-07-01,2360.0,1994-04-01,919.7348374278508
1993-08-01,2045.0,1994-05-01,858.9987990965755
1993-09-01,1671.0,1994-06-01,805.4381436848936
1993-10-01,1637.0,1994-07-01,757.8708324919115
1993-11-01,1398.0,1994-08-01,715.3590963268227
1993-12-01,1329.0,1994-09-01,677.1496972106276
1994-01-01,1103.0,1994-10-01,642.6308575292568
1994-02-01,1320.0,1994-11-01,611.3006822203052
1994-03-01,1053.0,1994-12-01,582.7436550694578
1994-04-01,849.0,1995-01-01,556.6129035880994
1994-05-01,838.0,1995-02-01,532.6166488011495
1994-06-01,774.0,1995-03-01,510.50773370775704
1994-07-01,706.0,1995-04-01,490.0754457377281
1994-08-01,616.0,1995-05-01,471.13906873188046
1994-09-01,640.0,1995-06-01,453.5427530906281
1994-10-01,576.0,1995-07-01,437.1514007100296
1994-11-01,542.0,1995-08-01,421.8473384635786
1994-12-01,551.0,1995-09-01,407.52760976638535
1995-01-01,544.0,1995-10-01,394.10175454632827
1995-02-01,438.0,1995-11-01,381.4899780867502
1995-03-01,452.0,1995-12-01,369.62163169602644
1995-04-01,384.0,1996-01-01,358.43394509672095
1995-05-01,361.0,1996-02-01,347.87096329255036
1995-06-01,262.0,1996-03-01,337.88265052335885
1995-07-01,162.0,1996-04-01,328.4241315204383
1995-08-01,410.0,1996-05-01,319.4550461830024
1995-09-01,420.0,1996-06-01,310.93899842016555
1995-10-01,379.0,1996-07-01,302.843083544249
1995-11-01,372.0,1996-08-01,295.13748148684186
1995-12-01,337.0,1996-09-01,287.7951054090085
1996-01-01,319.0,1996-10-01,280.7912971203861
1996-02-01,245.0,1996-11-01,274.10356220709565
1996-03-01,346.0,1996-12-01,267.71133897102237
1996-04-01,282.0,1997-01-01,261.59579626152623
1996-05-01,289.0,1997-02-01,255.73965608045341
