t,q,t_model,q_model
2015-09-01,4632.0,2015-10-01,17666.929257252454
2015-10-01,17988.0,2015-11-01,12541.714471167303
2015-11-01,11854.0,2015-12-01,9544.536659510646
2015-12-01,9320.0,2016-01-01,7605.705610926456
2016-01-01,7658.0,2016-02-01,6262.333014901625
2016-02-01,6377.0,2016-03-01,5283.96256684081
2016-03-01,5438.0,2016-04-01,4543.923544706565
2016-04-01,4889.0,2016-05-01,3967.253602310031
2016-05-01,4617.0,2016-06-01,3506.971242423201
2016-06-01,3751.0,2016-07-01,3132.2481466898985
2016-07-01,3419.0,2016-08-01,2822.080169791061
2016-08-01,2703.0,2016-09-01,2561.7003560245685
2016-09-01,2483.0,2016-10-01,2340.4469155130714
2016-10-01,2372.0,2016-11-01,2150.4441477777436
2016-11-01,2104.0,2016-12-01,1985.7578784542352
2016-12-01,2004.0,2017-01-01,1841.8384417893967
2017-01-01,1913.0,2017-02-01,1715.1436681802786
2017-02-01,1684.0,2017-03-01,1602.8778119568428
2017-03-01,1553.0,2017-04-01,1502.8070596137616
2017-04-01,1214.0,2017-05-01,1413.1267674708881
2017-05-01,1329.0,2017-06-01,1332.3643513505378
2017-06-01,1197.0,2017-07-01,1259.3071968954896
2017-07-01,1149.0,2017-08-01,1192.948420115479
2017-08-01,1051.0,2017-09-01,1132.4455544937844
2017-09-01,984.0,2017-10-01,1077.0887279833446
2017-10-01,897.0,2017-11-01,1026.2758949240192
2017-11-01,939.0,2017-12-01,979.4933737188904
2017-12-01,886.0,2018-01-01,936.3004176909144
2018-01-01,888.0,2018-02-01,896.3168823221147
2018-02-01,782.0,2018-03-01,859.2132916917708
2018-03-01,829.0,2018-04-01,824.70277995806
2018-04-01,745.0,2018-05-01,792.5345100601172
2018-05-01,730.0,2018-06-01,762.4882650123254
2018-06-01,624.0,2018-07-01,734.3699765788177
2018-07-01,587.0,2018-08-01,708.008008291066
2018-08-01,644.0,2018-09-01,683.2500493225863
2018-09-01,639.0,2018-10-01,659.9605059577997
2018-10-01,654.0,2018-11-01,638.018300662313
2018-11-01,533.0,2018-12-01,617.3150068073242
2018-12-01,609.0,2019-01-01,597.7532611895758
2019-01-01,584.0,2019-02-01,579.24540755863
2019-02-01,460.0,2019-03-01,561.7123331149594
2019-03-01,531.0,2019-04-01,545.0824669012377
2019-04-01,470.0,2019-05-01,529.2909145730727
2019-05-01,456.0,2019-06-01,514.278708507334
2019-06-01,436.0,2019-07-01,499.9921558185245
2019-07-01,412.0,2019-08-01,486.38226978553797
2019-08-01,422.0,2019-09-01,473.4042725817284
2019-09-01,372.0,2019-10-01,461.017159158931
2019-10-01,372.0,2019-11-01,449.18331374607953
2019-11-01,342.0,2019-12-01,437.86817175240947
2019-12-01,363.0,2020-01-01,427.03992096710755
2020-01-01,341.0,2020-02-01,416.66923686397377
2020-02-01,314.0,2020-03-01,406.72904758502835
2020-03-01,400.0,2020-04-01,397.19432481821747
2020-04-01,326.0,2020-05-01,388.04189732333754
2020-05-01,453.0,2020-06-01,379.250284314774
2020-06-01,320.0,2020-07-01,370.7995462940426
2020-07-01,346.0,2020-08-01,362.6711512512085
2020-08-01,355.0,2020-09-01,354.84785443166436
2020-09-01,282.0,2020-10-01,347.31359010140346
2020-10-01,323.0,2020-11-01,340.0533739463384
2020-11-01,269.0,2020-12-01,333.05321491480026
2020-12-01,276.0,2021-01-01,326.3000354615807
2021-01-01,265.0,2021-02-01,319.78159928047785
2021-02-01,205.0,2021-03-01,313.48644572338424
2021-03-01,338.0,2021-04-01,307.4038302001239
2021-04-01,353.0,2021-05-01,301.52366993667664
2021-05-01,411.0,2021-06-01,295.8364945419783
2021-06-01,446.0,2021-07-01,290.33340089668735
2021-07-01,862.0,2021-08-01,285.0060119324941
2021-08-01,426.0,2021-09-01,279.84643891881336
2021-09-01,382.0,2021-10-01,274.84724691600525
2021-10-01,366.0,2021-11-01,270.0014230914075
2021-11-01,342.0,2021-12-01,265.3023476271301
2021-12-01,420.0,2022-01-01,260.74376697734596
2022-01-01,460.0,2022-02-01,256.3197692582154
2022-02-01,386.0,2022-03-01,252.02476157603826
2022-03-01,398.0,2022-04-01,247.85344911911486
2022-04-01,339.0,2022-05-01,243.80081585643063
2022-05-01,353.0,2022-06-01,239.86210670194464
2022-06-01,312.0,2022-07-01,236.03281101719415
