t,q,t_model,q_model
1983-01-01,236.0,1983-08-01,1446.0129523985274
1983-02-01,719.0,1983-09-01,1235.1934581227758
1983-03-01,657.0,1983-10-01,1100.5053476863143
1983-04-01,712.0,1983-11-01,1004.6110338348134
1983-05-01,1062.0,1983-12-01,931.7005747407359
1983-06-01,416.0,1984-01-01,873.7571783043056
1983-07-01,992.0,1984-02-01,826.2168266512858
1983-08-01,1556.0,1984-03-01,786.2612447808398
1983-09-01,1094.0,1984-04-01,752.04179371085
1983-10-01,1036.0,1984-05-01,722.2878149239679
1983-11-01,946.0,1984-06-01,696.0927151326625
1983-12-01,903.0,1984-07-01,672.7896249319027
1984-01-01,872.0,1984-08-01,651.8753896951321
1984-02-01,831.0,1984-09-01,632.9621295333593
1984-03-01,775.0,1984-10-01,615.7452677186651
1984-04-01,861.0,1984-11-01,599.9817878266958
1984-05-01,737.0,1984-12-01,585.4750598928435
1984-06-01,623.0,1985-01-01,572.0640092445711
1984-07-01,738.0,1985-02-01,559.6152299412328
1984-08-01,731.0,1985-03-01,548.0171400594661
1984-09-01,620.0,1985-04-01,537.1755813277601
1984-10-01,675.0,1985-05-01,527.0104588563511
1984-11-01,609.0,1985-06-01,517.4531419971103
1984-12-01,467.0,1985-07-01,508.4444303637533
1985-01-01,726.0,1985-08-01,499.93294510111656
1985-02-01,578.0,1985-09-01,491.87384403095245
1985-03-01,599.0,1985-10-01,484.22778622668477
1985-04-01,586.0,1985-11-01,476.960090660744
1985-05-01,375.0,1985-12-01,470.040047290037
1985-06-01,539.0,1986-01-01,463.4403489324466
1985-07-01,555.0,1986-02-01,457.1366196414325
1985-08-01,457.0,1986-03-01,451.10702075984784
1985-09-01,522.0,1986-04-01,445.3319199498463
1985-10-01,500.0,1986-05-01,439.7936116194644
1985-11-01,511.0,1986-06-01,434.4760795581693
1985-12-01,463.0,1986-07-01,429.3647944400552
1986-01-01,450.0,1986-08-01,424.4465402898669
1986-02-01,467.0,1986-09-01,419.7092651328077
1986-03-01,483.0,1986-10-01,415.14195193744405
1986-04-01,427.0,1986-11-01,410.7345066666005
1986-05-01,465.0,1986-12-01,406.4776608150009
1986-06-01,422.0,1987-01-01,402.3628862656647
1986-07-01,406.0,1987-02-01,398.3823206634164
1986-08-01,417.0,1987-03-01,394.5287018015496
1986-09-01,443.0,1987-04-01,390.7953097607751
1986-10-01,394.0,1987-05-01,387.17591573904946
1986-11-01,417.0,1987-06-01,383.6647366752849
1986-12-01,448.0,1987-07-01,380.25639490605477
1987-01-01,420.0,1987-08-01,376.9458822075485
1987-02-01,310.0,1987-09-01,373.7285276694659
1987-03-01,481.0,1987-10-01,370.59996892665083
1987-04-01,457.0,1987-11-01,367.5561263407882
1987-05-01,375.0,1987-12-01,364.5931797806187
1987-06-01,322.0,1988-01-01,361.7075476966486
1987-07-01,311.0,1988-02-01,358.8958682266952
1987-08-01,344.0,1988-03-01,356.154982103001
1987-09-01,309.0,1988-04-01,353.4819171610383
1987-10-01,404.0,1988-05-01,350.8738742753142
1987-11-01,418.0,1988-06-01,348.3282145691321
1987-12-01,417.0,1988-07-01,345.84244776392063
1988-01-01,427.0,1988-08-01,343.41422154985537
1988-02-01,370.0,1988-09-01,341.0413118734577
1988-03-01,388.0,1988-10-01,338.721614049973
1988-04-01,354.0,1988-11-01,336.4531346188768
1988-05-01,387.0,1988-12-01,334.23398387005426
1988-06-01,332.0,1989-01-01,332.06236897624126
1988-07-01,424.0,1989-02-01,329.936587674354
1988-08-01,319.0,1989-03-01,327.85502244452005
1988-09-01,386.0,1989-04-01,325.81613514105777
1988-10-01,308.0,1989-05-01,323.81846203444303
1988-11-01,384.0,1989-06-01,321.86060922753245
1988-12-01,388.0,1989-07-01,319.9412484130521
1989-01-01,313.0,1989-08-01,318.0591129426767
1989-02-01,374.0,1989-09-01,316.21299418096464
1989-03-01,365.0,1989-10-01,314.4017381200304
1989-04-01,343.0,1989-11-01,312.6242422331652
1989-05-01,334.0,1989-12-01,310.8794525476918
1989-06-01,324.0,1990-01-01,309.16636091919696
1989-07-01,338.0,1990-02-01,307.484002490943
1989-08-01,338.0,1990-03-01,305.83145332374704
1989-09-01,322.0,1990-04-01,304.2078281829517
1989-10-01,329.0,1990-05-01,302.6122784703065
1989-11-01,273.0,1990-06-01,301.04399028966014
1989-12-01,372.0,1990-07-01,299.5021826363335
1990-01-01,311.0,1990-08-01,297.98610570091796
1990-02-01,237.0,1990-09-01,296.4950392790373
1990-03-01,260.0,1990-10-01,295.0282912793233
1990-04-01,337.0,1990-11-01,293.5851963225043
1990-05-01,271.0,1990-12-01,292.16511442509307
1990-06-01,266.0,1991-01-01,290.7674297616905
1990-07-01,292.0,1991-02-01,289.3915495004068
1990-08-01,277.0,1991-03-01,288.0369027063421
1990-09-01,269.0,1991-04-01,286.7029393084647
1990-10-01,315.0,1991-05-01,285.38912912559584
1990-11-01,243.0,1991-06-01,284.094960947537
1990-12-01,182.0,1991-07-01,282.81994166768146
1991-01-01,181.0,1991-08-01,281.5635954637317
1991-02-01,166.0,1991-09-01,280.3254630233927
1991-03-01,169.0,1991-10-01,279.1051008121498
1991-04-01,174.0,1991-11-01,277.90208038044796
1991-05-01,184.0,1991-12-01,276.7159877077878
1991-06-01,322.0,1992-01-01,275.5464225814308
1991-07-01,274.0,1992-02-01,274.3929980075742
1991-08-01,358.0,1992-03-01,273.25533965300303
1991-09-01,357.0,1992-04-01,272.13308531537206
1991-10-01,345.0,1992-05-01,271.0258844203933
1991-11-01,317.0,1992-06-01,269.9333975443277
1991-12-01,295.0,1992-07-01,268.8552959602858
1992-01-01,296.0,1992-08-01,267.791261206946
1992-02-01,274.0,1992-09-01,266.74098467838974
1992-03-01,297.0,1992-10-01,265.7041672338404
1992-04-01,208.0,1992-11-01,264.68051882617306
1992-05-01,253.0,1992-12-01,263.6697581481355
1992-06-01,284.0,1993-01-01,262.671612295288
1992-07-01,296.0,1993-02-01,261.68581644473716
1992-08-01,267.0,1993-03-01,260.71211354879205
1992-09-01,264.0,1993-04-01,259.75025404273146
1992-10-01,265.0,1993-05-01,258.79999556591747
1992-11-01,130.0,1993-06-01,257.8611026955407
1992-12-01,285.0,1993-07-01,256.93334669232456
,,1993-08-01,256.0165052575588
,,1993-09-01,255.11036230086845
,,1993-10-01,254.21470771816246
,,1993-11-01,253.32933717923615
,,1993-12-01,252.45405192453626
,,1994-01-01,251.58865857062315
,,1994-02-01,250.73296892389357
,,1994-03-01,249.88679980215124
,,1994-04-01,249.04997286363792
,,1994-05-01,248.22231444315685
,,1994-06-01,247.40365539494442
,,1994-07-01,246.59383094196286
,,1994-08-01,245.7926805313052
,,1994-09-01,245.00004769542184
,,1994-10-01,244.21577991889316
,,1994-11-01,243.439728510487
,,1994-12-01,242.67174848025573
,,1995-01-01,241.91169842143847
,,1995-02-01,241.1594403969482
,,1995-03-01,240.41483983023454
,,1995-04-01,239.6777654003236
,,1995-05-01,238.94808894084716
,,1995-06-01,238.22568534288274
,,1995-07-01,237.5104324614359
,,1995-08-01,236.80221102540318
,,1995-09-01,236.10090455086473
,,1995-10-01,235.40639925756068
,,1995-11-01,234.71858398841442
,,1995-12-01,234.0373501319716
,,1996-01-01,233.36259154763127
,,1996-02-01,232.69420449355
,,1996-03-01,232.0320875571076
,,1996-04-01,231.3761415878266
,,1996-05-01,230.7262696326438
,,1996-06-01,230.0823768734375
,,1996-07-01,229.44437056671669
,,1996-08-01,228.81215998538556
,,1996-09-01,228.18565636249826
,,1996-10-01,227.5647728369244
,,1996-11-01,226.9494244008488
,,1996-12-01,226.3395278490327
,,1997-01-01,225.7350017297665
,,1997-02-01,225.13576629744844
,,1997-03-01,224.54174346672477
