t,q,t_model,q_model
2015-01-01,9442.0,2015-02-01,8463.183620712522
2015-02-01,8390.0,2015-03-01,4731.399949036082
2015-03-01,5313.0,2015-04-01,3441.845505755308
2015-04-01,3011.0,2015-05-01,2761.3908879701985
2015-05-01,2750.0,2015-06-01,2332.8590367977367
2015-06-01,2003.0,2015-07-01,2034.8461700197086
2015-07-01,1913.0,2015-08-01,1813.9430415214615
2015-08-01,1488.0,2015-09-01,1642.7270662083454
2015-09-01,1414.0,2015-10-01,1505.5722269869684
2015-10-01,1582.0,2015-11-01,1392.876958100859
2015-11-01,1506.0,2015-12-01,1298.393641231575
2015-12-01,1525.0,2016-01-01,1217.8696381226719
2016-01-01,1423.0,2016-02-01,1148.3029005324636
2016-02-01,1164.0,2016-03-01,1087.5095349327075
2016-03-01,1321.0,2016-04-01,1033.8602113718716
2016-04-01,1234.0,2016-05-01,986.1129123058105
2016-05-01,1498.0,2016-06-01,943.3031378060133
2016-06-01,1041.0,2016-07-01,904.6696917201076
2016-07-01,821.0,2016-08-01,869.6032285801938
2016-08-01,805.0,2016-09-01,837.609777729997
2016-09-01,816.0,2016-10-01,808.2843709316021
2016-10-01,929.0,2016-11-01,781.2916375355754
2016-11-01,506.0,2016-12-01,756.3513000954342
2016-12-01,625.0,2017-01-01,733.2271780415394
2017-01-01,553.0,2017-02-01,711.7187430842395
2017-02-01,480.0,2017-03-01,691.6545578356065
2017-03-01,494.0,2017-04-01,672.8871227868952
2017-04-01,462.0,2017-05-01,655.2887893584357
2017-05-01,385.0,2017-06-01,638.7484889675825
2017-06-01,321.0,2017-07-01,623.1690931659626
2017-07-01,375.0,2017-08-01,608.4652664808056
2017-08-01,384.0,2017-09-01,594.5617073446756
2017-09-01,734.0,2017-10-01,581.3916972340214
2017-10-01,1356.0,2017-11-01,568.8958964631195
2017-11-01,756.0,2017-12-01,557.0213387942616
2017-12-01,744.0,2018-01-01,545.7205873848234
2018-01-01,666.0,2018-02-01,534.9510224867795
2018-02-01,440.0,2018-03-01,524.6742373806417
2018-03-01,693.0,2018-04-01,514.8555237235116
2018-04-01,404.0,2018-05-01,505.46343115551383
2018-05-01,324.0,2018-06-01,496.4693888873206
2018-06-01,507.0,2018-07-01,487.8473792672705
2018-07-01,426.0,2018-08-01,479.5736551370657
2018-08-01,571.0,2018-09-01,471.62649423381305
2018-09-01,639.0,2018-10-01,463.9859850620118
2018-10-01,563.0,2018-11-01,456.63383960220995
2018-11-01,573.0,2018-12-01,449.553228989874
2018-12-01,363.0,2019-01-01,442.72863892450704
2019-01-01,672.0,2019-02-01,436.14574208323086
2019-02-01,663.0,2019-03-01,429.79128523692776
2019-03-01,812.0,2019-04-01,423.6529891179298
2019-04-01,543.0,2019-05-01,417.71945937989085
2019-05-01,372.0,2019-06-01,411.980107233821
2019-06-01,498.0,2019-07-01,406.4250785480468
2019-07-01,435.0,2019-08-01,401.0451903711286
2019-08-01,471.0,2019-09-01,395.8318739811947
2019-09-01,576.0,2019-10-01,390.77712368734586
2019-10-01,539.0,2019-11-01,385.87345071249405
2019-11-01,235.0,2019-12-01,381.11384157528573
2019-12-01,532.0,2020-01-01,376.49172046414407
2020-01-01,465.0,2020-02-01,372.000915161002
2020-02-01,415.0,2020-03-01,367.6356261277123
2020-03-01,341.0,2020-04-01,363.3903984158166
2020-04-01,536.0,2020-05-01,359.26009610151937
2020-05-01,22.0,2020-06-01,355.2398789833212
2020-06-01,21.0,2020-07-01,351.3251813106466
2020-07-01,471.0,2020-08-01,347.5116923386379
2020-08-01,426.0,2020-09-01,343.79533852766724
2020-09-01,384.0,2020-10-01,340.1722672265281
2020-10-01,398.0,2020-11-01,336.63883169611717
2020-11-01,230.0,2020-12-01,333.191577346072
2020-12-01,344.0,2021-01-01,329.82722907056933
2021-01-01,434.0,2021-02-01,326.5426795815871
2021-02-01,230.0,2021-03-01,323.3349786485931
2021-03-01,365.0,2021-04-01,320.2013231630416
2021-04-01,382.0,2021-05-01,317.1390479543885
2021-05-01,320.0,2021-06-01,314.14561729172027
2021-06-01,297.0,2021-07-01,311.2186170116444
2021-07-01,286.0,2021-08-01,308.3557472189177
2021-08-01,291.0,2021-09-01,305.5548155114752
2021-09-01,241.0,2021-10-01,302.813730686154
2021-10-01,202.0,2021-11-01,300.1304968855358
2021-11-01,20.0,2021-12-01,297.50320815003334
2021-12-01,28.0,2022-01-01,294.9300433426533
2022-01-01,32.0,2022-02-01,292.4092614168435
2022-02-01,338.0,2022-03-01,289.9391970004967
2022-03-01,556.0,2022-04-01,287.51825627158496
2022-04-01,430.0,2022-05-01,285.14491310305783
2022-05-01,343.0,2022-06-01,282.81770545658804
2022-06-01,257.0,2022-07-01,280.53523200650363
2022-07-01,286.0,2022-08-01,278.29614897683894
2022-08-01,262.0,2022-09-01,276.0991671758718
2022-09-01,227.0,2022-10-01,273.9430492138186
2022-10-01,290.0,2022-11-01,271.82660689053995
2022-11-01,291.0,2022-12-01,269.7486987411834
2022-12-01,199.0,2023-01-01,267.708227728662
2023-01-01,195.0,2023-02-01,265.7041390727572
2023-02-01,200.0,2023-03-01,263.73541820643965
2023-03-01,230.0,2023-04-01,261.8010888507404
2023-04-01,266.0,2023-05-01,259.90021120017343
2023-05-01,32.0,2023-06-01,258.03188021132723
2023-06-01,21.0,2023-07-01,256.1952239878023
2023-07-01,226.0,2023-08-01,254.3894022551848
2023-08-01,243.0,2023-09-01,252.6136049202172
2023-09-01,246.0,2023-10-01,250.86705070875755
2023-10-01,410.0,2023-11-01,249.1489858775135
2023-11-01,321.0,2023-12-01,247.45868299490166
2023-12-01,274.0,2024-01-01,245.79543978671566
2024-01-01,189.0,2024-02-01,244.1585780425918
2024-02-01,277.0,2024-03-01,242.54744257954678
2024-03-01,232.0,2024-04-01,240.96140025911888
2024-04-01,256.0,2024-05-01,239.39983905488523
2024-05-01,254.0,2024-06-01,237.86216716734955
2024-06-01,176.0,2024-07-01,236.347812183398
2024-07-01,252.0,2024-08-01,234.85622027770964
2024-08-01,248.0,2024-09-01,233.38685545368327
2024-09-01,215.0,2024-10-01,231.93919882160333
2024-10-01,165.0,2024-11-01,230.5127479119164
,,2024-12-01,229.10701602162953
,,2025-01-01,227.72153159196978
,,2025-02-01,226.3558376155621
,,2025-03-01,225.00949107149526
