t,q,t_model,q_model
2012-07-01,1051.0,2012-09-01,984.5743932002512
2012-08-01,827.0,2012-10-01,685.9213913654578
2012-09-01,998.0,2012-11-01,584.2244852013066
2012-10-01,567.0,2012-12-01,526.2676558096708
2012-11-01,668.0,2013-01-01,486.9717661324826
2012-12-01,505.0,2013-02-01,457.8040408947466
2013-01-01,496.0,2013-03-01,434.90733254180276
2013-02-01,412.0,2013-04-01,416.2342398251351
2013-03-01,415.0,2013-05-01,400.5776995104575
2013-04-01,442.0,2013-06-01,387.1710568747235
2013-05-01,521.0,2013-07-01,375.49945453893787
2013-06-01,545.0,2013-08-01,365.2017976381185
2013-07-01,457.0,2013-09-01,356.0158710314709
2013-08-01,404.0,2013-10-01,347.74575618300423
2013-09-01,388.0,2013-11-01,340.2415421380437
2013-10-01,386.0,2013-12-01,333.3861821348337
2013-11-01,257.0,2014-01-01,327.0866903580025
2013-12-01,382.0,2014-02-01,321.2680749636859
2014-01-01,317.0,2014-03-01,315.8690523125222
2014-02-01,397.0,2014-04-01,310.8389533753201
2014-03-01,309.0,2014-05-01,306.1354477478717
2014-04-01,324.0,2014-06-01,301.7228406057078
2014-05-01,244.0,2014-07-01,297.5707789263399
2014-06-01,155.0,2014-08-01,293.65325513716004
2014-07-01,249.0,2014-09-01,289.9478302909125
2014-08-01,282.0,2014-10-01,286.4350215683282
2014-09-01,313.0,2014-11-01,283.0978143739718
2014-10-01,277.0,2014-12-01,279.9212700126425
2014-11-01,324.0,2015-01-01,276.8922074829291
2014-12-01,178.0,2015-02-01,273.9989433171595
2015-01-01,280.0,2015-03-01,271.2310773003553
2015-02-01,173.0,2015-04-01,268.5793147609294
2015-03-01,280.0,2015-05-01,266.03531824541074
2015-04-01,451.0,2015-06-01,263.5915829768276
2015-05-01,392.0,2015-07-01,261.2413316968532
2015-06-01,251.0,2015-08-01,258.9784254080603
2015-07-01,142.0,2015-09-01,256.79728723795523
2015-08-01,172.0,2015-10-01,254.69283719379985
2015-09-01,346.0,2015-11-01,252.66043600519512
2015-10-01,382.0,2015-12-01,250.69583658841378
2015-11-01,186.0,2016-01-01,248.79514193365088
2015-12-01,173.0,2016-02-01,246.9547684295264
