t,q,t_model,q_model
2013-01-01,3938.0,2013-02-01,25183.913328609808
2013-02-01,25003.0,2013-03-01,12940.321344852642
2013-03-01,13845.0,2013-04-01,9061.27754332035
2013-04-01,9097.0,2013-05-01,7093.830701369605
2013-05-01,7323.0,2013-06-01,5885.88339721256
2013-06-01,5564.0,2013-07-01,5061.363583021612
2013-07-01,5061.0,2013-08-01,4459.101010611941
2013-08-01,4172.0,2013-09-01,3997.9230630267143
2013-09-01,3880.0,2013-10-01,3632.273278094115
2013-10-01,3305.0,2013-11-01,3334.5073381877214
2013-11-01,3357.0,2013-12-01,3086.8276928185937
2013-12-01,3179.0,2014-01-01,2877.231207383978
2014-01-01,2970.0,2014-02-01,2697.313351235617
2014-02-01,2536.0,2014-03-01,2541.0045380728893
2014-03-01,2583.0,2014-04-01,2403.8062348911953
2014-04-01,2522.0,2014-05-01,2282.309855902049
2014-05-01,2335.0,2014-06-01,2173.8830491260987
2014-06-01,1979.0,2014-07-01,2076.4589444225053
2014-07-01,1746.0,2014-08-01,1988.3908590783417
2014-08-01,2023.0,2014-09-01,1908.3498323583633
2014-09-01,1998.0,2014-10-01,1835.2509006270477
2014-10-01,2228.0,2014-11-01,1768.1990959315926
2014-11-01,1161.0,2014-12-01,1706.4492533410566
2014-12-01,804.0,2015-01-01,1649.375661234892
2015-01-01,686.0,2015-02-01,1596.448842427377
2015-02-01,366.0,2015-03-01,1547.2175779401941
2015-03-01,806.0,2015-04-01,1501.2948373225745
2015-04-01,889.0,2015-05-01,1458.346655946031
2015-05-01,886.0,2015-06-01,1418.0832606764573
2015-06-01,908.0,2015-07-01,1380.251928914083
2015-07-01,1013.0,2015-08-01,1344.6311969164449
2015-08-01,1057.0,2015-09-01,1311.0261278748692
2015-09-01,885.0,2015-10-01,1279.2644193086633
2015-10-01,938.0,2015-11-01,1249.1931803826133
2015-11-01,852.0,2015-12-01,1220.6762478440282
2015-12-01,886.0,2016-01-01,1193.591937972634
2016-01-01,919.0,2016-02-01,1167.8311537498103
2016-02-01,756.0,2016-03-01,1143.2957831732897
2016-03-01,865.0,2016-04-01,1119.8973375599371
2016-04-01,833.0,2016-05-01,1097.5557887317887
2016-05-01,635.0,2016-06-01,1076.1985718589885
2016-06-01,805.0,2016-07-01,1055.7597269487762
2016-07-01,920.0,2016-08-01,1036.179156903975
2016-08-01,869.0,2016-09-01,1017.4019840149384
2016-09-01,815.0,2016-10-01,999.3779899135762
2016-10-01,850.0,2016-11-01,982.0611265732601
2016-11-01,761.0,2016-12-01,965.4090880120939
