t,q,t_model,q_model
2015-08-01,3597.0,2016-01-01,2132.545973825855
2015-09-01,5597.0,2016-02-01,803.0991631243064
2015-10-01,4089.0,2016-03-01,676.7108694370337
2015-11-01,2991.0,2016-04-01,611.820734558504
2015-12-01,2161.0,2016-05-01,569.4881792342846
2016-01-01,2137.0,2016-06-01,538.6396361238824
2016-02-01,82.0,2016-07-01,514.659167850561
2016-03-01,747.0,2016-08-01,495.20763126042044
2016-04-01,825.0,2016-09-01,478.94633691327556
2016-05-01,0.0,2016-10-01,465.0421772279258
2016-06-01,771.0,2016-11-01,452.9437861842637
2016-07-01,728.0,2016-12-01,442.268627924517
2016-08-01,685.0,2017-01-01,432.7411885969474
2016-09-01,633.0,2017-02-01,424.15691272173063
2016-10-01,621.0,2017-03-01,416.3600529839496
2016-11-01,551.0,2017-04-01,409.2294789991713
2016-12-01,516.0,2017-05-01,402.6692578486473
2017-01-01,620.0,2017-06-01,396.6022108678691
2017-02-01,492.0,2017-07-01,390.9653905208388
2017-03-01,532.0,2017-08-01,385.70683266666964
2017-04-01,529.0,2017-09-01,380.78317785738676
2017-05-01,583.0,2017-10-01,376.1578982291156
2017-06-01,545.0,2017-11-01,371.7999549101579
2017-07-01,522.0,2017-12-01,367.68276699264914
2017-08-01,501.0,2018-01-01,363.78340962996
2017-09-01,472.0,2018-02-01,360.08198309909096
2017-10-01,459.0,2018-03-01,356.5611111258127
2017-11-01,435.0,2018-04-01,353.2055381276167
2017-12-01,465.0,2018-05-01,350.0018029943174
2018-01-01,444.0,2018-06-01,346.93797269498367
2018-02-01,378.0,2018-07-01,344.00342308981703
2018-03-01,413.0,2018-08-01,341.1886573136284
2018-04-01,397.0,2018-09-01,338.4851543060382
2018-05-01,1044.0,2018-10-01,335.8852417135012
2018-06-01,930.0,2018-11-01,333.38198863338357
2018-07-01,360.0,2018-12-01,330.9691146187667
2018-08-01,923.0,2019-01-01,328.6409120914576
2018-09-01,329.0,2019-02-01,326.3921798753182
2018-10-01,325.0,2019-03-01,324.2181660028604
2018-11-01,301.0,2019-04-01,322.114518294724
2018-12-01,302.0,2019-05-01,320.0772414861576
2019-01-01,314.0,2019-06-01,318.10265989337483
2019-02-01,265.0,2019-07-01,316.18738478806233
2019-03-01,313.0,2019-08-01,314.3282857897695
2019-04-01,286.0,2019-09-01,312.5224657006159
2019-05-01,316.0,2019-10-01,310.76723830025156
2019-06-01,288.0,2019-11-01,309.0601086956015
2019-07-01,302.0,2019-12-01,307.3987558829696
2019-08-01,308.0,2020-01-01,305.7810172321964
2019-09-01,312.0,2020-02-01,304.2048746458494
2019-10-01,304.0,2020-03-01,302.66844218250765
2019-11-01,271.0,2020-04-01,301.16995496340814
2019-12-01,264.0,2020-05-01,299.7077592071004
2020-01-01,253.0,2020-06-01,298.28030325815706
2020-02-01,240.0,2020-07-01,296.8861294940941
2020-03-01,275.0,2020-08-01,295.5238670100321
2020-04-01,312.0,2020-09-01,294.19222499371904
2020-05-01,223.0,2020-10-01,292.8899867147253
2020-06-01,288.0,2020-11-01,291.6160040612043
2020-07-01,245.0,2020-12-01,290.36919256584906
2020-08-01,237.0,2021-01-01,289.148526869771
2020-09-01,163.0,2021-02-01,287.9530365791598
