t,q,t_model,q_model
2014-08-01,0.0,2014-10-01,12926.233884692667
2014-09-01,11646.0,2014-11-01,9567.521616863152
2014-10-01,13172.0,2014-12-01,7696.415571272689
2014-11-01,9196.0,2015-01-01,6489.375411567408
2014-12-01,7501.0,2015-02-01,5639.806018755253
2015-01-01,6587.0,2015-03-01,5006.12991301957
2015-02-01,5195.0,2015-04-01,4513.477204216431
2015-03-01,4985.0,2015-05-01,4118.349903899161
2015-04-01,4427.0,2015-06-01,3793.660934222764
2015-05-01,4211.0,2015-07-01,3521.6171596031913
2015-06-01,3730.0,2015-08-01,3290.0236591118787
2015-07-01,3678.0,2015-09-01,3090.2282963945563
2015-08-01,3423.0,2015-10-01,2915.9135782644594
2015-09-01,3139.0,2015-11-01,2762.3534217922884
2015-10-01,3047.0,2015-12-01,2625.9380996923064
2015-11-01,2800.0,2016-01-01,2503.860541579111
2015-12-01,2889.0,2016-02-01,2393.903281135225
2016-01-01,2750.0,2016-03-01,2294.290169718716
2016-02-01,2495.0,2016-04-01,2203.58091950184
2016-03-01,2563.0,2016-05-01,2120.59465869713
2016-04-01,2313.0,2016-06-01,2044.3535636581976
2016-05-01,2310.0,2016-07-01,1974.040652801079
2016-06-01,2199.0,2016-08-01,1908.9677434755804
2016-07-01,2175.0,2016-09-01,1848.550816633351
2016-08-01,2087.0,2016-10-01,1792.2908581434524
2016-09-01,1958.0,2016-11-01,1739.7588018173099
2016-10-01,2006.0,2016-12-01,1690.5835810978037
2016-11-01,1888.0,2017-01-01,1644.4425626939808
2016-12-01,1880.0,2017-02-01,1601.0538238573506
2017-01-01,1883.0,2017-03-01,1560.1698700659651
2017-02-01,1567.0,2017-04-01,1521.572487904468
2017-03-01,1715.0,2017-05-01,1485.068499877487
2017-04-01,1623.0,2017-06-01,1450.4862412671825
2017-05-01,1374.0,2017-07-01,1417.6726191324865
2017-06-01,1396.0,2017-08-01,1386.4906437832763
2017-07-01,1271.0,2017-09-01,1356.817346124259
2017-08-01,1228.0,2017-10-01,1328.5420119967853
2017-09-01,1064.0,2017-11-01,1301.564678387987
2017-10-01,1282.0,2017-12-01,1275.7948471016382
2017-11-01,1239.0,2018-01-01,1251.150379913264
2017-12-01,1339.0,2018-02-01,1227.5565458981687
2018-01-01,1303.0,2018-03-01,1204.9451969258869
2018-02-01,1172.0,2018-04-01,1183.2540515607222
2018-03-01,1274.0,2018-05-01,1162.4260710255594
2018-04-01,1195.0,2018-06-01,1142.4089136512532
2018-05-01,1312.0,2018-07-01,1123.15445648234
2018-06-01,1181.0,2018-08-01,1104.61837454689
2018-07-01,1165.0,2018-09-01,1086.7597698061238
2018-08-01,1163.0,2018-10-01,1069.5408430423806
2018-09-01,1087.0,2018-11-01,1052.9266029729295
2018-10-01,1147.0,2018-12-01,1036.884607732242
2018-11-01,1107.0,2019-01-01,1021.3847345787618
2018-12-01,1110.0,2019-02-01,1006.3989742795652
2019-01-01,1014.0,2019-03-01,991.9012471283042
2019-02-01,891.0,2019-04-01,977.867237975036
2019-03-01,1006.0,2019-05-01,964.2742480045845
2019-04-01,986.0,2019-06-01,951.1010613038561
2019-05-01,1026.0,2019-07-01,938.3278245171109
2019-06-01,964.0,2019-08-01,925.9359381088956
2019-07-01,656.0,2019-09-01,913.907957943275
2019-08-01,934.0,2019-10-01,902.2275060501545
2019-09-01,876.0,2019-11-01,890.879189589038
