t,q,t_model,q_model
2004-01-01,0.0,2007-10-01,2224.938056301863
2004-02-01,0.0,2007-11-01,1337.4401866906207
2004-03-01,0.0,2007-12-01,1094.1004325551696
2004-04-01,0.0,2008-01-01,963.2110065158979
2004-05-01,0.0,2008-02-01,877.2042254443511
2004-06-01,0.0,2008-03-01,814.6866084736571
2004-07-01,0.0,2008-04-01,766.3643709045608
2004-08-01,0.0,2008-05-01,727.4338033563633
2004-09-01,0.0,2008-06-01,695.1178233749666
2004-10-01,0.0,2008-07-01,667.6794356481292
2004-11-01,0.0,2008-08-01,643.9666145986545
2004-12-01,0.0,2008-09-01,623.1798053852797
2005-01-01,0.0,2008-10-01,604.7435882124134
2005-02-01,0.0,2008-11-01,588.2313838660302
2005-03-01,0.0,2008-12-01,573.319042097641
2005-04-01,0.0,2009-01-01,559.7550403693474
2005-05-01,0.0,2009-02-01,547.3406786452706
2005-06-01,0.0,2009-03-01,535.9165250138868
2005-07-01,0.0,2009-04-01,525.3529007941959
2005-08-01,0.0,2009-05-01,515.5430515720099
2005-09-01,0.0,2009-06-01,506.3981493100475
2005-10-01,0.0,2009-07-01,497.84357058543463
2005-11-01,0.0,2009-08-01,489.8160818234605
2005-12-01,0.0,2009-09-01,482.2616806053985
2006-01-01,0.0,2009-10-01,475.1339191257793
2006-02-01,0.0,2009-11-01,468.3925871049004
2006-03-01,0.0,2009-12-01,462.00266620956927
2006-04-01,0.0,2010-01-01,455.9334920174993
2006-05-01,0.0,2010-02-01,450.1580763792871
2006-06-01,0.0,2010-03-01,444.65255500003985
2006-07-01,0.0,2010-04-01,439.395733694578
2006-08-01,0.0,2010-05-01,434.3687130734886
2006-09-01,0.0,2010-06-01,429.55457607351553
2006-10-01,0.0,2010-07-01,424.93812622217337
2006-11-01,0.0,2010-08-01,420.5056671479607
2006-12-01,2249.0,2010-09-01,416.24481584280454
2007-01-01,4572.0,2010-10-01,412.14434371524084
2007-02-01,4018.0,2010-11-01,408.19404065858174
2007-03-01,3810.0,2010-12-01,404.38459828319014
2007-04-01,4565.0,2011-01-01,400.70750918860466
2007-05-01,4482.0,2011-02-01,397.1549797260232
2007-06-01,2951.0,2011-03-01,393.7198541592288
2007-07-01,3182.0,2011-04-01,390.39554849854414
2007-08-01,2956.0,2011-05-01,387.1759925776622
2007-09-01,2592.0,2011-06-01,384.05557918236053
2007-10-01,2231.0,2011-07-01,381.02911923485294
2007-11-01,1325.0,2011-08-01,378.09180219688164
2007-12-01,1100.0,2011-09-01,375.2391609856703
2008-01-01,976.0,2011-10-01,372.46704080505975
2008-02-01,826.0,2011-11-01,369.77157138389015
2008-03-01,790.0,2011-12-01,367.14914218843774
2008-04-01,800.0,2012-01-01,364.5963802382081
2008-05-01,853.0,2012-02-01,362.11013020683504
2008-06-01,186.0,2012-03-01,359.68743653401424
2008-07-01,644.0,2012-04-01,357.3255273117399
2008-08-01,690.0,2012-05-01,355.02179973978076
2008-09-01,555.0,2012-06-01,352.7738069722699
2008-10-01,462.0,2012-07-01,350.57924620027535
2008-11-01,552.0,2012-08-01,348.4359478348952
2008-12-01,395.0,2012-09-01,346.3418656723118
2009-01-01,587.0,2012-10-01,344.29506793677535
2009-02-01,507.0,2012-11-01,342.2937291100365
2009-03-01,574.0,2012-12-01,340.3361224666005
2009-04-01,484.0,2013-01-01,338.4206132435891
2009-05-01,510.0,2013-02-01,336.5456523821857
2009-06-01,325.0,2013-03-01,334.70977078476915
2009-07-01,614.0,2013-04-01,332.91157403807244
2009-08-01,564.0,2013-05-01,331.14973755815697
2009-09-01,359.0,2013-06-01,329.42300211777354
2009-10-01,650.0,2013-07-01,327.7301697208867
2009-11-01,557.0,2013-08-01,326.07009979283924
2009-12-01,565.0,2013-09-01,324.4417056579015
2010-01-01,503.0,2013-10-01,322.84395127883477
2010-02-01,495.0,2013-11-01,321.2758482356571
2010-03-01,560.0,2013-12-01,319.73645292306543
2010-04-01,466.0,2014-01-01,318.22486394798415
2010-05-01,540.0,2014-02-01,316.7402197105038
2010-06-01,497.0,2014-03-01,315.2816961530731
2010-07-01,502.0,2014-04-01,313.8485046642319
2010-08-01,624.0,2014-05-01,312.4398901244546
2010-09-01,526.0,2014-06-01,311.055129082812
2010-10-01,576.0,2014-07-01,309.693528054187
2010-11-01,480.0,2014-08-01,308.3544219277012
2010-12-01,454.0,2014-09-01,307.0371724778347
2011-01-01,498.0,2014-10-01,305.74116697047094
2011-02-01,234.0,2014-11-01,304.46581685676784
2011-03-01,567.0,2014-12-01,303.21055654836374
2011-04-01,356.0,2015-01-01,301.9748422679786
2011-05-01,445.0,2015-02-01,300.758150969963
2011-06-01,318.0,2015-03-01,299.5599793258016
2011-07-01,249.0,2015-04-01,298.3798427699822
2011-08-01,498.0,2015-05-01,297.2172746020169
2011-09-01,352.0,2015-06-01,296.07182514073406
2011-10-01,195.0,2015-07-01,294.9430609272695
2011-11-01,426.0,2015-08-01,293.83056397346576
2011-12-01,392.0,2015-09-01,292.7339310526388
2012-01-01,397.0,2015-10-01,291.65277302991024
