t,q,t_model,q_model
1983-12-01,3430.0,1984-05-01,562.5956367024436
1984-01-01,2503.0,1984-06-01,560.0762788535537
1984-02-01,1833.0,1984-07-01,557.5655305908845
1984-03-01,1315.0,1984-08-01,555.0633716441491
1984-04-01,1326.0,1984-09-01,552.569781769192
1984-05-01,1222.0,1984-10-01,550.0847407479827
1984-06-01,948.0,1984-11-01,547.6082283886099
1984-07-01,796.0,1984-12-01,545.1402245252764
1984-08-01,775.0,1985-01-01,542.6807090182921
1984-09-01,642.0,1985-02-01,540.2296617540693
1984-10-01,692.0,1985-03-01,537.7870626451166
1984-11-01,798.0,1985-04-01,535.3528916300328
1984-12-01,756.0,1985-05-01,532.9271286735006
1985-01-01,750.0,1985-06-01,530.5097537662824
1985-02-01,618.0,1985-07-01,528.1007469252128
1985-03-01,594.0,1985-08-01,525.7000881931933
1985-04-01,592.0,1985-09-01,523.3077576391875
1985-05-01,609.0,1985-10-01,520.9237353582131
1985-06-01,523.0,1985-11-01,518.548001471338
1985-07-01,484.0,1985-12-01,516.1805361256734
1985-08-01,491.0,1986-01-01,513.8213194943685
1985-09-01,448.0,1986-02-01,511.47033177660416
1985-10-01,288.0,1986-03-01,509.1275531975872
1985-11-01,555.0,1986-04-01,506.7929640085447
1985-12-01,390.0,1986-05-01,504.4665444867178
1986-01-01,411.0,1986-06-01,502.14827493535614
1986-02-01,343.0,1986-07-01,499.83813568371164
1986-03-01,355.0,1986-08-01,497.53610708703286
1986-04-01,283.0,1986-09-01,495.242169526559
1986-05-01,388.0,1986-10-01,492.9563034095139
1986-06-01,339.0,1986-11-01,490.6784891691002
1986-07-01,349.0,1986-12-01,488.40870726449344
1986-08-01,315.0,1987-01-01,486.14693818083634
1986-09-01,357.0,1987-02-01,483.8931624292322
1986-10-01,351.0,1987-03-01,481.64736054673995
1986-11-01,336.0,1987-04-01,479.4095130963669
1986-12-01,317.0,1987-05-01,477.17960066706434
1987-01-01,313.0,1987-06-01,474.9576038737203
1987-02-01,315.0,1987-07-01,472.7435033571545
1987-03-01,315.0,1987-08-01,470.53727978411166
1987-04-01,286.0,1987-09-01,468.33891384725604
1987-05-01,335.0,1987-10-01,466.14838626516513
1987-06-01,241.0,1987-11-01,463.9656777823239
1987-07-01,275.0,1987-12-01,461.7907691691188
1987-08-01,227.0,1988-01-01,459.6236412218317
1987-09-01,237.0,1988-02-01,457.4642747626338
1987-10-01,220.0,1988-03-01,455.31265063957983
1987-11-01,256.0,1988-04-01,453.1687497266019
1987-12-01,194.0,1988-05-01,451.03255292350366
1988-01-01,226.0,1988-06-01,448.90404115595396
1988-02-01,191.0,1988-07-01,446.7831953754813
1988-03-01,194.0,1988-08-01,444.6699965594672
1988-04-01,201.0,1988-09-01,442.564425711141
1988-05-01,203.0,1988-10-01,440.4664638595727
1988-06-01,134.0,1988-11-01,438.3760920596681
1988-07-01,204.0,1988-12-01,436.2932913921622
1988-08-01,177.0,1989-01-01,434.2180429636121
1988-09-01,161.0,1989-02-01,432.1503279063939
1988-10-01,173.0,1989-03-01,430.09012737869284
1988-11-01,142.0,1989-04-01,428.03742256450016
1988-12-01,160.0,1989-05-01,425.99219467360575
1989-01-01,190.0,1989-06-01,423.9544249415922
1989-02-01,151.0,1989-09-01,421.924094629829
1989-03-01,163.0,1989-10-01,419.9011850254661
1989-04-01,155.0,1989-11-01,417.8856774414279
1989-05-01,160.0,1989-12-01,415.87755321640753
1989-06-01,28.0,1990-01-01,413.87679371486007
1989-09-01,294.0,1990-02-01,411.8833803269971
1989-10-01,225.0,1990-03-01,409.89729446878
1989-11-01,140.0,1990-04-01,407.9185175819143
1989-12-01,125.0,1990-05-01,405.9470311338432
1990-01-01,135.0,1990-06-01,403.9828166177419
1990-02-01,99.0,1990-07-01,402.02585555251073
1990-03-01,100.0,1990-08-01,400.07612948276966
1990-04-01,116.0,1990-09-01,398.1336199788518
1990-05-01,110.0,1990-10-01,396.19830863679755
1990-06-01,100.0,1990-11-01,394.2701770783479
1990-07-01,17.0,1990-12-01,392.3492069509388
1990-08-01,74.0,1991-01-01,390.435379927695
1990-09-01,2164.0,1991-02-01,388.5286777074228
1990-10-01,1925.0,1991-03-01,386.62908201460596
1990-11-01,1501.0,1991-04-01,384.7365745993971
1990-12-01,1099.0,1991-05-01,382.85113723761333
1991-01-01,1074.0,1991-06-01,380.97275173072916
1991-02-01,643.0,1991-07-01,379.10139990587055
1991-03-01,954.0,1991-08-01,377.2370636158086
1991-04-01,765.0,1991-09-01,375.37972473895337
1991-05-01,818.0,1991-10-01,373.52936517934774
1991-06-01,594.0,1991-11-01,371.685966866661
1991-07-01,838.0,1991-12-01,369.8495117561827
1991-08-01,572.0,1992-01-01,368.0199818288166
1991-09-01,537.0,1992-02-01,366.1973590910739
1991-10-01,350.0,1992-03-01,364.3816255750677
1991-11-01,551.0,1992-04-01,362.5727633385059
1991-12-01,385.0,1992-05-01,360.7707544646859
1992-01-01,381.0,1992-06-01,358.9755810624875
1992-02-01,315.0,1992-07-01,357.1872252663668
1992-03-01,334.0,1992-08-01,355.4056692363504
1992-04-01,41.0,1992-09-01,353.63089515802847
1992-05-01,19.0,1992-10-01,351.86288524254917
1992-06-01,428.0,1992-11-01,350.1016217266109
1992-07-01,1981.0,1992-12-01,348.3470868724585
1992-08-01,1654.0,1993-01-01,346.59926296787404
1992-09-01,1205.0,1993-02-01,344.8581323261728
1992-10-01,1075.0,1993-03-01,343.1236772861955
1992-11-01,1158.0,1993-04-01,341.395880212303
1992-12-01,561.0,1993-05-01,339.674723494369
1993-01-01,776.0,1993-06-01,337.9601895477745
1993-02-01,604.0,1993-07-01,336.25226081340094
1993-03-01,543.0,1993-08-01,334.55091975762394
1993-04-01,401.0,1993-09-01,332.85614887230736
1993-05-01,405.0,1993-10-01,331.16793067479614
1993-06-01,569.0,1993-11-01,329.4862477079106
1993-07-01,332.0,1993-12-01,327.8110825399399
1993-08-01,490.0,1994-01-01,326.14241776463535
1993-09-01,372.0,1994-02-01,324.48023600120433
1993-10-01,503.0,1994-03-01,322.824519894304
1993-11-01,393.0,1994-04-01,321.1752521140344
1993-12-01,472.0,1994-05-01,319.5324153559324
1994-01-01,440.0,1994-06-01,317.8959923409654
1994-02-01,390.0,1994-07-01,316.2659658155246
1994-03-01,376.0,1994-08-01,314.6423185514184
1994-04-01,266.0,1994-09-01,313.025033345867
1994-05-01,321.0,1994-10-01,311.4140930214941
1994-06-01,375.0,1994-11-01,309.8094804263229
1994-07-01,326.0,1994-12-01,308.2111784337669
1994-08-01,343.0,1995-01-01,306.6191699426262
1994-09-01,246.0,1995-02-01,305.0334378770784
1994-10-01,309.0,1995-03-01,303.45396518667434
1994-11-01,308.0,1995-04-01,301.8807348463302
1994-12-01,323.0,1995-05-01,300.31372985632163
1995-01-01,272.0,1995-06-01,298.7529332422771
1995-02-01,245.0,1995-07-01,297.1983280551714
1995-03-01,40.0,1995-08-01,295.64989737131907
1995-04-01,3.0,1995-09-01,294.1076242923682
1995-05-01,5.0,1995-10-01,292.57149194529336
1995-06-01,250.0,1995-11-01,291.04148348238965
1995-07-01,410.0,1995-12-01,289.5175820812657
1995-08-01,213.0,1996-01-01,287.99977094483745
1995-09-01,198.0,1996-02-01,286.4880333013215
1995-10-01,219.0,1996-03-01,284.9823524042285
1995-11-01,4.0,1996-04-01,283.4827115323565
1995-12-01,73.0,1996-05-01,281.9890939897849
1996-01-01,162.0,1996-06-01,280.50148310586735
1996-02-01,12.0,1996-07-01,279.0198622352247
1996-03-01,331.0,1996-08-01,277.54421475774035
1996-04-01,296.0,1996-09-01,276.07452407855084
1996-05-01,378.0,1996-10-01,274.61077362804224
1996-06-01,329.0,1996-11-01,273.1529468618408
1996-07-01,261.0,1996-12-01,271.7010272608083
1996-08-01,342.0,1997-01-01,270.25499833103464
1996-09-01,176.0,1997-02-01,268.81484360383126
1996-10-01,328.0,1997-03-01,267.38054663572444
1996-11-01,289.0,1997-04-01,265.95209100844914
1996-12-01,250.0,1997-05-01,264.5294603289415
1997-01-01,227.0,1997-06-01,263.1126382293333
1997-02-01,264.0,1997-07-01,261.7016083669441
1997-03-01,312.0,1997-08-01,260.2963544242755
1997-04-01,151.0,1997-09-01,258.89686010900414
1997-05-01,116.0,1997-10-01,257.50310915397483
1997-06-01,269.0,1997-11-01,256.1150853171943
1997-07-01,188.0,1997-12-01,254.73277238182413
1997-08-01,299.0,1998-01-01,253.35615415617417
1997-09-01,219.0,1998-02-01,251.9852144736959
1997-10-01,212.0,1998-03-01,250.61993719297564
1997-11-01,197.0,1998-04-01,249.2603061977279
1997-12-01,3.0,1998-05-01,247.90630539678875
1998-01-01,368.0,1998-06-01,246.55791872410836
1998-02-01,235.0,1998-07-01,245.21513013874585
1998-03-01,248.0,1998-08-01,243.8779236248605
1998-04-01,213.0,1998-09-01,242.546283191707
1998-05-01,194.0,1998-10-01,241.2201928736269
1998-06-01,227.0,1998-11-01,239.8996367300432
1998-07-01,215.0,1998-12-01,238.58459884545292
1998-08-01,214.0,1999-01-01,237.2750633294204
1998-09-01,142.0,1999-02-01,235.97101431657055
1998-10-01,74.0,1999-03-01,234.67243596658224
1998-11-01,166.0,1999-04-01,233.37931246418114
1998-12-01,229.0,1999-05-01,232.09162801913317
1999-01-01,156.0,1999-06-01,230.80936686623758
1999-02-01,119.0,1999-07-01,229.53251326532023
1999-03-01,20.0,1999-08-01,228.26105150122663
1999-04-01,299.0,1999-09-01,226.99496588381513
1999-05-01,56.0,1999-10-01,225.73424074795017
1999-06-01,2.0,1999-11-01,224.4788604534953
1999-07-01,179.0,1999-12-01,223.22880938530645
1999-08-01,198.0,2000-01-01,221.9840719532249
1999-09-01,304.0,2000-02-01,220.74463259207076
1999-10-01,254.0,2000-03-01,219.5104757616352
1999-11-01,203.0,2000-04-01,218.2815859466752
1999-12-01,197.0,2000-05-01,217.0579476569045
2000-01-01,43.0,2000-06-01,215.8395454269889
2000-02-01,281.0,2000-07-01,214.62636381653738
2000-03-01,149.0,2000-08-01,213.41838741009698
2000-04-01,233.0,2000-09-01,212.21560081714418
2000-05-01,235.0,2000-10-01,211.01798867207924
2000-06-01,264.0,2000-11-01,209.82553563421874
2000-07-01,256.0,2000-12-01,208.6382263877886
2000-08-01,249.0,2001-01-01,207.4560456419173
2000-09-01,135.0,2001-02-01,206.27897813062881
2000-10-01,184.0,2001-03-01,205.1070086128356
2000-11-01,187.0,2001-04-01,203.94012187233184
2000-12-01,184.0,2001-05-01,202.77830271778618
2001-01-01,189.0,2001-06-01,201.6215359827348
2001-02-01,156.0,2001-07-01,200.46980652557465
2001-03-01,182.0,2001-08-01,199.32309922955616
2001-04-01,192.0,2001-09-01,198.18139900277632
2001-05-01,176.0,2001-10-01,197.04469077817177
2001-06-01,169.0,2001-11-01,195.91295951351157
2001-07-01,167.0,2001-12-01,194.78619019139032
2001-08-01,172.0,2002-01-01,193.66436781922118
2001-09-01,159.0,2002-02-01,192.54747742922822
2001-10-01,161.0,2002-03-01,191.43550407844063
2001-11-01,165.0,2002-04-01,190.32843284868397
2001-12-01,162.0,2002-07-01,189.22624884657483
2002-01-01,170.0,2002-08-01,188.1289372035123
2002-02-01,5.0,2002-09-01,187.0364830756717
2002-03-01,68.0,2002-10-01,185.94887164399725
2002-04-01,247.0,2002-12-01,184.866088114195
2002-07-01,59.0,2003-01-01,183.78811771672568
2002-08-01,520.0,2003-02-01,182.71494570679752
2002-09-01,452.0,2003-03-01,181.64655736435932
2002-10-01,363.0,2003-04-01,180.58293799409304
2002-12-01,491.0,2003-05-01,179.5240729254069
2003-01-01,340.0,2003-06-01,178.46994751242806
2003-02-01,278.0,2003-07-01,177.42054713399557
2003-03-01,281.0,2003-08-01,176.3758571936531
2003-04-01,256.0,2003-09-01,175.33586311964186
2003-05-01,242.0,2003-10-01,174.30055036489333
2003-06-01,242.0,2003-11-01,173.2699044070221
2003-07-01,234.0,2003-12-01,172.2439107483187
2003-08-01,203.0,2004-01-01,171.22255491574253
2003-09-01,180.0,2004-02-01,170.20582246091388
2003-10-01,175.0,2004-03-01,169.1936989601082
2003-11-01,157.0,2004-04-01,168.18617001424704
2003-12-01,139.0,2004-05-01,167.1832212488926
2004-01-01,182.0,2004-06-01,166.1848383142388
2004-02-01,164.0,2004-07-01,165.19100688510562
2004-03-01,164.0,2004-08-01,164.20171266093024
2004-04-01,141.0,2004-09-01,163.21694136576144
2004-05-01,141.0,2004-10-01,162.23667874825063
2004-06-01,140.0,2004-11-01,161.26091058164587
2004-07-01,129.0,2004-12-01,160.28962266378403
2004-08-01,119.0,2005-01-01,159.3228008170834
2004-09-01,114.0,2005-02-01,158.36043088853654
2004-10-01,122.0,2005-03-01,157.40249874970306
2004-11-01,111.0,2005-04-01,156.44899029670196
2004-12-01,71.0,2005-05-01,155.4998914502046
2005-01-01,132.0,2005-06-01,154.55518815542715
2005-02-01,118.0,2005-07-01,153.6148663821234
2005-03-01,180.0,2005-08-01,152.6789121245772
2005-04-01,128.0,2005-09-01,151.7473114015953
2005-05-01,166.0,2005-10-01,150.8200502564999
