t,q,t_model,q_model
2011-07-01,407.0,2012-02-01,4525.020246434372
2011-08-01,12393.0,2012-03-01,4044.5863505139614
2011-09-01,13720.0,2012-04-01,3669.4944579711096
2011-10-01,7958.0,2012-05-01,3367.403391310848
2011-11-01,5179.0,2012-06-01,3118.166777432361
2011-12-01,4075.0,2012-07-01,2908.536987528894
2012-01-01,3086.0,2012-08-01,2729.421259084999
2012-02-01,4877.0,2012-09-01,2574.3574067731033
2012-03-01,4192.0,2012-10-01,2438.6182346365786
2012-04-01,3553.0,2012-11-01,2318.660521007692
2012-05-01,3106.0,2012-12-01,2211.772659560888
2012-06-01,2848.0,2013-01-01,2115.841814000228
2012-07-01,2476.0,2013-02-01,2029.1956353902283
2012-08-01,2611.0,2013-03-01,1950.491982645594
2012-09-01,2413.0,2013-04-01,1878.6404069334521
2012-10-01,2465.0,2013-05-01,1812.7451687406426
2012-11-01,2204.0,2013-06-01,1752.0631686664415
2012-12-01,2147.0,2013-07-01,1695.9724078361237
2013-01-01,2064.0,2013-08-01,1643.9480121355232
2013-02-01,1714.0,2013-09-01,1595.543775392121
2013-03-01,1887.0,2013-10-01,1550.377787071504
2013-04-01,1795.0,2013-11-01,1508.1211223484895
2013-05-01,1601.0,2013-12-01,1468.4888556690391
2013-06-01,1634.0,2014-01-01,1431.2328565937269
2013-07-01,1324.0,2014-02-01,1396.1359666612186
2013-08-01,2284.0,2014-03-01,1363.0072564117356
2013-09-01,1971.0,2014-04-01,1331.6781346301818
2013-10-01,1965.0,2014-05-01,1301.999135435488
2013-11-01,1911.0,2014-06-01,1273.8372486124103
2013-12-01,1810.0,2014-07-01,1247.0736884017447
2014-01-01,1647.0,2014-08-01,1221.6020185318719
2014-02-01,1613.0,2014-09-01,1197.3265685015301
2014-03-01,1681.0,2014-10-01,1174.1610893818151
2014-04-01,1580.0,2014-11-01,1152.0276076875853
2014-05-01,1462.0,2014-12-01,1130.8554439004683
2014-06-01,1520.0,2015-01-01,1110.5803685429682
2014-07-01,1433.0,2015-02-01,1091.1438737039898
2014-08-01,835.0,2015-03-01,1072.4925418990645
2014-09-01,902.0,2015-04-01,1054.5774973393318
2014-10-01,1330.0,2015-05-01,1037.3539272535816
2014-11-01,1127.0,2015-06-01,1020.7806629889714
2014-12-01,1109.0,2015-07-01,1004.8198123098468
2015-01-01,1000.0,2015-08-01,989.436435699143
2015-02-01,835.0,2015-09-01,974.5982606045698
2015-03-01,832.0,2015-10-01,960.275428510427
2015-04-01,838.0,2015-11-01,946.4402704935184
2015-05-01,992.0,2015-12-01,933.0671075684179
2015-06-01,1431.0,2016-01-01,920.132072667383
2015-07-01,1333.0,2016-02-01,907.6129515527341
2015-08-01,1311.0,2016-03-01,895.4890403401154
2015-09-01,1204.0,2016-04-01,883.7410176321393
2015-10-01,1287.0,2016-05-01,872.3508295337894
2015-11-01,729.0,2016-06-01,861.3015860517763
2015-12-01,1072.0,2016-07-01,850.5774675766814
2016-01-01,1081.0,2016-08-01,840.1636403146695
2016-02-01,1009.0,2016-09-01,830.046179679436
2016-03-01,997.0,2016-10-01,820.2120007786359
2016-04-01,940.0,2016-11-01,810.6487952354563
2016-05-01,979.0,2016-12-01,801.3449736778934
2016-06-01,1128.0,2017-01-01,792.2896133077957
2016-07-01,1016.0,2017-02-01,783.4724100307327
2016-08-01,945.0,2017-03-01,774.8836346877196
2016-09-01,904.0,2017-04-01,766.5140929820949
2016-10-01,592.0,2017-05-01,758.3550887404929
2016-11-01,961.0,2017-06-01,750.3983901867879
2016-12-01,911.0,2017-07-01,742.6361989429128
2017-01-01,781.0,2017-08-01,735.0611215012177
2017-02-01,788.0,2017-09-01,727.6661429401219
2017-03-01,819.0,2017-10-01,720.444602678688
2017-04-01,340.0,2017-11-01,713.3901720868517
2017-05-01,928.0,2017-12-01,706.4968337867059
2017-06-01,804.0,2018-01-01,699.7588624967921
2017-07-01,716.0,2018-02-01,693.1708072860433
2017-08-01,724.0,2018-03-01,686.727475117098
2017-09-01,705.0,2018-04-01,680.4239155703358
2017-10-01,631.0,2018-05-01,674.2554066503808
2017-11-01,711.0,2018-06-01,668.2174415860842
2017-12-01,725.0,2018-07-01,662.3057165433083
2018-01-01,643.0,2018-08-01,656.5161191772603
2018-02-01,605.0,2018-09-01,650.844717957802
2018-03-01,641.0,2018-10-01,645.2877522071526
2018-04-01,619.0,2018-11-01,639.8416227947909
2018-05-01,632.0,2018-12-01,634.5028834392205
2018-06-01,623.0,2019-01-01,629.2682325706386
2018-07-01,618.0,2019-02-01,624.1345057125037
2018-08-01,703.0,2019-03-01,619.0986683435676
2018-09-01,756.0,2019-04-01,614.1578092051745
2018-10-01,695.0,2019-05-01,609.3091340215569
2018-11-01,678.0,2019-06-01,604.5499596035176
2018-12-01,722.0,2019-07-01,599.8777083082975
2019-01-01,647.0,2019-08-01,595.2899028306247
2019-02-01,577.0,2019-09-01,590.7841613019315
2019-03-01,598.0,2019-10-01,586.3581926765514
2019-04-01,576.0,2019-11-01,582.0097923853547
2019-05-01,570.0,2019-12-01,577.7368382388004
2019-06-01,545.0,2020-01-01,573.537286562765
2019-07-01,565.0,2020-02-01,569.4091685517639
2019-08-01,563.0,2020-03-01,565.3505868253434
2019-09-01,531.0,2020-04-01,561.3597121744787
2019-10-01,531.0,2020-05-01,557.4347804857812
2019-11-01,521.0,2020-06-01,553.5740898322127
2019-12-01,536.0,2020-07-01,549.7759977198177
2020-01-01,526.0,2020-08-01,546.038918480739
2020-02-01,432.0,2020-09-01,542.3613208034743
2020-03-01,528.0,2020-10-01,538.7417253919648
2020-04-01,497.0,2020-11-01,535.1787027456933
2020-05-01,430.0,2020-12-01,531.6708710535135
2020-06-01,795.0,2021-01-01,528.2168941944258
2020-07-01,728.0,2021-02-01,524.8154798389803
2020-08-01,642.0,2021-03-01,521.4653776454074
2020-09-01,597.0,2021-04-01,518.1653775449765
2020-10-01,595.0,2021-05-01,514.9143081114416
2020-11-01,546.0,2021-06-01,511.71103500977273
2020-12-01,553.0,2021-07-01,508.5544595196825
2021-01-01,554.0,2021-08-01,505.44351712975083
2021-02-01,443.0,2021-09-01,502.37717619821206
2021-03-01,536.0,2021-10-01,499.3544366767257
2021-04-01,498.0,2021-11-01,496.37432889367955
2021-05-01,494.0,2021-12-01,493.435912393789
2021-06-01,460.0,2022-01-01,490.53827483096046
2021-07-01,449.0,2022-02-01,487.6805309115666
2021-08-01,432.0,2022-03-01,484.8618213854634
2021-09-01,458.0,2022-04-01,482.0813120822311
2021-10-01,451.0,2022-05-01,479.338192990281
2021-11-01,430.0,2022-06-01,476.6316773766037
2021-12-01,379.0,2022-07-01,473.96100094506863
2022-01-01,450.0,2022-08-01,471.3254210313089
