t,q,t_model,q_model
2008-05-01,0.0,2008-07-01,7226.976780988134
2008-06-01,538.0,2008-08-01,5703.312165715922
2008-07-01,7411.0,2008-09-01,4821.010645982846
2008-08-01,5478.0,2008-10-01,4231.658882645044
2008-09-01,4795.0,2008-11-01,3803.961585984564
2008-10-01,4084.0,2008-12-01,3476.2240488677294
2008-11-01,3600.0,2009-01-01,3215.2209361660084
2008-12-01,3444.0,2009-02-01,3001.3039595798496
2009-01-01,3256.0,2009-03-01,2822.0299941464364
2009-02-01,2782.0,2009-04-01,2669.0945477482364
2009-03-01,2914.0,2009-05-01,2536.7203252475433
2009-04-01,2504.0,2009-06-01,2420.750399305394
2009-05-01,2706.0,2009-07-01,2318.109045593014
2009-06-01,2390.0,2009-08-01,2226.4663558094207
2009-07-01,2407.0,2009-09-01,2144.0215641743935
2009-08-01,2265.0,2009-10-01,2069.3584908960393
2009-09-01,2187.0,2009-11-01,2001.3463903641868
2009-10-01,2189.0,2009-12-01,1939.0702827735545
2009-11-01,2033.0,2010-01-01,1881.7809539681743
2009-12-01,1889.0,2010-02-01,1828.858391222121
2010-01-01,1931.0,2010-03-01,1779.7845931267805
2010-02-01,1771.0,2010-04-01,1734.1230441740795
2010-03-01,1831.0,2010-05-01,1691.5030087797263
2010-04-01,1716.0,2010-06-01,1651.6073642604076
2010-05-01,1733.0,2010-07-01,1614.1630689810288
2010-06-01,1703.0,2010-08-01,1578.9336178360481
2010-07-01,1724.0,2010-09-01,1545.7130140864888
2010-08-01,1583.0,2010-10-01,1514.3209106808476
2010-09-01,1596.0,2010-11-01,1484.5986625214043
2010-10-01,1547.0,2010-12-01,1456.40609483641
2010-11-01,1577.0,2011-01-01,1429.618839312521
2010-12-01,1600.0,2011-02-01,1404.126123960922
2011-01-01,1456.0,2011-03-01,1379.8289282890391
2011-02-01,1262.0,2011-04-01,1356.6384346306072
2011-03-01,776.0,2011-05-01,1334.474721142286
2011-04-01,1692.0,2011-06-01,1313.2656532102587
2011-05-01,1460.0,2011-07-01,1292.9459386928893
2011-06-01,1504.0,2011-08-01,1273.4563191863788
2011-07-01,1127.0,2011-09-01,1254.7428748024226
2011-08-01,774.0,2011-10-01,1236.7564241329515
2011-09-01,1621.0,2011-11-01,1219.4520044031203
2011-10-01,1571.0,2011-12-01,1202.7884194724656
2011-11-01,1535.0,2012-01-01,1186.7278454816237
2011-12-01,1484.0,2012-02-01,1171.2354856697766
2012-01-01,1428.0,2012-03-01,1156.279267291833
2012-02-01,1284.0,2012-04-01,1141.8295747105933
2012-03-01,1226.0,2012-05-01,1127.859013679501
2012-04-01,1182.0,2012-06-01,1114.3422026064436
2012-05-01,1051.0,2012-07-01,1101.2555872303494
2012-06-01,991.0,2012-08-01,1088.5772756751892
2012-07-01,793.0,2012-09-01,1076.2868912905467
2012-08-01,1423.0,2012-10-01,1064.365441060161
2012-09-01,1270.0,2012-11-01,1052.7951976726904
2012-10-01,1135.0,2012-12-01,1041.559593612763
2012-11-01,1253.0,2013-01-01,1030.6431258536031
2012-12-01,1226.0,2013-02-01,1020.0312699220096
2013-01-01,1142.0,2013-03-01,1009.7104022677815
2013-02-01,997.0,2013-04-01,999.6677300074748
2013-03-01,1235.0,2013-05-01,989.8912272303525
2013-04-01,1164.0,2013-06-01,980.3695771557283
2013-05-01,1171.0,2013-07-01,971.0921195181501
2013-06-01,1085.0,2013-08-01,962.0488026321934
2013-07-01,853.0,2013-09-01,953.230139653818
2013-08-01,1183.0,2013-10-01,944.6271686117916
2013-09-01,844.0,2013-11-01,936.2314158318502
2013-10-01,949.0,2013-12-01,928.0348624191187
2013-11-01,978.0,2014-01-01,920.0299135017309
2013-12-01,1008.0,2014-02-01,912.2093699713511
2014-01-01,860.0,2014-03-01,904.5664024850144
2014-02-01,732.0,2014-04-01,897.094527517947
2014-03-01,1012.0,2014-05-01,889.7875852792507
2014-04-01,943.0,2014-06-01,882.6397193219391
2014-05-01,908.0,2014-07-01,875.6453576961246
2014-06-01,959.0,2014-08-01,868.7991955095047
2014-07-01,941.0,2014-09-01,862.0961787728736
2014-08-01,946.0,2014-10-01,855.5314894204771
2014-09-01,910.0,2014-11-01,849.1005314057626
2014-10-01,859.0,2014-12-01,842.7989177826512
2014-11-01,797.0,2015-01-01,836.6224586910064
2014-12-01,895.0,2015-02-01,830.5671501726003
2015-01-01,872.0,2015-03-01,824.6291637507219
2015-02-01,833.0,2015-04-01,818.8048367126888
2015-03-01,867.0,2015-05-01,813.0906630400282
2015-04-01,846.0,2015-06-01,807.4832849360273
2015-05-01,841.0,2015-07-01,801.9794849048077
2015-06-01,771.0,2015-08-01,796.5761783400775
2015-07-01,870.0,2015-09-01,791.2704065853344
2015-08-01,810.0,2015-10-01,786.0593304305594
2015-09-01,833.0,2015-11-01,780.940224013388
2015-10-01,758.0,2015-12-01,775.910469095428
2015-11-01,780.0,2016-01-01,770.96754968681
2015-12-01,782.0,2016-02-01,766.1090469942608
2016-01-01,787.0,2016-03-01,761.3326346699853
2016-02-01,732.0,2016-04-01,756.6360743404628
2016-03-01,782.0,2016-05-01,752.0172113959152
2016-04-01,743.0,2016-06-01,747.4739710227146
2016-05-01,763.0,2016-07-01,743.004354462371
2016-06-01,729.0,2016-08-01,738.6064354819998
2016-07-01,739.0,2016-09-01,734.278357042314
2016-08-01,732.0,2016-10-01,730.0183281502353
2016-09-01,730.0,2016-11-01,725.8246208841845
2016-10-01,393.0,2016-12-01,721.6955675809874
2016-11-01,781.0,2017-01-01,717.6295581741434
2016-12-01,744.0,2017-02-01,713.6250376739473
2017-01-01,659.0,2017-03-01,709.6805037806319
2017-02-01,673.0,2017-04-01,705.7945046223334
2017-03-01,732.0,2017-05-01,701.9656366102523
2017-04-01,732.0,2017-06-01,698.1925424039154
2017-05-01,695.0,2017-07-01,694.4739089799383
2017-06-01,757.0,2017-08-01,690.808465798136
2017-07-01,690.0,2017-09-01,687.1949830592462
2017-08-01,416.0,2017-10-01,683.6322700489195
2017-09-01,777.0,2017-11-01,680.119173562983
2017-10-01,789.0,2017-12-01,676.6545764093148
2017-11-01,735.0,2018-01-01,673.2373959819757
2017-12-01,698.0,2018-02-01,669.8665829035205
2018-01-01,655.0,2018-03-01,666.5411197316786
2018-02-01,654.0,2018-04-01,663.2600197268403
2018-03-01,697.0,2018-05-01,660.022325676998
2018-04-01,698.0,2018-06-01,656.8271087770182
2018-05-01,723.0,2018-07-01,653.6734675593035
2018-06-01,561.0,2018-08-01,650.5605268730874
2018-07-01,671.0,2018-09-01,647.4874369097778
2018-08-01,680.0,2018-10-01,644.4533722719191
2018-09-01,608.0,2018-11-01,641.457531083487
2018-10-01,613.0,2018-12-01,638.4991341393732
2018-11-01,620.0,2019-01-01,635.5774240920374
2018-12-01,574.0,2019-02-01,632.6916646734287
2019-01-01,711.0,2019-03-01,629.8411399503858
2019-02-01,562.0,2019-04-01,627.0251536118307
2019-03-01,531.0,2019-05-01,624.2430282861682
2019-04-01,590.0,2019-06-01,621.4941048873922
