t,q,t_model,q_model
2014-02-01,2862.0,2014-03-01,19975.147248221947
2014-03-01,19836.0,2014-04-01,13554.185155073252
2014-04-01,13239.0,2014-05-01,10344.755542367657
2014-05-01,12205.0,2014-06-01,8405.539879550688
2014-06-01,8037.0,2014-07-01,7101.408984828278
2014-07-01,6819.0,2014-08-01,6161.558953759928
2014-08-01,5877.0,2014-09-01,5450.582420556718
2014-09-01,4632.0,2014-10-01,4893.073851896439
2014-10-01,5003.0,2014-11-01,4443.630523111255
2014-11-01,4365.0,2014-12-01,4073.2417992557107
2014-12-01,4088.0,2015-01-01,3762.4833020148867
2015-01-01,3819.0,2015-02-01,3497.8477973111667
2015-02-01,3127.0,2015-03-01,3269.64455300873
2015-03-01,3206.0,2015-04-01,3070.735992460011
2015-04-01,2512.0,2015-05-01,2895.746031923364
2015-05-01,2766.0,2015-06-01,2740.5463992166624
2015-06-01,2523.0,2015-07-01,2601.9131912285347
2015-07-01,2555.0,2015-08-01,2477.291197532965
2015-08-01,2317.0,2015-09-01,2364.6284404024104
2015-09-01,2297.0,2015-10-01,2262.2576414498512
2015-10-01,2268.0,2015-11-01,2168.8097639654893
2015-11-01,2146.0,2015-12-01,2083.1499251014907
2015-12-01,2131.0,2016-01-01,2004.3291933553783
2016-01-01,2070.0,2016-02-01,1931.5478521982159
2016-02-01,1872.0,2016-03-01,1864.1270636867503
2016-03-01,1969.0,2016-04-01,1801.4867696261165
2016-04-01,1839.0,2016-05-01,1743.1282822855974
2016-05-01,1848.0,2016-06-01,1688.6204412482307
2016-06-01,1688.0,2016-07-01,1637.588510762958
2016-07-01,1686.0,2016-08-01,1589.70520371555
2016-08-01,1619.0,2016-09-01,1544.6833708252727
2016-09-01,1545.0,2016-10-01,1502.2700047919313
2016-10-01,1487.0,2016-11-01,1462.2412909795405
2016-11-01,1478.0,2016-12-01,1424.3984971505115
2016-12-01,1517.0,2017-01-01,1388.5645405464147
2017-01-01,1487.0,2017-02-01,1354.581105322169
2017-02-01,1283.0,2017-03-01,1322.3062098793334
2017-03-01,1402.0,2017-04-01,1291.6121440959712
2017-04-01,1325.0,2017-05-01,1262.383712329311
2017-05-01,1332.0,2017-06-01,1234.5167304827032
2017-06-01,1214.0,2017-07-01,1207.9167352003828
2017-07-01,1250.0,2017-08-01,1182.497870993674
2017-08-01,1199.0,2017-09-01,1158.1819272697396
2017-09-01,1210.0,2017-10-01,1134.8975021762897
2017-10-01,1174.0,2017-11-01,1112.5792741576272
2017-11-01,1220.0,2017-12-01,1091.1673653421742
2017-12-01,1259.0,2018-01-01,1070.6067835059655
2018-01-01,309.0,2018-02-01,1050.8469315023992
2018-02-01,1637.0,2018-03-01,1031.8411748108056
2018-03-01,1170.0,2018-04-01,1013.5464593099948
2018-04-01,1546.0,2018-05-01,995.9229725867688
2018-05-01,1263.0,2018-06-01,978.9338430903194
2018-06-01,1210.0,2018-07-01,962.5448722787868
2018-07-01,1297.0,2018-08-01,946.7242956039422
2018-08-01,1323.0,2018-09-01,931.4425687680665
2018-09-01,1147.0,2018-10-01,916.6721761830297
2018-10-01,1073.0,2018-11-01,902.3874589811869
2018-11-01,1002.0,2018-12-01,888.5644602837654
2018-12-01,1059.0,2019-01-01,875.1807857355219
2019-01-01,978.0,2019-02-01,862.215477573167
2019-02-01,860.0,2019-03-01,849.6489007165089
2019-03-01,898.0,2019-04-01,837.462639561366
2019-04-01,693.0,2019-05-01,825.6394043168455
2019-05-01,986.0,2019-06-01,814.1629458706926
2019-06-01,882.0,2019-07-01,803.0179782884347
2019-07-01,839.0,2019-08-01,792.1901081577922
2019-08-01,832.0,2019-09-01,781.6657700817186
2019-09-01,773.0,2019-10-01,771.4321677034119
2019-10-01,765.0,2019-11-01,761.4772197164411
2019-11-01,729.0,2019-12-01,751.789510374146
