t,q,t_model,q_model
2018-12-01,9642.0,2019-09-01,18314.711371482495
2019-01-01,15104.0,2019-10-01,13346.114061914159
2019-02-01,13043.0,2019-11-01,10240.821085390067
2019-03-01,20628.0,2019-12-01,8155.272128570271
2019-04-01,21315.0,2020-01-01,6678.7650816975465
2019-05-01,20998.0,2020-02-01,5590.4251883770585
2019-06-01,17560.0,2020-03-01,4762.235593370453
2019-07-01,15755.0,2020-04-01,4115.531906670288
2019-08-01,18063.0,2020-05-01,3599.650309985959
2019-09-01,17938.0,2020-06-01,3180.6756087035524
2019-10-01,13275.0,2020-07-01,2835.158293281745
2019-11-01,9757.0,2020-08-01,2546.4333641464304
2019-12-01,10671.0,2020-09-01,2302.3740910376323
2020-01-01,7725.0,2020-10-01,2093.9728222729063
2020-02-01,5908.0,2020-11-01,1914.4168753984004
2020-03-01,5503.0,2020-12-01,1758.4707054621213
2020-04-01,3593.0,2021-01-01,1622.0531019143798
2020-05-01,3549.0,2021-02-01,1501.9417895265146
2020-06-01,658.0,2021-03-01,1395.563175444087
2020-07-01,1013.0,2021-04-01,1300.8401763115273
2020-08-01,1052.0,2021-05-01,1216.0804009713393
2020-09-01,1147.0,2021-06-01,1139.8928466168763
2020-10-01,1246.0,2021-07-01,1071.125050986935
2020-11-01,1719.0,2021-08-01,1008.815126417466
2020-12-01,1698.0,2021-09-01,952.1547602828582
2021-01-01,1420.0,2021-10-01,900.4603926738963
2021-02-01,925.0,2021-11-01,853.1505586120865
2021-03-01,917.0,2021-12-01,809.7279248992812
2021-04-01,1324.0,2022-01-01,769.7649361065319
2021-05-01,1858.0,2022-02-01,732.8922597356077
2021-06-01,1354.0,2022-03-01,698.7894203063763
2021-07-01,772.0,2022-04-01,667.1771584176008
2021-08-01,1115.0,2022-05-01,637.8111590464265
2021-09-01,670.0,2022-06-01,610.4768741443063
2021-10-01,2043.0,2022-07-01,584.9852254295133
2021-11-01,724.0,2022-08-01,561.16901947052
2021-12-01,956.0,2022-09-01,538.8799424982624
2022-01-01,1097.0,2022-10-01,517.9860296249391
2022-02-01,635.0,2022-11-01,498.36952428594594
2022-03-01,666.0,2022-12-01,479.9250602337632
2022-04-01,456.0,2023-01-01,462.55811139104975
2022-05-01,701.0,2023-02-01,446.1836651315174
2022-06-01,809.0,2023-03-01,430.72508271588407
2022-07-01,1196.0,2023-04-01,416.11311713203605
2022-08-01,849.0,2023-05-01,402.28506382853584
2022-09-01,1169.0,2023-06-01,389.1840240613725
2022-10-01,451.0,2023-07-01,376.7582640056907
2022-11-01,515.0,2023-08-01,364.9606555805069
2022-12-01,611.0,2023-09-01,353.7481872225891
2023-01-01,634.0,2023-10-01,343.08153472577357
2023-02-01,488.0,2023-11-01,332.9246838128879
2023-03-01,516.0,2023-12-01,323.2445973916311
2023-04-01,501.0,2024-01-01,314.0109215129884
2023-05-01,526.0,2024-02-01,305.1957249407647
2023-06-01,447.0,2024-03-01,296.7732679855743
2023-07-01,310.0,2024-04-01,288.71979688182324
2023-08-01,491.0,2024-05-01,281.01336051273177
2023-09-01,750.0,2024-06-01,273.6336467331636
2023-10-01,796.0,2024-07-01,266.56183591677427
2023-11-01,400.0,2024-08-01,259.7804696740423
2023-12-01,646.0,2024-09-01,253.27333296038344
2024-01-01,1134.0,2024-10-01,247.02534802640167
2024-02-01,1555.0,2024-11-01,241.02247886171673
2024-03-01,1553.0,2024-12-01,235.25164495495443
2024-04-01,676.0,2025-01-01,229.70064333975117
2024-05-01,925.0,2025-02-01,224.35807802362137
2024-06-01,848.0,2025-03-01,219.21329600631833
2024-07-01,625.0,2025-04-01,214.25632918940784
2024-08-01,633.0,2025-05-01,209.47784156132596
2024-09-01,941.0,2025-06-01,204.86908111399796
2024-10-01,799.0,2025-07-01,200.4218360096808
2024-11-01,1381.0,2025-08-01,196.12839457134962
2024-12-01,1243.0,2025-09-01,191.9815087177664
2025-01-01,974.0,2025-10-01,187.97436050628966
2025-02-01,612.0,2025-11-01,184.1005314832853
,,2025-12-01,180.35397457438174
,,2026-01-01,176.7289882753331
,,2026-02-01,173.22019292943682
,,2026-03-01,169.82250889970413
,,2026-04-01,166.53113646368828
,,2026-05-01,163.34153727634722
,,2026-06-01,160.24941726183246
,,2026-07-01,157.2507108088944
,,2026-08-01,154.3415661568841
,,2026-09-01,151.5183318702873
,,2026-10-01,148.77754430951597
,,2026-11-01,146.1159160144305
,,2026-12-01,143.53032492490294
,,2027-01-01,141.01780436975216
,,2027-02-01,138.57553376168866
,,2027-03-01,136.20082994156917
,,2027-04-01,133.89113912036018
,,2027-05-01,131.6440293717981
,,2027-06-01,129.45718363287483
,,2027-07-01,127.32839317301374
,,2027-08-01,125.25555149617907
,,2027-09-01,123.23664864321523
,,2027-10-01,121.2697658644811
,,2027-11-01,119.35307063535095
,,2027-12-01,117.48481198943065
,,2028-01-01,115.66331614640362
,,2028-02-01,113.88698241330135
,,2028-03-01,112.15427933970346
,,2028-04-01,110.46374110892894
,,2028-05-01,108.81396414870149
,,2028-06-01,107.20360394606708
,,2028-07-01,105.63137205252539
,,2028-08-01,104.09603326641812
,,2028-09-01,102.59640298060684
,,2028-10-01,101.13134468437916
,,2028-11-01,99.69976760935145
,,2028-12-01,98.30062450989804
,,2029-01-01,96.9329095693347
,,2029-02-01,95.59565642372617
,,2029-03-01,94.2879362957773
,,2029-04-01,93.00885623180837
,,2029-05-01,91.75755743531596
,,2029-06-01,90.53321369107921
,,2029-07-01,89.33502987419561
,,2029-08-01,88.16224053882083
,,2029-09-01,87.01410858174853
,,2029-10-01,85.88992397629853
,,2029-11-01,84.78900257228989
,,2029-12-01,83.71068495816017
,,2030-01-01,82.6543353815557
,,2030-02-01,81.61934072496156
,,2030-03-01,80.60510953316569
,,2030-04-01,79.6110710895618
,,2030-05-01,78.63667453848932
,,2030-06-01,77.68138805098974
,,2030-07-01,76.74469803152559
,,2030-08-01,75.82610836336427
,,2030-09-01,74.92513969047413
,,2030-10-01,74.04132873391357
,,2030-11-01,73.17422764082087
,,2030-12-01,72.32340336422756
,,2031-01-01,71.48843707202818
,,2031-02-01,70.66892358353977
,,2031-03-01,69.86447083217908
,,2031-04-01,69.07469935287423
,,2031-05-01,68.29924179290911
,,2031-06-01,67.5377424449764
,,2031-07-01,66.78985680128629
,,2031-08-01,66.05525112764607
,,2031-09-01,65.33360205648763
,,2031-10-01,64.62459619787955
,,2031-11-01,63.9279297676148
,,2031-12-01,63.2433082315174
,,2032-01-01,62.570445965159365
,,2032-02-01,61.90906592822389
,,2032-03-01,61.25889935279499
,,2032-04-01,60.61968544489161
,,2032-05-01,59.99117109860318
,,2032-06-01,59.37311062221802
,,2032-07-01,58.76526547576915
,,2032-08-01,58.16740401945324
,,2032-09-01,57.57930127240734
,,2032-10-01,57.000738681355934
,,2032-11-01,56.431503898665866
,,2032-12-01,55.871390569372075
,,2033-01-01,55.320198126759
,,2033-02-01,54.77773159610463
,,2033-03-01,54.24380140621429
,,2033-04-01,53.71822320839036
,,2033-05-01,53.20081770250257
,,2033-06-01,52.69141046983977
