t,q,t_model,q_model
2014-04-01,7047.0,2016-05-01,5054.143206520976
2014-05-01,21899.0,2016-06-01,3287.6623976160868
2014-06-01,22611.0,2016-07-01,2623.27656409514
2014-07-01,21194.0,2016-08-01,2248.645878564816
2014-08-01,16371.0,2016-09-01,2000.1004186863652
2014-09-01,11162.0,2016-10-01,1819.722929852297
2014-10-01,10571.0,2016-11-01,1681.1058457443464
2014-11-01,8557.0,2016-12-01,1570.25784411469
2014-12-01,7937.0,2017-01-01,1478.9814575266573
2015-01-01,6586.0,2017-02-01,1402.1126055142422
2015-02-01,5593.0,2017-03-01,1336.2145001111119
2015-03-01,5248.0,2017-04-01,1278.8991796911578
2015-04-01,11147.0,2017-05-01,1228.4487504362965
2015-05-01,10396.0,2017-06-01,1183.5914514107214
2015-06-01,10146.0,2017-07-01,1143.3629009900826
2015-07-01,7931.0,2017-08-01,1107.0166975387174
2015-08-01,7130.0,2017-09-01,1073.9648817038276
2015-09-01,5981.0,2017-10-01,1043.7371439477095
2015-10-01,5449.0,2017-11-01,1015.9521781874427
2015-11-01,5730.0,2017-12-01,990.297125837813
2015-12-01,5088.0,2018-01-01,966.5125411045724
2016-01-01,4223.0,2018-02-01,944.3812060771322
2016-02-01,71.0,2018-03-01,923.719682145733
2016-03-01,1267.0,2018-04-01,904.3718401037272
2016-04-01,3780.0,2018-05-01,886.2038435013573
2016-05-01,5040.0,2018-06-01,869.1002145209196
2016-06-01,2927.0,2018-07-01,852.9607166665172
2016-07-01,3113.0,2018-08-01,837.6978610885841
2016-08-01,2946.0,2018-09-01,823.2348942385767
2016-09-01,2548.0,2018-10-01,809.5041607526571
2016-10-01,1716.0,2018-11-01,796.4457615691302
2016-11-01,1544.0,2018-12-01,784.00644634083
2016-12-01,1742.0,2019-01-01,772.1386932728707
2017-01-01,2028.0,2019-02-01,760.7999400135152
2017-02-01,555.0,2019-03-01,749.9519371356037
2017-03-01,570.0,2019-04-01,739.5602017609165
2017-04-01,898.0,2019-05-01,729.5935534934703
2017-05-01,999.0,2019-06-01,720.0237183952177
2017-06-01,860.0,2019-07-01,710.8249895172347
2017-07-01,834.0,2019-08-01,701.9739346807646
2017-08-01,785.0,2019-09-01,693.4491439258786
2017-09-01,576.0,2019-10-01,685.2310104158374
2017-10-01,700.0,2019-11-01,677.3015396814617
2017-11-01,628.0,2019-12-01,669.6441829718034
2017-12-01,703.0,2020-01-01,662.2436911909136
2018-01-01,739.0,2020-02-01,655.0859864807005
2018-02-01,622.0,2020-03-01,648.158048984011
2018-03-01,739.0,2020-04-01,641.4478167113591
2018-04-01,735.0,2020-05-01,634.9440967557912
2018-05-01,607.0,2020-06-01,628.6364863663108
2018-06-01,560.0,2020-07-01,622.5153026114664
2018-07-01,1074.0,2020-08-01,616.5715195493736
2018-08-01,1120.0,2020-09-01,610.7967119752294
2018-09-01,1026.0,2020-10-01,605.1830049475567
2018-10-01,933.0,2020-11-01,599.723028404316
2018-11-01,995.0,2020-12-01,594.4098762730716
2018-12-01,1100.0,2021-01-01,589.2370695584723
2019-01-01,1156.0,2021-02-01,584.1985229576771
2019-02-01,809.0,2021-03-01,579.288514611952
2019-03-01,987.0,2021-04-01,574.5016586520256
2019-04-01,1010.0,2021-05-01,569.8328802372234
2019-05-01,884.0,2021-06-01,565.2773928249686
2019-06-01,1000.0,2021-07-01,560.8306774388325
2019-07-01,729.0,2021-08-01,556.4884637306876
2019-08-01,924.0,2021-09-01,552.2467126562767
2019-09-01,1096.0,2021-10-01,548.1016006041924
2019-10-01,659.0,2021-11-01,544.049504836297
2019-11-01,806.0,2021-12-01,540.0869901133831
2019-12-01,971.0,2022-01-01,536.2107963936802
2020-01-01,876.0,2022-02-01,532.4178275039428
2020-02-01,781.0,2022-03-01,528.705140693509
2020-03-01,938.0,2022-04-01,525.0699369911172
2020-04-01,711.0,2022-05-01,521.509552292565
2020-05-01,780.0,2022-06-01,518.021449114619
2020-06-01,716.0,2022-07-01,514.6032089570962
2020-07-01,843.0,2022-08-01,511.25252522079063
2020-08-01,746.0,2022-09-01,507.96719663405855
2020-09-01,836.0,2022-10-01,504.74512114542694
2020-10-01,620.0,2022-11-01,501.58429024367257
2020-11-01,702.0,2022-12-01,498.4827836704449
2020-12-01,639.0,2023-01-01,495.43876449376455
2021-01-01,189.0,2023-02-01,492.4504745136352
2021-02-01,379.0,2023-03-01,489.5162299736279
2021-03-01,639.0,2023-04-01,486.634417554635
2021-04-01,722.0,2023-05-01,483.80349062910796
2021-05-01,1134.0,2023-06-01,481.02196575599254
2021-06-01,1189.0,2023-07-01,478.2884193982888
2021-07-01,869.0,2023-08-01,475.60148484671134
2021-08-01,673.0,2023-09-01,472.9598493343272
2021-09-01,554.0,2023-10-01,470.3622513283104
2021-10-01,629.0,2023-11-01,467.8074779861062
2021-11-01,593.0,2023-12-01,465.2943627643325
2021-12-01,594.0,2024-01-01,462.82178316969777
2022-01-01,548.0,2024-02-01,460.38865864206866
2022-02-01,417.0,2024-03-01,457.99394856060775
2022-03-01,509.0,2024-04-01,455.6366503646105
2022-04-01,564.0,2024-05-01,453.3157977813246
2022-05-01,460.0,2024-06-01,451.030459153623
2022-06-01,509.0,2024-07-01,448.7797358609501
2022-07-01,518.0,2024-08-01,446.56276082745154
2022-08-01,296.0,2024-09-01,444.37869711165433
2022-09-01,502.0,2024-10-01,442.2267365724805
2022-10-01,465.0,2024-11-01,440.10609860675623
2022-11-01,562.0,2024-12-01,438.01602895373304
2022-12-01,555.0,2025-01-01,435.9557985624538
2023-01-01,397.0,2025-02-01,433.924702518098
2023-02-01,440.0,2025-03-01,431.9220590237077
2023-03-01,163.0,2025-04-01,429.94720843395004
2023-04-01,62.0,2025-05-01,427.9995123378016
2023-05-01,508.0,2025-06-01,426.0783526872528
2023-06-01,17.0,2025-07-01,424.18313096932803
2023-07-01,804.0,2025-08-01,422.3132674188996
2023-08-01,595.0,2025-09-01,420.4682002699397
2023-09-01,332.0,2025-10-01,418.6473850430114
2023-10-01,582.0,2025-11-01,416.85029386694436
2023-11-01,87.0,2025-12-01,415.0764148327714
2023-12-01,736.0,2026-01-01,413.3252513781303
2024-01-01,408.0,2026-02-01,411.5963217004447
2024-02-01,426.0,2026-03-01,409.88915819730846
2024-03-01,193.0,2026-04-01,408.2033069325946
2024-04-01,186.0,2026-05-01,406.5383271269035
2024-05-01,627.0,2026-06-01,404.8937906710476
2024-06-01,350.0,2026-07-01,403.26928166135446
2024-07-01,394.0,2026-08-01,401.6643959556373
2024-08-01,270.0,2026-09-01,400.0787407487586
,,2026-10-01,398.5119341667706
,,2026-11-01,396.96360487867963
,,2026-12-01,395.43339172493813
,,2027-01-01,393.9209433618166
,,2027-02-01,392.42591792086137
,,2027-03-01,390.9479826826862
,,2027-04-01,389.486813764391
,,2027-05-01,388.04209581993865
,,2027-06-01,386.61352175286055
,,2027-07-01,385.2007924406955
,,2027-08-01,383.80361647059937
,,2027-09-01,382.42170988559417
,,2027-10-01,381.05479594095493
,,2027-11-01,379.70260487025735
,,2027-12-01,378.36487366063875
,,2028-01-01,377.04134583684424
,,2028-02-01,375.73177125365714
,,2028-03-01,374.43590589632987
,,2028-04-01,373.1535116886543
,,2028-05-01,371.8843563083278
,,2028-06-01,370.62821300928994
,,2028-07-01,369.3848604507198
,,2028-08-01,368.1540825324024
,,2028-09-01,366.93566823618374
,,2028-10-01,365.729411473252
,,2028-11-01,364.53511093699154
,,2028-12-01,363.3525699611731
,,2029-01-01,362.18159638325034
,,2029-02-01,361.0220024125495
,,2029-03-01,359.8736045031445
,,2029-04-01,358.73622323122254
,,2029-05-01,357.60968317675406
,,2029-06-01,356.49381280928947
,,2029-07-01,355.38844437771326
,,2029-08-01,354.29341380379526
,,2029-09-01,353.2085605793841
,,2029-10-01,352.1337276670979
,,2029-11-01,351.0687614043713
,,2029-12-01,350.01351141072627
,,2030-01-01,348.9678304981391
,,2030-02-01,347.93157458438213
,,2030-03-01,346.90460260922407
,,2030-04-01,345.8867764533789
,,2030-05-01,344.8779608600962
,,2030-06-01,343.8780233592927
,,2030-07-01,342.88683419412774
,,2030-08-01,341.90426624993063
,,2030-09-01,340.9301949853906
,,2030-10-01,339.9644983659255
,,2030-11-01,339.00705679914773
,,2030-12-01,338.0577530723497
,,2031-01-01,337.1164722919352
,,2031-02-01,336.1831018247243
,,2031-03-01,335.257531241065
,,2031-04-01,334.33965225968524
,,2031-05-01,333.4293586942234
,,2031-06-01,332.5265464013765
,,2031-07-01,331.6311132306091
,,2031-08-01,330.7429589753679
,,2031-09-01,329.86198532574804
,,2031-10-01,328.98809582256126
,,2031-11-01,328.1211958127569
,,2031-12-01,327.2611924061486
,,2032-01-01,326.4079944334018
,,2032-02-01,325.56151240523917
,,2032-03-01,324.7216584728223
,,2032-04-01,323.8883463892692
,,2032-05-01,323.0614914722705
,,2032-06-01,322.2410105677663
,,2032-07-01,321.4268220146487
,,2032-08-01,320.61884561045656
,,2032-09-01,319.8170025780285
,,2032-10-01,319.0212155330837
,,2032-11-01,318.2314084526994
,,2032-12-01,317.4475066446567
