t,q,t_model,q_model
2021-10-01,13769.0,2022-01-01,19994.118930620734
2021-11-01,22556.0,2022-02-01,10608.050022870299
2021-12-01,25704.0,2022-03-01,7656.239666874799
2022-01-01,19812.0,2022-04-01,6137.191176740049
2022-02-01,11869.0,2022-05-01,5190.398696971045
2022-03-01,8247.0,2022-06-01,4535.225157508314
2022-04-01,6526.0,2022-07-01,4050.7608899936267
2022-05-01,321.0,2022-08-01,3675.6877228580297
2022-06-01,4151.0,2022-09-01,3375.3417671987786
2022-07-01,3577.0,2022-10-01,3128.5378120767364
2022-08-01,2727.0,2022-11-01,2921.542753589552
2022-09-01,3421.0,2022-12-01,2745.033847870947
2022-10-01,6229.0,2023-01-01,2592.4427049346896
2022-11-01,3772.0,2023-02-01,2458.9977496448487
2022-12-01,3013.0,2023-03-01,2341.1426689779055
2023-01-01,3184.0,2023-04-01,2236.168467488603
2023-02-01,706.0,2023-05-01,2141.9724759685705
2023-03-01,6635.0,2023-06-01,2056.8957569665877
2023-04-01,1574.0,2023-07-01,1979.610544080324
2023-05-01,1657.0,2023-08-01,1909.0405420381724
2023-06-01,1621.0,2023-09-01,1844.3033591762592
2023-07-01,1756.0,2023-10-01,1784.6681826727615
2023-08-01,2022.0,2023-11-01,1729.5241625031263
2023-09-01,1908.0,2023-12-01,1678.3564543077164
2023-10-01,1060.0,2024-01-01,1630.7278289695435
2023-11-01,947.0,2024-02-01,1586.2643878635713
2023-12-01,1323.0,2024-03-01,1544.6443468636073
2024-01-01,2092.0,2024-04-01,1505.5891422525076
2024-02-01,2270.0,2024-05-01,1468.856313271261
2024-03-01,1993.0,2024-06-01,1434.2337582307177
2024-04-01,1772.0,2024-07-01,1401.5350627736257
2024-05-01,396.0,2024-08-01,1370.5956724836938
2024-06-01,933.0,2024-09-01,1341.2697359595268
2024-07-01,2368.0,2024-10-01,1313.4274844008014
2024-08-01,1522.0,2024-11-01,1286.9530436228727
,,2024-12-01,1261.7425969709839
,,2025-01-01,1237.702834788606
,,2025-02-01,1214.7496392945834
,,2025-03-01,1192.8069639434632
,,2025-04-01,1171.8058743140623
,,2025-05-01,1151.6837238311523
,,2025-06-01,1132.3834425737634
,,2025-07-01,1113.8529213600495
,,2025-08-01,1096.044476448415
,,2025-09-01,1078.9143827291011
,,2025-10-01,1062.4224653306735
,,2025-11-01,1046.5317412328193
,,2025-12-01,1031.208103838748
,,2026-01-01,1016.4200445782789
,,2026-02-01,1002.1384065341733
,,2026-03-01,988.3361658471326
,,2026-04-01,974.9882372889565
,,2026-05-01,962.0713009224562
,,2026-06-01,949.563647209826
,,2026-07-01,937.4450383036207
,,2026-08-01,925.6965835685754
,,2026-09-01,914.30062764828
,,2026-10-01,903.2406496163095
,,2026-11-01,892.5011719434704
,,2026-12-01,882.067678176832
,,2027-01-01,871.9265383666444
,,2027-02-01,862.0649413978263
,,2027-03-01,852.4708334865273
,,2027-04-01,843.1328621918567
,,2027-05-01,834.0403253704001
,,2027-06-01,825.1831245683791
,,2027-07-01,816.5517224047484
,,2027-08-01,808.1371035494462
,,2027-09-01,799.9307389454641
,,2027-10-01,791.9245529622988
,,2027-11-01,784.1108932024451
,,2027-12-01,776.4825027125421
,,2028-01-01,769.0324943771391
,,2028-02-01,761.7543272962996
,,2028-03-01,754.6417849687817
,,2028-04-01,747.6889551207049
,,2028-05-01,740.8902110357125
,,2028-06-01,734.2401942569344
,,2028-07-01,727.7337985437672
,,2028-08-01,721.3661549778094
,,2028-09-01,715.1326181223891
,,2028-10-01,709.0287531491435
,,2028-11-01,703.0503238531824
,,2028-12-01,697.193281485591
,,2029-01-01,691.4537543385266
,,2029-02-01,685.8280380239773
,,2029-03-01,680.3125863925044
,,2029-04-01,674.9040030429998
,,2029-05-01,669.5990333787568
,,2029-06-01,664.3945571689876
,,2029-07-01,659.2875815784013
,,2029-08-01,654.2752346305956
,,2029-09-01,649.3547590738668
,,2029-10-01,644.5235066206262
,,2029-11-01,639.778932533954
,,2029-12-01,635.1185905369587
,,2030-01-01,630.5401280225474
,,2030-02-01,626.0412815429794
,,2030-03-01,621.6198725601884
,,2030-04-01,617.2738034393282
,,2030-05-01,613.0010536693397
,,2030-06-01,608.7996762955673
,,2030-07-01,604.667794550572
,,2030-08-01,600.603598670325
,,2030-09-01,596.605342883903
,,2030-10-01,592.6713425656769
,,2030-11-01,588.79997153978
,,2030-12-01,584.9896595273691
,,2031-01-01,581.2388897278735
,,2031-02-01,577.5461965260344
,,2031-03-01,573.9101633171175
,,2031-04-01,570.3294204432019
,,2031-05-01,566.8026432339359
,,2031-06-01,563.3285501455964
,,2031-07-01,559.9059009927067
,,2031-08-01,556.5334952668461
,,2031-09-01,553.2101705376401
,,2031-10-01,549.934800931251
,,2031-11-01,546.7062956819884
,,2031-12-01,543.523597752945
,,2032-01-01,540.385682521821
,,2032-02-01,537.2915565283462
,,2032-03-01,534.2402562799338
,,2032-04-01,531.2308471124084
,,2032-05-01,528.2624221028464
,,2032-06-01,525.3341010317504
,,2032-07-01,522.4450293919448
,,2032-08-01,519.5943774417411
,,2032-09-01,516.7813393000648
,,2032-10-01,514.0051320813764
,,2032-11-01,511.2649950683425
,,2032-12-01,508.5601889203389
