t,q,t_model,q_model
2023-01-01,890.0,2023-03-01,3315.6664925972987
2023-02-01,375.0,2023-04-01,1847.1624204503048
2023-03-01,3254.0,2023-05-01,1266.1875346738918
2023-04-01,2099.0,2023-06-01,957.532284607698
2023-05-01,1404.0,2023-07-01,767.0017791997043
2023-06-01,844.0,2023-08-01,638.0763497558072
2023-07-01,518.0,2023-09-01,545.236895987722
2023-08-01,187.0,2023-10-01,475.30509738787475
2023-09-01,562.0,2023-11-01,420.80103064515947
2023-10-01,263.0,2023-12-01,377.1695249997591
2023-11-01,320.0,2024-01-01,341.48091724544753
2023-12-01,718.0,2024-02-01,311.7669780435234
2024-01-01,358.0,2024-03-01,286.6573474889087
2024-02-01,364.0,2024-04-01,265.16910400732286
2024-03-01,288.0,2024-05-01,246.57922834473248
2024-04-01,328.0,2024-06-01,230.34425267368889
2024-05-01,299.0,2024-07-01,216.0479333092874
2024-06-01,265.0,2024-08-01,203.36618384972437
2024-07-01,234.0,2024-09-01,192.04298037431957
2024-08-01,277.0,2024-10-01,181.87343685978823
2024-09-01,252.0,2024-11-01,172.69168218502338
2024-10-01,289.0,2024-12-01,164.36202323109788
2024-11-01,238.0,2025-01-01,156.77240115184475
2024-12-01,271.0,2025-02-01,149.8294762609499
2025-01-01,245.0,2025-03-01,143.45488811838499
2025-02-01,187.0,2025-04-01,137.5823760071808
,,2025-05-01,132.15553772073537
,,2025-06-01,127.12606769602576
,,2025-07-01,122.45235917140953
,,2025-08-01,118.0983856687785
,,2025-09-01,114.03279887482287
,,2025-10-01,110.2281956745108
,,2025-11-01,106.66051850981918
,,2025-12-01,103.30856164495906
,,2026-01-01,100.15356217265945
,,2026-02-01,97.17885929074814
,,2026-03-01,94.3696089340443
,,2026-04-01,91.71254356218567
,,2026-05-01,89.19576899423893
,,2026-06-01,86.80859180170873
,,2026-07-01,84.5413720370922
,,2026-08-01,82.38539706981793
,,2026-09-01,80.33277308812264
,,2026-10-01,78.37633145134525
,,2026-11-01,76.50954757793019
,,2026-12-01,74.72647045729747
,,2027-01-01,73.02166119946979
,,2027-02-01,71.3901393010045
,,2027-03-01,69.82733552181519
,,2027-04-01,68.32905044460216
,,2027-05-01,66.89141793447048
,,2027-06-01,65.51087283690957
,,2027-07-01,64.1841223524075
,,2027-08-01,62.908120609372524
,,2027-09-01,61.68004602676979
,,2027-10-01,60.497281116394426
,,2027-11-01,59.35739442396395
,,2027-12-01,58.258124349817095
,,2028-01-01,57.19736462525432
,,2028-02-01,56.17315125050588
,,2028-03-01,55.183650725836245
,,2028-04-01,54.22714942910443
,,2028-05-01,53.30204401178758
,,2028-06-01,52.40683270152903
,,2028-07-01,51.54010741309782
,,2028-08-01,50.70054658158244
,,2028-09-01,49.88690864196959
,,2028-10-01,49.098026088216564
,,2028-11-01,48.33280005271153
,,2028-12-01,47.59019535379842
,,2029-01-01,46.86923596496243
,,2029-02-01,46.16900086444994
,,2029-03-01,45.48862022863405
,,2029-04-01,44.82727193642008
,,2029-05-01,44.18417835548998
,,2029-06-01,43.558603384271734
,,2029-07-01,42.949849726245674
,,2029-08-01,42.35725637560963
,,2029-09-01,41.78019629545898
,,2029-10-01,41.21807427153119
,,2029-11-01,40.67032492624684
,,2029-12-01,40.13641087927581
,,2030-01-01,39.615821042191335
,,2030-02-01,39.108069035965336
,,2030-03-01,38.612691721121905
,,2030-04-01,38.12924783131847
,,2030-05-01,37.65731670197713
,,2030-06-01,37.1964970863542
,,2030-07-01,36.74640605212418
,,2030-08-01,36.30667795217273
,,2030-09-01,35.87696346385107
,,2030-10-01,35.45692869144623
,,2030-11-01,35.04625432707564
,,2030-12-01,34.64463486562475
,,2031-01-01,34.25177786971696
,,2031-02-01,33.86740328104171
,,2031-03-01,33.49124277467101
,,2031-04-01,33.123039153271726
,,2031-05-01,32.76254577837193
,,2031-06-01,32.40952603606853
,,2031-07-01,32.06375283477153
,,2031-08-01,31.725008132769986
,,2031-09-01,31.3930824935778
,,2031-10-01,31.067774667175392
,,2031-11-01,30.748891195408014
,,2031-12-01,30.436246039933135
,,2032-01-01,30.12966023123063
,,2032-02-01,29.828961537299932
,,2032-03-01,29.53398415077035
,,2032-04-01,29.244568393243444
,,2032-05-01,28.960560435772543
,,2032-06-01,28.681812034462737
,,2032-07-01,28.408180280247564
,,2032-08-01,28.139527361964728
,,2032-09-01,27.875720341915255
,,2032-10-01,27.61663094314648
,,2032-11-01,27.36213534775209
,,2032-12-01,27.112114005530255
,,2033-01-01,26.866451452385743
,,2033-02-01,26.62503613790299
,,2033-03-01,26.38776026155525
,,2033-04-01,26.154519617050365
,,2033-05-01,25.92521344434619
,,2033-06-01,25.699744288899264
