t,q,t_model,q_model
2019-06-01,14008.0,2021-09-01,10966.101949520287
2019-07-01,22071.0,2021-10-01,9061.806453273872
2019-08-01,28446.0,2021-11-01,7566.034805149977
2019-09-01,23214.0,2021-12-01,6376.038234319361
2019-10-01,25565.0,2022-01-01,5418.365706761641
2019-11-01,17337.0,2022-02-01,4639.610278816578
2019-12-01,17837.0,2022-03-01,4000.3387499655546
2020-01-01,14812.0,2022-04-01,3471.027063405633
2020-02-01,9803.0,2022-05-01,3029.287669418733
2020-03-01,6120.0,2022-06-01,2657.9459068687897
2020-04-01,3587.0,2022-07-01,2343.684600249845
2020-05-01,3310.0,2022-08-01,2076.0753545469147
2020-06-01,3047.0,2022-09-01,1846.8770937284507
2020-07-01,2469.0,2022-10-01,1649.5219274581543
2020-08-01,2509.0,2022-11-01,1478.7340634179454
2020-09-01,2241.0,2022-12-01,1330.2443708330914
2020-10-01,1928.0,2023-01-01,1200.574495513831
2020-11-01,1384.0,2023-02-01,1086.8720865321998
2020-12-01,1564.0,2023-03-01,986.7839572599452
2021-01-01,1377.0,2023-04-01,898.3576632919151
2021-02-01,1019.0,2023-05-01,819.9645540444366
2021-03-01,1418.0,2023-06-01,750.2391849696651
2021-04-01,1398.0,2023-07-01,688.0312915928456
2021-05-01,687.0,2023-08-01,632.3674793554429
2021-06-01,1066.0,2023-09-01,582.4204801618354
2021-07-01,1477.0,2023-10-01,537.4843406167251
2021-08-01,2733.0,2023-11-01,496.95428921350856
2021-09-01,11606.0,2023-12-01,460.31031615528985
2021-10-01,9073.0,2024-01-01,427.1037156469096
2021-11-01,5167.0,2024-02-01,396.9460047479573
2021-12-01,6587.0,2024-03-01,369.4997585046816
2022-01-01,6111.0,2024-04-01,344.4709977652863
2022-02-01,5037.0,2024-05-01,321.6028409390157
2022-03-01,5514.0,2024-06-01,300.6701892437155
2022-04-01,3473.0,2024-07-01,281.4752606148436
2022-05-01,3936.0,2024-08-01,263.8438233555376
2022-06-01,2805.0,2024-09-01,247.62200900468537
2022-07-01,1879.0,2024-10-01,232.67360646600946
2022-08-01,1596.0,2024-11-01,218.8777574558034
2022-09-01,1040.0,2024-12-01,206.12698777165153
2022-10-01,1399.0,2025-01-01,194.3255205158395
2022-11-01,1064.0,2025-02-01,183.38782681141302
2022-12-01,1199.0,2025-03-01,173.2373771823216
2023-01-01,746.0,2025-04-01,163.80556298868407
2023-02-01,993.0,2025-05-01,155.030762394351
2023-03-01,1097.0,2025-06-01,146.857529517827
2023-04-01,809.0,2025-07-01,139.2358888545459
2023-05-01,494.0,2025-08-01,132.12071989788143
2023-06-01,331.0,2025-09-01,125.4712192394771
2023-07-01,535.0,2025-10-01,119.25042938573466
2023-08-01,664.0,2025-11-01,113.42482515840474
2023-09-01,884.0,2025-12-01,107.96394991114285
2023-10-01,754.0,2026-01-01,102.84009493757435
2023-11-01,687.0,2026-02-01,98.02801640801195
2023-12-01,614.0,2026-03-01,93.50468498259441
2024-01-01,698.0,2026-04-01,89.24906393371613
2024-02-01,450.0,2026-05-01,85.24191219104911
2024-03-01,768.0,2026-06-01,81.46560921540339
2024-04-01,667.0,2026-07-01,77.90399902728467
2024-05-01,464.0,2026-08-01,74.54225107400735
2024-06-01,386.0,2026-09-01,71.3667359253319
2024-07-01,273.0,2026-10-01,68.36491404988655
2024-08-01,390.0,2026-11-01,65.52523614986255
,,2026-12-01,62.837053725251955
,,2027-01-01,60.29053870595928
,,2027-02-01,57.876611134418575
,,2027-03-01,55.58687400622124
,,2027-04-01,53.41355448452215
,,2027-05-01,51.34945079801426
,,2027-06-01,49.387884214066474
,,2027-07-01,47.52265554990769
,,2027-08-01,45.74800574697119
,,2027-09-01,44.058580087923524
,,2027-10-01,42.44939568354966
,,2027-11-01,40.91581189845687
,,2027-12-01,39.453503421266554
,,2028-01-01,38.05843571725435
,,2028-02-01,36.72684262984471
,,2028-03-01,35.45520592246044
,,2028-04-01,34.24023657439573
,,2028-05-01,33.07885766399012
,,2028-06-01,31.96818868975036
,,2028-07-01,30.90553119546998
,,2028-08-01,29.888355579075775
,,2028-09-01,28.914288977091715
,,2028-10-01,27.981104127436666
,,2028-11-01,27.086709122920716
,,2028-12-01,26.229137976413316
,,2029-01-01,25.406541926346847
,,2029-02-01,24.617181418095726
,,2029-03-01,23.859418702927712
,,2029-04-01,23.131711001741785
,,2029-05-01,22.432604185756674
,,2029-06-01,21.760726930759663
,,2029-07-01,21.11478530552181
,,2029-08-01,20.493557758581737
,,2029-09-01,19.895890470839642
,,2029-10-01,19.320693044323633
,,2029-11-01,18.766934500126332
,,2029-12-01,18.233639560890605
,,2030-01-01,17.71988519537543
,,2030-02-01,17.224797404581345
,,2030-03-01,16.74754823067867
,,2030-04-01,16.287352971581072
,,2030-05-01,15.843467585457942
,,2030-06-01,15.415186270796447
,,2030-07-01,15.001839208821352
,,2030-08-01,14.60279045616935
,,2030-09-01,14.21743597670598
,,2030-10-01,13.845201802275632
,,2030-11-01,13.485542312998204
,,2030-12-01,13.137938628476729
,,2031-01-01,12.801897101965569
,,2031-02-01,12.476947910175076
,,2031-03-01,12.162643731960916
,,2031-04-01,11.858558509670312
,,2031-05-01,11.564286287396698
,,2031-06-01,11.279440120833877
,,2031-07-01,11.00365105382337
,,2031-08-01,10.736567157058312
,,2031-09-01,10.477852624746324
,,2031-10-01,10.227186925345457
,,2031-11-01,9.984264002773754
,,2031-12-01,9.748791524756259
,,2032-01-01,9.520490175215812
,,2032-02-01,9.29909298783719
,,2032-03-01,9.084344718139892
,,2032-04-01,8.876001251584324
,,2032-05-01,8.673829045411356
,,2032-06-01,8.477604602076394
,,2032-07-01,8.287113972288427
,,2032-08-01,8.102152285802262
,,2032-09-01,7.922523308239479
,,2032-10-01,7.748039022331552
,,2032-11-01,7.578519232087648
,,2032-12-01,7.413791188490572
