t,q,t_model,q_model
2018-06-01,1600.0,2019-03-01,650.6158522287149
2018-07-01,719.0,2019-04-01,390.92567583268084
2018-08-01,431.0,2019-05-01,303.59984520859524
2018-09-01,315.0,2019-06-01,256.2443586044564
2018-10-01,286.0,2019-07-01,225.50653481021675
2018-11-01,187.0,2019-08-01,203.52339846633174
2018-12-01,204.0,2019-09-01,186.8110497392029
2019-01-01,160.0,2019-10-01,173.55905872134227
2019-02-01,80.0,2019-11-01,162.72175500197199
2019-03-01,675.0,2019-12-01,153.6477098744882
2019-04-01,260.0,2020-01-01,145.90728579850884
2019-05-01,300.0,2020-02-01,139.2042020842007
2019-06-01,237.0,2020-03-01,133.3266806247856
2019-07-01,285.0,2020-04-01,128.11881347636353
2019-08-01,181.0,2020-05-01,123.46295383690855
2019-09-01,217.0,2020-06-01,119.26844380371796
2019-10-01,185.0,2020-07-01,115.46415000493765
2019-11-01,170.0,2020-08-01,111.9933752153986
2019-12-01,235.0,2020-09-01,108.81030128000774
2020-01-01,179.0,2020-10-01,105.8774471305743
2020-02-01,154.0,2020-11-01,103.1638165375648
2020-03-01,232.0,2020-12-01,100.64352488817367
2020-04-01,169.0,2021-01-01,98.29476520547084
2020-05-01,294.0,2021-02-01,96.09901865718543
2020-06-01,56.0,2021-03-01,94.04044407344117
2020-07-01,176.0,2021-04-01,92.10540042254603
2020-08-01,103.0,2021-05-01,90.28206933947357
2020-09-01,180.0,2021-06-01,88.56015385107708
2020-10-01,60.0,2021-07-01,86.93063577123476
2020-11-01,129.0,2021-08-01,85.38557873060165
2020-12-01,96.0,2021-09-01,83.9179670360096
2021-01-01,104.0,2021-10-01,82.52157290684987
2021-02-01,76.0,2021-11-01,81.190846368443
2021-03-01,7.0,2021-12-01,79.92082337235648
2021-04-01,193.0,2022-01-01,78.70704868358686
2021-05-01,88.0,2022-02-01,77.54551081067292
2021-06-01,0.0,2022-03-01,76.43258681838917
2021-07-01,191.0,2022-04-01,75.36499529767885
2021-08-01,46.0,2022-05-01,74.3397561058391
2021-09-01,120.0,2022-06-01,73.35415575505908
2021-10-01,65.0,2022-07-01,72.40571753651916
2021-11-01,0.0,2022-08-01,71.49217563327748
2021-12-01,106.0,2022-09-01,70.61145260778561
2022-01-01,56.0,2022-10-01,69.76163975642345
2022-02-01,53.0,2022-11-01,68.94097990952243
2022-03-01,64.0,2022-12-01,68.14785232525044
2022-04-01,47.0,2023-01-01,67.38075938278668
2022-05-01,63.0,2023-02-01,66.63831482700162
2022-06-01,53.0,2023-03-01,65.91923335539943
2022-07-01,55.0,2023-04-01,65.22232136996729
2022-08-01,64.0,2023-05-01,64.54646874306762
2022-09-01,130.0,2023-06-01,63.89064146860429
2022-10-01,3.0,2023-07-01,63.25387508819308
2022-11-01,62.0,2023-08-01,62.63526879761127
2022-12-01,65.0,2023-09-01,62.03398015190873
2023-01-01,69.0,2023-10-01,61.44922029865267
2023-02-01,58.0,2023-11-01,60.880249678191184
2023-03-01,56.0,2023-12-01,60.32637413783496
2023-04-01,64.0,2024-01-01,59.78694141370098
2023-05-01,55.0,2024-02-01,59.26133793982297
2023-06-01,39.0,2024-03-01,58.74898594916782
2023-07-01,58.0,2024-04-01,58.24934083553182
2023-08-01,49.0,2024-05-01,57.76188874903278
2023-09-01,105.0,2024-06-01,57.286144401153415
2023-10-01,22.0,2024-07-01,56.82164905810138
2023-11-01,0.0,2024-08-01,56.367968703695254
2023-12-01,100.0,2024-09-01,55.92469235511532
2024-01-01,37.0,2024-10-01,55.49143051671914
2024-02-01,62.0,2024-11-01,55.06781375874965
2024-03-01,43.0,2024-12-01,54.653491409192554
2024-04-01,45.0,2025-01-01,54.24813034829501
2024-05-01,40.0,2025-02-01,53.85141389636301
2024-06-01,32.0,2025-03-01,53.46304078643043
2024-07-01,31.0,2025-04-01,53.08272421425437
2024-08-01,23.0,2025-05-01,52.710190958855016
2024-09-01,84.0,2025-06-01,52.345180567494985
2024-10-01,35.0,2025-07-01,51.98744459959436
2024-11-01,13.0,2025-08-01,51.63674592461307
2024-12-01,6.0,2025-09-01,51.2928580694088
2025-01-01,40.0,2025-10-01,50.95556461100489
2025-02-01,29.0,2025-11-01,50.62465861108247
,,2025-12-01,50.29994208885259
,,2026-01-01,49.981225529269096
,,2026-02-01,49.668327423817175
,,2026-03-01,49.36107384135951
,,2026-04-01,49.05929802674321
,,2026-05-01,48.76284002507134
,,2026-06-01,48.47154632972294
,,2026-07-01,48.18526955236877
,,2026-08-01,47.903868113377435
,,2026-09-01,47.62720595114021
,,2026-10-01,47.355152248964075
,,2026-11-01,47.0875811782924
,,2026-12-01,46.82437165711278
,,2027-01-01,46.565407122502144
,,2027-02-01,46.31057531634265
,,2027-03-01,46.05976808331653
,,2027-04-01,45.81288118035768
,,2027-05-01,45.56981409680023
,,2027-06-01,45.33046988452199
,,2027-07-01,45.09475499743326
,,2027-08-01,44.86257913970977
,,2027-09-01,44.63385512221253
,,2027-10-01,44.40849872657805
,,2027-11-01,44.18642857649969
,,2027-12-01,43.9675660157548
,,2028-01-01,43.751834992564305
,,2028-02-01,43.539161949899736
,,2028-03-01,43.32947572138003
,,2028-04-01,43.122707432424555
,,2028-05-01,42.91879040635198
,,2028-06-01,42.71766007513497
,,2028-07-01,42.51925389454085
,,2028-08-01,42.32351126340572
,,2028-09-01,42.13037344680623
,,2028-10-01,41.93978350290889
,,2028-11-01,41.75168621329054
,,2028-12-01,41.566028016537324
,,2029-01-01,41.38275694494131
,,2029-02-01,41.20182256412567
,,2029-03-01,41.02317591543962
,,2029-04-01,40.84676946097434
,,2029-05-01,40.672557031060215
,,2029-06-01,40.50049377411402
,,2029-07-01,40.330536108713105
,,2029-08-01,40.1626416777805
,,2029-09-01,39.99676930477204
,,2029-10-01,39.83287895176307
,,2029-11-01,39.67093167933812
,,2029-12-01,39.510889608192684
,,2030-01-01,39.35271588236154
,,2030-02-01,39.19637463399262
,,2030-03-01,39.04183094959059
,,2030-04-01,38.88905083765802
,,2030-05-01,38.73800119766639
,,2030-06-01,38.588649790292926
,,2030-07-01,38.44096520886256
,,2030-08-01,38.294916851938034
,,2030-09-01,38.15047489700372
,,2030-10-01,38.00761027519234
,,2030-11-01,37.86629464700575
,,2030-12-01,37.726500378984255
,,2031-01-01,37.588200521280726
,,2031-02-01,37.451368786098634
,,2031-03-01,37.31597952695465
,,2031-04-01,37.18200771872922
,,2031-05-01,37.04942893846949
,,2031-06-01,36.91821934691182
,,2031-07-01,36.7883556706919
,,2031-08-01,36.6598151852125
,,2031-09-01,36.53257569814048
,,2031-10-01,36.40661553350573
,,2031-11-01,36.28191351637653
,,2031-12-01,36.15844895808653
,,2032-01-01,36.03620164199032
,,2032-02-01,35.91515180972512
,,2032-03-01,35.79528014795779
,,2032-04-01,35.6765677755968
,,2032-05-01,35.55899623145007
,,2032-06-01,35.44254746231055
,,2032-07-01,35.32720381145199
,,2032-08-01,35.21294800751838
,,2032-09-01,35.0997631537913
,,2032-10-01,34.987632717820055
,,2032-11-01,34.87654052140005
,,2032-12-01,34.76647073088605
,,2033-01-01,34.657407847826704
,,2033-02-01,34.549336699908295
,,2033-03-01,34.44224243219534
,,2033-04-01,34.33611049865688
,,2033-05-01,34.23092665396733
,,2033-06-01,34.12667694557165
