t,q,t_model,q_model
2012-07-01,0.0,2012-10-01,6515.353846691471
2012-08-01,0.0,2012-11-01,5488.865603235936
2012-09-01,741.0,2012-12-01,4757.150292556506
2012-10-01,6594.0,2013-01-01,4207.5266920846725
2012-11-01,4981.0,2013-02-01,3778.584173818766
2012-12-01,4966.0,2013-03-01,3433.909566419554
2013-01-01,4705.0,2013-04-01,3150.499079341577
2013-02-01,3926.0,2013-05-01,2913.0831746535637
2013-03-01,3741.0,2013-06-01,2711.1153181743894
2013-04-01,2263.0,2013-07-01,2537.0694096121188
2013-05-01,3327.0,2013-08-01,2385.4260823820387
2013-06-01,2834.0,2013-09-01,2252.042678500669
2013-07-01,2426.0,2013-10-01,2133.7472241455625
2013-08-01,2304.0,2013-11-01,2028.0685127011152
2013-09-01,2184.0,2013-12-01,1933.0517773809315
2013-10-01,2154.0,2014-01-01,1847.1298154086553
2013-11-01,1890.0,2014-02-01,1769.0309907049957
2013-12-01,1946.0,2014-03-01,1697.7123375447927
2014-01-01,1797.0,2014-04-01,1632.3101052554973
2014-02-01,1518.0,2014-05-01,1572.102648077278
2014-03-01,1729.0,2014-06-01,1516.482200442175
2014-04-01,1636.0,2014-07-01,1464.9331451844282
2014-05-01,1650.0,2014-08-01,1417.01509237124
2014-06-01,1452.0,2014-09-01,1372.349567653713
2014-07-01,1475.0,2014-10-01,1330.609440546505
2014-08-01,1522.0,2014-11-01,1291.5104549193502
2014-09-01,1385.0,2014-12-01,1254.804388453958
2014-10-01,1467.0,2015-01-01,1220.2734859976595
2014-11-01,1197.0,2015-02-01,1187.725897683739
2014-12-01,1212.0,2015-03-01,1156.9919158824998
2015-01-01,1164.0,2015-04-01,1127.9208520010848
2015-02-01,994.0,2015-05-01,1100.3784293773535
2015-03-01,1062.0,2015-06-01,1074.24459518345
2015-04-01,1097.0,2015-07-01,1049.4116746193993
2015-05-01,1081.0,2015-08-01,1025.7828063520342
2015-06-01,1021.0,2015-09-01,1003.2706103111324
2015-07-01,1094.0,2015-10-01,981.7960484499635
2015-08-01,991.0,2015-11-01,961.2874465441793
2015-09-01,934.0,2015-12-01,941.679651012038
2015-10-01,988.0,2016-01-01,922.9132994436409
2015-11-01,930.0,2016-02-01,904.9341872941931
2015-12-01,940.0,2016-03-01,887.6927162295254
2016-01-01,944.0,2016-04-01,871.143412067006
2016-02-01,849.0,2016-05-01,855.2445022516285
2016-03-01,927.0,2016-06-01,839.9575444387348
2016-04-01,871.0,2016-07-01,825.2470990942335
2016-05-01,768.0,2016-08-01,811.0804401274272
2016-06-01,903.0,2016-09-01,797.427298485709
2016-07-01,858.0,2016-10-01,784.2596344001513
2016-08-01,842.0,2016-11-01,771.551434604866
2016-09-01,721.0,2016-12-01,759.2785313837495
2016-10-01,891.0,2017-01-01,747.4184407441803
2016-11-01,775.0,2017-02-01,735.9502173932061
2016-12-01,796.0,2017-03-01,724.8543245097544
2017-01-01,790.0,2017-04-01,714.1125165762053
2017-02-01,701.0,2017-05-01,703.707733762259
2017-03-01,757.0,2017-06-01,693.6240065499883
2017-04-01,701.0,2017-07-01,683.8463694566619
2017-05-01,740.0,2017-08-01,674.3607828558356
2017-06-01,691.0,2017-09-01,665.1540620210311
2017-07-01,644.0,2017-10-01,656.2138126231125
2017-08-01,682.0,2017-11-01,647.5283720048179
2017-09-01,617.0,2017-12-01,639.0867556359273
2017-10-01,730.0,2018-01-01,630.8786082220674
2017-11-01,655.0,2018-02-01,622.8941590006767
2017-12-01,674.0,2018-03-01,615.1241808104442
2018-01-01,671.0,2018-04-01,607.5599525667036
2018-02-01,606.0,2018-05-01,600.1932248156924
2018-03-01,643.0,2018-06-01,593.0161880760768
2018-04-01,631.0,2018-07-01,586.0214437073553
2018-05-01,618.0,2018-08-01,579.2019770722408
2018-06-01,487.0,2018-09-01,572.551132784398
2018-07-01,711.0,2018-10-01,566.0625918543502
2018-08-01,657.0,2018-11-01,559.7303505653874
2018-09-01,602.0,2018-12-01,553.5487009281436
2018-10-01,618.0,2019-01-01,547.5122125774936
2018-11-01,576.0,2019-02-01,541.6157159887459
2018-12-01,606.0,2019-03-01,535.8542869019718
2019-01-01,616.0,2019-04-01,530.2232318539244
2019-02-01,544.0,2019-05-01,524.7180747264606
2019-03-01,576.0,2019-06-01,519.3345442288675
2019-04-01,501.0,2019-07-01,514.0685622390903
2019-05-01,531.0,2019-08-01,508.91623293567983
2019-06-01,589.0,2019-09-01,503.8738326584095
2019-07-01,485.0,2019-10-01,498.93780044102414
2019-08-01,522.0,2019-11-01,494.1047291645552
2019-09-01,555.0,2019-12-01,489.37135728411783
2019-10-01,509.0,2020-01-01,484.7345610861516
2019-11-01,565.0,2020-02-01,480.19134743673067
2019-12-01,464.0,2020-03-01,475.738846984878
2020-01-01,482.0,2020-04-01,471.37430778782317
2020-02-01,517.0,2020-05-01,467.09508932786395
2020-03-01,517.0,2020-06-01,462.8986568929691
2020-04-01,487.0,2020-07-01,458.7825762955027
2020-05-01,513.0,2020-08-01,454.7445089055008
2020-06-01,476.0,2020-09-01,450.78220697679245
2020-07-01,504.0,2020-10-01,446.8935092459562
2020-08-01,481.0,2020-11-01,443.0763367856549
2020-09-01,496.0,2020-12-01,439.32868909530805
2020-10-01,462.0,2021-01-01,435.64864041335454
2020-11-01,473.0,2021-02-01,432.03433623654684
2020-12-01,468.0,2021-03-01,428.48399003280053
2021-01-01,479.0,2021-04-01,424.99588013512
2021-02-01,381.0,2021-05-01,421.5683468050345
2021-03-01,495.0,2021-06-01,418.1997894548155
2021-04-01,441.0,2021-07-01,414.8886640185204
2021-05-01,451.0,2021-08-01,411.63348046261166
2021-06-01,420.0,2021-09-01,408.4328004275583
2021-07-01,400.0,2021-10-01,405.2852349924231
2021-08-01,404.0,2021-11-01,402.18944255499673
2021-09-01,400.0,2021-12-01,399.144126820547
2021-10-01,472.0,2022-01-01,396.1480348927288
