t,q,t_model,q_model
2014-02-01,109.0,2017-03-01,881.6730077094991
2014-03-01,459.0,2017-04-01,531.3491353949997
2014-04-01,542.0,2017-05-01,465.02705703209875
2014-05-01,471.0,2017-06-01,429.21553639055924
2014-06-01,324.0,2017-07-01,405.240281888164
2014-07-01,303.0,2017-08-01,387.4670776236321
2014-08-01,620.0,2017-09-01,373.47415446313767
2014-09-01,513.0,2017-10-01,362.00915075005196
2014-10-01,571.0,2017-11-01,352.34455989846316
2014-11-01,607.0,2017-12-01,344.0222920081789
2014-12-01,647.0,2018-01-01,336.7362487749762
2015-01-01,594.0,2018-02-01,330.2723319003043
2015-02-01,427.0,2018-03-01,324.47525906536697
2015-03-01,552.0,2018-04-01,319.2290307167397
2015-04-01,570.0,2018-05-01,314.4448414915796
2015-05-01,445.0,2018-06-01,310.0532836397446
2015-06-01,374.0,2018-07-01,305.99914137638893
2015-07-01,303.0,2018-08-01,302.2378111128034
2015-08-01,614.0,2018-09-01,298.73277634488676
2015-09-01,423.0,2018-10-01,295.45378656229207
2015-10-01,405.0,2018-11-01,292.37551804065276
2015-11-01,319.0,2018-12-01,289.47657183895467
2015-12-01,320.0,2019-01-01,286.73871244057426
2016-01-01,350.0,2019-02-01,284.1462811714197
2016-02-01,360.0,2019-03-01,281.6857385802972
2016-03-01,370.0,2019-04-01,279.3453033478724
2016-04-01,336.0,2019-05-01,277.11466439408355
2016-05-01,339.0,2019-06-01,274.98474915639576
2016-06-01,409.0,2019-07-01,272.9475354448218
2016-07-01,296.0,2019-08-01,270.9958974443268
2016-08-01,205.0,2019-09-01,269.123478724774
2016-09-01,239.0,2019-10-01,267.3245867956286
2016-10-01,275.0,2019-11-01,265.5941049852337
2016-11-01,241.0,2019-12-01,263.9274183550279
2016-12-01,244.0,2020-01-01,262.3203510628875
2017-01-01,225.0,2020-02-01,260.76911312704357
2017-02-01,199.0,2020-03-01,259.27025495573
2017-03-01,884.0,2020-04-01,257.82062832886345
2017-04-01,454.0,2020-05-01,256.4173527692706
2017-05-01,494.0,2020-06-01,255.05778643889298
2017-06-01,457.0,2020-07-01,253.73950085239076
2017-07-01,417.0,2020-08-01,252.4602588258902
2017-08-01,424.0,2020-09-01,251.21799517927045
2017-09-01,348.0,2020-10-01,250.01079979168742
2017-10-01,358.0,2020-11-01,248.83690267606065
2017-11-01,363.0,2020-12-01,247.69466079215263
2017-12-01,329.0,2021-01-01,246.58254636209102
2018-01-01,496.0,2021-02-01,245.49913648863222
2018-02-01,328.0,2021-03-01,244.44310390664114
2018-03-01,383.0,2021-04-01,243.41320872335206
2018-04-01,303.0,2021-05-01,242.40829102392095
2018-05-01,270.0,2021-06-01,241.42726423633582
2018-06-01,292.0,2021-07-01,240.46910916451924
2018-07-01,257.0,2021-08-01,239.5328686109247
2018-08-01,322.0,2021-09-01,238.61764252049193
2018-09-01,268.0,2021-10-01,237.7225835868026
2018-10-01,274.0,2021-11-01,236.8468932689331
2018-11-01,293.0,2021-12-01,235.98981817404731
2018-12-01,301.0,2022-01-01,235.1506467663883
2019-01-01,300.0,2022-02-01,234.32870636815642
2019-02-01,269.0,2022-03-01,233.52336042193008
2019-03-01,276.0,2022-04-01,232.73400598788564
2019-04-01,308.0,2022-05-01,231.9600714521981
2019-05-01,207.0,2022-06-01,231.20101442571908
2019-06-01,254.0,2022-07-01,230.45631981439226
2019-07-01,279.0,2022-08-01,229.72549804493278
2019-08-01,278.0,2022-09-01,229.0080834311037
2019-09-01,254.0,2022-10-01,228.30363266750692
2019-10-01,256.0,2022-11-01,227.61172343919904
2019-11-01,250.0,2022-12-01,226.93195313666885
2019-12-01,224.0,2023-01-01,226.26393766679465
2020-01-01,229.0,2023-02-01,225.60731035135598
2020-02-01,256.0,2023-03-01,224.9617209055217
2020-03-01,221.0,2023-04-01,224.32683448948654
2020-04-01,249.0,2023-05-01,223.70233082709697
2020-05-01,248.0,2023-06-01,223.08790338590032
2020-06-01,376.0,2023-07-01,222.48325861358205
2020-07-01,298.0,2023-08-01,221.88811522622834
2020-08-01,278.0,2023-09-01,221.30220354427442
2020-09-01,269.0,2023-10-01,220.72526487237866
2020-10-01,244.0,2023-11-01,220.15705091980186
2020-11-01,281.0,2023-12-01,219.59732325817674
2020-12-01,239.0,2024-01-01,219.04585281382768
2021-01-01,180.0,2024-02-01,218.50241939204753
2021-02-01,180.0,2024-03-01,217.96681123096263
2021-03-01,382.0,2024-04-01,217.4388245828176
2021-04-01,246.0,2024-05-01,216.9182633206949
2021-05-01,236.0,2024-06-01,216.40493856884754
2021-06-01,117.0,2024-07-01,215.89866835497523
2021-07-01,297.0,2024-08-01,215.39927728290797
2021-08-01,275.0,2024-09-01,214.90659622428512
2021-09-01,244.0,2024-10-01,214.42046202793088
2021-10-01,380.0,2024-11-01,213.9407172457277
2021-11-01,74.0,2024-12-01,213.46720987388403
2021-12-01,159.0,2025-01-01,212.99979310857617
2022-01-01,356.0,2025-02-01,212.5383251150226
2022-02-01,336.0,2025-03-01,212.08266880911964
2022-03-01,249.0,2025-04-01,211.63269165083224
2022-04-01,315.0,2025-05-01,211.18826544859365
2022-05-01,274.0,2025-06-01,210.74926617402082
2022-06-01,225.0,2025-07-01,210.31557378630478
2022-07-01,211.0,2025-08-01,209.88707206567847
2022-08-01,159.0,2025-09-01,209.4636484554091
2022-09-01,153.0,2025-10-01,209.04519391179912
2022-10-01,221.0,2025-11-01,208.6316027617175
2022-11-01,194.0,2025-12-01,208.2227725672137
2022-12-01,191.0,2026-01-01,207.81860399680005
2023-01-01,180.0,2026-02-01,207.41900070301327
2023-02-01,176.0,2026-03-01,207.02386920589421
2023-03-01,191.0,2026-04-01,206.6331187820476
2023-04-01,167.0,2026-05-01,206.2466613589663
2023-05-01,189.0,2026-06-01,205.86441141432474
2023-06-01,213.0,2026-07-01,205.48628587996572
2023-07-01,181.0,2026-08-01,205.11220405032185
2023-08-01,232.0,2026-09-01,204.74208749502995
2023-09-01,169.0,2026-10-01,204.3758599755112
2023-10-01,344.0,2026-11-01,204.01344736530444
2023-11-01,554.0,2026-12-01,203.65477757395342
2023-12-01,190.0,2027-01-01,203.29978047425976
2024-01-01,256.0,2027-02-01,202.9483878327268
2024-02-01,161.0,2027-03-01,202.60053324302783
2024-03-01,205.0,2027-04-01,202.25615206234386
2024-04-01,199.0,2027-05-01,201.91518135042455
2024-05-01,275.0,2027-06-01,201.57755981123424
2024-06-01,128.0,2027-07-01,201.24322773705381
2024-07-01,181.0,2027-08-01,200.91212695491583
2024-08-01,246.0,2027-09-01,200.584200775258
2024-09-01,154.0,2027-10-01,200.2593939426861
2024-10-01,153.0,2027-11-01,199.93765258874419
2024-11-01,223.0,2027-12-01,199.61892418659482
2024-12-01,228.0,2028-01-01,199.30315750751848
2025-01-01,257.0,2028-02-01,198.99030257914524
2025-02-01,186.0,2028-03-01,198.68031064533756
,,2028-04-01,198.37313412764658
,,2028-05-01,198.0687265882692
,,2028-06-01,197.7670426944367
,,2028-07-01,197.46803818416936
,,2028-08-01,197.17166983333502
,,2028-09-01,196.87789542395313
,,2028-10-01,196.58667371368827
,,2028-11-01,196.2979644064802
,,2028-12-01,196.01172812426103
,,2029-01-01,195.7279263797106
,,2029-02-01,195.4465215500065
,,2029-03-01,195.1674768515244
,,2029-04-01,194.89075631544875
,,2029-05-01,194.61632476425478
,,2029-06-01,194.3441477890251
,,2029-07-01,194.07419172756562
,,2029-08-01,193.80642364328756
,,2029-09-01,193.54081130482376
,,2029-10-01,193.27732316634936
,,2029-11-01,193.01592834857726
,,2029-12-01,192.75659662040172
,,2030-01-01,192.49929838116387
,,2030-02-01,192.24400464351334
,,2030-03-01,191.99068701684348
,,2030-04-01,191.73931769127643
,,2030-05-01,191.48986942217718
,,2030-06-01,191.24231551517508
,,2030-07-01,190.99662981167413
,,2030-08-01,190.75278667483218
,,2030-09-01,190.51076097599176
,,2030-10-01,190.27052808154485
,,2030-11-01,190.03206384021541
,,2030-12-01,189.79534457074396
,,2031-01-01,189.5603470499588
,,2031-02-01,189.32704850122
,,2031-03-01,189.09542658322175
,,2031-04-01,188.86545937914053
,,2031-05-01,188.63712538611614
,,2031-06-01,188.41040350505318
,,2031-07-01,188.18527303073202
,,2031-08-01,187.9617136422177
,,2031-09-01,187.7397053935565
,,2031-10-01,187.5192287047492
,,2031-11-01,187.3002643529923
,,2031-12-01,187.08279346417697
,,2032-01-01,186.86679750463713
,,2032-02-01,186.6522582731378
,,2032-03-01,186.43915789309563
,,2032-04-01,186.22747880502365
,,2032-05-01,186.0172037591919
,,2032-06-01,185.808315808498
,,2032-07-01,185.60079830153916
,,2032-08-01,185.39463487587943
,,2032-09-01,185.18980945150614
,,2032-10-01,184.98630622446822
,,2032-11-01,184.7841096606913
,,2032-12-01,184.58320448996346
,,2033-01-01,184.3835757000856
,,2033-02-01,184.18520853118198
,,2033-03-01,183.98808847016502
,,2033-04-01,183.79220124534945
,,2033-05-01,183.59753282121156
,,2033-06-01,183.40406939328827
