t,q,t_model,q_model
2004-01-01,410.0,2010-09-01,465.5227000429787
2004-02-01,386.0,2010-10-01,377.17177145247126
2004-03-01,292.0,2010-11-01,340.7564772717761
2004-04-01,108.0,2010-12-01,318.4977078193999
2004-05-01,300.0,2011-01-01,302.7523167839473
2004-06-01,285.0,2011-02-01,290.7069524312866
2004-07-01,372.0,2011-03-01,281.02778804276096
2004-08-01,314.0,2011-04-01,272.9824722765901
2004-09-01,307.0,2011-05-01,266.12785851419426
2004-10-01,280.0,2011-06-01,260.1764957200411
2004-11-01,292.0,2011-07-01,254.93190666802755
2004-12-01,458.0,2011-08-01,250.25418894877592
2005-01-01,326.0,2011-09-01,246.04039449491907
2005-02-01,311.0,2011-10-01,242.21269308808547
2005-03-01,254.0,2011-11-01,238.7108980196661
2005-04-01,229.0,2011-12-01,235.48756364289233
2005-05-01,363.0,2012-01-01,232.50466497809995
2005-06-01,314.0,2012-02-01,229.73128614487754
2005-07-01,238.0,2012-03-01,227.14197230551042
2005-08-01,245.0,2012-04-01,224.71552990127992
2005-09-01,264.0,2012-05-01,222.43413700852125
2005-10-01,311.0,2012-06-01,220.2826727596407
2005-11-01,164.0,2012-07-01,218.24820441921764
2005-12-01,325.0,2012-08-01,216.31958983296084
2006-01-01,291.0,2012-09-01,214.48716559064243
2006-02-01,262.0,2012-10-01,212.74249974603276
2006-03-01,334.0,2012-11-01,211.07819376931002
2006-04-01,287.0,2012-12-01,209.48772247615796
2006-05-01,441.0,2013-01-01,207.96530355992076
2006-06-01,163.0,2013-02-01,206.50579042367877
2006-07-01,224.0,2013-03-01,205.10458351589384
2006-08-01,170.0,2013-04-01,203.75755648300364
2006-09-01,295.0,2013-05-01,202.46099427876047
2006-10-01,410.0,2013-06-01,201.21154099191162
2006-11-01,407.0,2013-07-01,200.00615562617935
2006-12-01,475.0,2013-08-01,198.84207442856766
2007-01-01,269.0,2013-09-01,197.7167786418945
2007-02-01,137.0,2013-10-01,196.62796677549207
2007-03-01,367.0,2013-11-01,195.5735306591578
2007-04-01,230.0,2013-12-01,194.55153468070574
2007-05-01,296.0,2014-01-01,193.56019771508687
2007-06-01,359.0,2014-02-01,192.59787733920496
2007-07-01,575.0,2014-03-01,191.66305599593798
2007-08-01,638.0,2014-04-01,190.75432882706554
2007-09-01,575.0,2014-05-01,189.87039294054625
2007-10-01,461.0,2014-06-01,189.01003791502345
2007-11-01,423.0,2014-07-01,188.17213737521072
2007-12-01,532.0,2014-08-01,187.35564149723194
2008-01-01,536.0,2014-09-01,186.55957032407608
2008-02-01,528.0,2014-10-01,185.78300778889664
2008-03-01,534.0,2014-11-01,185.0250963585773
2008-04-01,619.0,2014-12-01,184.28503222232274
2008-05-01,481.0,2015-01-01,183.56206096042823
2008-06-01,536.0,2015-02-01,182.85547363717149
2008-07-01,571.0,2015-03-01,182.16460326923095
2008-08-01,661.0,2015-04-01,181.48882162738005
2008-09-01,639.0,2015-05-01,180.82753633463116
2008-10-01,572.0,2015-06-01,180.1801882286445
2008-11-01,402.0,2015-07-01,179.5462489602042
2008-12-01,493.0,2015-08-01,178.92521880299952
2009-01-01,435.0,2015-09-01,178.31662465291507
2009-02-01,493.0,2015-10-01,177.72001819760064
2009-03-01,699.0,2015-11-01,177.13497423932225
2009-04-01,784.0,2015-12-01,176.5610891560338
2009-05-01,677.0,2016-01-01,175.99797948730117
2009-06-01,641.0,2016-02-01,175.44528063318816
2009-07-01,681.0,2016-03-01,174.90264565550936
2009-08-01,741.0,2016-04-01,174.36974417199136
2009-09-01,910.0,2016-05-01,173.84626133488382
2009-10-01,908.0,2016-06-01,173.3318968864432
2009-11-01,630.0,2016-07-01,172.82636428448973
2009-12-01,878.0,2016-08-01,172.32938989192783
2010-01-01,899.0,2016-09-01,171.84071222472858
2010-02-01,787.0,2016-10-01,171.36008125341613
2010-03-01,707.0,2016-11-01,170.88725775358134
2010-04-01,591.0,2016-12-01,170.4220127013742
2010-05-01,587.0,2017-01-01,169.96412671031106
2010-06-01,533.0,2017-02-01,169.51338950607376
2010-07-01,361.0,2017-03-01,169.06959943628456
2010-08-01,392.0,2017-04-01,168.63256301251468
2010-09-01,436.0,2017-05-01,168.20209448203244
2010-10-01,207.0,2017-06-01,167.77801542701553
2010-11-01,467.0,2017-07-01,167.36015438915518
2010-12-01,570.0,2017-08-01,166.94834651775543
2011-01-01,592.0,2017-09-01,166.54243323959685
2011-02-01,569.0,2017-10-01,166.14226194897824
2011-03-01,168.0,2017-11-01,165.74768571648298
2011-04-01,157.0,2017-12-01,165.3585630151371
2011-05-01,558.0,2018-01-01,164.97475746273514
2011-06-01,444.0,2018-02-01,164.59613757920846
2011-07-01,415.0,2018-03-01,164.22257655800072
2011-08-01,391.0,2018-04-01,163.8539520504969
2011-09-01,519.0,2018-05-01,163.49014596262757
2011-10-01,381.0,2018-06-01,163.13104426283678
2011-11-01,126.0,2018-07-01,162.77653680066518
2011-12-01,6.0,2018-08-01,162.42651713525586
2012-01-01,0.0,2018-09-01,162.08088237314294
2012-02-01,244.0,2018-10-01,161.73953301472983
2012-03-01,171.0,2018-11-01,161.40237280890804
2012-04-01,148.0,2018-12-01,161.0693086153068
2012-05-01,175.0,2019-01-01,160.74025027370138
2012-06-01,20.0,2019-02-01,160.41511048014027
2012-07-01,10.0,2019-03-01,160.09380466938373
2012-08-01,178.0,2019-04-01,159.77625090327368
2012-09-01,113.0,2019-05-01,159.4623697646818
2012-10-01,190.0,2019-06-01,159.15208425670673
2012-11-01,75.0,2019-07-01,158.8453197068135
2012-12-01,344.0,2019-08-01,158.54200367562876
2013-01-01,104.0,2019-09-01,158.24206587012526
2013-02-01,83.0,2019-10-01,157.94543806094555
2013-03-01,125.0,2019-11-01,157.65205400363223
2013-04-01,134.0,2019-12-01,157.36184936354616
2013-05-01,214.0,2020-01-01,157.0747616442691
2013-06-01,62.0,2020-02-01,156.79073011929935
2013-07-01,45.0,2020-03-01,156.50969576686182
2013-08-01,32.0,2020-04-01,156.23160120766394
2013-09-01,124.0,2020-05-01,155.95639064544125
2013-10-01,161.0,2020-06-01,155.68400981014366
2013-11-01,0.0,2020-07-01,155.41440590362473
2013-12-01,0.0,2020-08-01,155.14752754770285
2014-01-01,218.0,2020-09-01,154.88332473447247
2014-02-01,121.0,2020-10-01,154.62174877874966
2014-03-01,80.0,2020-11-01,154.3627522725441
2014-04-01,107.0,2020-12-01,154.10628904145466
2014-05-01,68.0,2021-01-01,153.85231410289327
2014-06-01,54.0,2021-02-01,153.60078362604594
2014-07-01,4.0,2021-03-01,153.35165489348557
2014-08-01,58.0,2021-04-01,153.104886264356
2014-09-01,63.0,2021-05-01,152.86043713905127
2014-10-01,68.0,2021-06-01,152.61826792531815
2014-11-01,97.0,2021-07-01,152.37834000571428
2014-12-01,62.0,2021-08-01,152.14061570635735
2015-01-01,60.0,2021-09-01,151.9050582669055
2015-02-01,95.0,2021-10-01,151.67163181171065
2015-03-01,80.0,2021-11-01,151.4403013220911
2015-04-01,127.0,2021-12-01,151.21103260967195
2015-05-01,85.0,2022-01-01,150.9837922907445
2015-06-01,110.0,2022-02-01,150.7585477615987
2015-07-01,163.0,2022-03-01,150.5352671747847
2015-08-01,111.0,2022-04-01,150.31391941626262
2015-09-01,92.0,2022-05-01,150.0944740834003
2015-10-01,4.0,2022-06-01,149.87690146378293
2015-11-01,191.0,2022-07-01,149.66117251479793
2015-12-01,171.0,2022-08-01,149.44725884396252
2016-01-01,49.0,2022-09-01,149.2351326899612
2016-02-01,82.0,2022-10-01,149.0247669043634
2016-03-01,210.0,2022-11-01,148.8161349339919
2016-04-01,196.0,2022-12-01,148.60921080391506
2016-05-01,254.0,2023-01-01,148.40396910103647
2016-06-01,182.0,2023-02-01,148.20038495825716
2016-07-01,201.0,2023-03-01,147.9984340391868
2016-08-01,265.0,2023-04-01,147.79809252338137
2016-09-01,291.0,2023-05-01,147.5993370920857
2016-10-01,267.0,2023-06-01,147.40214491446056
2016-11-01,200.0,2023-07-01,147.2064936342749
2016-12-01,262.0,2023-08-01,147.01236135704409
2017-01-01,240.0,2023-09-01,146.81972663759726
2017-02-01,85.0,2023-10-01,146.62856846805627
2017-03-01,172.0,2023-11-01,146.43886626621003
2017-04-01,25.0,2023-12-01,146.25059986426925
2017-05-01,186.0,2024-01-01,146.06374949798663
2017-06-01,143.0,2024-02-01,145.8782957961283
2017-07-01,133.0,2024-03-01,145.6942197702831
2017-08-01,151.0,2024-04-01,145.51150280499726
2017-09-01,208.0,2024-05-01,145.33012664822158
2017-10-01,348.0,2024-06-01,145.1500734020598
2017-11-01,346.0,2024-07-01,144.97132551380656
2017-12-01,115.0,2024-08-01,144.79386576726478
2018-01-01,335.0,2024-09-01,144.61767727433136
2018-02-01,410.0,2024-10-01,144.44274346684205
2018-03-01,287.0,2024-11-01,144.2690480886656
2018-04-01,189.0,2024-12-01,144.0965751880386
2018-05-01,149.0,2025-01-01,143.92530911013154
2018-06-01,226.0,2025-02-01,143.75523448983878
2018-07-01,229.0,2025-03-01,143.58633624478392
2018-08-01,198.0,2025-04-01,143.41859956853267
2018-09-01,202.0,2025-05-01,143.25200992400673
2018-10-01,176.0,2025-06-01,143.08655303709082
2018-11-01,211.0,2025-07-01,142.92221489042655
2018-12-01,217.0,2025-08-01,142.7589817173867
2019-01-01,218.0,2025-09-01,142.59683999622337
2019-02-01,197.0,2025-10-01,142.43577644438454
2019-03-01,223.0,2025-11-01,142.2757780129927
2019-04-01,178.0,2025-12-01,142.11683188148064
2019-05-01,192.0,2026-01-01,141.95892545237862
2019-06-01,198.0,2026-02-01,141.8020463462483
2019-07-01,209.0,2026-03-01,141.64618239675806
2019-08-01,179.0,2026-04-01,141.4913216458956
2019-09-01,209.0,2026-05-01,141.33745233931253
2019-10-01,194.0,2026-06-01,141.1845629217974
2019-11-01,215.0,2026-07-01,141.03264203287267
2019-12-01,234.0,2026-08-01,140.88167850251105
2020-01-01,219.0,2026-09-01,140.73166134696856
2020-02-01,202.0,2026-10-01,140.58257976472942
2020-03-01,217.0,2026-11-01,140.43442313255974
2020-04-01,186.0,2026-12-01,140.28718100166645
2020-05-01,180.0,2027-01-01,140.1408430939583
2020-06-01,138.0,2027-02-01,139.9953992984052
2020-07-01,201.0,2027-03-01,139.85083966749366
2020-08-01,164.0,2027-04-01,139.70715441377445
2020-09-01,133.0,2027-05-01,139.5643339065003
2020-10-01,185.0,2027-06-01,139.42236866835034
2020-11-01,178.0,2027-07-01,139.28124937223924
2020-12-01,199.0,2027-08-01,139.14096683820765
2021-01-01,160.0,2027-09-01,139.00151203039226
2021-02-01,91.0,2027-10-01,138.86287605407267
2021-03-01,147.0,2027-11-01,138.72505015279253
2021-04-01,185.0,2027-12-01,138.58802570555346
2021-05-01,231.0,2028-01-01,138.45179422407878
2021-06-01,210.0,2028-02-01,138.31634735014543
2021-07-01,198.0,2028-03-01,138.1816768529821
2021-08-01,176.0,2028-04-01,138.04777462673118
2021-09-01,137.0,2028-05-01,137.91463268797344
2021-10-01,84.0,2028-06-01,137.7822431733126
2021-11-01,151.0,2028-07-01,137.65059833701903
2021-12-01,253.0,2028-08-01,137.51969054873038
2022-01-01,334.0,2028-09-01,137.38951229120724
2022-02-01,184.0,2028-10-01,137.2600561581431
2022-03-01,159.0,2028-11-01,137.13131485202612
2022-04-01,160.0,2028-12-01,137.00328118205195
2022-05-01,110.0,2029-01-01,136.87594806208585
2022-06-01,133.0,2029-02-01,136.74930850867258
2022-07-01,103.0,2029-03-01,136.62335563909315
2022-08-01,61.0,2029-04-01,136.4980826694668
2022-09-01,94.0,2029-05-01,136.37348291289706
2022-10-01,136.0,2029-06-01,136.2495497776605
2022-11-01,147.0,2029-07-01,136.12627676543755
2022-12-01,152.0,2029-08-01,136.0036574695835
2023-01-01,89.0,2029-09-01,135.88168557343892
2023-02-01,125.0,2029-10-01,135.76035484867893
2023-03-01,152.0,2029-11-01,135.63965915369914
2023-04-01,102.0,2029-12-01,135.51959243203842
2023-05-01,110.0,2030-01-01,135.40014871083685
2023-06-01,102.0,2030-02-01,135.28132209932804
2023-07-01,136.0,2030-03-01,135.1631067873651
2023-08-01,121.0,2030-04-01,135.0454970439791
2023-09-01,96.0,2030-05-01,134.9284872159695
2023-10-01,65.0,2030-06-01,134.81207172652512
2023-11-01,65.0,2030-07-01,134.6962450738757
2023-12-01,73.0,2030-08-01,134.58100182997265
2024-01-01,47.0,2030-09-01,134.46633663919812
2024-02-01,134.0,2030-10-01,134.35224421710234
2024-03-01,170.0,2030-11-01,134.23871934916795
2024-04-01,243.0,2030-12-01,134.12575688960052
2024-05-01,270.0,2031-01-01,134.01335176014533
2024-06-01,261.0,2031-02-01,133.90149894892892
2024-07-01,282.0,2031-03-01,133.79019350932512
2024-08-01,366.0,2031-04-01,133.67943055884527
2024-09-01,325.0,2031-05-01,133.56920527805133
2024-10-01,312.0,2031-06-01,133.45951290949205
2024-11-01,261.0,2031-07-01,133.35034875666094
2024-12-01,300.0,2031-08-01,133.24170818297608
2025-01-01,218.0,2031-09-01,133.13358661078098
,,2031-10-01,133.02597952036572
,,2031-11-01,132.91888244900844
,,2031-12-01,132.81229099003625
,,2032-01-01,132.70620079190525
,,2032-02-01,132.60060755729904
,,2032-03-01,132.49550704224566
,,2032-04-01,132.39089505525203
,,2032-05-01,132.28676745645583
,,2032-06-01,132.18312015679427
,,2032-07-01,132.07994911718922
,,2032-08-01,131.9772503477487
,,2032-09-01,131.87501990698405
,,2032-10-01,131.7732539010421
,,2032-11-01,131.671948482953
,,2032-12-01,131.57109985189211
,,2033-01-01,131.47070425245658
,,2033-02-01,131.37075797395573
,,2033-03-01,131.2712573497152
,,2033-04-01,131.17219875639444
,,2033-05-01,131.0735786133172
