t,q,t_model,q_model
2012-06-01,1883.0,2012-11-01,13432.34501168873
2012-07-01,19171.0,2012-12-01,9060.560734984845
2012-08-01,19883.0,2013-01-01,6858.021087934048
2012-09-01,18270.0,2013-02-01,5527.532668014443
2012-10-01,16829.0,2013-03-01,4635.3018273977095
2012-11-01,13232.0,2013-04-01,3994.6921750633583
2012-12-01,9622.0,2013-05-01,3512.025770383253
2013-01-01,7010.0,2013-06-01,3135.0696270427475
2013-02-01,5077.0,2013-07-01,2832.3773034703627
2013-03-01,4815.0,2013-08-01,2583.874006035079
2013-04-01,3964.0,2013-09-01,2376.136992210818
2013-05-01,3516.0,2013-10-01,2199.847926889687
2013-06-01,2973.0,2013-11-01,2048.3336203090394
2013-07-01,2678.0,2013-12-01,1916.6884822139186
2013-08-01,2323.0,2014-01-01,1801.2248682209708
2013-09-01,1942.0,2014-02-01,1699.1166873051598
2013-10-01,1761.0,2014-03-01,1608.1613386247684
2013-11-01,2384.0,2014-04-01,1526.6165195022943
2013-12-01,2141.0,2014-05-01,1453.0857852100437
2014-01-01,1954.0,2014-06-01,1386.436664855423
2014-02-01,1631.0,2014-07-01,1325.7410106623079
2014-03-01,1640.0,2014-08-01,1270.2308381461135
2014-04-01,1475.0,2014-09-01,1219.2651555373477
2014-05-01,1447.0,2014-10-01,1172.3047169630213
2014-06-01,1342.0,2014-11-01,1128.8925741920955
2014-07-01,1393.0,2014-12-01,1088.6389294393116
2014-08-01,1205.0,2015-01-01,1051.2092181957566
2014-09-01,1094.0,2015-02-01,1016.3146455382865
2014-10-01,1151.0,2015-03-01,983.7046057561512
2014-11-01,1091.0,2015-04-01,953.160561771738
2014-12-01,1072.0,2015-05-01,924.4910663484271
2015-01-01,1027.0,2015-06-01,897.5276839022387
2015-02-01,893.0,2015-07-01,872.121628282681
2015-03-01,937.0,2015-08-01,848.1409739398084
2015-04-01,895.0,2015-09-01,825.4683294653894
2015-05-01,910.0,2015-10-01,803.9988864113504
2015-06-01,805.0,2015-11-01,783.6387745574998
2015-07-01,818.0,2015-12-01,764.3036688668229
2015-08-01,767.0,2016-01-01,745.9176042781044
2015-09-01,737.0,2016-02-01,728.4119630095977
2015-10-01,759.0,2016-03-01,711.724605750804
2015-11-01,724.0,2016-04-01,695.7991234243185
2015-12-01,718.0,2016-05-01,680.5841904230759
2016-01-01,732.0,2016-06-01,666.0330036098428
2016-02-01,737.0,2016-07-01,652.1027940879134
2016-03-01,761.0,2016-08-01,638.7544009545796
2016-04-01,705.0,2016-09-01,625.951898039968
2016-05-01,582.0,2016-10-01,613.6622660970037
2016-06-01,1091.0,2016-11-01,601.8551041089733
2016-07-01,1020.0,2016-12-01,590.5023743706947
2016-08-01,921.0,2017-01-01,579.5781768181744
2016-09-01,760.0,2017-02-01,569.058548761925
2016-10-01,797.0,2017-03-01,558.9212867464317
2016-11-01,720.0,2017-04-01,549.1457877330513
2016-12-01,775.0,2017-05-01,539.7129072023962
2017-01-01,773.0,2017-06-01,530.6048321082749
2017-02-01,684.0,2017-07-01,521.8049668993299
2017-03-01,663.0,2017-08-01,513.2978310653972
2017-04-01,676.0,2017-09-01,505.0689668705019
2017-05-01,652.0,2017-10-01,497.10485610916106
2017-06-01,621.0,2017-11-01,489.39284487215605
2017-07-01,559.0,2017-12-01,481.92107543614264
2017-08-01,615.0,2018-01-01,474.67842450170843
2017-09-01,525.0,2018-02-01,467.65444709952527
2017-10-01,523.0,2018-03-01,460.83932556636614
2017-11-01,512.0,2018-04-01,454.2238230638832
2017-12-01,522.0,2018-05-01,447.7992411748021
2018-01-01,624.0,2018-06-01,441.5573811649077
2018-02-01,559.0,2018-07-01,435.49050854604445
2018-03-01,529.0,2018-08-01,429.59132061627923
2018-04-01,339.0,2018-09-01,423.8529166892105
2018-05-01,665.0,2018-10-01,418.26877075583104
2018-06-01,560.0,2018-11-01,412.8327063499786
2018-07-01,541.0,2018-12-01,407.53887341272343
2018-08-01,518.0,2019-01-01,402.38172697249666
2018-09-01,484.0,2019-02-01,397.3560074767093
2018-10-01,482.0,2019-03-01,392.45672262739225
2018-11-01,467.0,2019-04-01,387.6791305882521
2018-12-01,492.0,2019-05-01,383.0187244437438
2019-01-01,475.0,2019-06-01,378.47121780250166
2019-02-01,393.0,2019-07-01,374.0325314479297
2019-03-01,426.0,2019-08-01,369.6987809480777
2019-04-01,410.0,2019-09-01,365.46626514526554
2019-05-01,395.0,2019-10-01,361.33145545336896
2019-06-01,368.0,2019-11-01,357.29098589735787
2019-07-01,364.0,2019-12-01,353.34164383566696
2019-08-01,355.0,2020-01-01,349.4803613113562
2019-09-01,360.0,2020-02-01,345.70420698285494
2019-10-01,355.0,2020-03-01,342.0103785894397
2019-11-01,365.0,2020-04-01,338.3961959105203
2019-12-01,362.0,2020-05-01,334.8590941813513
2020-01-01,398.0,2020-06-01,331.39661793098946
2020-02-01,343.0,2020-07-01,328.0064152112131
2020-03-01,347.0,2020-08-01,324.6862321877406
2020-04-01,328.0,2020-09-01,321.43390806746606
2020-05-01,335.0,2020-10-01,318.2473703375869
2020-06-01,309.0,2020-11-01,315.12463029445786
2020-07-01,309.0,2020-12-01,312.06377884179125
2020-08-01,305.0,2021-01-01,309.0629825394452
2020-09-01,294.0,2021-02-01,306.12047988552035
2020-10-01,303.0,2021-03-01,303.2345778158367
2020-11-01,285.0,2021-04-01,300.40364840609226
2020-12-01,300.0,2021-05-01,297.6261257631309
2021-01-01,294.0,2021-06-01,294.90050309277746
2021-02-01,239.0,2021-07-01,292.2253299326395
2021-03-01,296.0,2021-08-01,289.59920953913877
2021-04-01,258.0,2021-09-01,287.0207964188277
2021-05-01,335.0,2021-10-01,284.48879399477204
2021-06-01,221.0,2021-11-01,282.0019523994496
2021-07-01,237.0,2021-12-01,279.5590663862267
2021-08-01,246.0,2022-01-01,277.1589733520399
2021-09-01,252.0,2022-02-01,274.8005514644298
2021-10-01,250.0,2022-03-01,272.4827178865524
2021-11-01,261.0,2022-04-01,270.2044270942342
2021-12-01,263.0,2022-05-01,267.96466927954657
2022-01-01,251.0,2022-06-01,265.76246883574913
2022-02-01,251.0,2022-07-01,263.5968829187997
2022-03-01,245.0,2022-08-01,261.4670000809509
2022-04-01,255.0,2022-09-01,259.3719389722508
2022-05-01,249.0,2022-10-01,257.3108471060369
2022-06-01,217.0,2022-11-01,255.2828996847744
2022-07-01,238.0,2022-12-01,253.28729848281966
2022-08-01,233.0,2023-01-01,251.32327078291277
2022-09-01,212.0,2023-02-01,249.39006836340675
2022-10-01,223.0,2023-03-01,247.48696653342802
2022-11-01,222.0,2023-04-01,245.61326321334124
2022-12-01,220.0,2023-05-01,243.76827805805294
2023-01-01,226.0,2023-06-01,241.95135162084216
2023-02-01,227.0,2023-07-01,240.16184455554622
2023-03-01,236.0,2023-08-01,238.39913685506423
2023-04-01,231.0,2023-09-01,236.66262712426084
2023-05-01,248.0,2023-10-01,234.9517318854707
2023-06-01,229.0,2023-11-01,233.26588491490818
2023-07-01,90.0,2023-12-01,231.604536608389
2023-08-01,79.0,2024-01-01,229.9671533748626
2023-09-01,214.0,2024-02-01,228.353217056342
2023-10-01,227.0,2024-03-01,226.76222437289866
