t,q,t_model,q_model
2019-02-01,12134.0,2021-10-01,4112.548230650558
2019-03-01,5251.0,2021-11-01,1988.248158994263
2019-04-01,9506.0,2021-12-01,1465.354110340729
2019-05-01,10872.0,2022-01-01,1204.3952604314065
2019-06-01,8071.0,2022-02-01,1042.027522607219
2019-07-01,6208.0,2022-03-01,928.9631099284388
2019-08-01,6637.0,2022-04-01,844.6106015342593
2019-09-01,6819.0,2022-05-01,778.6689307018835
2019-10-01,7637.0,2022-06-01,725.3477803151648
2019-11-01,8757.0,2022-07-01,681.113525699419
2019-12-01,6336.0,2022-08-01,643.6733962390495
2020-01-01,4010.0,2022-09-01,611.4672653726351
2020-02-01,4319.0,2022-10-01,583.3923833751709
2020-03-01,5405.0,2022-11-01,558.6446444605203
2020-04-01,3716.0,2022-12-01,536.6222872030414
2020-05-01,3157.0,2023-01-01,516.8649641474041
2020-06-01,2276.0,2023-02-01,499.0138008846571
2020-07-01,2033.0,2023-03-01,482.7844100500754
2020-08-01,1767.0,2023-04-01,467.94817510863123
2020-09-01,3321.0,2023-05-01,454.31896966681256
2020-10-01,3134.0,2023-06-01,441.7435420407381
2020-11-01,2721.0,2023-07-01,430.094427892992
2020-12-01,2961.0,2023-08-01,419.2646420385019
2021-01-01,2646.0,2023-09-01,409.16364516551045
2021-02-01,2020.0,2023-10-01,399.71423911360193
2021-03-01,3016.0,2023-11-01,390.8501484873006
2021-04-01,3063.0,2023-12-01,382.5141164222763
2021-05-01,4584.0,2024-01-01,374.6563902723307
2021-06-01,4885.0,2024-02-01,367.23350635236307
2021-07-01,9183.0,2024-03-01,360.2073064396376
2021-08-01,5154.0,2024-04-01,353.54413561091457
2021-09-01,4545.0,2024-05-01,347.2141832304864
2021-10-01,4130.0,2024-06-01,341.1909378831614
2021-11-01,1955.0,2024-07-01,335.4507337065597
2021-12-01,1187.0,2024-08-01,329.97237056790425
2022-01-01,1022.0,2024-09-01,324.73679430589067
2022-02-01,870.0,2024-10-01,319.72682613965225
2022-03-01,895.0,2024-11-01,314.9269325643545
2022-04-01,987.0,2024-12-01,310.32302877292983
2022-05-01,1361.0,2025-01-01,305.9023099873964
2022-06-01,510.0,2025-02-01,301.65310614062736
2022-07-01,1033.0,2025-03-01,297.564756186915
2022-08-01,979.0,2025-04-01,293.62749898708677
2022-09-01,873.0,2025-05-01,289.8323782489574
2022-10-01,736.0,2025-06-01,286.17115943520633
2022-11-01,829.0,2025-07-01,282.63625690031074
2022-12-01,766.0,2025-08-01,279.2206698028843
2023-01-01,807.0,2025-09-01,275.91792557280286
2023-02-01,601.0,2025-10-01,272.7220299041123
2023-03-01,704.0,2025-11-01,269.6274224029563
2023-04-01,197.0,2025-12-01,266.62893715100256
2023-05-01,293.0,2026-01-01,263.72176755412363
2023-06-01,548.0,2026-02-01,260.9014349374338
2023-07-01,654.0,2026-03-01,258.16376042442016
2023-08-01,384.0,2026-04-01,255.5048397024263
2023-09-01,598.0,2026-05-01,252.92102033126167
2023-10-01,237.0,2026-06-01,250.408881297907
2023-11-01,526.0,2026-07-01,247.9652145595719
2023-12-01,152.0,2026-08-01,245.58700835086094
2024-01-01,525.0,2026-09-01,243.27143205945754
2024-02-01,62.0,2026-10-01,241.01582249931388
2024-03-01,20.0,2026-11-01,238.81767143147087
2024-04-01,40.0,2026-12-01,236.6746142008592
2024-05-01,604.0,2027-01-01,234.58441937318884
2024-06-01,184.0,2027-02-01,232.54497926968912
2024-07-01,36.0,2027-03-01,230.5543013093219
2024-08-01,0.0,2027-04-01,228.61050007841632
2024-09-01,0.0,2027-05-01,226.71179005668466
2024-10-01,7.0,2027-06-01,224.85647893645668
2024-11-01,78.0,2027-07-01,223.04296147887345
2024-12-01,36.0,2027-08-01,221.2697138568439
2025-01-01,128.0,2027-09-01,219.5352884398982
2025-02-01,654.0,2027-10-01,217.83830898077358
,,2027-11-01,216.1774661677164
,,2027-12-01,214.55151351015698
,,2028-01-01,212.9592635286649
,,2028-02-01,211.3995842229814
,,2028-03-01,209.8713957944913
,,2028-04-01,208.37366760178423
,,2028-05-01,206.90541532999188
,,2028-06-01,205.4656983564108
,,2028-07-01,204.05361729654842
,,2028-08-01,202.66831171618955
,,2028-09-01,201.30895799638967
,,2028-10-01,199.97476733947735
,,2028-11-01,198.66498390520618
,,2028-12-01,197.3788830671484
,,2029-01-01,196.11576978028359
,,2029-02-01,194.87497705150875
,,2029-03-01,193.65586450550012
,,2029-04-01,192.45781703898953
,,2029-05-01,191.28024355709545
,,2029-06-01,190.12257578586795
,,2029-07-01,188.98426715568328
,,2029-08-01,187.86479175055266
,,2029-09-01,186.76364331880237
,,2029-10-01,185.6803343409395
,,2029-11-01,184.61439515084348
,,2029-12-01,183.56537310672
,,2030-01-01,182.5328318085264
,,2030-02-01,181.5163503588254
,,2030-03-01,180.51552266425188
,,2030-04-01,179.5299567749849
,,2030-05-01,178.5592742598094
,,2030-06-01,177.60310961452663
,,2030-07-01,176.66110970163265
,,2030-08-01,175.73293321933437
,,2030-09-01,174.81825019810694
,,2030-10-01,173.9167415231225
,,2030-11-01,173.02809848099633
,,2030-12-01,172.15202232940223
,,2031-01-01,171.28822388820797
,,2031-02-01,170.43642315087286
,,2031-03-01,169.5963489149324
,,2031-04-01,168.76773843047437
,,2031-05-01,167.95033706558073
,,2031-06-01,167.1438979877783
,,2031-07-01,166.34818186060195
,,2031-08-01,165.56295655443088
,,2031-09-01,164.78799687081326
,,2031-10-01,164.02308427954247
,,2031-11-01,163.26800666779516
,,2031-12-01,162.52255810068283
,,2032-01-01,161.78653859261016
,,2032-02-01,161.05975388886858
,,2032-03-01,160.34201525692876
,,2032-04-01,159.63313928692833
,,2032-05-01,158.93294770087996
,,2032-06-01,158.24126717015417
,,2032-07-01,157.55792914081613
,,2032-08-01,156.88276966642127
,,2032-09-01,156.2156292478962
,,2032-10-01,155.5563526801539
,,2032-11-01,154.90478890511108
,,2032-12-01,154.26079087079472
,,2033-01-01,153.62421539624313
,,2033-02-01,152.99492304192097
,,2033-03-01,152.3727779853861
,,2033-04-01,151.75764790195805
,,2033-05-01,151.1494038501526
,,2033-06-01,150.54792016165956
