t,q,t_model,q_model
2008-04-01,1765.0,2008-05-01,8418.685256549148
2008-05-01,8762.0,2008-06-01,6770.311020266428
2008-06-01,6290.0,2008-07-01,5794.06609368679
2008-07-01,5764.0,2008-08-01,5132.461339427335
2008-08-01,5247.0,2008-09-01,4647.248526753831
2008-09-01,4278.0,2008-10-01,4272.368469377995
2008-10-01,3832.0,2008-11-01,3971.809243744862
2008-11-01,3913.0,2008-12-01,3724.071807417663
2008-12-01,3437.0,2009-01-01,3515.435587722953
2009-01-01,3115.0,2009-02-01,3336.684103379683
2009-02-01,3469.0,2009-03-01,3181.369888536282
2009-03-01,3546.0,2009-04-01,3044.8312237401865
2009-04-01,3187.0,2009-05-01,2923.60399821831
2009-05-01,2967.0,2009-06-01,2815.053933239186
2009-06-01,2936.0,2009-07-01,2717.13787585803
2009-07-01,2796.0,2009-08-01,2628.2438778352634
2009-08-01,2722.0,2009-09-01,2547.08109090524
2009-09-01,2630.0,2009-10-01,2472.6021359502797
2009-10-01,2573.0,2009-11-01,2403.9472121156923
2009-11-01,2497.0,2009-12-01,2340.403105430357
2009-12-01,2507.0,2010-01-01,2281.372623875951
2010-01-01,2417.0,2010-02-01,2226.3514660012142
2010-02-01,2211.0,2010-03-01,2174.910478927355
2010-03-01,2291.0,2010-04-01,2126.6818834586725
2010-04-01,2249.0,2010-05-01,2081.3484599279072
2010-05-01,2195.0,2010-06-01,2038.6349717168289
2010-06-01,2101.0,2010-07-01,1998.3012996258744
2010-07-01,1698.0,2010-08-01,1960.1368982803172
2010-08-01,2462.0,2010-09-01,1923.9562842012429
2010-09-01,2166.0,2010-10-01,1889.59533630066
2010-10-01,2152.0,2010-11-01,1856.908241578121
2010-11-01,1538.0,2010-12-01,1825.764957263011
2010-12-01,2242.0,2011-01-01,1796.0490893888377
2011-01-01,1554.0,2011-02-01,1767.6561094705971
2011-02-01,2010.0,2011-03-01,1740.4918474651884
2011-03-01,1989.0,2011-04-01,1714.4712118703417
2011-04-01,1895.0,2011-05-01,1689.5170976275856
2011-05-01,1862.0,2011-06-01,1665.5594501443134
2011-06-01,1790.0,2011-07-01,1642.5344597571232
2011-07-01,1677.0,2011-08-01,1620.3838657076105
2011-08-01,1814.0,2011-09-01,1599.0543524798743
2011-09-01,1724.0,2011-10-01,1578.4970243727964
2011-10-01,1719.0,2011-11-01,1558.6669466139645
2011-11-01,1606.0,2011-12-01,1539.5227432916874
2011-12-01,1493.0,2012-01-01,1521.0262439836183
2012-01-01,1512.0,2012-02-01,1503.1421722700427
2012-02-01,879.0,2012-03-01,1485.8378703952887
2012-03-01,1618.0,2012-04-01,1469.0830552278132
2012-04-01,1781.0,2012-05-01,1452.8496014043583
2012-05-01,1623.0,2012-06-01,1437.1113481548161
2012-06-01,1437.0,2012-07-01,1421.843926814824
2012-07-01,1665.0,2012-08-01,1407.0246064608873
2012-08-01,1534.0,2012-09-01,1392.6321554626577
2012-09-01,0.0,2012-10-01,1378.6467170506994
2012-10-01,1745.0,2012-11-01,1365.0496972552705
2012-11-01,1853.0,2012-12-01,1351.8236637901393
2012-12-01,1623.0,2013-01-01,1338.9522546416445
