t,q,t_model,q_model
2018-06-01,12902.0,2018-11-01,16091.670613490798
2018-07-01,21021.0,2018-12-01,10547.394715868442
2018-08-01,23013.0,2019-01-01,7972.456416155459
2018-09-01,22024.0,2019-02-01,6464.668463353057
2018-10-01,16560.0,2019-03-01,5466.710959742774
2018-11-01,15879.0,2019-04-01,4753.76715724848
2018-12-01,11237.0,2019-05-01,4217.068768732231
2019-01-01,8683.0,2019-06-01,3797.329770657363
2019-02-01,5586.0,2019-07-01,3459.375537474854
2019-03-01,5460.0,2019-08-01,3180.965870885561
2019-04-01,3416.0,2019-09-01,2947.323686082752
2019-05-01,3728.0,2019-10-01,2748.2319780035123
2019-06-01,4811.0,2019-11-01,2576.3920377910586
2019-07-01,2728.0,2019-12-01,2426.4455393484645
2019-08-01,423.0,2020-01-01,2294.366436291716
2019-09-01,2855.0,2020-02-01,2177.068830537566
2019-10-01,4000.0,2020-03-01,2072.1461226533597
2019-11-01,2517.0,2020-04-01,1977.6927561543546
2019-12-01,3192.0,2020-05-01,1892.1795003863706
2020-01-01,3389.0,2020-06-01,1814.3643593669835
2020-02-01,3475.0,2020-07-01,1743.2277430091535
2020-03-01,3440.0,2020-08-01,1677.9245066404405
2020-04-01,2784.0,2020-09-01,1617.7479374163054
2020-05-01,2605.0,2020-10-01,1562.1023446716322
2020-06-01,2069.0,2020-11-01,1510.48194129953
2020-07-01,2293.0,2020-12-01,1462.454388957372
2020-08-01,2610.0,2021-01-01,1417.6478447380825
2020-09-01,1468.0,2021-02-01,1375.7406673192957
2020-10-01,1171.0,2021-03-01,1336.4531647926826
2020-11-01,536.0,2021-04-01,1299.5409254688136
2020-12-01,1170.0,2021-05-01,1264.7893873202122
2021-01-01,1390.0,2021-06-01,1232.0093849316156
2021-02-01,655.0,2021-07-01,1201.0334740399337
2021-03-01,1565.0,2021-08-01,1171.7128792498727
2021-04-01,1452.0,2021-09-01,1143.9149446659894
2021-05-01,785.0,2021-10-01,1117.520993052192
2021-06-01,1276.0,2021-11-01,1092.424518892468
2021-07-01,377.0,2021-12-01,1068.5296559451451
2021-08-01,948.0,2022-01-01,1045.7498716908494
2021-09-01,694.0,2022-02-01,1024.0068503013697
2021-10-01,985.0,2022-03-01,1003.2295330155705
2021-11-01,333.0,2022-04-01,983.3532905556021
2021-12-01,523.0,2022-05-01,964.3192067943645
2022-01-01,1252.0,2022-06-01,946.0734565523868
2022-02-01,702.0,2022-07-01,928.5667633561226
2022-03-01,838.0,2022-08-01,911.7539253812977
2022-04-01,777.0,2022-09-01,895.5933997509533
2022-05-01,751.0,2022-10-01,880.0469369487419
2022-06-01,910.0,2022-11-01,865.0792584145039
2022-07-01,779.0,2022-12-01,850.657771466681
2022-08-01,705.0,2023-01-01,836.7523165884915
2022-09-01,890.0,2023-02-01,823.3349428567345
2022-10-01,292.0,2023-03-01,810.3797079113261
