t,q,t_model,q_model
2018-03-01,19516.0,2019-09-01,15626.472228678216
2018-04-01,16907.0,2019-10-01,11377.665549327954
2018-05-01,18621.0,2019-11-01,8904.042792749175
2018-06-01,21825.0,2019-12-01,7291.479703081649
2018-07-01,23411.0,2020-01-01,6159.951172915674
2018-08-01,22137.0,2020-02-01,5323.714077181389
2018-09-01,21380.0,2020-03-01,4681.427801317348
2018-10-01,23139.0,2020-04-01,4173.193407743946
2018-11-01,20932.0,2020-05-01,3761.378259882478
2018-12-01,20528.0,2020-06-01,3421.1722655311523
2019-01-01,20433.0,2020-07-01,3135.568071767477
2019-02-01,20115.0,2020-08-01,2892.5247555285414
2019-03-01,17009.0,2020-09-01,2683.282950567739
2019-04-01,14517.0,2020-10-01,2501.3211973731877
2019-05-01,10942.0,2020-11-01,2341.6861045975043
2019-06-01,9239.0,2020-12-01,2200.5490948108877
2019-07-01,8193.0,2021-01-01,2074.905192599671
2019-08-01,8533.0,2021-02-01,1962.3635081131142
2019-09-01,15654.0,2021-03-01,1860.998463070444
2019-10-01,9864.0,2021-04-01,1769.242187303171
2019-11-01,9965.0,2021-05-01,1685.8053972592986
2019-12-01,8930.0,2021-06-01,1609.6183443860557
2020-01-01,7566.0,2021-07-01,1539.7861430156895
2020-02-01,5937.0,2021-08-01,1475.554557642355
2020-03-01,4865.0,2021-09-01,1416.2835038288626
2020-04-01,3583.0,2021-10-01,1361.4263101422798
2020-05-01,2353.0,2021-11-01,1310.513333101739
2020-06-01,4563.0,2021-12-01,1263.1388967250361
2020-07-01,3568.0,2022-01-01,1218.9507965746852
2020-08-01,2655.0,2022-02-01,1177.6418003150463
2020-09-01,891.0,2022-03-01,1138.942715996183
2020-10-01,1384.0,2022-04-01,1102.616701275642
2020-11-01,1677.0,2022-05-01,1068.4545623012418
2020-12-01,914.0,2022-06-01,1036.270847427655
2021-01-01,287.0,2022-07-01,1005.9005835243966
2021-02-01,30.0,2022-08-01,977.1965350335579
2021-03-01,810.0,2022-09-01,950.0268907865043
2021-04-01,1962.0,2022-10-01,924.2733027938344
2021-05-01,1818.0,2022-11-01,899.8292161712868
2021-06-01,2355.0,2022-12-01,876.5984410783509
2021-07-01,2144.0,2023-01-01,854.4939267848582
2021-08-01,1708.0,2023-02-01,833.4367053113422
2021-09-01,1835.0,2023-03-01,813.3549779391683
2021-10-01,1318.0,2023-04-01,794.1833225809728
2021-11-01,683.0,2023-05-01,775.8620037888365
2021-12-01,366.0,2023-06-01,758.3363702476079
2022-01-01,20.0,2023-07-01,741.556327101458
2022-02-01,115.0,2023-08-01,725.4758725079573
2022-03-01,165.0,2023-09-01,710.052689495587
2022-04-01,103.0,2023-10-01,695.2477855883731
2022-05-01,1037.0,2023-11-01,681.0251738111748
2022-06-01,760.0,2023-12-01,667.3515896455096
2022-07-01,1177.0,2024-01-01,654.1962393041631
2022-08-01,1137.0,2024-02-01,641.530575361638
2022-09-01,688.0,2024-03-01,629.3280963397019
2022-10-01,602.0,2024-04-01,617.5641673214129
2022-11-01,562.0,2024-05-01,606.2158590681009
2022-12-01,710.0,2024-06-01,595.2618034541556
2023-01-01,675.0,2024-07-01,584.6820633241188
2023-02-01,992.0,2024-08-01,574.4580151238044
2023-03-01,1214.0,2024-09-01,564.5722428687144
2023-04-01,2147.0,2024-10-01,555.0084421945453
2023-05-01,2031.0,2024-11-01,545.7513333907293
2023-06-01,1665.0,2024-12-01,536.7865824525984
2023-07-01,1556.0,2025-01-01,528.100729304154
2023-08-01,1890.0,2025-02-01,519.6811224442604
2023-09-01,1065.0,2025-03-01,511.5158593566412
2023-10-01,1128.0,2025-04-01,503.59373210025103
2023-11-01,1723.0,2025-05-01,495.9041775630361
2023-12-01,1530.0,2025-06-01,488.43723192016165
2024-01-01,2097.0,2025-07-01,481.1834888886092
2024-02-01,1893.0,2025-08-01,474.1340614146433
2024-03-01,1818.0,2025-09-01,467.2805464698333
2024-04-01,1644.0,2025-10-01,460.61499266582024
2024-05-01,1423.0,2025-11-01,454.12987042845253
2024-06-01,1471.0,2025-12-01,447.8180444987994
2024-07-01,1568.0,2026-01-01,441.67274855234945
2024-08-01,1439.0,2026-02-01,435.68756174879024
,,2026-03-01,429.85638704349554
,,2026-04-01,424.1734311084973
,,2026-05-01,418.6331857255456
,,2026-06-01,413.2304105270913
,,2026-07-01,407.960116972829
,,2026-08-01,402.8175534600105
,,2026-09-01,397.7981914751913
,,2026-10-01,392.8977127035619
,,2026-11-01,388.11199701963113
,,2026-12-01,383.4371112898757
,,2027-01-01,378.8692989241396
,,2027-02-01,374.4049701181167
,,2027-03-01,370.04069273426984
,,2027-04-01,365.7731837730615
,,2027-05-01,361.59930139047367
,,2027-06-01,357.5160374214965
,,2027-07-01,353.52051037262856
,,2027-08-01,349.6099588494827
,,2027-09-01,345.7817353883558
