t,q,t_model,q_model
2024-08-01,24089.0,2024-11-01,25000.0
2024-09-01,9769.0,2024-12-01,17007.663981976715
2024-10-01,22478.0,2025-01-01,13173.095099995324
2024-11-01,26072.0,2025-02-01,10877.734585693997
2024-12-01,24316.0,2025-03-01,9332.865521828595
2025-01-01,22514.0,2025-04-01,8214.17419676215
2025-02-01,15739.0,2025-05-01,7362.409122057858
,,2025-06-01,6689.704659425987
,,2025-07-01,6143.387925881815
,,2025-08-01,5689.853801594931
,,2025-09-01,5306.595200691532
,,2025-10-01,4977.938655897604
,,2025-11-01,4692.614478624419
,,2025-12-01,4442.299632262094
,,2026-01-01,4220.706039149297
,,2026-02-01,4022.9893449347287
,,2026-03-01,3845.3535583353905
,,2026-04-01,3684.77955588617
,,2026-05-01,3538.834261871691
,,2026-06-01,3405.533752008065
,,2026-07-01,3283.2432354646894
,,2026-08-01,3170.6027782040965
,,2026-09-01,3066.471326050222
,,2026-10-01,2969.883953946629
,,2026-11-01,2880.018818809933
,,2026-12-01,2796.171329435533
,,2027-01-01,2717.7337515608006
,,2027-02-01,2644.17895337697
,,2027-03-01,2575.0473387290767
,,2027-04-01,2509.936258603785
,,2027-05-01,2448.491366935696
,,2027-06-01,2390.3995147361707
,,2027-07-01,2335.3828709391128
,,2027-08-01,2283.1940286983527
,,2027-09-01,2233.6119087952598
,,2027-10-01,2186.4383119951544
,,2027-11-01,2141.4950029543324
,,2027-12-01,2098.621232020725
,,2028-01-01,2057.6716197307223
,,2028-02-01,2018.5143432591417
,,2028-03-01,1981.029575473404
,,2028-04-01,1945.1081362815232
,,2028-05-01,1910.6503231765448
,,2028-06-01,1877.5648936690595
,,2028-07-01,1845.768176970713
,,2028-08-01,1815.1832960804227
,,2028-09-01,1785.7394845131453
,,2028-10-01,1757.3714844398846
,,2028-11-01,1730.0190150877072
,,2028-12-01,1703.6263019668631
,,2029-01-01,1678.1416589173668
,,2029-02-01,1653.51711615423
,,2029-03-01,1629.7080884825318
,,2029-04-01,1606.6730786856726
,,2029-05-01,1584.3734117906235
,,2029-06-01,1562.7729965055917
,,2029-07-01,1541.8381106267666
,,2029-08-01,1521.5372076368242
,,2029-09-01,1501.8407420810054
,,2029-10-01,1482.7210116170102
,,2029-11-01,1464.1520139010727
,,2029-12-01,1446.1093167012916
,,2030-01-01,1428.5699398264042
,,2030-02-01,1411.5122476284484
,,2030-03-01,1394.9158509852095
,,2030-04-01,1378.761517796326
,,2030-05-01,1363.0310911382585
,,2030-06-01,1347.7074143203854
,,2030-07-01,1332.7742621693055
,,2030-08-01,1318.2162779426471
,,2030-09-01,1304.0189153388303
,,2030-10-01,1290.1683851264586
,,2030-11-01,1276.65160596742
,,2030-12-01,1263.456159052243
,,2031-01-01,1250.5702462055501
,,2031-02-01,1237.982651154232
,,2031-03-01,1225.6827036818147
,,2031-04-01,1213.660246419885
,,2031-05-01,1201.9056040518133
,,2031-06-01,1190.4095547257236
,,2031-07-01,1179.1633034930403
,,2031-08-01,1168.1584576062467
,,2031-09-01,1157.3870035249956
,,2031-10-01,1146.841285493583
,,2031-11-01,1136.513985565266
,,2031-12-01,1126.3981049600964
,,2032-01-01,1116.4869466530076
,,2032-02-01,1106.774099097979
,,2032-03-01,1097.2534210022682
,,2032-04-01,1087.9190270721053
,,2032-05-01,1078.765274657917
,,2032-06-01,1069.786751233191
,,2032-07-01,1060.9782626465867
,,2032-08-01,1052.3348220918442
,,2032-09-01,1043.8516397445806
,,2032-10-01,1035.5241130191491
,,2032-11-01,1027.3478174024815
,,2032-12-01,1019.3184978252233
,,2033-01-01,1011.4320605335884
,,2033-02-01,1003.684565428171
,,2033-03-01,996.0722188385577
,,2033-04-01,988.5913667049282
,,2033-05-01,981.2384881400144
,,2033-06-01,974.0101893467532
