t,q,t_model,q_model
2004-01-01,0.0,2004-08-01,23756.335692485736
2004-02-01,0.0,2004-09-01,17218.341806779787
2004-03-01,0.0,2004-10-01,13376.418863809662
2004-04-01,0.0,2004-11-01,10866.951156227497
2004-05-01,0.0,2004-12-01,9108.366361040482
2004-06-01,11881.0,2005-01-01,7812.457200590691
2004-07-01,26812.0,2005-02-01,6820.758851224809
2004-08-01,22810.0,2005-03-01,6039.211041911383
2004-09-01,17799.0,2005-04-01,5408.595583009257
2004-10-01,15445.0,2005-05-01,4889.844569031194
2004-11-01,11542.0,2005-06-01,4456.1830445589185
2004-12-01,9843.0,2005-07-01,4088.671060200317
2005-01-01,8089.0,2005-08-01,3773.548261471073
2005-02-01,5107.0,2005-09-01,3500.5862479047923
2005-03-01,5652.0,2005-10-01,3262.030062227973
2005-04-01,4962.0,2005-11-01,3051.897460186643
2005-05-01,4334.0,2005-12-01,2865.5027468200406
2005-06-01,3660.0,2006-01-01,2699.1256873066873
2005-07-01,3745.0,2006-02-01,2549.776551819319
2005-08-01,3687.0,2006-03-01,2415.026319240329
2005-09-01,3130.0,2006-04-01,2292.8819468045845
2005-10-01,2342.0,2006-05-01,2181.693381104038
2005-11-01,775.0,2006-06-01,2080.083296777606
2005-12-01,1479.0,2006-07-01,1986.8933544394995
2006-01-01,3148.0,2006-08-01,1901.1426307614038
2006-02-01,2999.0,2006-09-01,1821.9951308432346
2006-03-01,3296.0,2006-10-01,1748.7341561062328
2006-04-01,2345.0,2006-11-01,1680.7419024072615
2006-05-01,2457.0,2006-12-01,1617.4830880430445
2006-06-01,1485.0,2007-01-01,1558.4917154420566
2006-07-01,253.0,2007-02-01,1503.3602905898356
2006-08-01,602.0,2007-03-01,1451.730985507628
2006-09-01,758.0,2007-04-01,1403.2883484195577
2006-10-01,645.0,2007-05-01,1357.7532553720628
2006-11-01,1660.0,2007-06-01,1314.8778642532955
2006-12-01,2694.0,2007-07-01,1274.4413832347739
2007-01-01,1370.0,2007-08-01,1236.246504797263
2007-02-01,4270.0,2007-09-01,1200.1163867236403
2007-03-01,3503.0,2007-10-01,1165.8920849426192
2007-04-01,2332.0,2007-11-01,1133.4303615063598
2007-05-01,2292.0,2007-12-01,1102.60180548212
2007-06-01,1792.0,2008-01-01,1073.2892160301644
2007-07-01,1489.0,2008-02-01,1045.3862061026641
2007-08-01,773.0,2008-03-01,1018.7959925436423
2007-09-01,495.0,2008-04-01,993.4303442893971
2007-10-01,372.0,2008-05-01,969.2086651628388
2007-11-01,116.0,2008-06-01,946.0571916563033
2007-12-01,539.0,2008-07-01,923.908289286377
2008-01-01,298.0,2008-08-01,902.6998337224501
2008-02-01,431.0,2008-09-01,882.3746650492432
2008-03-01,419.0,2008-10-01,862.8801053102216
2008-04-01,364.0,2008-11-01,844.1675309633874
2008-05-01,349.0,2008-12-01,826.191993118984
2008-06-01,786.0,2009-01-01,808.9118794648336
2008-07-01,945.0,2009-02-01,792.288612655137
2008-08-01,1279.0,2009-03-01,776.2863806716617
2008-09-01,1033.0,2009-04-01,760.8718952858385
2008-10-01,1379.0,2009-05-01,746.0141752755233
2008-11-01,1130.0,2009-06-01,731.684351496769
2008-12-01,982.0,2009-07-01,717.8554912917089
2009-01-01,894.0,2009-08-01,704.5024400391937
2009-02-01,763.0,2009-09-01,691.6016779338796
2009-03-01,825.0,2009-10-01,679.1311903192849
2009-04-01,922.0,2009-11-01,667.0703501069414
2009-05-01,1009.0,2009-12-01,655.3998109921962
2009-06-01,1006.0,2010-01-01,644.1014103316552
2009-07-01,949.0,2010-02-01,633.1580806812453
2009-08-01,982.0,2010-03-01,622.5537691103538
2009-09-01,911.0,2010-04-01,612.273363508986
2009-10-01,983.0,2010-05-01,602.3026251934878
2009-11-01,968.0,2010-06-01,592.6281271938702
2009-12-01,996.0,2010-07-01,583.2371976737099
2010-01-01,853.0,2010-08-01,574.1178679932342
2010-02-01,822.0,2010-09-01,565.2588249786727
2010-03-01,1104.0,2010-10-01,556.649367007191
2010-04-01,959.0,2010-11-01,548.2793635575367
2010-05-01,955.0,2010-12-01,540.1392179126202
2010-06-01,658.0,2011-01-01,532.2198327322147
2010-07-01,798.0,2011-02-01,524.5125782423147
2010-08-01,807.0,2011-03-01,517.0092628128863
2010-09-01,749.0,2011-04-01,509.7021057181544
2010-10-01,658.0,2011-05-01,502.58371189355074
2010-11-01,399.0,2011-06-01,495.64704852126613
2010-12-01,669.0,2011-07-01,488.8854232922849
2011-01-01,1068.0,2011-08-01,482.29246420702816
2011-02-01,887.0,2011-09-01,475.86210078950785
2011-03-01,753.0,2011-10-01,469.5885466013492
2011-04-01,741.0,2011-11-01,463.4662829523375
2011-05-01,783.0,2011-12-01,457.4900437133982
2011-06-01,668.0,2012-01-01,451.6548011462633
2011-07-01,653.0,2012-02-01,445.9557526715908
2011-08-01,684.0,2012-03-01,440.3883085040905
2011-09-01,632.0,2012-04-01,434.94808008934336
2011-10-01,704.0,2012-05-01,429.6308692825466
2011-11-01,697.0,2012-06-01,424.4326582144438
2011-12-01,526.0,2012-07-01,419.34959979425116
2012-01-01,277.0,2012-08-01,414.37800880352813
2012-02-01,976.0,2012-09-01,409.5143535386942
2012-03-01,635.0,2012-10-01,404.75524796330944
2012-04-01,312.0,2012-11-01,400.09744433434605
2012-05-01,804.0,2012-12-01,395.5378262695087
2012-06-01,717.0,2013-01-01,391.07340222524743
2012-07-01,528.0,2013-02-01,386.7012993574623
2012-08-01,469.0,2013-03-01,382.4187577390553
2012-09-01,513.0,2013-04-01,378.2231249104549
2012-10-01,474.0,2013-05-01,374.1118507410394
2012-11-01,308.0,2013-06-01,370.0824825810416
2012-12-01,558.0,2013-07-01,366.13266068502685
2013-01-01,489.0,2013-08-01,362.26011388942794
2013-02-01,364.0,2013-09-01,358.4626555278975
2013-03-01,588.0,2013-10-01,354.73817956940735
2013-04-01,468.0,2013-11-01,351.08465696510706
2013-05-01,409.0,2013-12-01,347.5001321909414
2013-06-01,516.0,2014-01-01,343.9827199739453
2013-07-01,481.0,2014-02-01,340.53060219097415
2013-08-01,356.0,2014-03-01,337.1420249294057
2013-09-01,472.0,2014-04-01,333.8152957000672
2013-10-01,489.0,2014-05-01,330.5487807933037
2013-11-01,435.0,2014-06-01,327.34090276971654
2013-12-01,424.0,2014-07-01,324.19013807766726
2014-01-01,446.0,2014-08-01,321.09501479016546
2014-02-01,639.0,2014-09-01,318.05411045424825
2014-03-01,263.0,2014-10-01,315.0660500464022
2014-04-01,506.0,2014-11-01,312.12950402800624
2014-05-01,258.0,2014-12-01,309.2431864951493
2014-06-01,81.0,2015-01-01,306.40585341754695
2014-07-01,354.0,2015-02-01,303.6163009616075
2014-08-01,641.0,2015-03-01,300.8733638930125
2014-09-01,673.0,2015-04-01,298.1759140544646
2014-10-01,644.0,2015-05-01,295.5228589145235
2014-11-01,524.0,2015-06-01,292.91314018370224
2014-12-01,468.0,2015-07-01,290.3457324942285
2015-01-01,0.0,2015-08-01,287.8196421400931
2015-02-01,605.0,2015-09-01,285.33390587421013
2015-03-01,282.0,2015-10-01,282.88758975970364
2015-04-01,135.0,2015-11-01,280.4797880725103
2015-05-01,443.0,2015-12-01,278.10962225265473
2015-06-01,408.0,2016-01-01,275.77623990170616
2015-07-01,432.0,2016-02-01,273.4788138240707
2015-08-01,417.0,2016-03-01,271.21654110990795
2015-09-01,432.0,2016-04-01,268.98864225758706
2015-10-01,498.0,2016-05-01,266.79436033371445
2015-11-01,439.0,2016-06-01,264.63296016887756
2015-12-01,433.0,2016-07-01,262.5037275873527
2016-01-01,412.0,2016-08-01,260.4059686691207
2016-02-01,239.0,2016-09-01,258.33900904262697
2016-03-01,595.0,2016-10-01,256.30219320680834
2016-04-01,512.0,2016-11-01,254.29488388098818
2016-05-01,517.0,2016-12-01,252.31646138131754
2016-06-01,450.0,2017-01-01,250.36632302251186
2016-07-01,495.0,2017-02-01,248.44388254369807
2016-08-01,452.0,2017-03-01,246.54856955725063
2016-09-01,378.0,2017-04-01,244.67982901955406
2016-10-01,410.0,2017-05-01,242.83712072268463
2016-11-01,388.0,2017-06-01,241.01991880605712
2016-12-01,396.0,2017-07-01,239.22771128713055
2017-01-01,308.0,2017-08-01,237.45999961031458
2017-02-01,331.0,2017-09-01,235.716298213262
2017-03-01,403.0,2017-10-01,233.99613410977176
2017-04-01,384.0,2017-11-01,232.29904648857035
2017-05-01,371.0,2017-12-01,230.62458632727208
2017-06-01,368.0,2018-01-01,228.97231602085458
2017-07-01,255.0,2018-02-01,227.341809024021
2017-08-01,336.0,2018-03-01,225.73264950684776
2017-09-01,420.0,2018-04-01,224.14443202314902
2017-10-01,352.0,2018-05-01,222.5767611910145
2017-11-01,345.0,2018-06-01,221.0292513850053
2017-12-01,261.0,2018-07-01,219.50152643951603
2018-01-01,325.0,2018-08-01,217.99321936283513
2018-02-01,242.0,2018-09-01,216.50397206145814
2018-03-01,349.0,2018-10-01,215.03343507422875
2018-04-01,292.0,2018-11-01,213.58126731590303
2018-05-01,294.0,2018-12-01,212.14713582975173
2018-06-01,285.0,2019-01-01,210.730715548831
2018-07-01,212.0,2019-02-01,209.33168906557245
2018-08-01,311.0,2019-03-01,207.94974640935624
2018-09-01,237.0,2019-04-01,206.58458483174832
2018-10-01,153.0,2019-05-01,205.23590859909652
2018-11-01,349.0,2019-06-01,203.90342879219392
2018-12-01,386.0,2019-07-01,202.58686311273175
2019-01-01,369.0,2019-08-01,201.28593569627515
2019-02-01,398.0,2019-09-01,200.0003769315086
2019-03-01,330.0,2019-10-01,198.72992328550754
2019-04-01,222.0,2019-11-01,197.47431713480407
2019-05-01,296.0,2019-12-01,196.2333066020252
2019-06-01,258.0,2020-01-01,195.00664539789028
2019-07-01,271.0,2020-02-01,193.7940926683655
2019-08-01,285.0,2020-03-01,192.59541284677977
2019-09-01,293.0,2020-04-01,191.41037551071693
2019-10-01,148.0,2020-05-01,190.2387552435052
2019-11-01,345.0,2020-06-01,189.08033150013364
2019-12-01,279.0,2020-07-01,187.93488847743157
2020-01-01,251.0,2020-08-01,186.8022149883549
2020-02-01,225.0,2020-09-01,185.6821043402287
2020-03-01,272.0,2020-10-01,184.5743542168023
2020-04-01,272.0,2020-11-01,183.47876656397875
2020-05-01,251.0,2020-12-01,182.3951474790866
2020-06-01,280.0,2021-01-01,181.32330710356675
2020-07-01,319.0,2021-02-01,180.2630595189527
2020-08-01,225.0,2021-03-01,179.2142226460274
2020-09-01,232.0,2021-04-01,178.17661814704456
2020-10-01,264.0,2021-05-01,177.15007133090663
2020-11-01,242.0,2021-06-01,176.134411061196
2020-12-01,262.0,2021-07-01,175.1294696669606
2021-01-01,287.0,2021-08-01,174.13508285615788
2021-02-01,209.0,2021-09-01,173.15108963166614
2021-03-01,251.0,2021-10-01,172.1773322097748
2021-04-01,242.0,2021-11-01,171.21365594106916
2021-05-01,227.0,2021-12-01,170.2599092336281
2021-06-01,263.0,2022-01-01,169.315943478457
2021-07-01,224.0,2022-02-01,168.38161297707993
2021-08-01,241.0,2022-03-01,167.45677487121964
2021-09-01,253.0,2022-04-01,166.54128907449507
2021-10-01,167.0,2022-05-01,165.63501820606936
2021-11-01,256.0,2022-06-01,164.73782752618501
2021-12-01,263.0,2022-07-01,163.84958487352236
2022-01-01,247.0,2022-08-01,162.97016060432387
2022-02-01,234.0,2022-09-01,162.09942753322423
2022-03-01,233.0,2022-10-01,161.23726087573328
2022-04-01,239.0,2022-11-01,160.3835381923169
