t,q,t_model,q_model
2013-11-01,8974.0,2013-12-01,13368.133946572418
2013-12-01,13653.0,2014-01-01,9108.49387011732
2014-01-01,8411.0,2014-02-01,7103.361514461927
2014-02-01,6746.0,2014-03-01,5907.796010512153
2014-03-01,5983.0,2014-04-01,5102.721242227904
2014-04-01,5215.0,2014-05-01,4518.482153946317
2014-05-01,4777.0,2014-06-01,4072.395554991247
2014-06-01,3358.0,2014-07-01,3719.011902927426
2014-07-01,4626.0,2014-08-01,3431.1319743782487
2014-08-01,3663.0,2014-09-01,3191.411859238918
2014-09-01,3163.0,2014-10-01,2988.233124998902
2014-10-01,3329.0,2014-11-01,2813.499603103065
2014-11-01,2817.0,2014-12-01,2661.3843384085544
2014-12-01,3071.0,2015-01-01,2527.578979334598
2015-01-01,470.0,2015-02-01,2408.824396670745
2015-02-01,3653.0,2015-03-01,2302.606338307005
2015-03-01,2851.0,2015-04-01,2206.9518883238966
2015-04-01,2556.0,2015-05-01,2120.289648113047
2015-05-01,2258.0,2015-06-01,2041.3514164340174
2015-06-01,1992.0,2015-07-01,1969.10161040758
2015-07-01,2370.0,2015-08-01,1902.6856633896728
2015-08-01,1877.0,2015-09-01,1841.3916738925923
2015-09-01,2117.0,2015-10-01,1784.6214793056672
2015-10-01,1750.0,2015-11-01,1731.8685452064065
2015-11-01,1978.0,2015-12-01,1682.700858113689
2015-12-01,1799.0,2016-01-01,1636.7475420225442
2016-01-01,1571.0,2016-02-01,1593.6882812826916
2016-02-01,1603.0,2016-03-01,1553.2448828831002
2016-03-01,1855.0,2016-04-01,1515.174487082923
2016-04-01,1380.0,2016-05-01,1479.2640605463946
2016-05-01,1374.0,2016-06-01,1445.325896442275
2016-06-01,1631.0,2016-07-01,1413.1939118729608
2016-07-01,1496.0,2016-08-01,1382.7205816319672
2016-08-01,1418.0,2016-09-01,1353.7743835492063
2016-09-01,1357.0,2016-10-01,1326.2376579807553
2016-10-01,1378.0,2016-11-01,1300.0048047354828
2016-11-01,1307.0,2016-12-01,1274.9807566159689
2016-12-01,1352.0,2017-01-01,1251.0796810174556
2017-01-01,1485.0,2017-02-01,1228.223870571649
2017-02-01,1168.0,2017-03-01,1206.3427912992663
2017-03-01,1266.0,2017-04-01,1185.3722626327933
2017-04-01,1003.0,2017-05-01,1165.2537483521357
2017-05-01,1394.0,2017-06-01,1145.933741213888
2017-06-01,1152.0,2017-07-01,1127.3632270568655
2017-07-01,1166.0,2017-08-01,1109.4972165903725
2017-08-01,928.0,2017-09-01,1092.2943350388036
2017-09-01,1084.0,2017-10-01,1075.7164614205433
2017-10-01,1102.0,2017-11-01,1059.7284105536978
2017-11-01,1088.0,2017-12-01,1044.2976519631975
2017-12-01,1032.0,2018-01-01,1029.3940607581503
2018-01-01,1008.0,2018-02-01,1014.9896962906082
2018-02-01,996.0,2018-03-01,1001.0586050253866
2018-03-01,1022.0,2018-04-01,987.5766445678411
2018-04-01,978.0,2018-05-01,974.5213262306785
2018-05-01,990.0,2018-06-01,961.8716738865721
2018-06-01,781.0,2018-07-01,949.6080971623835
2018-07-01,1097.0,2018-08-01,937.7122772927926
2018-08-01,923.0,2018-09-01,926.1670641739339
2018-09-01,880.0,2018-10-01,914.9563833476642
2018-10-01,902.0,2018-11-01,904.0651518096315
2018-11-01,1056.0,2018-12-01,893.4792016737298
2018-12-01,713.0,2019-01-01,883.1852108454209
2019-01-01,865.0,2019-02-01,873.1706399597851
2019-02-01,786.0,2019-03-01,863.4236749295153
2019-03-01,844.0,2019-04-01,853.9331745254916
2019-04-01,805.0,2019-05-01,844.6886224798124
2019-05-01,824.0,2019-06-01,835.6800836596772
2019-06-01,785.0,2019-07-01,826.898163911571
2019-07-01,797.0,2019-08-01,818.3339732198247
2019-08-01,785.0,2019-09-01,809.9790918627136
2019-09-01,964.0,2019-10-01,801.8255392835704
2019-10-01,595.0,2019-11-01,793.8657454245513
2019-11-01,765.0,2019-12-01,786.0925242972813
2019-12-01,735.0,2020-01-01,778.4990495880606
2020-01-01,781.0,2020-02-01,771.0788321160611
2020-02-01,712.0,2020-03-01,763.82569898131
2020-03-01,728.0,2020-04-01,756.7337742555653
2020-04-01,711.0,2020-05-01,749.7974610836609
2020-05-01,914.0,2020-06-01,743.0114250758007
2020-06-01,503.0,2020-07-01,736.3705788827688
2020-07-01,699.0,2020-08-01,729.8700678562794
2020-08-01,703.0,2020-09-01,723.5052567058663
2020-09-01,140.0,2020-10-01,717.2717170719186
2020-10-01,523.0,2020-11-01,711.165215941839
2020-11-01,845.0,2020-12-01,705.1817048428973
2020-12-01,513.0,2021-01-01,699.3173097513104
2021-01-01,705.0,2021-02-01,693.5683216624144
2021-02-01,238.0,2021-03-01,687.9311877716195
2021-03-01,934.0,2021-04-01,682.4025032201887
2021-04-01,713.0,2021-05-01,676.9790033638102
2021-05-01,649.0,2021-06-01,671.6575565254835
2021-06-01,836.0,2021-07-01,666.435157197464
2021-07-01,444.0,2021-08-01,661.3089196599209
2021-08-01,615.0,2021-09-01,656.2760719866184
2021-09-01,742.0,2021-10-01,651.3339504103286
2021-10-01,450.0,2021-11-01,646.4799940228775
2021-11-01,588.0,2021-12-01,641.711739786713
2021-12-01,589.0,2022-01-01,637.0268178367013
2022-01-01,445.0,2022-02-01,632.4229470525131
2022-02-01,537.0,2022-03-01,627.89793088347
2022-03-01,593.0,2022-04-01,623.4496534091081
2022-04-01,547.0,2022-05-01,619.0760756199724
2022-05-01,558.0,2022-06-01,614.7752319043213
2022-06-01,519.0,2022-07-01,610.5452267274719
2022-07-01,555.0,2022-08-01,606.3842314914947
2022-08-01,451.0,2022-09-01,602.29048156386
2022-09-01,23.0,2022-10-01,598.2622734644522
2022-10-01,989.0,2022-11-01,594.2979622011294
2022-11-01,378.0,2022-12-01,590.395958744695
2022-12-01,565.0,2023-01-01,586.5547276347895
2023-01-01,668.0,2023-02-01,582.7727847087983
2023-02-01,436.0,2023-03-01,579.048694946415
2023-03-01,390.0,2023-04-01,575.3810704230024
2023-04-01,715.0,2023-05-01,571.768568365354
2023-05-01,512.0,2023-06-01,568.2098893038902
2023-06-01,521.0,2023-07-01,564.7037753157161
2023-07-01,499.0,2023-08-01,561.2490083533382
2023-08-01,492.0,2023-09-01,557.8444086541729
2023-09-01,473.0,2023-10-01,554.4888332262974
2023-10-01,508.0,2023-11-01,551.1811744061861
2023-11-01,478.0,2023-12-01,547.9203584844414
2023-12-01,505.0,2024-01-01,544.705344395788
2024-01-01,450.0,2024-02-01,541.535122469824
2024-02-01,460.0,2024-03-01,538.40871323925
2024-03-01,516.0,2024-04-01,535.3251663024882
2024-04-01,481.0,2024-05-01,532.2835592378029
2024-05-01,185.0,2024-06-01,529.2829965662011
2024-06-01,605.0,2024-07-01,526.3226087605601
2024-07-01,545.0,2024-08-01,523.4015512985801
2024-08-01,511.0,2024-09-01,520.5190037573003
2024-09-01,455.0,2024-10-01,517.6741689470533
2024-10-01,495.0,2024-11-01,514.8662720828548
,,2024-12-01,512.0945599913407
,,2025-01-01,509.3583003514736
,,2025-02-01,506.6567809673424
,,2025-03-01,503.9893090714727
,,2025-04-01,501.3552106571533
,,2025-05-01,498.7538298383726
,,2025-06-01,496.18452823602985
,,2025-07-01,493.64668438916425
