t,q,t_model,q_model
2019-11-01,777.0,2022-07-01,1491.0572664859826
2019-12-01,5153.0,2022-08-01,982.4108230826517
2020-01-01,6244.0,2022-09-01,815.5664276666529
2020-02-01,5098.0,2022-10-01,722.3927782252676
2020-03-01,4998.0,2022-11-01,660.111525133686
2020-04-01,3547.0,2022-12-01,614.3885179447266
2020-05-01,3594.0,2023-01-01,578.8168938858015
2020-06-01,4569.0,2023-02-01,550.0264983091728
2020-07-01,4293.0,2023-03-01,526.0454552518282
2020-08-01,5132.0,2023-04-01,505.6295240642469
2020-09-01,4896.0,2023-05-01,487.9479234184977
2020-10-01,5053.0,2023-06-01,472.420981379102
2020-11-01,4775.0,2023-07-01,458.6297173580798
2020-12-01,4961.0,2023-08-01,446.2624125912213
2021-01-01,4691.0,2023-09-01,435.0814817348226
2021-02-01,2793.0,2023-10-01,424.9020958112993
2021-03-01,5658.0,2023-11-01,415.5779158961993
2021-04-01,4683.0,2023-12-01,406.9912941914296
2021-05-01,3055.0,2024-01-01,399.04637374179003
2021-06-01,3993.0,2024-02-01,391.66412232057286
2021-07-01,4463.0,2024-03-01,384.7786889942534
2021-08-01,3247.0,2024-04-01,378.33468504637443
2021-09-01,2831.0,2024-05-01,372.28512350456856
2021-10-01,2234.0,2024-06-01,366.58983612598234
2021-11-01,2002.0,2024-07-01,361.21424197312086
2021-12-01,2173.0,2024-08-01,356.12837858915447
2022-01-01,2141.0,2024-09-01,351.3061318545547
2022-02-01,1986.0,2024-10-01,346.7246179505052
2022-03-01,1904.0,2024-11-01,342.36368304203535
2022-04-01,1518.0,2024-12-01,338.20549498271134
2022-05-01,1444.0,2025-01-01,334.2342076202587
2022-06-01,1711.0,2025-02-01,330.435682873934
2022-07-01,1482.0,2025-03-01,326.7972591511289
2022-08-01,1061.0,2025-04-01,323.3075572101912
2022-09-01,778.0,2025-05-01,319.9563164939056
2022-10-01,725.0,2025-06-01,316.73425641923797
2022-11-01,630.0,2025-07-01,313.63295823203566
2022-12-01,568.0,2025-08-01,310.6447639056215
2023-01-01,480.0,2025-09-01,307.7626892416828
2023-02-01,615.0,2025-10-01,304.98034886617734
2023-03-01,580.0,2025-11-01,302.29189123601003
2023-04-01,480.0,2025-12-01,299.6919421092914
2023-05-01,565.0,2026-01-01,297.17555520218724
2023-06-01,415.0,2026-02-01,294.7381689731943
2023-07-01,441.0,2026-03-01,292.37556865226094
2023-08-01,414.0,2026-04-01,290.0838527760421
2023-09-01,486.0,2026-05-01,287.859403608393
2023-10-01,382.0,2026-06-01,285.6988609221201
2023-11-01,442.0,2026-07-01,283.5990986981025
2023-12-01,381.0,2026-08-01,281.55720436435854
2024-01-01,349.0,2026-09-01,279.5704602530232
2024-02-01,376.0,2026-10-01,277.63632699953166
2024-03-01,388.0,2026-11-01,275.75242864721054
2024-04-01,400.0,2026-12-01,273.916539253268
2024-05-01,384.0,2027-01-01,272.126570819893
2024-06-01,366.0,2027-02-01,270.3805623977016
2024-07-01,414.0,2027-03-01,268.6766702287851
2024-08-01,414.0,2027-04-01,267.0131588137077
,,2027-05-01,265.3883928014368
,,2027-06-01,263.80082961375496
,,2027-07-01,262.24901272652295
,,2027-08-01,260.7315655395049
,,2027-09-01,259.2471857745516
,,2027-10-01,257.7946403489514
,,2027-11-01,256.3727606768612
,,2027-12-01,254.98043835704527
,,2028-01-01,253.61662120979904
,,2028-02-01,252.28030962999898
,,2028-03-01,250.9705532267919
,,2028-04-01,249.68644772357283
,,2028-05-01,248.4271320946641
,,2028-06-01,247.1917859175486
,,2028-07-01,245.9796269216654
,,2028-08-01,244.78990871668668
,,2028-09-01,243.62191868488938
,,2028-10-01,242.47497602374222
,,2028-11-01,241.34842992616777
,,2028-12-01,240.2416578871376
,,2029-01-01,239.15406412632385
,,2029-02-01,238.08507811748765
,,2029-03-01,237.03415321613915
,,2029-04-01,236.00076537777153
,,2029-05-01,234.9844119596616
,,2029-06-01,233.98461059984749
,,2029-07-01,233.00089816745572
,,2029-08-01,232.0328297790498
,,2029-09-01,231.07997787613053
,,2029-10-01,230.14193135932743
,,2029-11-01,229.2182947751938
,,2029-12-01,228.30868755185455
,,2030-01-01,227.41274328006293
,,2030-02-01,226.53010903649962
,,2030-03-01,225.66044474640003
,,2030-04-01,224.8034225828271
,,2030-05-01,223.95872640011498
,,2030-06-01,223.12605119920178
,,2030-07-01,222.30510262274237
,,2030-08-01,221.49559647805398
,,2030-09-01,220.6972582860918
,,2030-10-01,219.9098228547856
,,2030-11-01,219.1330338751921
,,2030-12-01,218.36664353902898
,,2031-01-01,217.61041217626007
,,2031-02-01,216.86410791149692
,,2031-03-01,216.1275063380675
,,2031-04-01,215.40039020868514
,,2031-05-01,214.68254914172306
,,2031-06-01,213.9737793421691
,,2031-07-01,213.27388333639828
,,2031-08-01,212.58266971995786
,,2031-09-01,211.89995291761468
,,2031-10-01,211.22555295496375
,,2031-11-01,210.55929524094208
,,2031-12-01,209.9010103606362
,,2032-01-01,209.25053387780954
,,2032-02-01,208.60770614661374
,,2032-03-01,207.97237213198076
,,2032-04-01,207.34438123822545
,,2032-05-01,206.72358714541656
,,2032-06-01,206.10984765310207
,,2032-07-01,205.50302453099943
,,2032-08-01,204.9029833762858
,,2032-09-01,204.30959347714474
,,2032-10-01,203.72272768224636
,,2032-11-01,203.14226227585718
,,2032-12-01,202.56807685829406
