t,q,t_model,q_model
2017-09-01,5015.0,2019-03-01,6140.0630372134965
2017-10-01,18925.0,2019-04-01,3323.976476914324
2017-11-01,17204.0,2019-05-01,2399.914448208788
2017-12-01,12712.0,2019-06-01,1919.9282303621721
2018-01-01,6246.0,2019-07-01,1619.8912112170044
2018-02-01,5884.0,2019-08-01,1412.1162109114514
2018-03-01,9987.0,2019-09-01,1258.5075465403334
2018-04-01,7152.0,2019-10-01,1139.6575170995109
2018-05-01,1701.0,2019-11-01,1044.565806263476
2018-06-01,4160.0,2019-12-01,966.4989780831506
2018-07-01,3152.0,2020-01-01,901.0882148657403
2018-08-01,10989.0,2020-02-01,845.3663150213717
2018-09-01,3145.0,2020-03-01,797.2423082707203
2018-10-01,799.0,2020-04-01,755.1972143320247
2018-11-01,5348.0,2020-05-01,718.0990689580477
2018-12-01,5754.0,2020-06-01,685.0858045806403
2019-01-01,3431.0,2020-07-01,655.4885013598422
2019-02-01,7286.0,2020-08-01,628.7795876597281
2019-03-01,6071.0,2020-09-01,604.5369728396436
2019-04-01,3768.0,2020-10-01,582.4186483979311
2019-05-01,2163.0,2020-11-01,562.1443418721299
2019-06-01,1946.0,2020-12-01,543.4820289972475
2019-07-01,1906.0,2021-01-01,526.2378594127163
2019-08-01,1754.0,2021-02-01,510.2485238793988
2019-09-01,675.0,2021-03-01,495.37539605204864
2019-10-01,367.0,2021-04-01,481.49998299822084
2019-11-01,685.0,2021-05-01,468.5203538511671
2019-12-01,768.0,2021-06-01,456.3483084617918
2020-01-01,1090.0,2021-07-01,444.9071121940774
2020-02-01,580.0,2021-08-01,434.1296683503908
2020-03-01,870.0,2021-09-01,423.9570321337386
2020-04-01,804.0,2021-10-01,414.33719352819367
2020-05-01,609.0,2021-11-01,405.22407367398836
2020-06-01,640.0,2021-12-01,396.5766920466114
2020-07-01,638.0,2022-01-01,388.3584712732774
2020-08-01,918.0,2022-02-01,380.53665361147597
2020-09-01,590.0,2022-03-01,373.0818085924287
2020-10-01,769.0,2022-04-01,365.9674155400738
2020-11-01,497.0,2022-05-01,359.1695079335126
2020-12-01,517.0,2022-06-01,352.6663691209884
2021-01-01,566.0,2022-07-01,346.4382708881051
2021-02-01,391.0,2022-08-01,340.4672479595794
2021-03-01,525.0,2022-09-01,334.73690276773874
2021-04-01,596.0,2022-10-01,329.2322358241436
2021-05-01,310.0,2022-11-01,323.939497837782
2021-06-01,413.0,2022-12-01,318.8460603760426
2021-07-01,433.0,2023-01-01,313.94030239530485
2021-08-01,405.0,2023-02-01,309.2115104014272
2021-09-01,532.0,2023-03-01,304.64979035610276
2021-10-01,465.0,2023-04-01,300.24598973821685
2021-11-01,431.0,2023-05-01,295.99162841199563
2021-12-01,460.0,2023-06-01,291.8788371553952
2022-01-01,482.0,2023-07-01,287.90030287040815
2022-02-01,477.0,2023-08-01,284.04921963783806
2022-03-01,486.0,2023-09-01,280.3192448974682
2022-04-01,638.0,2023-10-01,276.7044601343635
2022-05-01,365.0,2023-11-01,273.19933553648974
2022-06-01,533.0,2023-12-01,269.7986981604907
2022-07-01,518.0,2024-01-01,266.49770320346335
2022-08-01,406.0,2024-02-01,263.29180803065213
2022-09-01,661.0,2024-03-01,260.1767486535616
2022-10-01,451.0,2024-04-01,257.14851839126754
2022-11-01,387.0,2024-05-01,254.20334848064866
2022-12-01,369.0,2024-06-01,251.33769042968976
2023-01-01,423.0,2024-07-01,248.54819993260148
2023-02-01,333.0,2024-08-01,245.83172218682375
2023-03-01,254.0,2024-09-01,243.1852784705149
2023-04-01,239.0,2024-10-01,240.60605385527026
2023-05-01,438.0,2024-11-01,238.0913859429056
2023-06-01,449.0,2024-12-01,235.63875452746797
2023-07-01,420.0,2025-01-01,233.24577209443993
2023-08-01,258.0,2025-02-01,230.91017507859263
2023-09-01,184.0,2025-03-01,228.6298158102927
2023-10-01,183.0,2025-04-01,226.40265508742777
2023-11-01,167.0,2025-05-01,224.22675531661685
2023-12-01,452.0,2025-06-01,222.1002741731217
2024-01-01,176.0,2025-07-01,220.02145873397222
2024-02-01,128.0,2025-08-01,217.98864004334217
2024-03-01,171.0,2025-09-01,216.00022807323413
2024-04-01,177.0,2025-10-01,214.0547070461139
2024-05-01,234.0,2025-11-01,212.15063108932867
2024-06-01,240.0,2025-12-01,210.28662019399644
2024-07-01,308.0,2026-01-01,208.461356453606
2024-08-01,193.0,2026-02-01,206.67358055985218
,,2026-03-01,204.92208853528206
,,2026-04-01,203.2057286841683
,,2026-05-01,201.52339874468285
,,2026-06-01,199.87404322693433
,,2026-07-01,198.25665092277848
,,2026-08-01,196.67025257452295
,,2026-09-01,195.11391869074654
,,2026-10-01,193.58675749844363
,,2026-11-01,192.08791302160574
,,2026-12-01,190.61656327716517
,,2027-01-01,189.1719185799684
,,2027-02-01,187.75321994911724
,,2027-03-01,186.35973760862967
,,2027-04-01,184.9907695759287
,,2027-05-01,183.64564033217576
,,2027-06-01,182.32369956892862
,,2027-07-01,181.0243210060283
,,2027-08-01,179.74690127600456
,,2027-09-01,178.49085887064646
,,2027-10-01,177.2556331457053
