t,q,t_model,q_model
2023-10-01,2798.0,2023-11-01,6381.258783871168
2023-11-01,6535.0,2023-12-01,4519.206771745808
2023-12-01,4138.0,2024-01-01,3401.3213770459056
2024-01-01,3483.0,2024-02-01,2671.299270925236
2024-02-01,2589.0,2024-03-01,2165.0199016358806
2024-03-01,2154.0,2024-04-01,1797.6836402606755
2024-04-01,1849.0,2024-05-01,1521.6093959779314
2024-05-01,1802.0,2024-06-01,1308.186098259922
2024-06-01,1804.0,2024-07-01,1139.3359736166833
2024-07-01,1376.0,2024-08-01,1003.1462711143225
2024-08-01,1100.0,2024-09-01,891.4879022739643
2024-09-01,577.0,2024-10-01,798.6477690099463
2024-10-01,481.0,2024-11-01,720.5081690209622
2024-11-01,475.0,2024-12-01,654.0357690583738
2024-12-01,836.0,2025-01-01,596.9529813195887
2025-01-01,471.0,2025-02-01,547.5206422403406
2025-02-01,256.0,2025-03-01,504.39071685616415
,,2025-04-01,466.50426354679695
,,2025-05-01,433.0193617673053
,,2025-06-01,403.2593054889024
,,2025-07-01,376.6747705810815
,,2025-08-01,352.8157874903648
,,2025-09-01,331.31070429788554
,,2025-10-01,311.8502061854853
,,2025-11-01,294.1750413942
,,2025-12-01,278.06649763632765
,,2026-01-01,263.33894274414627
,,2026-02-01,249.8339308702675
,,2026-03-01,237.4155076501219
,,2026-04-01,225.96644194756138
,,2026-05-01,215.3851797774806
,,2026-06-01,205.58336557436297
,,2026-07-01,196.48381249956077
,,2026-08-01,188.01883064484136
,,2026-09-01,180.12884237412925
,,2026-10-01,172.76122947048444
,,2026-11-01,165.86936852028148
,,2026-12-01,159.41182000700263
,,2027-01-01,153.3516435831708
,,2027-02-01,147.65581743935155
,,2027-03-01,142.29474396238277
,,2027-04-01,137.24182724556798
,,2027-05-01,132.47311068745688
,,2027-06-01,127.96696504866608
,,2027-07-01,123.70381904634358
,,2027-08-01,119.66592594395094
,,2027-09-01,115.83716070981481
,,2027-10-01,112.20284322542226
,,2027-11-01,108.74958376579937
,,2027-12-01,105.46514758247781
,,2028-01-01,102.33833592045042
,,2028-02-01,99.35888121466259
,,2028-03-01,96.51735455526652
,,2028-04-01,93.80508379709424
,,2028-05-01,91.21408092799534
,,2028-06-01,88.73697751123672
,,2028-07-01,86.36696718584217
,,2028-08-01,84.09775435106644
,,2028-09-01,81.92350828162456
,,2028-10-01,79.83882202249137
,,2028-11-01,77.8386754990502
,,2028-12-01,75.91840235256939
,,2029-01-01,74.07366007445778
,,2029-02-01,72.30040306718483
,,2029-03-01,70.59485830654361
,,2029-04-01,68.95350332025691
,,2029-05-01,67.37304623274882
,,2029-06-01,65.85040765604519
,,2029-07-01,64.3827042329097
,,2029-08-01,62.96723366104661
,,2029-09-01,61.601461046993165
,,2029-10-01,60.28300645559604
,,2029-11-01,59.009633536066836
,,2029-12-01,57.77923911883989
,,2030-01-01,56.58984368906282
,,2030-02-01,55.4395826527543
,,2030-03-01,54.326698320649015
,,2030-04-01,53.2495325426747
,,2030-05-01,52.20651993300797
,,2030-06-01,51.19618163185162
,,2030-07-01,50.21711955556599
,,2030-08-01,49.268011091660945
,,2030-09-01,48.3476041994859
,,2030-10-01,47.45471288131159
,,2030-11-01,46.588212991933396
,,2030-12-01,45.74703835799438
,,2031-01-01,44.930177180967036
,,2031-02-01,44.136668700186924
,,2031-03-01,43.36560009452985
,,2031-04-01,42.616103603296466
,,2031-05-01,41.887353848640366
,,2031-06-01,41.17856534346872
,,2031-07-01,40.48899017017982
,,2031-08-01,39.81791581689422
,,2031-09-01,39.164663159004064
,,2031-10-01,38.52858457491865
,,2031-11-01,37.909062185838074
,,2031-12-01,37.30550621024964
,,2032-01-01,36.71735342462383
,,2032-02-01,36.144065722496215
,,2032-03-01,35.5851287647656
,,2032-04-01,35.04005071462433
,,2032-05-01,34.5083610510693
,,2032-06-01,33.98960945542695
,,2032-07-01,33.48336476576796
,,2032-08-01,32.98921399448991
,,2032-09-01,32.50676140471493
,,2032-10-01,32.035627641485206
,,2032-11-01,31.57544891404712
,,2032-12-01,31.12587622579629
,,2033-01-01,30.686574648713496
,,2033-02-01,30.25722263935822
,,2033-03-01,29.837511393703274
,,2033-04-01,29.42714423829311
,,2033-05-01,29.02583605539163
,,2033-06-01,28.633312739953357
