t,q,t_model,q_model
2008-04-01,9740.0,2008-05-01,7805.191088278252
2008-05-01,8076.0,2008-06-01,6840.250718521919
2008-06-01,4270.0,2008-07-01,6059.686701754961
2008-07-01,7732.0,2008-08-01,5417.615954710186
2008-08-01,6300.0,2008-09-01,4881.8703264628875
2008-09-01,5146.0,2008-10-01,4429.296573181308
2008-10-01,5144.0,2008-11-01,4042.8485313071305
2008-11-01,3148.0,2008-12-01,3709.7265772990836
2008-12-01,5023.0,2009-01-01,3420.1519522723347
2009-01-01,3335.0,2009-02-01,3166.538425827259
2009-02-01,2770.0,2009-03-01,2942.9197116330074
2009-03-01,2771.0,2009-04-01,2744.5456392475658
2009-04-01,2067.0,2009-05-01,2567.592172687101
2009-05-01,3154.0,2009-06-01,2408.949775104592
2009-06-01,2617.0,2009-07-01,2266.066665779494
2009-07-01,2261.0,2009-08-01,2136.831168550215
2009-08-01,2393.0,2009-09-01,2019.482315759745
2009-09-01,2210.0,2009-10-01,1912.5411550951562
2009-10-01,2096.0,2009-11-01,1814.757416278395
2009-11-01,2073.0,2009-12-01,1725.0677056248387
2009-12-01,1742.0,2010-01-01,1642.5624452544812
2010-01-01,1790.0,2010-02-01,1566.4595116742025
2010-02-01,1585.0,2010-03-01,1496.083054299462
2010-03-01,1262.0,2010-04-01,1430.846353647229
2010-04-01,977.0,2010-05-01,1370.2378553486978
2010-05-01,1041.0,2010-06-01,1313.8097197232696
2010-06-01,886.0,2010-07-01,1261.1683780597955
2010-07-01,950.0,2010-08-01,1211.966700366237
2010-08-01,962.0,2010-09-01,1165.8974653336923
2010-09-01,876.0,2010-10-01,1122.6878888573804
2010-10-01,1067.0,2010-11-01,1082.0950178793737
2010-11-01,804.0,2010-12-01,1043.9018353535746
2010-12-01,865.0,2011-01-01,1007.9139525590354
2011-01-01,904.0,2011-02-01,973.9567888548482
2011-02-01,625.0,2011-03-01,941.8731578065426
2011-03-01,521.0,2011-04-01,911.5211935668026
2011-04-01,417.0,2011-05-01,882.7725633287274
2011-05-01,740.0,2011-06-01,855.5109212469023
2011-06-01,840.0,2011-07-01,829.6305669448664
2011-07-01,254.0,2011-08-01,805.0352779858393
2011-08-01,774.0,2011-09-01,781.6372907780026
2011-09-01,784.0,2011-10-01,759.3564085508777
2011-10-01,375.0,2011-11-01,738.1192184592156
2011-11-01,205.0,2011-12-01,717.8584026900218
2011-12-01,383.0,2012-01-01,698.5121307814087
2012-01-01,604.0,2012-02-01,680.0235222998929
2012-02-01,438.0,2012-03-01,662.3401706382211
2012-03-01,359.0,2012-04-01,645.4137200471241
2012-04-01,346.0,2012-05-01,629.1994891484719
2012-05-01,634.0,2012-06-01,613.6561351321282
2012-06-01,667.0,2012-07-01,598.7453536451582
2012-07-01,569.0,2012-08-01,584.4316100650635
2012-08-01,353.0,2012-09-01,570.6818984289027
2012-09-01,257.0,2012-10-01,557.4655247843701
2012-10-01,317.0,2012-11-01,544.7539121510056
2012-11-01,214.0,2012-12-01,532.520424641157
2012-12-01,211.0,2013-01-01,520.7402086005925
2013-01-01,35.0,2013-02-01,509.3900488956717
2013-02-01,10.0,2013-03-01,498.4482387042896
2013-03-01,1550.0,2013-04-01,487.8944613669067
2013-04-01,574.0,2013-05-01,477.70968302649004
2013-05-01,523.0,2013-06-01,467.8760549359713
2013-06-01,603.0,2013-07-01,458.37682444215386
2013-07-01,366.0,2013-08-01,449.19625376862115
2013-08-01,299.0,2013-09-01,440.31954581945456
2013-09-01,274.0,2013-10-01,431.73277631243593
2013-10-01,122.0,2013-11-01,423.4228316265797
2013-11-01,607.0,2013-12-01,415.37735181574607
2013-12-01,869.0,2014-01-01,407.5846782989644
2014-01-01,826.0,2014-02-01,400.0338057899894
2014-02-01,640.0,2014-03-01,392.7143380744341
2014-03-01,401.0,2014-04-01,385.61644728334363
2014-04-01,529.0,2014-05-01,378.730836347963
2014-05-01,431.0,2014-06-01,372.0487043522936
2014-06-01,510.0,2014-07-01,365.5617145283148
2014-07-01,289.0,2014-08-01,359.2619646639179
2014-08-01,432.0,2014-09-01,353.14195971601976
2014-09-01,315.0,2014-10-01,347.1945864413325
2014-10-01,308.0,2014-11-01,341.41308987513924
2014-11-01,324.0,2014-12-01,335.7910515044184
2014-12-01,254.0,2015-01-01,330.3223689959826
2015-01-01,318.0,2015-02-01,325.0012373531466
2015-02-01,237.0,2015-03-01,319.8221313859785
2015-03-01,308.0,2015-04-01,314.77978939055913
2015-04-01,81.0,2015-05-01,309.869197942016
2015-05-01,60.0,2015-06-01,305.0855777145121
2015-06-01,496.0,2015-07-01,300.4243702489629
2015-07-01,679.0,2015-08-01,295.88122559611463
2015-08-01,620.0,2015-09-01,291.4519907688169
2015-09-01,361.0,2015-10-01,287.13269894293495
2015-10-01,549.0,2015-11-01,282.9195593514357
2015-11-01,430.0,2015-12-01,278.80894782079264
2015-12-01,395.0,2016-01-01,274.7973979030439
2016-01-01,365.0,2016-02-01,270.881592560644
2016-02-01,390.0,2016-03-01,267.05835636471375
2016-03-01,321.0,2016-04-01,263.3246481704436
2016-04-01,305.0,2016-05-01,259.6775542362811
2016-05-01,447.0,2016-06-01,256.1142817561534
2016-06-01,316.0,2016-07-01,252.63215277636985
2016-07-01,389.0,2016-08-01,249.22859847103356
2016-08-01,363.0,2016-09-01,245.90115375179582
2016-09-01,349.0,2016-10-01,242.64745218961272
2016-10-01,330.0,2016-11-01,239.46522122784418
2016-11-01,249.0,2016-12-01,236.35227766757038
2016-12-01,270.0,2017-01-01,233.3065234074132
2017-01-01,404.0,2017-02-01,230.32594142144464
2017-02-01,106.0,2017-03-01,227.40859195995495
2017-03-01,139.0,2017-04-01,224.55260895894733
2017-04-01,175.0,2017-05-01,221.7561966452348
2017-05-01,251.0,2017-06-01,219.01762632494106
2017-06-01,237.0,2017-07-01,216.33523334406368
2017-07-01,263.0,2017-08-01,213.70741421054603
2017-08-01,451.0,2017-09-01,211.13262386803183
2017-09-01,566.0,2017-10-01,208.60937311214923
2017-10-01,508.0,2017-11-01,206.1362261407923
2017-11-01,416.0,2017-12-01,203.71179823044133
2017-12-01,183.0,2018-01-01,201.33475353109637
2018-01-01,222.0,2018-02-01,199.00380297288973
2018-02-01,177.0,2018-03-01,196.7177022778988
2018-03-01,250.0,2018-04-01,194.47525007110468
2018-04-01,371.0,2018-05-01,192.27528608483215
2018-05-01,424.0,2018-06-01,190.11668945137288
2018-06-01,226.0,2018-07-01,187.9983770788296
2018-07-01,266.0,2018-08-01,185.91930210553437
2018-08-01,267.0,2018-09-01,183.87845242868588
2018-09-01,242.0,2018-10-01,181.87484930312147
2018-10-01,97.0,2018-11-01,179.9075460063943
2018-11-01,140.0,2018-12-01,177.9756265665593
2018-12-01,545.0,2019-01-01,176.07820454929254
2019-01-01,366.0,2019-02-01,174.21442190117307
2019-02-01,317.0,2019-03-01,172.383447846146
2019-03-01,266.0,2019-04-01,170.58447783236508
2019-04-01,147.0,2019-05-01,168.81673252677788
2019-05-01,559.0,2019-06-01,167.07945685497359
2019-06-01,390.0,2019-07-01,165.37191908395644
2019-07-01,303.0,2019-08-01,163.69340994564618
2019-08-01,221.0,2019-09-01,162.043241799031
2019-09-01,252.0,2019-10-01,160.4207478290199
2019-10-01,310.0,2019-11-01,158.82528128015053
2019-11-01,356.0,2019-12-01,157.2562147234145
2019-12-01,251.0,2020-01-01,155.71293935455856
2020-01-01,232.0,2020-02-01,154.19486432231207
2020-02-01,293.0,2020-03-01,152.70141608507765
2020-03-01,248.0,2020-04-01,151.23203779470163
2020-04-01,132.0,2020-05-01,149.78618870601713
2020-05-01,382.0,2020-06-01,148.36334361092338
2020-06-01,310.0,2020-07-01,146.9629922958323
2020-07-01,253.0,2020-08-01,145.58463902137518
2020-08-01,263.0,2020-09-01,144.2278020233223
2020-09-01,300.0,2020-10-01,142.89201303372315
2020-10-01,247.0,2020-11-01,141.57681682132753
2020-11-01,234.0,2020-12-01,140.28177075039716
2020-12-01,220.0,2021-01-01,139.00644435706337
2021-01-01,259.0,2021-02-01,137.75041894243026
2021-02-01,335.0,2021-03-01,136.51328718166414
2021-03-01,244.0,2021-04-01,135.29465274834843
2021-04-01,241.0,2021-05-01,134.0941299534203
2021-05-01,157.0,2021-06-01,132.9113433980393
2021-06-01,151.0,2021-07-01,131.74592763977134
2021-07-01,139.0,2021-08-01,130.59752687150174
2021-08-01,154.0,2021-09-01,129.46579461252074
2021-09-01,218.0,2021-10-01,128.35039341125128
2021-10-01,141.0,2021-11-01,127.25099455911612
2021-11-01,384.0,2021-12-01,126.16727781506508
2021-12-01,600.0,2022-01-01,125.09893114030629
2022-01-01,415.0,2022-02-01,124.04565044280811
2022-02-01,573.0,2022-03-01,123.00713933115837
2022-03-01,340.0,2022-04-01,121.98310887738756
2022-04-01,424.0,2022-05-01,120.97327738838152
2022-05-01,215.0,2022-06-01,119.97737018552614
2022-06-01,268.0,2022-07-01,118.99511939224436
2022-07-01,333.0,2022-08-01,118.0262637291003
2022-08-01,213.0,2022-09-01,117.07054831616168
2022-09-01,257.0,2022-10-01,116.127724482325
2022-10-01,258.0,2022-11-01,115.19754958132208
2022-11-01,239.0,2022-12-01,114.27978681413917
2022-12-01,231.0,2023-01-01,113.37420505759174
2023-01-01,307.0,2023-02-01,112.48057869881048
2023-02-01,192.0,2023-03-01,111.59868747540389
2023-03-01,237.0,2023-04-01,110.72831632107446
2023-04-01,234.0,2023-05-01,109.86925521647437
2023-05-01,197.0,2023-06-01,109.02129904509664
2023-06-01,192.0,2023-07-01,108.18424745400684
2023-07-01,275.0,2023-08-01,107.35790471922797
2023-08-01,208.0,2023-09-01,106.54207961560067
2023-09-01,253.0,2023-10-01,105.73658529094742
2023-10-01,245.0,2023-11-01,104.9412391443776
2023-11-01,263.0,2023-12-01,104.1558627085766
2023-12-01,314.0,2024-01-01,103.3802815359294
2024-01-01,169.0,2024-02-01,102.61432508833511
2024-02-01,190.0,2024-03-01,101.8578266305751
2024-03-01,190.0,2024-04-01,101.11062312710297
2024-04-01,221.0,2024-05-01,100.37255514213032
2024-05-01,219.0,2024-06-01,99.64346674288751
2024-06-01,224.0,2024-07-01,98.92320540594342
2024-07-01,250.0,2024-08-01,98.21162192647296
2024-08-01,212.0,2024-09-01,97.50857033036608
,,2024-10-01,96.81390778907604
,,2024-11-01,96.1274945371084
,,2024-12-01,95.44919379205736
,,2025-01-01,94.77887167709846
,,2025-02-01,94.11639714585137
,,2025-03-01,93.4616419095294
,,2025-04-01,92.81448036629561
,,2025-05-01,92.17478953274896
,,2025-06-01,91.54244897746665
,,2025-07-01,90.91734075653156
,,2025-08-01,90.29934935097694
,,2025-09-01,89.68836160608276
,,2025-10-01,89.0842666724605
,,2025-11-01,88.4869559488662
,,2025-12-01,87.89632302668332
,,2026-01-01,87.31226363601934
,,2026-02-01,86.73467559336228
,,2026-03-01,86.16345875074535
,,2026-04-01,85.59851494636955
,,2026-05-01,85.03974795663642
,,2026-06-01,84.48706344954446
,,2026-07-01,83.9403689394049
,,2026-08-01,83.39957374283358
,,2026-09-01,82.86458893597786
,,2026-10-01,82.33532731293876
,,2026-11-01,81.81170334534956
,,2026-12-01,81.29363314307444
,,2027-01-01,80.7810344159911
,,2027-02-01,80.27382643682306
,,2027-03-01,79.77193000498855
,,2027-04-01,79.2752674114342
,,2027-05-01,78.78376240442225
,,2027-06-01,78.2973401562421
,,2027-07-01,77.81592723081701
,,2027-08-01,77.33945155217864
,,2027-09-01,76.86784237378251
,,2027-10-01,76.4010302486386
,,2027-11-01,75.93894700023235
,,2027-12-01,75.4815256942118
,,2028-01-01,75.02870061081785
,,2028-02-01,74.58040721803505
