t,q,t_model,q_model
2015-09-01,9162.0,2017-01-01,1955.9528817426362
2015-10-01,12467.0,2017-02-01,1534.7686972630434
2015-11-01,0.0,2017-03-01,1300.2207618556745
2015-12-01,7066.0,2017-04-01,1146.08143941838
2016-01-01,12585.0,2017-05-01,1035.0697298518771
2016-02-01,4638.0,2017-06-01,950.3037887077288
2016-03-01,3834.0,2017-07-01,882.8915068863221
2016-04-01,6523.0,2017-08-01,827.6495359313041
2016-05-01,2792.0,2017-09-01,781.3272806491302
2016-06-01,0.0,2017-10-01,741.7701554578684
2016-07-01,3791.0,2017-11-01,707.4865905665026
2016-08-01,3452.0,2017-12-01,677.4071525067103
2016-09-01,3016.0,2018-01-01,650.7425838057902
2016-10-01,2734.0,2018-02-01,626.8961024445442
2016-11-01,2299.0,2018-03-01,605.4070516387081
2016-12-01,2142.0,2018-04-01,585.9134685182953
2017-01-01,2153.0,2018-05-01,568.1264998339502
2017-02-01,1232.0,2018-06-01,551.812476343623
2017-03-01,1197.0,2018-07-01,536.7800774704469
2017-04-01,1059.0,2018-08-01,522.8709626248842
2017-05-01,1101.0,2018-09-01,509.95281499020405
2017-06-01,1034.0,2018-10-01,497.9140968158356
2017-07-01,3.0,2018-11-01,486.66004012728024
2017-08-01,883.0,2018-12-01,476.10954324470345
2017-09-01,809.0,2019-01-01,466.1927409322615
2017-10-01,826.0,2019-02-01,456.8490820367325
2017-11-01,838.0,2019-03-01,448.0257940075328
2017-12-01,862.0,2019-04-01,439.6766455832581
2018-01-01,825.0,2019-05-01,431.76094159307394
2018-02-01,719.0,2019-06-01,424.2427001410398
2018-03-01,784.0,2019-07-01,417.0899743384974
2018-04-01,746.0,2019-08-01,410.2742895218745
2018-05-01,941.0,2019-09-01,403.77017343025324
2018-06-01,671.0,2019-10-01,397.5547617367073
2018-07-01,597.0,2019-11-01,391.6074650641966
2018-08-01,578.0,2019-12-01,385.9096864797637
2018-09-01,581.0,2020-01-01,380.4445806721158
2018-10-01,599.0,2020-02-01,375.19684773878913
2018-11-01,460.0,2020-03-01,370.1525558583233
2018-12-01,422.0,2020-04-01,365.2989881877813
2019-01-01,508.0,2020-05-01,360.6245101718573
2019-02-01,396.0,2020-06-01,356.11845412585876
2019-03-01,410.0,2020-07-01,351.7710184982609
2019-04-01,504.0,2020-08-01,347.5731796577271
2019-05-01,430.0,2020-09-01,343.51661440631204
2019-06-01,357.0,2020-10-01,339.59363171189926
2019-07-01,392.0,2020-11-01,335.79711239192045
2019-08-01,365.0,2020-12-01,332.1204556773467
2019-09-01,405.0,2021-01-01,328.55753174893414
2019-10-01,529.0,2021-02-01,325.1026394731533
2019-11-01,778.0,2021-03-01,321.7504686782386
2019-12-01,756.0,2021-04-01,318.4960664054311
2020-01-01,811.0,2021-05-01,315.33480665003077
2020-02-01,587.0,2021-06-01,312.2623631739609
2020-03-01,421.0,2021-07-01,309.27468502832437
2020-04-01,368.0,2021-08-01,306.3679744726272
2020-05-01,403.0,2021-09-01,303.53866701839354
2020-06-01,274.0,2021-10-01,300.7834133599542
2020-07-01,160.0,2021-11-01,298.099062985222
2020-08-01,145.0,2021-12-01,295.4826492850649
2020-09-01,414.0,2022-01-01,292.9313760021017
2020-10-01,349.0,2022-02-01,290.4426048789306
2020-11-01,294.0,2022-03-01,288.0138443824068
2020-12-01,321.0,2022-04-01,285.64273939499327
2021-01-01,333.0,2022-05-01,283.32706177674135
2021-02-01,309.0,2022-06-01,281.06470171238175
2021-03-01,384.0,2022-07-01,278.85365976754997
2021-04-01,377.0,2022-08-01,276.69203958652406
2021-05-01,333.0,2022-09-01,274.5780411711817
2021-06-01,244.0,2022-10-01,272.5099546873246
2021-07-01,464.0,2022-11-01,270.4861547501923
2021-08-01,216.0,2022-12-01,268.5050951459928
2021-09-01,208.0,2023-01-01,266.56530395069956
2021-10-01,343.0,2023-02-01,264.66537901128595
2021-11-01,357.0,2023-03-01,262.8039837580389
2021-12-01,300.0,2023-04-01,260.97984331968365
2022-01-01,365.0,2023-05-01,259.19174091579833
2022-02-01,308.0,2023-06-01,257.4385145034449
2022-03-01,339.0,2023-07-01,255.7190536571295
2022-04-01,223.0,2023-08-01,254.03229666316088
2022-05-01,204.0,2023-09-01,252.37722781122213
2022-06-01,311.0,2023-10-01,250.7528748675439
2022-07-01,222.0,2023-11-01,249.15830671547113
2022-08-01,219.0,2023-12-01,247.59263115048572
2022-09-01,179.0,2024-01-01,246.0549928178841
2022-10-01,180.0,2024-02-01,244.54457128233904
2022-11-01,205.0,2024-03-01,243.06057921949935
2022-12-01,190.0,2024-04-01,241.60226072062133
2023-01-01,227.0,2024-05-01,240.16888970198295
2023-02-01,162.0,2024-06-01,238.75976841151774
2023-03-01,185.0,2024-07-01,237.37422602572863
2023-04-01,132.0,2024-08-01,236.01161733050722
2023-05-01,116.0,2024-09-01,234.6713214799963
2023-06-01,157.0,2024-10-01,233.3527408281021
2023-07-01,85.0,2024-11-01,232.055299827687
2023-08-01,268.0,2024-12-01,230.77844399286232
2023-09-01,192.0,2025-01-01,229.52163892015304
2023-10-01,147.0,2025-02-01,228.2843693646316
2023-11-01,51.0,2025-03-01,227.06613836741212
2023-12-01,232.0,2025-04-01,225.8664664311665
2024-01-01,94.0,2025-05-01,224.68489074057277
2024-02-01,110.0,2025-06-01,223.5209644248327
2024-03-01,152.0,2025-07-01,222.37425585960284
2024-04-01,185.0,2025-08-01,221.2443480058763
2024-05-01,93.0,2025-09-01,220.1308377835278
2024-06-01,93.0,2025-10-01,219.0333354773951
2024-07-01,198.0,2025-11-01,217.9514641739213
2024-08-01,280.0,2025-12-01,216.884859226517
2024-09-01,173.0,2026-01-01,215.83316774793036
2024-10-01,119.0,2026-02-01,214.7960481280277
,,2026-03-01,213.77316957549667
,,2026-04-01,212.7642116820831
,,2026-05-01,211.76886400806464
,,2026-06-01,210.78682568774943
,,2026-07-01,209.81780505386837
,,2026-08-01,208.86151927980075
,,2026-09-01,207.91769403864217
,,2026-10-01,206.98606317818695
,,2026-11-01,206.06636841095462
,,2026-12-01,205.15835901844537
,,2027-01-01,204.26179156885917
,,2027-02-01,203.37642964756134
,,2027-03-01,202.5020435996198
,,2027-04-01,201.63841028378135
,,2027-05-01,200.78531283729092
,,2027-06-01,199.9425404509946
,,2027-07-01,199.1098881541992
,,2027-08-01,198.2871566087929
,,2027-09-01,197.47415191215921
,,2027-10-01,196.67068540844494
,,2027-11-01,195.87657350776658
,,2027-12-01,195.09163751296418
,,2028-01-01,194.3157034535333
,,2028-02-01,193.54860192638657
,,2028-03-01,192.79016794311553
,,2028-04-01,192.0402407834418
,,2028-05-01,191.29866385456356
,,2028-06-01,190.56528455611934
,,2028-07-01,189.8399541505062
,,2028-08-01,189.12252763830304
,,2028-09-01,188.41286363856395
,,2028-10-01,187.71082427375808
,,2028-11-01,187.01627505914422
,,2028-12-01,186.32908479638047
,,2029-01-01,185.64912547117794
,,2029-02-01,184.97627215481913
,,2029-03-01,184.31040290936895
,,2029-04-01,183.65139869641658
,,2029-05-01,182.9991432891939
,,2029-06-01,182.35352318792349
,,2029-07-01,181.7144275382574
,,2029-08-01,181.08174805267436
,,2029-09-01,180.45537893470907
,,2029-10-01,179.83521680589448
,,2029-11-01,179.22116063530237
,,2029-12-01,178.61311167157479
,,2030-01-01,178.01097337734194
,,2030-02-01,177.41465136592888
,,2030-03-01,176.82405334025742
,,2030-04-01,176.23908903385325
,,2030-05-01,175.65967015387355
,,2030-06-01,175.08571032607423
,,2030-07-01,174.51712504163854
,,2030-08-01,173.9538316057935
,,2030-09-01,173.3957490881442
,,2030-10-01,172.84279827465727
,,2030-11-01,172.29490162123042
,,2030-12-01,171.75198320878616
,,2031-01-01,171.2139686998306
,,2031-02-01,170.68078529642185
,,2031-03-01,170.1523616994939
,,2031-04-01,169.62862806948462
,,2031-05-01,169.10951598821933
,,2031-06-01,168.5949584220021
,,2031-07-01,168.08488968587076
,,2031-08-01,167.57924540897164
,,2031-09-01,167.07796250101376
,,2031-10-01,166.58097911976208
,,2031-11-01,166.08823463953263
,,2031-12-01,165.59966962065326
,,2032-01-01,165.11522577985463
,,2032-02-01,164.6348459615589
,,2032-03-01,164.15847411003392
,,2032-04-01,163.68605524238183
,,2032-05-01,163.21753542233355
,,2032-06-01,162.75286173482016
,,2032-07-01,162.2919822612945
,,2032-08-01,161.83484605577692
,,2032-09-01,161.38140312160033
,,2032-10-01,160.93160438883015
,,2032-11-01,160.48540169233675
,,2032-12-01,160.04274775049794
,,2033-01-01,159.60359614450988
,,2033-02-01,159.16790129828686
