t,q,t_model,q_model
2004-01-01,723.0,2008-11-01,112.836640236976
2004-02-01,815.0,2008-12-01,109.3550041935745
2004-03-01,848.0,2009-01-01,106.9403134625422
2004-04-01,914.0,2009-02-01,105.10005834613995
2004-05-01,938.0,2009-03-01,103.61793144088722
2004-06-01,971.0,2009-04-01,102.37994182924334
2004-07-01,933.0,2009-05-01,101.31876363635071
2004-08-01,715.0,2009-06-01,100.39137450231082
2004-09-01,757.0,2009-07-01,99.56864378580902
2004-10-01,403.0,2009-08-01,98.82995036897518
2004-11-01,870.0,2009-09-01,98.16017310673203
2004-12-01,727.0,2009-10-01,97.54790146629043
2005-01-01,511.0,2009-11-01,96.98431778125585
2005-02-01,671.0,2009-12-01,96.46247006441926
2005-03-01,504.0,2010-01-01,95.97678250653041
2005-04-01,580.0,2010-02-01,95.52271627252746
2005-05-01,619.0,2010-03-01,95.09652849677711
2005-06-01,591.0,2010-04-01,94.69509727889066
2005-07-01,526.0,2010-05-01,94.31579214916948
2005-08-01,501.0,2010-06-01,93.95637654923557
2005-09-01,355.0,2010-07-01,93.61493329505012
2005-10-01,591.0,2010-08-01,93.28980682610022
2005-11-01,407.0,2010-09-01,92.97955790754801
2005-12-01,471.0,2010-10-01,92.68292770183379
2006-01-01,623.0,2010-11-01,92.39880898064872
2006-02-01,256.0,2010-12-01,92.12622284256429
2006-03-01,466.0,2011-01-01,91.86429972164922
2006-04-01,101.0,2011-02-01,91.6122637735736
2006-05-01,231.0,2011-03-01,91.36941994452341
2006-06-01,569.0,2011-04-01,91.1351431892019
2006-07-01,508.0,2011-05-01,90.9088694239339
2006-08-01,222.0,2011-06-01,90.69008789090903
2006-09-01,473.0,2011-07-01,90.47833467794457
2006-10-01,429.0,2011-08-01,90.27318719051307
2006-11-01,491.0,2011-09-01,90.07425941324598
2006-12-01,495.0,2011-10-01,89.88119782964638
2007-01-01,444.0,2011-11-01,89.69367789348533
2007-02-01,422.0,2011-12-01,89.511400964913
2007-03-01,498.0,2012-01-01,89.33409163987865
2007-04-01,463.0,2012-02-01,89.16149541391607
2007-05-01,213.0,2012-03-01,88.9933766313905
2007-06-01,115.0,2012-04-01,88.82951667943772
2007-07-01,57.0,2012-05-01,88.6697123924503
2007-08-01,194.0,2012-06-01,88.51377463839118
2007-09-01,140.0,2012-07-01,88.3615270626762
2007-10-01,89.0,2012-08-01,88.21280496905528
2007-11-01,114.0,2012-09-01,88.0674543199839
2007-12-01,105.0,2012-10-01,87.92533084152826
2008-01-01,134.0,2012-11-01,87.78629921998395
2008-02-01,83.0,2012-12-01,87.6502323791824
2008-03-01,160.0,2013-01-01,87.51701082897351
2008-04-01,109.0,2013-02-01,87.38652207665358
2008-05-01,131.0,2013-03-01,87.25866009419504
2008-06-01,120.0,2013-04-01,87.1333248350621
2008-07-01,113.0,2013-05-01,87.01042179518731
2008-08-01,112.0,2013-06-01,86.88986161336383
2008-09-01,89.0,2013-07-01,86.7715597068909
2008-10-01,83.0,2013-08-01,86.65543593881414
2008-11-01,128.0,2013-09-01,86.54141431353573
2008-12-01,0.0,2013-10-01,86.42942269794789
2009-01-01,243.0,2013-11-01,86.31939256556915
2009-02-01,121.0,2013-12-01,86.21125876144895
2009-03-01,121.0,2014-01-01,86.10495928585432
2009-04-01,105.0,2014-02-01,86.00043509497067
2009-05-01,90.0,2014-03-01,85.89762991703904
2009-06-01,108.0,2014-04-01,85.79649008252056
2009-07-01,64.0,2014-05-01,85.69696436702591
2009-08-01,121.0,2014-06-01,85.5990038458783
2009-09-01,71.0,2014-07-01,85.50256175929336
2009-10-01,66.0,2014-08-01,85.40759338726161
2009-11-01,57.0,2014-09-01,85.3140559333092
2009-12-01,55.0,2014-10-01,85.22190841639326
