t,q,t_model,q_model
2021-04-01,2369.0,2021-08-01,5431.069243483311
2021-05-01,0.0,2021-09-01,2296.2448052394975
2021-06-01,0.0,2021-10-01,1735.070740891724
2021-07-01,6497.0,2021-11-01,1460.4507870715588
2021-08-01,5443.0,2021-12-01,1289.1481591256404
2021-09-01,1970.0,2022-01-01,1168.96532725878
2021-10-01,1972.0,2022-02-01,1078.5199144307983
2021-11-01,1341.0,2022-03-01,1007.1933344395472
2021-12-01,1618.0,2022-04-01,949.0285224940881
2022-01-01,1293.0,2022-05-01,900.3875062702249
2022-02-01,962.0,2022-06-01,858.9047270681186
2022-03-01,1261.0,2022-07-01,822.9657703523873
2022-04-01,1035.0,2022-08-01,791.4256279301732
2022-05-01,773.0,2022-09-01,763.4463348614697
2022-06-01,640.0,2022-10-01,738.398430816211
2022-07-01,757.0,2022-11-01,715.7985479168436
2022-08-01,865.0,2022-12-01,695.2684369660976
2022-09-01,850.0,2023-01-01,676.5072331642613
2022-10-01,876.0,2023-02-01,659.272181643052
2022-11-01,722.0,2023-03-01,643.3649306582815
2022-12-01,782.0,2023-04-01,628.6215848709587
2023-01-01,652.0,2023-05-01,614.9053564975126
2023-02-01,529.0,2023-06-01,602.1010480688306
2023-03-01,1363.0,2023-07-01,590.1108501768588
2023-04-01,609.0,2023-08-01,578.851098843729
2023-05-01,646.0,2023-09-01,568.2497436097386
2023-06-01,541.0,2023-10-01,558.2443491211678
2023-07-01,539.0,2023-11-01,548.7805021387298
2023-08-01,551.0,2023-12-01,539.8105301274009
2023-09-01,537.0,2024-01-01,531.2924618059486
2023-10-01,545.0,2024-02-01,523.1891774006536
2023-11-01,478.0,2024-03-01,515.4677089599754
2023-12-01,451.0,2024-04-01,508.0986603549489
2024-01-01,565.0,2024-05-01,501.0557234754009
2024-02-01,452.0,2024-06-01,494.3152722994905
2024-03-01,424.0,2024-07-01,487.8560204291784
2024-04-01,434.0,2024-08-01,481.6587306769698
2024-05-01,513.0,2024-09-01,475.70596759606013
2024-06-01,444.0,2024-10-01,469.9818856380381
2024-07-01,389.0,2024-11-01,464.4720470247117
2024-08-01,467.0,2024-12-01,459.1632645257779
2024-09-01,370.0,2025-01-01,454.0434652106914
2024-10-01,396.0,2025-02-01,449.1015719427822
2024-11-01,343.0,2025-03-01,444.3273999454336
2024-12-01,377.0,2025-04-01,439.7115662236774
2025-01-01,390.0,2025-05-01,435.2454099926787
2025-02-01,333.0,2025-06-01,430.9209225648819
,,2025-07-01,426.730685393736
,,2025-08-01,422.6678151746071
,,2025-09-01,418.72591507112566
,,2025-10-01,414.89903127444416
,,2025-11-01,411.181614218976
,,2025-12-01,407.56848387536905
,,2026-01-01,404.054798623111
,,2026-02-01,400.6360272739998
,,2026-03-01,397.30792387594516
,,2026-04-01,394.0665049759918
,,2026-05-01,390.9080290635312
,,2026-06-01,387.828977950604
,,2026-07-01,384.82603987696746
,,2026-08-01,381.8960941540318
,,2026-09-01,379.0361971845306
,,2026-10-01,376.24356971443785
,,2026-11-01,373.51558519065685
,,2026-12-01,370.8497591127594
,,2027-01-01,368.2437392798927
,,2027-02-01,365.695296845157
,,2027-03-01,363.202318099531
,,2027-04-01,360.76279691598035
,,2027-05-01,358.37482779188804
,,2027-06-01,356.0365994345472
,,2027-07-01,353.74638884026604
,,2027-08-01,351.50255582276196
,,2027-09-01,349.30353795105856
,,2027-10-01,347.14784586110886
,,2027-11-01,345.03405890893305
,,2027-12-01,342.96082113622157
,,2028-01-01,340.92683752217147
,,2028-02-01,338.93087049783446
,,2028-03-01,336.9717367014969
,,2028-04-01,335.04830395561646
,,2028-05-01,333.15948844763426
,,2028-06-01,331.30425209859305
,,2028-07-01,329.48160010493376
,,2028-08-01,327.69057864014735
,,2028-09-01,325.93027270412335
,,2028-10-01,324.1998041090973
,,2028-11-01,322.4983295920479
,,2028-12-01,320.8250390442563
,,2029-01-01,319.1791538495198
,,2029-02-01,317.5599253232173
,,2029-03-01,315.96663324506335
,,2029-04-01,314.3985844789695
,,2029-05-01,312.8551116739596
,,2029-06-01,311.3355720405665
,,2029-07-01,309.83934619757474
,,2029-08-01,308.36583708437394
,,2029-09-01,306.9144689345523
,,2029-10-01,305.4846863066898
,,2029-11-01,304.0759531686201
,,2029-12-01,302.68775203170316
,,2030-01-01,301.31958313191
,,2030-02-01,299.97096365475454
,,2030-03-01,298.6414270013193
,,2030-04-01,297.3305220928242
,,2030-05-01,296.0378127113643
,,2030-06-01,294.7628768746129
,,2030-07-01,293.50530624243777
,,2030-08-01,292.26470555352194
,,2030-09-01,291.0406920902099
,,2030-10-01,289.83289516992073
,,2030-11-01,288.6409556615825
,,2030-12-01,287.46452552564347
,,2031-01-01,286.3032673763129
,,2031-02-01,285.15685406477024
,,2031-03-01,284.02496828216584
,,2031-04-01,282.9073021813097
,,2031-05-01,281.80355701601684
,,2031-06-01,280.71344279714214
,,2031-07-01,279.6366779643987
,,2031-08-01,278.5729890731098
,,2031-09-01,277.52211049509657
,,2031-10-01,276.4837841329536
,,2031-11-01,275.4577591470085
,,2031-12-01,274.44379169430493
,,2032-01-01,273.4416446789871
,,2032-02-01,272.45108751350193
,,2032-03-01,271.47189589006774
,,2032-04-01,270.50385156189145
,,2032-05-01,269.5467421336468
,,2032-06-01,268.60036086075155
,,2032-07-01,267.6645064570122
,,2032-08-01,266.738982910224
,,2032-09-01,265.82359930534227
,,2032-10-01,264.91816965485776
,,2032-11-01,264.02251273603315
,,2032-12-01,263.1364519346736
,,2033-01-01,262.2598150951237
,,2033-02-01,261.3924343761991
,,2033-03-01,260.5341461127769
,,2033-04-01,259.6847906827846
,,2033-05-01,258.8442123793382
,,2033-06-01,258.01225928779803
