t,q,t_model,q_model
2012-12-01,18.0,2013-04-01,15500.131609900209
2013-01-01,17094.0,2013-05-01,9671.129274955727
2013-02-01,14647.0,2013-06-01,7237.498025334923
2013-03-01,19707.0,2013-07-01,5867.532847239836
2013-04-01,15445.0,2013-08-01,4977.16422884005
2013-05-01,10079.0,2013-09-01,4346.831828137006
2013-06-01,6537.0,2013-10-01,3874.4360400011487
2013-07-01,6420.0,2013-11-01,3505.6859278119923
2013-08-01,4947.0,2013-12-01,3208.895913367686
2013-09-01,4229.0,2014-01-01,2964.258256113455
2013-10-01,3847.0,2014-02-01,2758.7175719960833
2013-11-01,3611.0,2014-03-01,2583.2992800348097
2013-12-01,2971.0,2014-04-01,2431.6189169142654
2014-01-01,3109.0,2014-05-01,2299.0033934763155
2014-02-01,2129.0,2014-06-01,2181.9489885455055
2014-03-01,915.0,2014-07-01,2077.7740888553217
2014-04-01,2994.0,2014-08-01,1984.3893782359048
2014-05-01,2997.0,2014-09-01,1900.1414440224178
2014-06-01,2534.0,2014-10-01,1823.7037222338668
2014-07-01,2346.0,2014-11-01,1753.998805521964
2014-08-01,2498.0,2014-12-01,1690.1420325755967
2014-09-01,2345.0,2015-01-01,1631.3998285913488
2014-10-01,1946.0,2015-02-01,1577.1584667690727
2014-11-01,1493.0,2015-03-01,1526.9003190658818
2014-12-01,1618.0,2015-04-01,1480.1855733724683
2015-01-01,1269.0,2015-05-01,1436.6379973303017
2015-02-01,1052.0,2015-06-01,1395.9337366264715
2015-03-01,1294.0,2015-07-01,1357.7924158321093
2015-04-01,999.0,2015-08-01,1321.9700055177805
2015-05-01,1283.0,2015-09-01,1288.2530579675035
2015-06-01,1102.0,2015-10-01,1256.4540132753586
2015-07-01,1018.0,2015-11-01,1226.4073498672562
2015-08-01,1513.0,2015-12-01,1197.9664065837894
2015-09-01,1281.0,2016-01-01,1171.000742885112
2015-10-01,2014.0,2016-02-01,1145.393933303793
2015-11-01,2109.0,2016-03-01,1121.0417146476907
2015-12-01,1802.0,2016-04-01,1097.8504215369699
2016-01-01,1552.0,2016-05-01,1075.7356590061672
2016-02-01,1266.0,2016-06-01,1054.62117109789
2016-03-01,1278.0,2016-07-01,1034.4378723388866
2016-04-01,1192.0,2016-08-01,1015.1230152527194
2016-05-01,1121.0,2016-09-01,996.6194720211101
2016-06-01,1050.0,2016-10-01,978.875112354331
2016-07-01,1137.0,2016-11-01,961.8422627936638
2016-08-01,994.0,2016-12-01,945.4772352161917
2016-09-01,714.0,2017-01-01,929.739914374575
2016-10-01,960.0,2017-02-01,914.5933959826077
2016-11-01,1006.0,2017-03-01,900.0036682293552
2016-12-01,1084.0,2017-04-01,885.9393307314884
