t,q,t_model,q_model
2016-12-01,175.0,2017-01-01,375.97299187304577
2017-01-01,380.0,2017-02-01,245.7093892866839
2017-02-01,135.0,2017-03-01,223.33630880732738
2017-03-01,182.0,2017-04-01,211.01319876433726
2017-04-01,174.0,2017-05-01,202.63187497025714
2017-05-01,99.0,2017-06-01,196.33919350699418
2017-06-01,146.0,2017-07-01,191.33218036096923
2017-07-01,296.0,2017-08-01,187.1923593571849
2017-08-01,254.0,2017-09-01,183.67489439722024
2017-09-01,219.0,2017-10-01,180.6246136409959
2017-10-01,217.0,2017-11-01,177.93721266838992
2017-11-01,238.0,2017-12-01,175.5393376334242
2017-12-01,251.0,2018-01-01,173.37751772993312
2018-01-01,236.0,2018-02-01,171.41162216873005
2018-02-01,202.0,2018-03-01,169.6107942683537
2018-03-01,180.0,2018-04-01,167.9508189674731
2018-04-01,212.0,2018-05-01,166.41235871160887
2018-05-01,200.0,2018-06-01,164.9797361085901
2018-06-01,192.0,2018-07-01,163.64007239864097
2018-07-01,176.0,2018-08-01,162.38266417354134
2018-08-01,153.0,2018-09-01,161.19852365024892
2018-09-01,172.0,2018-10-01,160.08003371641203
2018-10-01,221.0,2018-11-01,159.02068510290584
2018-11-01,209.0,2018-12-01,158.01487335893742
2018-12-01,211.0,2019-01-01,157.05774006338464
2019-01-01,198.0,2019-02-01,156.14504722647027
2019-02-01,0.0,2019-03-01,155.2730769181128
2019-03-01,0.0,2019-04-01,154.4385502978318
2019-04-01,415.0,2019-05-01,153.63856172861006
2019-05-01,176.0,2019-06-01,152.87052473539248
2019-06-01,140.0,2019-07-01,152.1321273505366
2019-07-01,168.0,2019-08-01,151.421294962165
2019-08-01,136.0,2019-09-01,150.73615920719257
2019-09-01,124.0,2019-10-01,150.0750317702644
2019-10-01,131.0,2019-11-01,149.4363821918898
2019-11-01,250.0,2019-12-01,148.81881897414672
2019-12-01,131.0,2020-01-01,148.2210734150875
2020-01-01,147.0,2020-02-01,147.64198571397898
2020-02-01,103.0,2020-03-01,147.0804929764724
2020-03-01,154.0,2020-04-01,146.53561881742192
2020-04-01,162.0,2020-05-01,146.00646431358226
2020-05-01,166.0,2020-06-01,145.4922001019988
2020-06-01,119.0,2020-07-01,144.99205945495436
2020-07-01,151.0,2020-08-01,144.50533219069135
2020-08-01,144.0,2020-09-01,144.03135930218602
2020-09-01,130.0,2020-10-01,143.56952820510125
2020-10-01,141.0,2020-11-01,143.1192685215291
2020-11-01,110.0,2020-12-01,142.6800483289129
2020-12-01,202.0,2021-01-01,142.25137081413163
2021-01-01,263.0,2021-02-01,141.8327712815496
2021-02-01,113.0,2021-03-01,141.42381447120388
2021-03-01,180.0,2021-04-01,141.0240921494889
