t,q,t_model,q_model
1992-11-01,5807.0,1993-04-01,17821.424550202446
1992-12-01,48831.0,1993-05-01,11669.109908821347
1993-01-01,34484.0,1993-06-01,8823.652830410756
1993-02-01,22661.0,1993-07-01,7159.629853746773
1993-03-01,16461.0,1993-08-01,6058.692999462985
1993-04-01,17789.0,1993-09-01,5272.188667594788
1993-05-01,11188.0,1993-10-01,4680.016143174323
1993-06-01,8556.0,1993-11-01,4216.77477392781
1993-07-01,7962.0,1993-12-01,3843.6837686432928
1993-08-01,6931.0,1994-01-01,3536.2307151803757
1993-09-01,5771.0,1994-02-01,3278.131587198397
1993-10-01,5467.0,1994-03-01,3058.1282706307325
1993-11-01,4400.0,1994-04-01,2868.178346461374
1993-12-01,4921.0,1994-05-01,2702.377233776594
1994-01-01,3912.0,1994-06-01,2556.2881042307326
1994-02-01,3402.0,1994-07-01,2426.509854642112
1994-03-01,3489.0,1994-08-01,2310.389749663884
1994-04-01,3411.0,1994-09-01,2205.827064281129
1994-05-01,2869.0,1994-10-01,2111.135705734222
1994-06-01,2585.0,1994-11-01,2024.946078227808
1994-07-01,2303.0,1994-12-01,1946.1336716045223
1994-08-01,2148.0,1995-01-01,1873.7662291120264
1994-09-01,2067.0,1995-02-01,1807.064073587485
1994-10-01,1870.0,1995-03-01,1745.3699101640957
1994-11-01,1749.0,1995-04-01,1688.1255581702312
1994-12-01,1587.0,1995-05-01,1634.8538201295025
1995-01-01,1606.0,1995-06-01,1585.144207713809
1995-02-01,1339.0,1995-07-01,1538.6415973302546
1995-03-01,1399.0,1995-08-01,1495.037134918463
1995-04-01,1317.0,1995-09-01,1454.0608847396527
1995-05-01,1291.0,1995-10-01,1415.475842888968
1995-06-01,1143.0,1995-11-01,1379.073027897025
1995-07-01,1170.0,1995-12-01,1344.6674282019558
1995-08-01,1073.0,1996-01-01,1312.0946363882845
1995-09-01,1006.0,1996-02-01,1281.208037706459
1995-10-01,951.0,1996-03-01,1251.8764488810025
1995-11-01,764.0,1996-04-01,1223.982124983398
1995-12-01,1123.0,1996-05-01,1197.4190689093557
1996-01-01,988.0,1996-06-01,1172.0915910074389
1996-02-01,791.0,1996-07-01,1147.913076570839
1996-03-01,815.0,1996-08-01,1124.804926901262
1996-04-01,745.0,1996-09-01,1102.6956459858216
1996-05-01,804.0,1996-10-01,1081.5200498716702
1996-06-01,719.0,1996-11-01,1061.2185798639632
1996-07-01,670.0,1996-12-01,1041.7367039277785
1996-08-01,483.0,1997-01-01,1023.0243933102593
1996-09-01,750.0,1997-02-01,1005.0356635439491
1996-10-01,744.0,1997-03-01,987.728170745757
1996-11-01,540.0,1997-04-01,971.0628555660339
1996-12-01,685.0,1997-05-01,955.0036283300252
1997-01-01,541.0,1997-06-01,939.517089897705
1997-02-01,606.0,1997-07-01,924.5722835859632
1997-03-01,522.0,1997-08-01,910.1404741798478
1997-04-01,382.0,1997-09-01,896.1949506314647
1997-05-01,391.0,1997-10-01,882.7108495258963
1997-06-01,576.0,1997-11-01,869.664996798991
1997-07-01,564.0,1997-12-01,857.0357655349806
1997-08-01,487.0,1998-01-01,844.8029479631225
1997-09-01,0.0,1998-02-01,832.9476400204996
1997-10-01,661.0,1998-03-01,821.4521370598061
1997-11-01,340.0,1998-04-01,810.2998394621925
1997-12-01,609.0,1998-05-01,799.4751670708455
1998-01-01,336.0,1998-06-01,788.9634814949065
1998-02-01,16.0,1998-07-01,778.7510154488914
1998-03-01,873.0,1998-08-01,768.8248083927429
1998-04-01,170.0,1998-09-01,759.1726478243045
1998-05-01,672.0,1998-10-01,749.7830156513257
1998-06-01,406.0,1998-11-01,740.6450391356894
1998-07-01,389.0,1998-12-01,731.7484459598003
1998-08-01,65.0,1999-01-01,723.0835230151362
1998-09-01,610.0,1999-02-01,714.6410785568326
1998-10-01,375.0,1999-03-01,706.4124074066946
1998-11-01,220.0,1999-04-01,698.3892589209119
1998-12-01,294.0,1999-05-01,690.5638074686204
1999-01-01,12.0,1999-06-01,682.9286251938197
1999-02-01,254.0,1999-07-01,675.4766568564686
1999-03-01,447.0,1999-08-01,668.2011965692496
1999-04-01,0.0,1999-09-01,661.0958662648123
1999-05-01,139.0,1999-10-01,654.1545957446075
1999-06-01,423.0,1999-11-01,647.3716041749221
1999-07-01,138.0,1999-12-01,640.7413829086537
1999-08-01,524.0,2000-01-01,634.2586795229104
1999-09-01,142.0,2000-02-01,627.9184829728403
1999-10-01,78.0,2000-03-01,621.7160097713386
1999-11-01,173.0,2000-04-01,615.6466911125619
1999-12-01,228.0,2000-05-01,609.7061608646247
2000-01-01,126.0,2000-06-01,603.8902443635325
2000-02-01,293.0,2000-07-01,598.1949479464329
2000-03-01,623.0,2000-08-01,592.6164491676835
2000-04-01,604.0,2000-09-01,587.1510876461348
2000-05-01,62.0,2000-10-01,581.7953564964462
2000-06-01,26.0,2000-11-01,576.5458943012522
2000-07-01,1.0,2000-12-01,571.3994775846169
2000-08-01,7.0,2001-01-01,566.353013750497
2000-09-01,594.0,2001-02-01,561.4035344529133
2000-10-01,357.0,2001-03-01,556.5481893672327
2000-11-01,325.0,2001-04-01,551.784240334427
2000-12-01,316.0,2001-05-01,547.1090558524107
2001-01-01,291.0,2001-06-01,542.520105890604
2001-02-01,269.0,2001-07-01,538.014957005723
2001-03-01,287.0,2001-08-01,533.5912677385026
2001-04-01,245.0,2001-09-01,529.2467842726101
2001-05-01,261.0,2001-10-01,524.9793363384213
2001-06-01,221.0,2001-11-01,520.786833345638
2001-07-01,231.0,2001-12-01,516.667260729911
2001-08-01,220.0,2002-01-01,512.618676499729
2001-09-01,274.0,2002-02-01,508.6392079708308
2001-10-01,273.0,2002-03-01,504.7270486763238
2001-11-01,256.0,2002-04-01,500.8804554415347
2001-12-01,222.0,2002-05-01,497.09774561339805
2002-01-01,235.0,2002-06-01,493.37729443490326
2002-02-01,206.0,2002-07-01,489.71753255578534
2002-03-01,197.0,2002-08-01,486.1169436712487
2002-04-01,227.0,2002-09-01,482.57406228107715
2002-05-01,211.0,2002-10-01,479.0874715620041
2002-06-01,182.0,2002-11-01,475.6558013466945
2002-07-01,177.0,2002-12-01,472.27772620313294
2002-08-01,208.0,2003-01-01,468.9519636086249
2002-09-01,173.0,2003-02-01,465.67727221299714
2002-10-01,135.0,2003-03-01,462.4524501859348
2002-11-01,0.0,2003-04-01,459.27633364372025
2002-12-01,177.0,2003-05-01,456.1477951509419
2003-01-01,81.0,2003-06-01,453.06574229302123
2003-02-01,236.0,2003-07-01,450.02911631566917
2003-03-01,297.0,2003-08-01,447.0368908276243
2003-04-01,225.0,2003-09-01,444.0880705632538
2003-05-01,152.0,2003-10-01,441.1816902018042
2003-06-01,228.0,2003-11-01,438.31681324029097
2003-07-01,218.0,2003-12-01,435.49253091719004
2003-08-01,206.0,2004-01-01,432.7079611842744
2003-09-01,166.0,2004-02-01,429.962247724089
2003-10-01,186.0,2004-03-01,427.2545590107095
2003-11-01,179.0,2004-04-01,424.5840874115686
2003-12-01,182.0,2004-05-01,421.950048328262
2004-01-01,178.0,2004-06-01,419.35167937436614
2004-02-01,225.0,2004-07-01,416.78823958841457
2004-03-01,139.0,2004-08-01,414.2590086802849
2004-04-01,366.0,2004-09-01,411.76328630934574
2004-05-01,268.0,2004-10-01,409.3003913928073
2004-06-01,247.0,2004-11-01,406.86966144280706
2004-07-01,233.0,2004-12-01,404.47045193084034
2004-08-01,207.0,2005-01-01,402.1021356782243
2004-09-01,244.0,2005-02-01,399.76410227135466
2004-10-01,201.0,2005-03-01,397.4557575005835
2004-11-01,145.0,2005-04-01,395.17652282160606
2004-12-01,173.0,2005-05-01,392.92583483830634
2005-01-01,163.0,2005-06-01,390.70314480606925
2005-02-01,140.0,2005-07-01,388.507918154613
2005-03-01,209.0,2005-08-01,386.3396340294528
2005-04-01,159.0,2005-09-01,384.1977848511464
2005-05-01,160.0,2005-10-01,382.08187589152135
2005-06-01,158.0,2005-11-01,379.9914248661208
2005-07-01,161.0,2005-12-01,377.92596154214647
2005-08-01,34.0,2006-01-01,375.8850273612134
2005-09-01,80.0,2006-02-01,373.8681750762631
2005-10-01,256.0,2006-03-01,371.8749684020193
2005-11-01,160.0,2006-04-01,369.90498167839667
2005-12-01,163.0,2006-05-01,367.9577995463038
2006-01-01,146.0,2006-06-01,366.0330166353107
2006-02-01,152.0,2006-07-01,364.1302372626725
2006-03-01,161.0,2006-08-01,362.24907514323246
2006-04-01,107.0,2006-09-01,360.3891531097427
2006-05-01,200.0,2006-10-01,358.5501028431697
2006-06-01,153.0,2006-11-01,356.7315646125687
2006-07-01,110.0,2006-12-01,354.9331870241309
2006-08-01,157.0,2007-01-01,353.1546267790286
2006-09-01,133.0,2007-02-01,351.3955484396973
2006-10-01,135.0,2007-03-01,349.6556242042136
2006-11-01,137.0,2007-04-01,347.93453368844257
2006-12-01,152.0,2007-05-01,346.2319637156408
2007-01-01,143.0,2007-06-01,344.54760811322194
2007-02-01,152.0,2007-07-01,342.8811675163965
2007-03-01,130.0,2007-08-01,341.23234917841813
2007-04-01,137.0,2007-09-01,339.60086678717624
2007-05-01,116.0,2007-10-01,337.98644028788766
2007-06-01,129.0,2007-11-01,336.38879571165194
2007-07-01,102.0,2007-12-01,334.807665009643
2007-08-01,121.0,2008-01-01,333.2427858927233
2007-09-01,93.0,2008-02-01,331.6939016762717
2007-10-01,98.0,2008-03-01,330.1607611300295
2007-11-01,117.0,2008-04-01,328.64311833277424
2007-12-01,118.0,2008-05-01,327.14073253164133
2008-01-01,154.0,2008-06-01,325.65336800591984
2008-02-01,112.0,2008-07-01,324.1807939351568
2008-03-01,101.0,2008-08-01,322.72278427141134
2008-04-01,89.0,2008-09-01,321.279117615506
2008-05-01,157.0,2008-10-01,319.8495770971308
2008-06-01,99.0,2008-11-01,318.43395025865834
2008-07-01,123.0,2008-12-01,317.03202894253803
2008-08-01,122.0,2009-01-01,315.64360918213964
2008-09-01,88.0,2009-02-01,314.2684910959235
2008-10-01,111.0,2009-03-01,312.9064787848195
2008-11-01,116.0,2009-04-01,311.5573802327013
2008-12-01,284.0,2009-05-01,310.221007209846
2009-01-01,183.0,2009-06-01,308.897175179277
2009-02-01,196.0,2009-07-01,307.58570320588785
2009-03-01,338.0,2009-08-01,306.28641386825143
2009-04-01,326.0,2009-09-01,304.99913317302196
2009-05-01,261.0,2009-10-01,303.72369047184173
2009-06-01,175.0,2009-11-01,302.45991838066544
2009-07-01,102.0,2009-12-01,301.20765270142203
2009-08-01,0.0,2010-01-01,299.9667323459338
2009-09-01,14366.0,2010-02-01,298.7369992620173
2009-10-01,11559.0,2010-03-01,297.5182983616937
2009-11-01,7890.0,2010-04-01,296.31047745143695
2009-12-01,6385.0,2010-05-01,295.1133871643945
2010-01-01,5102.0,2010-06-01,293.926880894513
2010-02-01,3636.0,2010-07-01,292.750814732509
2010-03-01,3232.0,2010-08-01,291.5850474036225
2010-04-01,2690.0,2010-09-01,290.4294402070967
2010-05-01,2415.0,2010-10-01,289.2838569573274
2010-06-01,1911.0,2010-11-01,288.14816392662857
2010-07-01,1742.0,2010-12-01,287.0222297895632
2010-08-01,1463.0,2011-01-01,285.90592556878727
2010-09-01,1263.0,2011-02-01,284.7991245823618
2010-10-01,1224.0,2011-03-01,283.70170239248444
