t,q,t_model,q_model
2012-04-01,11000.0,2018-10-01,1499.517248983066
2012-05-01,9851.0,2018-11-01,717.5692190875469
2012-06-01,3898.0,2018-12-01,544.0740523266483
2012-07-01,3139.0,2019-01-01,457.18530745958236
2012-08-01,2250.0,2019-02-01,402.57625656326405
2012-09-01,2130.0,2019-03-01,364.1501174267709
2012-10-01,1095.0,2019-04-01,335.2002217211091
2012-11-01,1551.0,2019-05-01,312.3651362151402
2012-12-01,1277.0,2019-06-01,293.7485035490871
2013-01-01,797.0,2019-07-01,278.1880404553583
2013-02-01,778.0,2019-08-01,264.92616631817964
2013-03-01,1704.0,2019-09-01,253.44501623158897
2013-04-01,932.0,2019-10-01,243.37689377664861
2013-05-01,1800.0,2019-11-01,234.4525045336478
2013-06-01,1183.0,2019-12-01,226.46946435684117
2013-07-01,626.0,2020-01-01,219.27231681508877
2013-08-01,750.0,2020-02-01,212.73939596815262
2013-09-01,679.0,2020-03-01,206.77392419672847
2013-10-01,866.0,2020-04-01,201.2978200991647
2013-11-01,892.0,2020-05-01,196.24729206339802
2013-12-01,916.0,2020-06-01,191.56963893754505
2014-01-01,941.0,2020-07-01,187.2208853408367
2014-02-01,278.0,2020-08-01,183.16400580333232
2014-03-01,338.0,2020-09-01,179.36757186637738
2014-04-01,400.0,2020-10-01,175.80470796911288
2014-05-01,469.0,2020-11-01,172.45227610423356
2014-06-01,192.0,2020-12-01,169.2902322432685
2014-07-01,710.0,2021-01-01,166.30111331994172
2014-08-01,781.0,2021-02-01,163.46962456723483
2014-09-01,687.0,2021-03-01,160.78230479258406
2014-10-01,432.0,2021-04-01,158.2272527631366
2014-11-01,456.0,2021-05-01,155.7939019322931
2014-12-01,440.0,2021-06-01,153.4728337225624
2015-01-01,453.0,2021-07-01,151.2556217969723
2015-02-01,529.0,2021-08-01,149.13470141562917
2015-03-01,597.0,2021-09-01,147.10325923522103
2015-04-01,642.0,2021-10-01,145.1551398734575
2015-05-01,645.0,2021-11-01,143.28476630371742
2015-06-01,500.0,2021-12-01,141.48707172263207
2015-07-01,337.0,2022-01-01,139.75744098526818
2015-08-01,257.0,2022-02-01,138.09166005872993
2015-09-01,517.0,2022-03-01,136.4858722275166
2015-10-01,546.0,2022-04-01,134.93654000946418
2015-11-01,685.0,2022-05-01,133.44041192214107
2015-12-01,2238.0,2022-06-01,131.99449338572603
2016-01-01,1773.0,2022-07-01,130.59602116702507
2016-02-01,827.0,2022-08-01,129.2424408660492
2016-03-01,152.0,2022-09-01,127.93138702588871
2016-04-01,127.0,2022-10-01,126.66066551192596
2016-05-01,52.0,2022-11-01,125.4282378604379
2016-06-01,96.0,2022-12-01,124.2322073414911
2016-07-01,69.0,2023-01-01,123.07080651842999
2016-08-01,25.0,2023-02-01,121.94238611755985
2016-09-01,70.0,2023-03-01,120.84540504792093
2016-10-01,71.0,2023-04-01,119.77842143321728
2016-11-01,73.0,2023-05-01,118.74008453671432
2016-12-01,26.0,2023-06-01,117.72912747583247
2017-01-01,84.0,2023-07-01,116.74436063670902
2017-02-01,81.0,2023-08-01,115.78466571056775
2017-03-01,70.0,2023-09-01,114.84899028364012
2017-04-01,55.0,2023-10-01,113.93634292088683
2017-05-01,56.0,2023-11-01,113.04578869109243
2017-06-01,63.0,2023-12-01,112.17644508722758
2017-07-01,69.0,2024-01-01,111.32747830144491
2017-08-01,67.0,2024-02-01,110.49809981882184
2017-09-01,45.0,2024-03-01,109.68756329809084
2017-10-01,55.0,2024-04-01,108.89516171119584
2017-11-01,63.0,2024-05-01,108.12022471665554
2017-12-01,65.0,2024-06-01,107.36211624446597
2018-01-01,125.0,2024-07-01,106.62023227268601
2018-02-01,39.0,2024-08-01,105.89399877797234
2018-03-01,53.0,2024-09-01,105.18286984419558
2018-04-01,60.0,2024-10-01,104.48632591491887
2018-05-01,49.0,2024-11-01,103.80387217697526
2018-06-01,65.0,2024-12-01,103.13503706367035
2018-07-01,1756.0,2025-01-01,102.47937086728015
2018-08-01,2489.0,2025-02-01,101.83644445153065
2018-09-01,2233.0,2025-03-01,101.20584805564931
2018-10-01,1501.0,2025-04-01,100.5871901823855
2018-11-01,741.0,2025-05-01,99.98009656311585
2018-12-01,269.0,2025-06-01,99.38420919379416
2019-01-01,891.0,2025-07-01,98.79918543608156
2019-02-01,205.0,2025-08-01,98.22469717850838
2019-03-01,403.0,2025-09-01,97.66043005298437
2019-04-01,241.0,2025-10-01,97.10608270238896
2019-05-01,375.0,2025-11-01,96.56136609535031
2019-06-01,235.0,2025-12-01,96.02600288465898
2019-07-01,534.0,2026-01-01,95.49972680606834
2019-08-01,76.0,2026-02-01,94.98228211450919
2019-09-01,0.0,2026-03-01,94.47342305499608
2019-10-01,297.0,2026-04-01,93.97291336572881
2019-11-01,351.0,2026-05-01,93.48052581109798
2019-12-01,385.0,2026-06-01,92.9960417424892
2020-01-01,425.0,2026-07-01,92.51925068495035
2020-02-01,339.0,2026-08-01,92.04994994793967
2020-03-01,144.0,2026-09-01,91.58794425851326
