t,q,t_model,q_model
2013-05-01,5669.0,2014-04-01,1982.0367761411876
2013-06-01,16144.0,2014-05-01,496.38947065011024
2013-07-01,6310.0,2014-06-01,408.94161166701866
2013-08-01,3838.0,2014-07-01,365.0218700022142
2013-09-01,4623.0,2014-08-01,336.7277449405693
2013-10-01,4205.0,2014-09-01,316.2909552601144
2013-11-01,3916.0,2014-10-01,300.5124708229863
2013-12-01,4708.0,2014-11-01,287.7850656387534
2014-01-01,3159.0,2014-12-01,277.1950514742708
2014-02-01,1468.0,2015-01-01,268.1769118118274
2014-03-01,570.0,2015-02-01,260.3581051479174
2014-04-01,1982.0,2015-03-01,253.48119844395498
2014-05-01,585.0,2015-04-01,247.36143627278034
2014-06-01,392.0,2015-05-01,241.86208109772642
2014-07-01,274.0,2015-06-01,236.87932017952687
2014-08-01,210.0,2015-07-01,232.3326259554705
2014-09-01,184.0,2015-08-01,228.15837585673532
2014-10-01,285.0,2015-09-01,224.3054993736673
2014-11-01,535.0,2015-10-01,220.732429596951
2014-12-01,203.0,2015-11-01,217.40491918103115
2015-01-01,239.0,2015-12-01,214.29444401271837
2015-02-01,80.0,2016-01-01,211.377015587057
2015-03-01,0.0,2016-02-01,208.63228337469215
2015-04-01,243.0,2016-03-01,206.04284667551585
2015-05-01,205.0,2016-04-01,203.5937202668562
2015-06-01,252.0,2016-05-01,201.27191462194472
2015-07-01,26.0,2016-06-01,199.06610261949092
2015-08-01,0.0,2016-07-01,196.96635234360332
2015-09-01,87.0,2016-08-01,194.9639109498813
2015-10-01,255.0,2016-09-01,193.0510283946713
2015-11-01,365.0,2016-10-01,191.22081257754962
2015-12-01,288.0,2016-11-01,189.46710945576945
2016-01-01,237.0,2016-12-01,187.78440317215416
2016-02-01,136.0,2017-01-01,186.16773234433697
2016-03-01,36.0,2017-02-01,184.61261949721765
2016-04-01,75.0,2017-03-01,183.1150112550416
2016-05-01,160.0,2017-04-01,181.67122739657023
2016-06-01,37.0,2017-05-01,180.2779172537601
