t,q,t_model,q_model
2022-05-01,4326.0,2022-07-01,18934.403224836675
2022-06-01,23207.0,2022-08-01,12047.66801832282
2022-07-01,19101.0,2022-09-01,8447.643993542162
2022-08-01,10552.0,2022-10-01,6306.559607827592
2022-09-01,9192.0,2022-11-01,4919.109843653133
2022-10-01,9553.0,2022-12-01,3963.194923227421
2022-11-01,5694.0,2023-01-01,3273.572132118238
2022-12-01,4257.0,2023-02-01,2757.8952251038136
2023-01-01,1066.0,2023-03-01,2361.047628844771
2023-02-01,402.0,2023-04-01,2048.36970091627
2023-03-01,808.0,2023-05-01,1797.1195434326419
2023-04-01,1431.0,2023-06-01,1591.8389455379368
2023-05-01,1636.0,2023-07-01,1421.702825409772
2023-06-01,713.0,2023-08-01,1278.9348541843503
2023-07-01,393.0,2023-09-01,1157.8241755439926
2023-08-01,1368.0,2023-10-01,1054.095106180665
2023-09-01,1256.0,2023-11-01,964.4915509430116
2023-10-01,1021.0,2023-12-01,886.496110804048
2023-11-01,764.0,2024-01-01,818.1360102607666
2023-12-01,1161.0,2024-02-01,757.8463525429867
2024-01-01,1142.0,2024-03-01,704.3720547953899
2024-02-01,1179.0,2024-04-01,656.6963931579978
2024-03-01,1624.0,2024-05-01,613.9881788035256
2024-04-01,1961.0,2024-06-01,575.5621886953531
2024-05-01,1094.0,2024-07-01,540.8491649500517
2024-06-01,824.0,2024-08-01,509.3728149355977
2024-07-01,1041.0,2024-09-01,480.73199690230035
2024-08-01,884.0,2024-10-01,454.586790592361
2024-09-01,1092.0,2024-11-01,430.6475093287153
2024-10-01,1236.0,2024-12-01,408.6659611589846
2024-11-01,1199.0,2025-01-01,388.42844540222785
2024-12-01,1165.0,2025-02-01,369.7500997254995
2025-01-01,1119.0,2025-03-01,352.4703066565956
2025-02-01,722.0,2025-04-01,336.4489374281896
,,2025-05-01,321.56326228569725
,,2025-06-01,307.7053947862408
,,2025-07-01,294.7801666310275
,,2025-08-01,282.70335167465936
,,2025-09-01,271.40017471648986
,,2025-10-01,260.8040537890293
,,2025-11-01,250.85553485957794
,,2025-12-01,241.5013858498941
,,2026-01-01,232.6938231726978
,,2026-02-01,224.38984897133275
,,2026-03-01,216.5506812229184
,,2026-04-01,209.14126204841233
,,2026-05-01,202.12983213535975
,,2026-06-01,195.4875612516709
,,2026-07-01,189.18822651284535
,,2026-08-01,183.20793143947435
,,2026-09-01,177.5248599682699
,,2026-10-01,172.11906050675302
,,2026-11-01,166.97225588739363
,,2026-12-01,162.06767571182743
,,2027-01-01,157.38990810401435
,,2027-02-01,152.92476833227218
,,2027-03-01,148.6591821296141
,,2027-04-01,144.5810818523522
,,2027-05-01,140.67931387871195
,,2027-06-01,136.94355587054417
,,2027-07-01,133.36424270891018
,,2027-08-01,129.93250007390776
,,2027-09-01,126.64008477517287
,,2027-10-01,123.47933105580303
,,2027-11-01,120.44310219212363
,,2027-12-01,117.5247467973395
,,2028-01-01,114.71805931084505
,,2028-02-01,112.01724421859538
,,2028-03-01,109.41688360497793
,,2028-04-01,106.91190768433262
,,2028-05-01,104.49756800170655
,,2028-06-01,102.16941302849979
,,2028-07-01,99.92326591011306
,,2028-08-01,97.75520415019395
,,2028-09-01,95.66154104013903
,,2028-10-01,93.6388086636099
,,2028-11-01,91.68374232435887
,,2028-12-01,89.79326626197509
,,2029-01-01,87.964480534542
,,2029-02-01,86.19464895989569
,,2029-03-01,84.48118801840296
,,2029-04-01,82.8216566301236
,,2029-05-01,81.21374672804491
,,2029-06-01,79.65527455691361
,,2029-07-01,78.14417263416313
,,2029-08-01,76.67848231564679
,,2029-09-01,75.2563469144284
,,2029-10-01,73.8760053258323
,,2029-11-01,72.53578611638301
,,2029-12-01,71.23410203822999
,,2030-01-01,69.96944493420901
,,2030-02-01,68.74038100188444
,,2030-03-01,67.5455463877864
,,2030-04-01,66.38364308563925
,,2030-05-01,65.25343511470494
,,2030-06-01,64.15374495646284
,,2030-07-01,63.08345022974339
,,2030-08-01,62.04148058614509
,,2030-09-01,61.02681480911455
,,2030-10-01,60.03847810147336
,,2030-11-01,59.07553954744782
,,2030-12-01,58.13710973641355
,,2031-01-01,57.22233853661585
,,2031-02-01,56.330413008081436
,,2031-03-01,55.46055544480537
,,2031-04-01,54.61202153708885
,,2031-05-01,53.78409864562399
,,2031-06-01,52.97610417958155
,,2031-07-01,52.18738407155757
,,2031-08-01,51.41731134278561
,,2031-09-01,50.665284752523796
,,2031-10-01,49.9307275259866
,,2031-11-01,49.21308615561315
,,2031-12-01,48.51182927085134
,,2032-01-01,47.826446571991674
,,2032-02-01,47.15644782391167
,,2032-03-01,46.50136190589098
,,2032-04-01,45.860735913933766
,,2032-05-01,45.234134312288546
,,2032-06-01,44.62113813108976
,,2032-07-01,44.02134420726084
,,2032-08-01,43.434364466017655
,,2032-09-01,42.859825240494615
,,2032-10-01,42.297366627185326
,,2032-11-01,41.74664187504672
,,2032-12-01,41.20731680625999
,,2033-01-01,40.679069266776345
,,2033-02-01,40.16158860489957
,,2033-03-01,39.65457517627231
,,2033-04-01,39.157739873740134
,,2033-05-01,38.67080368066605
,,2033-06-01,38.19349724636006
