t,q,t_model,q_model
2004-01-01,80.0,2006-03-01,165.21433226181193
2004-02-01,149.0,2006-04-01,165.21185658575695
2004-03-01,133.0,2006-05-01,165.21178771401898
2004-04-01,26.0,2006-06-01,165.21174742664826
2004-05-01,220.0,2006-07-01,165.21171884230975
2004-06-01,91.0,2006-08-01,165.21169667057774
2004-07-01,65.0,2006-09-01,165.21167855495582
2004-08-01,92.0,2006-10-01,165.2116632384173
2004-09-01,126.0,2006-11-01,165.21164997062925
2004-10-01,77.0,2006-12-01,165.21163826761168
2004-11-01,65.0,2007-01-01,165.21162779890645
2004-12-01,75.0,2007-02-01,165.2116183288112
2005-01-01,107.0,2007-03-01,165.2116096832921
2005-02-01,13.0,2007-04-01,165.21160173018586
2005-03-01,252.0,2007-05-01,165.21159436675993
2005-04-01,272.0,2007-06-01,165.21158751157472
2005-05-01,41.0,2007-07-01,165.21158109897746
2005-06-01,53.0,2007-08-01,165.21157507526846
2005-07-01,117.0,2007-09-01,165.21156939596477
2005-08-01,94.0,2007-10-01,165.21156402380453
2005-09-01,52.0,2007-11-01,165.2115589272639
2005-10-01,24.0,2007-12-01,165.21155407943635
2005-11-01,6.0,2008-01-01,165.21154945717262
2005-12-01,4.0,2008-02-01,165.21154504041218
2006-01-01,157.0,2008-03-01,165.2115408116571
2006-02-01,145.0,2008-04-01,165.21153675555334
2006-03-01,201.0,2008-05-01,165.21153285855416
2006-04-01,70.0,2008-06-01,165.21152910864726
2006-05-01,84.0,2008-07-01,165.21152549513133
2006-06-01,16.0,2008-08-01,165.21152200843198
2006-07-01,8.0,2008-09-01,165.21151863994893
2006-08-01,2.0,2008-10-01,165.21151538192817
2006-09-01,0.0,2008-11-01,165.21151222735438
2006-10-01,27.0,2008-12-01,165.21150916985994
2006-11-01,87.0,2009-01-01,165.21150620364787
2006-12-01,6.0,2009-02-01,165.21150332342523
2007-01-01,96.0,2009-03-01,165.21150052434655
2007-02-01,6.0,2009-04-01,165.21149780196473
2007-03-01,46.0,2009-05-01,165.21149515218855
2007-04-01,129.0,2009-06-01,165.21149257124557
2007-05-01,15.0,2009-07-01,165.21149005565005
2007-06-01,24.0,2009-08-01,165.2114876021744
2007-07-01,134.0,2009-09-01,165.21148520782452
2007-08-01,20.0,2009-10-01,165.21148286981756
2007-09-01,27.0,2009-11-01,165.2114805855627
2007-10-01,224.0,2009-12-01,165.2114783526438
2007-11-01,66.0,2010-01-01,165.2114761688041
2007-12-01,0.0,2010-02-01,165.21147403193237
2008-01-01,78.0,2010-03-01,165.21147194005079
2008-02-01,20.0,2010-04-01,165.21146989130392
2008-03-01,16.0,2010-05-01,165.21146788394873
2008-04-01,198.0,2010-06-01,165.2114659163458
2008-05-01,188.0,2010-07-01,165.2114639869512
2008-06-01,123.0,2010-08-01,165.21146209430924
2008-07-01,111.0,2010-09-01,165.21146023704586
2008-08-01,27.0,2010-10-01,165.21145841386263
2008-09-01,71.0,2010-11-01,165.21145662353138
2008-10-01,68.0,2010-12-01,165.21145486488913
2008-11-01,60.0,2011-01-01,165.2114531368335
2008-12-01,36.0,2011-02-01,165.2114514383188
2009-01-01,71.0,2011-03-01,165.21144976835188
2009-02-01,78.0,2011-04-01,165.21144812598902
2009-03-01,45.0,2011-05-01,165.21144651033248
2009-04-01,19.0,2011-06-01,165.21144492052755
2009-05-01,78.0,2011-07-01,165.21144335575997
2009-06-01,17.0,2011-08-01,165.21144181525335
2009-07-01,14.0,2011-09-01,165.21144029826684
2009-08-01,158.0,2011-10-01,165.21143880409306
2009-09-01,34.0,2011-11-01,165.211437332056
2009-10-01,62.0,2011-12-01,165.21143588150935
2009-11-01,40.0,2012-01-01,165.21143445183458
2009-12-01,100.0,2012-02-01,165.21143304243955
2010-01-01,44.0,2012-03-01,165.21143165275706
2010-02-01,37.0,2012-04-01,165.21143028224316
2010-03-01,51.0,2012-05-01,165.21142893037637
2010-04-01,50.0,2012-06-01,165.21142759665594
2010-05-01,63.0,2012-07-01,165.21142628060124
2010-06-01,77.0,2012-08-01,165.2114249817504
2010-07-01,29.0,2012-09-01,165.21142369965938
2010-08-01,513.0,2012-10-01,165.2114224339012
2010-09-01,338.0,2012-11-01,165.2114211840649
2010-10-01,325.0,2012-12-01,165.21141994975494
2010-11-01,107.0,2013-01-01,165.2114187305903
2010-12-01,250.0,2013-02-01,165.21141752620377
2011-01-01,84.0,2013-03-01,165.2114163362414
2011-02-01,144.0,2013-04-01,165.21141516036175
2011-03-01,184.0,2013-05-01,165.2114139982354
2011-04-01,0.0,2013-06-01,165.21141284954436
2011-05-01,0.0,2013-07-01,165.2114117139815
2011-06-01,258.0,2013-08-01,165.21141059125014
2011-07-01,114.0,2013-09-01,165.21140948106353
