t,q,t_model,q_model
2020-03-01,868.0,2021-03-01,4694.173934873381
2020-04-01,93.0,2021-04-01,3862.0308195873336
2020-05-01,2642.0,2021-05-01,3267.854292179937
2020-06-01,3334.0,2021-06-01,2823.773619520967
2020-07-01,2170.0,2021-07-01,2480.152219745205
2020-08-01,4122.0,2021-08-01,2206.9099919835503
2020-09-01,5571.0,2021-09-01,1984.7945510304355
2020-10-01,5832.0,2021-10-01,1800.9325706164923
2020-11-01,5578.0,2021-11-01,1646.4019155306792
2020-12-01,5456.0,2021-12-01,1514.8309884912892
2021-01-01,5635.0,2022-01-01,1401.5526444555644
2021-02-01,3969.0,2022-02-01,1303.0728912685108
2021-03-01,4912.0,2022-03-01,1216.7260134002167
2021-04-01,3396.0,2022-04-01,1140.4441913870692
2021-05-01,3044.0,2022-05-01,1072.599697865203
2021-06-01,2352.0,2022-06-01,1011.8943899531648
2021-07-01,3480.0,2022-07-01,957.2807871146535
2021-08-01,3100.0,2022-08-01,907.9047072637737
2021-09-01,1888.0,2022-09-01,863.062907497736
2021-10-01,2096.0,2022-10-01,822.171353749071
2021-11-01,1711.0,2022-11-01,784.7411409284083
2021-12-01,1249.0,2022-12-01,750.3600004269972
2022-01-01,1209.0,2023-01-01,718.6779428714567
2022-02-01,1013.0,2023-02-01,689.3959990315783
2022-03-01,1188.0,2023-03-01,662.2573081585671
2022-04-01,596.0,2023-04-01,637.0400035487371
2022-05-01,43.0,2023-05-01,613.5514874320287
2022-06-01,177.0,2023-06-01,591.6237895444265
2022-07-01,751.0,2023-07-01,571.1097780842114
2022-08-01,2340.0,2023-08-01,551.8800463834908
2022-09-01,1632.0,2023-09-01,533.8203391811847
2022-10-01,798.0,2023-10-01,516.8294127744841
2022-11-01,602.0,2023-11-01,500.8172463027748
2022-12-01,606.0,2023-12-01,485.7035389350805
2023-01-01,640.0,2024-01-01,471.4164411918366
2023-02-01,395.0,2024-02-01,457.8914790508685
2023-03-01,585.0,2024-03-01,445.0706376093522
2023-04-01,0.0,2024-04-01,432.9015774468304
2023-05-01,1128.0,2024-05-01,421.3369618669955
2023-06-01,532.0,2024-06-01,410.3338771937074
2023-07-01,712.0,2024-07-01,399.8533314904342
2023-08-01,602.0,2024-08-01,389.8598196374907
2023-09-01,600.0,2024-09-01,380.3209447724123
2023-10-01,193.0,2024-10-01,371.20708777898244
2023-11-01,820.0,2024-11-01,362.49111787995486
2023-12-01,562.0,2024-12-01,354.14813850983677
2024-01-01,533.0,2025-01-01,346.1552635661344
2024-02-01,483.0,2025-02-01,338.4914198987594
2024-03-01,532.0,2025-03-01,331.137172528337
2024-04-01,611.0,2025-04-01,324.07456960922195
2024-05-01,520.0,2025-05-01,317.28700459149445
2024-06-01,493.0,2025-06-01,310.75909340363677
2024-07-01,614.0,2025-07-01,304.4765647865292
2024-08-01,521.0,2025-08-01,298.42616216999727
,,2025-09-01,292.5955557036446
,,2025-10-01,286.9732632408429
,,2025-11-01,281.54857923403233
,,2025-12-01,276.31151063543564
,,2026-01-01,271.2527190136418
,,2026-02-01,266.36346819634934
,,2026-03-01,261.6355768354435
,,2026-04-01,257.06137536463893
,,2026-05-01,252.6336668839337
,,2026-06-01,248.34569156057762
,,2026-07-01,244.19109418441124
,,2026-08-01,240.16389455732926
,,2026-09-01,236.25846043315653
,,2026-10-01,232.46948275614426
,,2026-11-01,228.79195297423675
,,2026-12-01,225.22114222776952
,,2027-01-01,221.75258223579524
,,2027-02-01,218.38204772119354
,,2027-03-01,215.10554023243947
,,2027-04-01,211.91927323467507
,,2027-05-01,208.81965835579544
,,2027-06-01,205.8032926848424
,,2027-07-01,202.86694703027962
,,2027-08-01,200.0075550548616
,,2027-09-01,197.22220321194592
,,2027-10-01,194.50812141535374
,,2027-11-01,191.86267438136113
,,2027-12-01,189.2833535871967
,,2028-01-01,186.76776979560677
,,2028-02-01,184.31364609969847
,,2028-03-01,181.9188114464462
,,2028-04-01,179.5811946009968
,,2028-05-01,177.29881851728595
,,2028-06-01,175.06979508351898
,,2028-07-01,172.8923202138148
,,2028-08-01,170.7646692597876
,,2028-09-01,168.68519271808253
,,2028-10-01,166.65231221190933
,,2028-11-01,164.6645167264545
,,2028-12-01,162.72035907971946
,,2029-01-01,160.81845261184506
,,2029-02-01,158.95746807735813
,,2029-03-01,157.1361307260268
,,2029-04-01,155.35321755915038
,,2029-05-01,153.60755474914856
,,2029-06-01,151.89801521126182
,,2029-07-01,150.2235163170405
,,2029-08-01,148.58301774008996
,,2029-09-01,146.9755194252644
,,2029-10-01,145.40005967316242
,,2029-11-01,143.8557133323853
,,2029-12-01,142.3415900925765
,,2030-01-01,140.85683287176926
,,2030-02-01,139.400616292042
,,2030-03-01,137.97214523790961
,,2030-04-01,136.5706534922776
,,2030-05-01,135.19540244515062
,,2030-06-01,133.84567987062437
,,2030-07-01,132.52079876799928
,,2030-08-01,131.22009626314247
,,2030-09-01,129.94293256648726
,,2030-10-01,128.68868998430534
,,2030-11-01,127.45677198011226
,,2030-12-01,126.24660228327546
,,2031-01-01,125.05762404208862
,,2031-02-01,123.88929901875477
,,2031-03-01,122.74110682388726
,,2031-04-01,121.61254418829165
,,2031-05-01,120.50312426993476
,,2031-06-01,119.41237599414058
,,2031-07-01,118.33984342517532
,,2031-08-01,117.28508516749973
,,2031-09-01,116.24767379507307
,,2031-10-01,115.22719530719279
,,2031-11-01,114.22324860944676
,,2031-12-01,113.23544501844091
,,2032-01-01,112.26340778904623
,,2032-02-01,111.3067716629833
,,2032-03-01,110.36518243763369
,,2032-04-01,109.4382965540321
,,2032-05-01,108.52578070305489
,,2032-06-01,107.62731144887744
,,2032-07-01,106.74257486882682
,,2032-08-01,105.8712662088053
,,2032-09-01,105.01308955350834
,,2032-10-01,104.16775751070358
