t,q,t_model,q_model
2016-02-01,2278.0,2016-03-01,13376.134270952263
2016-03-01,13648.0,2016-04-01,8879.291789515994
2016-04-01,8310.0,2016-05-01,6604.741912443106
2016-05-01,6382.0,2016-06-01,5238.290629705601
2016-06-01,5067.0,2016-07-01,4329.4166930434785
2016-07-01,4289.0,2016-08-01,3682.6200983765975
2016-08-01,3708.0,2016-09-01,3199.5805214130096
2016-09-01,3162.0,2016-10-01,2825.5408403625993
2016-10-01,3169.0,2016-11-01,2527.627264359974
2016-11-01,3030.0,2016-12-01,2284.9308362558245
2016-12-01,2786.0,2017-01-01,2083.5288753900104
2017-01-01,2497.0,2017-02-01,1913.7982071682131
2017-02-01,1960.0,2017-03-01,1768.8781110966627
2017-03-01,2113.0,2017-04-01,1643.7477324385227
2017-04-01,1744.0,2017-05-01,1534.6495482543442
2017-05-01,1811.0,2017-06-01,1438.7165127622127
2017-06-01,1560.0,2017-07-01,1353.7236876975849
2017-07-01,1472.0,2017-08-01,1277.9184765663165
2017-08-01,1246.0,2017-09-01,1209.9019262238571
2017-09-01,1207.0,2017-10-01,1148.544049760704
2017-10-01,1309.0,2017-11-01,1092.9223261298853
2017-11-01,1186.0,2017-12-01,1042.2763072119596
2017-12-01,1149.0,2018-01-01,995.9736223114867
2018-01-01,949.0,2018-02-01,953.484179606887
2018-02-01,818.0,2018-03-01,914.3603506557753
2018-03-01,825.0,2018-04-01,878.2215814219777
2018-04-01,751.0,2018-05-01,844.7423190751936
2018-05-01,642.0,2018-06-01,813.6424510327163
2018-06-01,686.0,2018-07-01,784.6796675986227
2018-07-01,776.0,2018-08-01,757.6433119294093
2018-08-01,740.0,2018-09-01,732.3493904784034
2018-09-01,658.0,2018-10-01,708.6364965801135
2018-10-01,669.0,2018-11-01,686.3624582437275
2018-11-01,641.0,2018-12-01,665.401564572577
2018-12-01,632.0,2019-01-01,645.6422577056682
2019-01-01,646.0,2019-02-01,626.985201732194
2019-02-01,549.0,2019-03-01,609.3416587506343
2019-03-01,518.0,2019-04-01,592.6321166302271
2019-04-01,537.0,2019-05-01,576.7851241707413
2019-05-01,613.0,2019-06-01,561.7362980409561
2019-06-01,509.0,2019-07-01,547.4274726929187
2019-07-01,502.0,2019-08-01,533.8059698335874
2019-08-01,257.0,2019-09-01,520.823968314322
2019-09-01,314.0,2019-10-01,508.4379587183725
2019-10-01,497.0,2019-11-01,496.6082696743866
2019-11-01,335.0,2019-12-01,485.298655143465
2019-12-01,417.0,2020-01-01,474.47593372885154
2020-01-01,292.0,2020-02-01,464.1096725265846
2020-02-01,394.0,2020-03-01,454.1719092390334
2020-03-01,487.0,2020-04-01,444.63690726349085
2020-04-01,420.0,2020-05-01,435.4809392860657
2020-05-01,396.0,2020-06-01,426.68209558963196
2020-06-01,437.0,2020-07-01,418.22011384948223
2020-07-01,456.0,2020-08-01,410.07622766234965
2020-08-01,427.0,2020-09-01,402.2330314502496
2020-09-01,422.0,2020-10-01,394.674359713583
2020-10-01,492.0,2020-11-01,387.3851788890035
2020-11-01,440.0,2020-12-01,380.35149030552645
2020-12-01,369.0,2021-01-01,373.5602429344513
2021-01-01,423.0,2021-02-01,366.99925480079855
2021-02-01,306.0,2021-03-01,360.6571420709699
2021-03-01,352.0,2021-04-01,354.5232549572413
2021-04-01,180.0,2021-05-01,348.58761968780203
2021-05-01,375.0,2021-06-01,342.8408858841017
2021-06-01,196.0,2021-07-01,337.2742787675701
