t,q,t_model,q_model
2009-08-01,475.0,2010-01-01,9895.956910090925
2009-09-01,6850.0,2010-02-01,5304.83725766394
2009-10-01,2212.0,2010-03-01,3712.452229240333
2009-11-01,8879.0,2010-04-01,2887.9418562811743
2009-12-01,13862.0,2010-05-01,2378.820212061259
2010-01-01,9894.0,2010-06-01,2031.1180896545523
2010-02-01,5180.0,2010-07-01,1777.556465956911
2010-03-01,4063.0,2010-08-01,1583.900874990148
2010-04-01,2776.0,2010-09-01,1430.829004259132
2010-05-01,2412.0,2010-10-01,1306.5800072657948
2010-06-01,2154.0,2010-11-01,1203.5710779549604
2010-07-01,1619.0,2010-12-01,1116.6858245500564
2010-08-01,1849.0,2011-01-01,1042.342513175444
2010-09-01,1329.0,2011-02-01,977.9561788114195
2010-10-01,1441.0,2011-03-01,921.6127927107511
2010-11-01,1392.0,2011-04-01,871.8637789454937
2010-12-01,785.0,2011-05-01,827.5919230589594
2011-01-01,1039.0,2011-06-01,787.9212585102395
2011-02-01,684.0,2011-07-01,752.1549396320173
2011-03-01,761.0,2011-08-01,719.7314373261918
2011-04-01,725.0,2011-09-01,690.1930341004042
2011-05-01,589.0,2011-10-01,663.1627602245802
2011-06-01,824.0,2011-11-01,638.3272389664991
2011-07-01,774.0,2011-12-01,615.4237427060136
2011-08-01,627.0,2012-01-01,594.2302984663146
2011-09-01,655.0,2012-02-01,574.5580342951213
2011-10-01,591.0,2012-03-01,556.2451944514005
2011-11-01,653.0,2012-04-01,539.1524126799494
2011-12-01,559.0,2012-05-01,523.158944671247
2012-01-01,492.0,2012-06-01,508.1596394522492
2012-02-01,338.0,2012-07-01,494.06248552945374
2012-03-01,490.0,2012-08-01,480.78660809237925
2012-04-01,537.0,2012-09-01,468.26062315982426
2012-05-01,396.0,2012-10-01,456.42127638970214
2012-06-01,506.0,2012-11-01,445.21231056324245
2012-07-01,481.0,2012-12-01,434.58351802102834
2012-08-01,394.0,2013-01-01,424.4899436475918
2012-09-01,459.0,2013-02-01,414.8912111404708
2012-10-01,399.0,2013-03-01,405.7509508117218
2012-11-01,664.0,2013-04-01,397.036311457224
2012-12-01,445.0,2013-05-01,388.71754218716086
2013-01-01,758.0,2013-06-01,380.76763275863465
2013-02-01,431.0,2013-07-01,373.1620030518511
2013-03-01,10.0,2013-08-01,365.8782340076524
2013-04-01,424.0,2013-09-01,358.8958336895667
2013-05-01,542.0,2013-10-01,352.19603321911495
2013-06-01,338.0,2013-11-01,345.7616082135133
2013-07-01,316.0,2013-12-01,339.5767220723968
2013-08-01,288.0,2014-01-01,333.6267880476219
2013-09-01,235.0,2014-02-01,327.89834751329704
2013-10-01,320.0,2014-03-01,322.3789622521584
2013-11-01,289.0,2014-04-01,317.0571189052456
2013-12-01,284.0,2014-05-01,311.9221440072378
2014-01-01,237.0,2014-06-01,306.96412825993104
2014-02-01,214.0,2014-07-01,302.17385888931045
2014-03-01,241.0,2014-08-01,297.5427590940482
2014-04-01,271.0,2014-09-01,293.0628337303421
2014-05-01,735.0,2014-10-01,288.7266204941146
2014-06-01,713.0,2014-11-01,284.5271459602255
2014-07-01,464.0,2014-12-01,280.4578859223912
2014-08-01,491.0,2015-01-01,276.5127295493172
2014-09-01,368.0,2015-02-01,272.6859469340795
2014-10-01,416.0,2015-03-01,268.9721596666515
2014-11-01,163.0,2015-04-01,265.366314105007
2014-12-01,0.0,2015-05-01,261.86365705953915
2015-01-01,195.0,2015-06-01,258.459713639566
2015-02-01,371.0,2015-07-01,255.15026704021219
2015-03-01,0.0,2015-08-01,251.93134007362312
2015-04-01,601.0,2015-09-01,248.799178270835
