t,q,t_model,q_model
2009-08-01,5976.0,2015-08-01,713.423491240426
2009-09-01,2508.0,2015-09-01,570.3318699916427
2009-10-01,2433.0,2015-10-01,485.3647965715299
2009-11-01,1734.0,2015-11-01,427.82027719503475
2009-12-01,1205.0,2015-12-01,385.6903255905275
2010-01-01,1698.0,2016-01-01,353.20800533727254
2010-02-01,1531.0,2016-02-01,327.2220441827531
2010-03-01,1390.0,2016-03-01,305.8492814350202
2010-04-01,933.0,2016-04-01,287.88763671019177
2010-05-01,1012.0,2016-05-01,272.52983761781354
2010-06-01,1100.0,2016-06-01,259.21144779081664
2010-07-01,552.0,2016-07-01,247.52464954404525
2010-08-01,1022.0,2016-08-01,237.16664197557364
2010-09-01,981.0,2016-09-01,227.90736438294124
2010-10-01,823.0,2016-10-01,219.56854649973866
2010-11-01,632.0,2016-11-01,212.00967528446634
2010-12-01,972.0,2016-12-01,205.11833579738303
2011-01-01,671.0,2017-01-01,198.80340342624706
2011-02-01,484.0,2017-02-01,192.99014473860174
2011-03-01,544.0,2017-03-01,187.61662613036572
2011-04-01,564.0,2017-04-01,182.6310373846793
2011-05-01,580.0,2017-05-01,177.98966729017508
2011-06-01,353.0,2017-06-01,173.65535182338672
2011-07-01,531.0,2017-07-01,169.59627003512486
2011-08-01,517.0,2017-08-01,165.78499931815804
2011-09-01,494.0,2017-09-01,162.1977666182397
2011-10-01,501.0,2017-10-01,158.81384938334318
2011-11-01,297.0,2017-11-01,155.61509216319382
2011-12-01,607.0,2017-12-01,152.58551341171608
2012-01-01,425.0,2018-01-01,149.71098328661606
2012-02-01,326.0,2018-02-01,146.97895780335688
2012-03-01,475.0,2018-03-01,144.37825807397067
2012-04-01,272.0,2018-04-01,141.89888588069934
2012-05-01,279.0,2018-05-01,139.5318687346595
2012-06-01,148.0,2018-06-01,137.2691290158423
2012-07-01,377.0,2018-07-01,135.10337290066224
2012-08-01,311.0,2018-08-01,133.02799564193418
2012-09-01,324.0,2018-09-01,131.03700043545476
2012-10-01,158.0,2018-10-01,129.1249286327491
2012-11-01,124.0,2018-11-01,127.28679947472874
2012-12-01,249.0,2018-12-01,125.51805785117804
2013-01-01,240.0,2019-01-01,123.8145288551318
2013-02-01,256.0,2019-02-01,122.17237811373079
2013-03-01,144.0,2019-03-01,120.58807704905807
2013-04-01,301.0,2019-04-01,119.05837236224126
2013-05-01,209.0,2019-05-01,117.58025914831929
2013-06-01,157.0,2019-06-01,116.1509571431278
2013-07-01,427.0,2019-07-01,114.76788968076427
2013-08-01,168.0,2019-08-01,113.42866500420953
2013-09-01,192.0,2019-09-01,112.13105962490704
2013-10-01,120.0,2019-10-01,110.87300347152802
2013-11-01,111.0,2019-11-01,109.65256660537261
2013-12-01,230.0,2019-12-01,108.4679473111525
2014-01-01,136.0,2020-01-01,107.31746139830749
2014-02-01,234.0,2020-02-01,106.19953257036049
2014-03-01,148.0,2020-03-01,105.11268373879822
2014-04-01,26.0,2020-04-01,104.05552917413459
2014-05-01,299.0,2020-05-01,103.02676740062738
2014-06-01,205.0,2020-06-01,102.0251747529552
2014-07-01,236.0,2020-07-01,101.04959952332926
2014-08-01,287.0,2020-08-01,100.0989566362733
2014-09-01,229.0,2020-09-01,99.17222279586919
2014-10-01,335.0,2020-10-01,98.2684320568141
