t,q,t_model,q_model
2014-12-01,4761.0,2015-02-01,16575.74275241901
2015-01-01,18442.0,2015-03-01,10011.525818402584
2015-02-01,16258.0,2015-04-01,6978.703463775952
2015-03-01,11163.0,2015-05-01,5267.808144115596
2015-04-01,6606.0,2015-06-01,4183.411283801053
2015-05-01,5329.0,2015-07-01,3441.2994242339732
2015-06-01,3525.0,2015-08-01,2905.0059079716657
2015-07-01,3697.0,2015-09-01,2501.346020725646
2015-08-01,2659.0,2015-10-01,2187.762433626422
2015-09-01,2198.0,2015-11-01,1937.9244861240136
2015-10-01,2144.0,2015-12-01,1734.72118122051
2015-11-01,1750.0,2016-01-01,1566.5804375812277
2015-12-01,1569.0,2016-02-01,1425.4130274650518
2016-01-01,1418.0,2016-03-01,1305.4045499787157
2016-02-01,974.0,2016-04-01,1202.2749933433363
2016-03-01,1260.0,2016-05-01,1112.8082765143954
2016-04-01,963.0,2016-06-01,1034.5439260107516
2016-05-01,955.0,2016-07-01,965.5694879144389
2016-06-01,883.0,2016-08-01,904.3774115573027
2016-07-01,729.0,2016-09-01,849.764288526116
2016-08-01,850.0,2016-10-01,800.7585707622135
2016-09-01,745.0,2016-11-01,756.5678391034115
2016-10-01,915.0,2016-12-01,716.539745795196
2016-11-01,455.0,2017-01-01,680.1326837235147
2016-12-01,752.0,2017-02-01,646.8934815983223
2017-01-01,1137.0,2017-03-01,616.4402458629378
2017-02-01,886.0,2017-04-01,588.4490214987495
2017-03-01,915.0,2017-05-01,562.643320174218
2017-04-01,716.0,2017-06-01,538.7858249177978
2017-05-01,754.0,2017-07-01,516.6717637226543
2017-06-01,645.0,2017-08-01,496.123574944205
2017-07-01,604.0,2017-09-01,476.98658136095094
2017-08-01,751.0,2017-10-01,459.1254582829962
2017-09-01,639.0,2017-11-01,442.421331552867
2017-10-01,630.0,2017-12-01,426.7693788139841
2017-11-01,599.0,2018-01-01,412.0768355946144
2017-12-01,489.0,2018-02-01,398.2613290865902
2018-01-01,375.0,2018-03-01,385.2494787817107
2018-02-01,354.0,2018-04-01,372.9757156548711
2018-03-01,383.0,2018-05-01,361.38128128871404
2018-04-01,385.0,2018-06-01,350.41337590679535
2018-05-01,470.0,2018-07-01,340.02443022837605
2018-06-01,435.0,2018-08-01,330.1714807560867
2018-07-01,375.0,2018-09-01,320.8156318415621
2018-08-01,411.0,2018-10-01,311.92159085823596
2018-09-01,421.0,2018-11-01,303.4572652080335
2018-10-01,440.0,2018-12-01,295.39341182478324
2018-11-01,339.0,2019-01-01,287.70333140816797
2018-12-01,485.0,2019-02-01,280.3626009026918
2019-01-01,525.0,2019-03-01,273.34883878474113
2019-02-01,186.0,2019-04-01,266.6414985830374
2019-03-01,384.0,2019-05-01,260.22168676963963
2019-04-01,438.0,2019-06-01,254.07200174865466
2019-05-01,336.0,2019-07-01,248.1763911606452
2019-06-01,298.0,2019-08-01,242.52002513052977
2019-07-01,312.0,2019-09-01,237.08918343009694
2019-08-01,251.0,2019-10-01,231.8711548148523
2019-09-01,285.0,2019-11-01,226.85414703828306
2019-10-01,274.0,2019-12-01,222.02720625247906
2019-11-01,307.0,2020-01-01,217.38014467869914
2019-12-01,279.0,2020-02-01,212.90347558006326
2020-01-01,295.0,2020-03-01,208.58835469533184
2020-02-01,201.0,2020-04-01,204.42652740118967
2020-03-01,100.0,2020-05-01,200.41028096347267
2020-04-01,237.0,2020-06-01,196.53240131776087
2020-05-01,0.0,2020-07-01,192.78613388869977
2020-06-01,221.0,2020-08-01,189.16514801697332
2020-07-01,198.0,2020-09-01,185.6635046144258
2020-08-01,323.0,2020-10-01,182.27562671258727
2020-09-01,329.0,2020-11-01,178.99627260878165
2020-10-01,308.0,2020-12-01,175.82051134791809
2020-11-01,102.0,2021-01-01,172.74370030768878
2020-12-01,42.0,2021-02-01,169.7614646808143
2021-01-01,200.0,2021-03-01,166.86967867069563
2021-02-01,143.0,2021-04-01,164.06444823678729
2021-03-01,164.0,2021-05-01,161.34209524355825
2021-04-01,184.0,2021-06-01,158.69914288238127
2021-05-01,266.0,2021-07-01,156.13230224934887
