t,q,t_model,q_model
2004-01-01,1003.0,2011-06-01,348.35109475672266
2004-02-01,916.0,2011-07-01,348.35925390056
2004-03-01,918.0,2011-08-01,348.3674622646722
2004-04-01,872.0,2011-09-01,348.3757204453297
2004-05-01,830.0,2011-10-01,348.38402904969706
2004-06-01,833.0,2011-11-01,348.3923886960994
2004-07-01,879.0,2011-12-01,348.40080001429817
2004-08-01,840.0,2012-01-01,348.4092636457743
2004-09-01,767.0,2012-02-01,348.41778024402095
2004-10-01,784.0,2012-03-01,348.4263504748452
2004-11-01,731.0,2012-04-01,348.43497501667923
2004-12-01,710.0,2012-05-01,348.4436545609014
2005-01-01,779.0,2012-06-01,348.4523898121679
2005-02-01,660.0,2012-07-01,348.46118148875433
2005-03-01,758.0,2012-08-01,348.47003032290945
2005-04-01,837.0,2012-09-01,348.4789370612193
2005-05-01,706.0,2012-10-01,348.4879024649842
2005-06-01,707.0,2012-11-01,348.49692731060776
2005-07-01,703.0,2012-12-01,348.5060123899987
2005-08-01,694.0,2013-01-01,348.51515851098674
2005-09-01,675.0,2013-02-01,348.52436649775177
2005-10-01,437.0,2013-03-01,348.53363719126804
2005-11-01,683.0,2013-04-01,348.54297144976346
2005-12-01,613.0,2013-05-01,348.5523701491947
2006-01-01,588.0,2013-06-01,348.56183418373854
2006-02-01,569.0,2013-07-01,348.5713644663008
2006-03-01,718.0,2013-08-01,348.5809619290426
2006-04-01,733.0,2013-09-01,348.5906275239258
2006-05-01,811.0,2013-10-01,348.60036222327744
2006-06-01,663.0,2013-11-01,348.6101670203747
2006-07-01,736.0,2013-12-01,348.620042930051
2006-08-01,727.0,2014-01-01,348.62999098932374
2006-09-01,677.0,2014-02-01,348.6400122580459
2006-10-01,811.0,2014-03-01,348.65010781958074
2006-11-01,1086.0,2014-04-01,348.6602787815027
2006-12-01,427.0,2014-05-01,348.6705262763233
2007-01-01,378.0,2014-06-01,348.68085146224587
2007-02-01,337.0,2014-07-01,348.69125552394775
2007-03-01,614.0,2014-08-01,348.70173967339343
2007-04-01,355.0,2014-09-01,348.7123051506786
2007-05-01,361.0,2014-10-01,348.7229532249073
2007-06-01,726.0,2014-11-01,348.73368519510353
2007-07-01,511.0,2014-12-01,348.7445023911589
2007-08-01,314.0,2015-01-01,348.7554061748179
2007-09-01,302.0,2015-02-01,348.76639794070326
2007-10-01,421.0,2015-03-01,348.7774791173824
2007-11-01,373.0,2015-04-01,348.7886511684778
2007-12-01,303.0,2015-05-01,348.799915593823
2008-01-01,358.0,2015-06-01,348.81127393066646
2008-02-01,322.0,2015-07-01,348.82272775492623
2008-03-01,360.0,2015-08-01,348.83427868249754
2008-04-01,317.0,2015-09-01,348.845928370616
2008-05-01,261.0,2015-10-01,348.85767851927915
2008-06-01,239.0,2015-11-01,348.8695308727303
2008-07-01,448.0,2015-12-01,348.88148722100675
2008-08-01,363.0,2016-01-01,348.89354940155647
2008-09-01,273.0,2016-02-01,348.90571930092665
2008-10-01,323.0,2016-03-01,348.91799885652824
2008-11-01,243.0,2016-04-01,348.93039005848055
2008-12-01,244.0,2016-05-01,348.94289495153976
2009-01-01,252.0,2016-06-01,348.955515637117
2009-02-01,264.0,2016-07-01,348.9682542753899
2009-03-01,268.0,2016-08-01,348.98111308751396
2009-04-01,260.0,2016-09-01,348.99409435793854
2009-05-01,305.0,2016-10-01,349.00720043683384
2009-06-01,208.0,2016-11-01,349.0204337426357
2009-07-01,167.0,2016-12-01,349.03379676471405
2009-08-01,223.0,2017-01-01,349.0472920661738
2009-09-01,178.0,2017-02-01,349.0609222867946
2009-10-01,171.0,2017-03-01,349.0746901461193
2009-11-01,163.0,2017-04-01,349.08859844669854
2009-12-01,179.0,2017-05-01,349.1026500775032
2010-01-01,162.0,2017-06-01,349.11684801751244
2010-02-01,151.0,2017-07-01,349.1311953394915
2010-03-01,135.0,2017-08-01,349.1456952139684
2010-04-01,107.0,2017-09-01,349.1603509134247
2010-05-01,149.0,2017-10-01,349.17516581671225
2010-06-01,147.0,2017-11-01,349.1901434137127
2010-07-01,131.0,2017-12-01,349.20528731025365
2010-08-01,100.0,2018-01-01,349.2206012333014
2010-09-01,16.0,2018-02-01,349.2360890364463
2010-10-01,181.0,2018-03-01,349.2517547057027
2010-11-01,37.0,2018-04-01,349.26760236564496
2010-12-01,102.0,2018-05-01,349.28363628590233
2011-01-01,48.0,2018-06-01,349.2998608880394
2011-02-01,4.0,2018-07-01,349.31628075284897
2011-03-01,14.0,2018-08-01,349.3329006280878
2011-04-01,8.0,2018-09-01,349.3497254366881
2011-05-01,4.0,2018-10-01,349.36676028547936
2011-06-01,315.0,2018-11-01,349.3840104744606
2011-07-01,224.0,2018-12-01,349.40148150666334
2011-08-01,200.0,2019-01-01,349.4191790986534
2011-09-01,176.0,2019-02-01,349.43710919171883
2011-10-01,169.0,2019-03-01,349.4552779638018
2011-11-01,120.0,2019-04-01,349.4736918422316
2011-12-01,163.0,2019-05-01,349.4923575173262
