t,q,t_model,q_model
2009-11-01,0.0,2010-03-01,7014.8858354800395
2009-12-01,0.0,2010-04-01,5550.240299846922
2010-01-01,0.0,2010-05-01,4708.067456661863
2010-02-01,4969.0,2010-06-01,4146.613513806614
2010-03-01,7325.0,2010-07-01,3739.2062405278875
2010-04-01,5227.0,2010-08-01,3426.8057112837937
2010-05-01,4537.0,2010-09-01,3177.7589010656834
2010-06-01,3939.0,2010-10-01,2973.395985872376
2010-07-01,3407.0,2010-11-01,2801.9113464506277
2010-08-01,3276.0,2010-12-01,2655.4325425633265
2010-09-01,2973.0,2011-01-01,2528.4850288203365
2010-10-01,2967.0,2011-02-01,2417.1301230194576
2010-11-01,2807.0,2011-03-01,2318.4532923059146
2010-12-01,2453.0,2011-04-01,2230.246200600104
2011-01-01,2886.0,2011-05-01,2150.8014600424085
2011-02-01,2320.0,2011-06-01,2078.775769826947
2011-03-01,2434.0,2011-07-01,2013.0960747094405
2011-04-01,2299.0,2011-08-01,1952.8936406243563
2011-05-01,2313.0,2011-09-01,1897.4567452226966
2011-06-01,2177.0,2011-10-01,1846.1960808488448
2011-07-01,2193.0,2011-11-01,1798.619025087713
2011-08-01,2098.0,2011-12-01,1754.3102151992443
2011-09-01,1713.0,2012-01-01,1712.9166809294707
2011-10-01,1969.0,2012-02-01,1674.1363246659675
2011-11-01,1914.0,2012-03-01,1637.7088942799085
2011-12-01,1938.0,2012-04-01,1603.4088360700762
2012-01-01,1891.0,2012-05-01,1571.0395824625527
2012-02-01,1699.0,2012-06-01,1540.4289464612043
2012-03-01,1824.0,2012-07-01,1511.4253783556348
2012-04-01,1774.0,2012-08-01,1483.8949004131796
2012-05-01,1752.0,2012-09-01,1457.7185792361552
2012-06-01,1634.0,2012-10-01,1432.7904279115137
2012-07-01,1579.0,2012-11-01,1409.015654282886
2012-08-01,1648.0,2012-12-01,1386.309189906266
2012-09-01,1433.0,2013-01-01,1364.5944481097436
2012-10-01,1523.0,2013-02-01,1343.8022702038234
2012-11-01,1497.0,2013-03-01,1323.8700271019868
2012-12-01,1504.0,2013-04-01,1304.740850007378
2013-01-01,898.0,2013-05-01,1286.3629688384901
2013-02-01,1445.0,2013-06-01,1268.689141028406
2013-03-01,1508.0,2013-07-01,1251.6761564805602
2013-04-01,1391.0,2013-08-01,1235.284406981184
2013-05-01,1460.0,2013-09-01,1219.4775103926906
2013-06-01,1388.0,2013-10-01,1204.2219815887192
2013-07-01,1425.0,2013-11-01,1189.48694342149
2013-08-01,1437.0,2013-12-01,1175.2438720982584
2013-09-01,1302.0,2014-01-01,1161.4663722348917
2013-10-01,1367.0,2014-02-01,1148.1299775891462
2013-11-01,1334.0,2014-03-01,1135.211974084293
2013-12-01,1309.0,2014-04-01,1122.6912422391101
2014-01-01,1324.0,2014-05-01,1110.5481165419797
2014-02-01,1160.0,2014-06-01,1098.7642596600372
2014-03-01,1191.0,2014-07-01,1087.3225496712284
2014-04-01,1180.0,2014-08-01,1076.2069787575738
2014-05-01,1187.0,2014-09-01,1065.4025620099005
2014-06-01,1137.0,2014-10-01,1054.8952551742586
2014-07-01,1203.0,2014-11-01,1044.671880323499
2014-08-01,1161.0,2014-12-01,1034.720058568405
2014-09-01,1115.0,2015-01-01,1025.0281490349105
2014-10-01,950.0,2015-02-01,1015.5851934302638
2014-11-01,955.0,2015-03-01,1006.3808656039663
2014-12-01,1154.0,2015-04-01,997.4054255809465
2015-01-01,1196.0,2015-05-01,988.6496776064452
2015-02-01,1084.0,2015-06-01,980.104931795897
2015-03-01,1146.0,2015-07-01,971.7629690298858
2015-04-01,1100.0,2015-08-01,963.6160087750485
2015-05-01,1111.0,2015-09-01,955.6566795474339
2015-06-01,968.0,2015-10-01,947.877991766016
2015-07-01,1018.0,2015-11-01,940.27331277143
2015-08-01,1003.0,2015-12-01,932.836343809044
2015-09-01,974.0,2016-01-01,925.5610987966627
2015-10-01,988.0,2016-02-01,918.4418847158456
2015-11-01,949.0,2016-03-01,911.4732834823343
2015-12-01,974.0,2016-04-01,904.6501351657118
2016-01-01,981.0,2016-05-01,897.9675224413828
2016-02-01,908.0,2016-06-01,891.4207561694868
2016-03-01,963.0,2016-07-01,885.0053620056118
2016-04-01,923.0,2016-08-01,878.7170679573103
2016-05-01,938.0,2016-09-01,872.5517928085789
2016-06-01,891.0,2016-10-01,866.5056353417532
2016-07-01,936.0,2016-11-01,860.574864292796
2016-08-01,876.0,2016-12-01,854.7559089818125
2016-09-01,873.0,2017-01-01,849.0453505658751
2016-10-01,883.0,2017-02-01,843.4399138659653
2016-11-01,819.0,2017-03-01,837.9364597240918
2016-12-01,874.0,2017-04-01,832.5319778504742
2017-01-01,845.0,2017-05-01,827.223580124139
2017-02-01,756.0,2017-06-01,822.0084943133982
2017-03-01,845.0,2017-07-01,816.8840581855073
2017-04-01,767.0,2017-08-01,811.8477139773571
2017-05-01,942.0,2017-09-01,806.8970032013749
2017-06-01,820.0,2017-10-01,802.0295617629185
2017-07-01,774.0,2017-11-01,797.2431153673529
2017-08-01,815.0,2017-12-01,792.5354751967496
2017-09-01,675.0,2018-01-01,787.9045338377286
2017-10-01,831.0,2018-02-01,783.3482614434024
2017-11-01,690.0,2018-03-01,778.8647021137124
2017-12-01,791.0,2018-04-01,774.4519704796398
2018-01-01,811.0,2018-05-01,770.1082484778788
2018-02-01,723.0,2018-06-01,765.831782303566
2018-03-01,772.0,2018-07-01,761.6208795295847
2018-04-01,629.0,2018-08-01,757.4739063817996
2018-05-01,787.0,2018-09-01,753.389285160365
2018-06-01,666.0,2018-10-01,749.3654917979521
2018-07-01,744.0,2018-11-01,745.4010535463993
2018-08-01,783.0,2018-12-01,741.4945467838908
2018-09-01,760.0,2019-01-01,737.6445949353234
2018-10-01,795.0,2019-02-01,733.8498664990327
2018-11-01,751.0,2019-03-01,730.1090731735145
2018-12-01,749.0,2019-04-01,726.4209680782236
2019-01-01,761.0,2019-05-01,722.7843440629192
2019-02-01,682.0,2019-06-01,719.1980321004064
2019-03-01,743.0,2019-07-01,715.6608997578637
2019-04-01,764.0,2019-08-01,712.1718497422593
2019-05-01,752.0,2019-09-01,708.729818515659
2019-06-01,706.0,2019-10-01,705.333774976496
2019-07-01,736.0,2019-11-01,701.9827192031267
2019-08-01,628.0,2019-12-01,698.6756812562312
2019-09-01,602.0,2020-01-01,695.4117200368327
2019-10-01,628.0,2020-02-01,692.1899221969157
2019-11-01,619.0,2020-03-01,689.0094010998054
2019-12-01,654.0,2020-04-01,685.8692958276495
2020-01-01,653.0,2020-05-01,682.7687702335057
2020-02-01,598.0,2020-06-01,679.7070120356864
2020-03-01,646.0,2020-07-01,676.6832319521576
2020-04-01,641.0,2020-08-01,673.696662872917
2020-05-01,725.0,2020-09-01,670.7465590684027
2020-06-01,672.0,2020-10-01,667.8321954320919
2020-07-01,686.0,2020-11-01,664.9528667555659
2020-08-01,676.0,2020-12-01,662.1078870344082
2020-09-01,691.0,2021-01-01,659.2965888034015
2020-10-01,663.0,2021-02-01,656.5183224995754
2020-11-01,641.0,2021-03-01,653.7724558517378
2020-12-01,661.0,2021-04-01,651.0583732952025
2021-01-01,638.0,2021-05-01,648.3754754104905
2021-02-01,515.0,2021-06-01,645.7231783848606
2021-03-01,637.0,2021-07-01,643.1009134955782
2021-04-01,614.0,2021-08-01,640.5081266138934
2021-05-01,629.0,2021-09-01,637.94427772876
2021-06-01,457.0,2021-10-01,635.4088404893708
2021-07-01,487.0,2021-11-01,632.9013017656422
2021-08-01,473.0,2021-12-01,630.4211612258187
2021-09-01,494.0,2022-01-01,627.9679309304203
2021-10-01,548.0,2022-02-01,625.5411349417889
2021-11-01,548.0,2022-03-01,623.1403089485326
2021-12-01,578.0,2022-04-01,620.7649999042018
2022-01-01,583.0,2022-05-01,618.4147656795647
2022-02-01,517.0,2022-06-01,616.0891747278822
2022-03-01,541.0,2022-07-01,613.7878057626148
2022-04-01,565.0,2022-08-01,611.5102474470158
2022-05-01,573.0,2022-09-01,609.2560980951023
2022-06-01,575.0,2022-10-01,607.02496538351
2022-07-01,566.0,2022-11-01,604.8164660737731
2022-08-01,473.0,2022-12-01,602.6302257445808
2022-09-01,470.0,2023-01-01,600.4658785335961
2022-10-01,506.0,2023-02-01,598.3230668884325
2022-11-01,496.0,2023-03-01,596.2014413264095
2022-12-01,468.0,2023-04-01,594.1006602027237
2023-01-01,509.0,2023-05-01,592.0203894866908
2023-02-01,477.0,2023-06-01,589.9603025457263
2023-03-01,501.0,2023-07-01,587.9200799367551
2023-04-01,475.0,2023-08-01,585.899409204746
2023-05-01,485.0,2023-09-01,583.89798468809
2023-06-01,489.0,2023-10-01,581.9155073305462
2023-07-01,515.0,2023-11-01,579.9516844994977
2023-08-01,491.0,2023-12-01,578.0062298102677
2023-09-01,478.0,2024-01-01,576.07886295626
2023-10-01,509.0,2024-02-01,574.1693095446974
2023-11-01,483.0,2024-03-01,572.277300937739
2023-12-01,495.0,2024-04-01,570.4025740987747
2024-01-01,461.0,2024-05-01,568.5448714436941
2024-02-01,470.0,2024-06-01,566.7039406969435
2024-03-01,505.0,2024-07-01,564.8795347521908
2024-04-01,471.0,2024-08-01,563.0714115374228
2024-05-01,484.0,2024-09-01,561.2793338843114
2024-06-01,443.0,2024-10-01,559.5030694016903
2024-07-01,463.0,2024-11-01,557.7423903529884
2024-08-01,488.0,2024-12-01,555.9970735374781
2024-09-01,459.0,2025-01-01,554.266900175195
2024-10-01,510.0,2025-02-01,552.5516557954002
2024-11-01,481.0,2025-03-01,550.8511301284539
2024-12-01,462.0,2025-04-01,549.1651170009787
2025-01-01,475.0,2025-05-01,547.493414234197
,,2025-06-01,545.8358235453268
,,2025-07-01,544.1921504519302
,,2025-08-01,542.5622041791092
,,2025-09-01,540.9457975694519
,,2025-10-01,539.3427469956291
,,2025-11-01,537.7528722755544
,,2025-12-01,536.1759965900168
,,2026-01-01,534.6119464027012
,,2026-02-01,533.0605513825178
,,2026-03-01,531.5216443281591
,,2026-04-01,529.9950610948118
,,2026-05-01,528.4806405229501
,,2026-06-01,526.9782243691425
,,2026-07-01,525.4876572388022
,,2026-08-01,524.0087865208217
,,2026-09-01,522.5414623240246
,,2026-10-01,521.0855374153791
,,2026-11-01,519.6408671599136
,,2026-12-01,518.2073094622812
,,2027-01-01,516.7847247099172
,,2027-02-01,515.3729757177423
,,2027-03-01,513.9719276743592
,,2027-04-01,512.5814480896955
,,2027-05-01,511.2014067440502
,,2027-06-01,509.8316756384947
,,2027-07-01,508.472128946591
,,2027-08-01,507.1226429673824
,,2027-09-01,505.7830960796192
,,2027-10-01,504.4533686971804
,,2027-11-01,503.13334322565584
,,2027-12-01,501.8229040200513
,,2028-01-01,500.5219373435851
,,2028-02-01,499.23033132754034
,,2028-03-01,497.9479759321433
,,2028-04-01,496.6747629084361
,,2028-05-01,495.41058576111374
,,2028-06-01,494.1553397122976
,,2028-07-01,492.908921666217
,,2028-08-01,491.67123017477314
,,2028-09-01,490.44216540395786
,,2028-10-01,489.2216291011035
,,2028-11-01,488.00952456294
,,2028-12-01,486.80575660443446
,,2029-01-01,485.6102315283923
,,2029-02-01,484.4228570957966
,,2029-03-01,483.2435424968655
,,2029-04-01,482.0721983228074
,,2029-05-01,480.9087365382539
,,2029-06-01,479.75307045435
,,2029-07-01,478.60511470248633
,,2029-08-01,477.46478520865213
,,2029-09-01,476.331999168394
,,2029-10-01,475.20667502236216
,,2029-11-01,474.0887324324289
,,2029-12-01,472.97809225836346
,,2030-01-01,471.8746765350472
,,2030-02-01,470.77840845021564
,,2030-03-01,469.6892123227124
,,2030-04-01,468.6070135812408
,,2030-05-01,467.5317387436002
,,2030-06-01,466.46331539639505
,,2030-07-01,465.40167217520144
,,2030-08-01,464.34673874518194
,,2030-09-01,463.2984457821349
,,2030-10-01,462.256724953967
,,2030-11-01,461.22150890257956
,,2030-12-01,460.1927312261547
,,2031-01-01,459.17032646183463
,,2031-02-01,458.1542300687803
,,2031-03-01,457.1443784116026
,,2031-04-01,456.1407087441541
,,2031-05-01,455.14315919367425
,,2031-06-01,454.15166874527716
,,2031-07-01,453.166177226774
,,2031-08-01,452.18662529382215
,,2031-09-01,451.2129544153918
,,2031-10-01,450.2451068595425
,,2031-11-01,449.2830256795019
,,2031-12-01,448.32665470003917
,,2032-01-01,447.37593850412566
,,2032-02-01,446.4308224198753
,,2032-03-01,445.4912525077592
,,2032-04-01,444.5571755480857
,,2032-05-01,443.6285390287411
,,2032-06-01,442.7052911331836
,,2032-07-01,441.78738072868515
,,2032-08-01,440.87475735481445
,,2032-09-01,439.96737121215534
,,2032-10-01,439.0651731512563
,,2032-11-01,438.1681146618029
,,2032-12-01,437.27614786201013
,,2033-01-01,436.38922548822904
,,2033-02-01,435.50730088476126
,,2033-03-01,434.63032799387827
,,2033-04-01,433.7582613460389
,,2033-05-01,432.89105605030215
