t,q,t_model,q_model
2004-01-01,6149.0,2004-08-01,4007.150875744114
2004-02-01,4470.0,2004-09-01,3733.2147277278473
2004-03-01,5754.0,2004-10-01,3493.8837766030556
2004-04-01,5159.0,2004-11-01,3283.015651604646
2004-05-01,4681.0,2004-12-01,3095.83777706164
2004-06-01,4176.0,2005-01-01,2928.586097236484
2004-07-01,4214.0,2005-02-01,2778.25233584261
2004-08-01,4072.0,2005-03-01,2642.4035812292273
2004-09-01,3395.0,2005-04-01,2519.05116123467
2004-10-01,3372.0,2005-05-01,2406.5537891242666
2004-11-01,3090.0,2005-06-01,2303.5449719562557
2004-12-01,2923.0,2005-07-01,2208.8778782744075
2005-01-01,2761.0,2005-08-01,2121.5829573473397
2005-02-01,2660.0,2005-09-01,2040.8349985919158
2005-03-01,3035.0,2005-10-01,1965.927267045115
2005-04-01,2752.0,2005-11-01,1896.2510037578716
2005-05-01,2689.0,2005-12-01,1831.2790369069253
2005-06-01,2307.0,2006-01-01,1770.5525735532242
2005-07-01,2190.0,2006-02-01,1713.670474846067
2005-08-01,2150.0,2006-03-01,1660.2804867587568
2005-09-01,2011.0,2006-04-01,1610.0720228619416
2005-10-01,1916.0,2006-05-01,1562.7701880260763
2005-11-01,2368.0,2006-06-01,1518.1308012022614
2005-12-01,2276.0,2006-07-01,1475.9362278183405
2006-01-01,2183.0,2006-08-01,1435.9918722891123
2006-02-01,1855.0,2006-09-01,1398.1232118656
2006-03-01,1967.0,2006-10-01,1362.1732768502893
2006-04-01,1621.0,2006-11-01,1328.0005007740378
2006-05-01,1253.0,2006-12-01,1295.476878713613
2006-06-01,1749.0,2007-01-01,1264.4863834545915
2006-07-01,3095.0,2007-02-01,1234.9235983685744
2006-08-01,2471.0,2007-03-01,1206.692533201777
2006-09-01,1927.0,2007-04-01,1179.7055948638688
2006-10-01,1755.0,2007-05-01,1153.882690067451
2006-11-01,1222.0,2007-06-01,1129.1504405356302
2006-12-01,1138.0,2007-07-01,1105.441494650603
2007-01-01,938.0,2007-08-01,1082.693922002546
2007-02-01,708.0,2007-09-01,1060.8506794271705
