t,q,t_model,q_model
2011-12-01,0.0,2013-03-01,1116.6621861282615
2012-01-01,3553.0,2013-04-01,1032.3252014382078
2012-02-01,3821.0,2013-05-01,961.9394592785767
2012-03-01,3085.0,2013-06-01,902.1647735698185
2012-04-01,2355.0,2013-07-01,850.667644265042
2012-05-01,2313.0,2013-08-01,805.7648546610857
2012-06-01,1975.0,2013-09-01,766.2093873703996
2012-07-01,1994.0,2013-10-01,731.056226303276
2012-08-01,1516.0,2013-11-01,699.5751558811922
2012-09-01,760.0,2013-12-01,671.1923299404424
2012-10-01,968.0,2014-01-01,645.4500632044253
2012-11-01,797.0,2014-02-01,621.9785116117503
2012-12-01,1008.0,2014-03-01,600.4753131257786
2013-01-01,1343.0,2014-04-01,580.6906823589187
2013-02-01,1098.0,2014-05-01,562.4163187820567
2013-03-01,1149.0,2014-06-01,545.4770308727828
2013-04-01,1027.0,2014-07-01,529.7243266926426
2013-05-01,971.0,2014-08-01,515.031449695721
2013-06-01,886.0,2014-09-01,501.2894912922806
2013-07-01,848.0,2014-10-01,488.4043157030933
2013-08-01,793.0,2014-11-01,476.2941046516038
2013-09-01,729.0,2014-12-01,464.8873800543011
2013-10-01,734.0,2015-01-01,454.12139893999205
2013-11-01,686.0,2015-02-01,443.9408408661614
2013-12-01,685.0,2015-03-01,434.2967271202587
2014-01-01,677.0,2015-04-01,425.1455250411381
2014-02-01,597.0,2015-05-01,416.44840127803434
2014-03-01,600.0,2015-06-01,408.1705957016522
2014-04-01,552.0,2015-07-01,400.2808936853325
2014-05-01,492.0,2015-08-01,392.75117907660695
2014-06-01,562.0,2015-09-01,385.55605373579283
2014-07-01,529.0,2015-10-01,378.6725122869175
2014-08-01,521.0,2015-11-01,372.07966289689733
2014-09-01,508.0,2015-12-01,365.75848661205146
2014-10-01,532.0,2016-01-01,359.69162914165616
2014-11-01,448.0,2016-02-01,353.8632200653653
2014-12-01,375.0,2016-03-01,348.2587153148361
2015-01-01,465.0,2016-04-01,342.86475948558405
2015-02-01,394.0,2016-05-01,337.6690651081054
2015-03-01,404.0,2016-06-01,332.6603064748852
2015-04-01,18.0,2016-07-01,327.82802600322304
2015-05-01,733.0,2016-08-01,323.1625514294578
2015-06-01,486.0,2016-09-01,318.65492239119465
2015-07-01,478.0,2016-10-01,314.29682517088327
2015-08-01,439.0,2016-11-01,310.0805345547653
2015-09-01,428.0,2016-12-01,305.9988619123808
2015-10-01,424.0,2017-01-01,302.0451087287632
2015-11-01,388.0,2017-02-01,298.2130249284113
2015-12-01,408.0,2017-03-01,294.4967714205567
2016-01-01,400.0,2017-04-01,290.890886371935
2016-02-01,367.0,2017-05-01,287.39025477851095
2016-03-01,371.0,2017-06-01,283.9900809632773
2016-04-01,351.0,2017-07-01,280.68586367487853
2016-05-01,309.0,2017-08-01,277.4733735026813
2016-06-01,367.0,2017-09-01,274.3486323590744
2016-07-01,338.0,2017-10-01,271.3078948101075
2016-08-01,339.0,2017-11-01,268.34763106179935
2016-09-01,311.0,2017-12-01,265.4645114321741
2016-10-01,322.0,2018-01-01,262.6553921588277
2016-11-01,311.0,2018-02-01,259.9173024090164
2016-12-01,327.0,2018-03-01,257.24743237426196
2017-01-01,312.0,2018-04-01,254.64312234458
2017-02-01,274.0,2018-05-01,252.10185266893663
2017-03-01,308.0,2018-06-01,249.62123451862226
2017-04-01,280.0,2018-07-01,247.19900137911225
2017-05-01,289.0,2018-08-01,244.8330012038015
2017-06-01,290.0,2018-09-01,242.52118916990787
2017-07-01,246.0,2018-10-01,240.26162098294637
2017-08-01,240.0,2018-11-01,238.0524466815859
2017-09-01,262.0,2018-12-01,235.89190489950315
2017-10-01,322.0,2019-01-01,233.77831754511513
2017-11-01,268.0,2019-02-01,231.7100848638724
2017-12-01,300.0,2019-03-01,229.6856808511819
2018-01-01,320.0,2019-04-01,227.70364898705387
2018-02-01,264.0,2019-05-01,225.76259826627305
2018-03-01,286.0,2019-06-01,223.86119950031554
2018-04-01,265.0,2019-07-01,221.99818186940757
2018-05-01,268.0,2019-08-01,220.17232970507035
2018-06-01,260.0,2019-09-01,218.38247948525253
2018-07-01,256.0,2019-10-01,216.62751702572805
2018-08-01,258.0,2019-11-01,214.9063748528636
2018-09-01,242.0,2019-12-01,213.21802974414217
2018-10-01,251.0,2020-01-01,211.5615004239928
2018-11-01,261.0,2020-02-01,209.93584540352475
2018-12-01,240.0,2020-03-01,208.3401609537174
2019-01-01,236.0,2020-04-01,206.77357920247906
2019-02-01,223.0,2020-05-01,205.2352663467707
2019-03-01,237.0,2020-06-01,203.72442097170278
2019-04-01,214.0,2020-07-01,202.24027246916015
2019-05-01,230.0,2020-08-01,200.78207954909928
2019-06-01,218.0,2020-09-01,199.34912883719963
2019-07-01,213.0,2020-10-01,197.94073355304045
2019-08-01,219.0,2020-11-01,196.5562322634228
2019-09-01,214.0,2020-12-01,195.19498770586463
2019-10-01,218.0,2021-01-01,193.85638567767165
2019-11-01,214.0,2021-02-01,192.5398339863299
2019-12-01,214.0,2021-03-01,191.24476145727888
2020-01-01,216.0,2021-04-01,189.970616995414
2020-02-01,202.0,2021-05-01,188.7168686969299
2020-03-01,206.0,2021-06-01,187.48300300836095
2020-04-01,232.0,2021-07-01,186.26852392989792
2020-05-01,205.0,2021-08-01,185.07295226026602
2020-06-01,199.0,2021-09-01,183.89582488063866
2020-07-01,204.0,2021-10-01,182.73669407523676
2020-08-01,198.0,2021-11-01,181.595126886424
2020-09-01,187.0,2021-12-01,180.47070450225752
2020-10-01,191.0,2022-01-01,179.3630216745909
2020-11-01,189.0,2022-02-01,178.27168616595392
2020-12-01,195.0,2022-03-01,177.19631822355026
2021-01-01,198.0,2022-04-01,176.1365500788242
2021-02-01,174.0,2022-05-01,175.09202547114737
2021-03-01,193.0,2022-06-01,174.06239919427082
2021-04-01,184.0,2022-07-01,173.0473366642742
2021-05-01,190.0,2022-08-01,172.04651350782407
2021-06-01,169.0,2022-09-01,171.05961516962822
2021-07-01,181.0,2022-10-01,170.08633653804344
2021-08-01,151.0,2022-11-01,169.12638158785703
2021-09-01,144.0,2022-12-01,168.17946303932388
2021-10-01,105.0,2023-01-01,167.24530203259664
2021-11-01,192.0,2023-02-01,166.32362781673822
2021-12-01,195.0,2023-03-01,165.41417745255538
2022-01-01,192.0,2023-04-01,164.51669552853653
2022-02-01,157.0,2023-05-01,163.63093388922
2022-03-01,189.0,2023-06-01,162.75665137535836
2022-04-01,181.0,2023-07-01,161.89361357528117
2022-05-01,171.0,2023-08-01,161.0415925868927
2022-06-01,188.0,2023-09-01,160.20036678977482
2022-07-01,115.0,2023-10-01,159.36972062689364
2022-08-01,179.0,2023-11-01,158.54944439543812
2022-09-01,164.0,2023-12-01,157.73933404634488
2022-10-01,172.0,2024-01-01,156.93919099208827
