t,q,t_model,q_model
2010-02-01,0.0,2011-12-01,2063.2524526488146
2010-03-01,5832.0,2012-01-01,2017.6510323645555
2010-04-01,13687.0,2012-02-01,1973.7780801091574
2010-05-01,10409.0,2012-03-01,1931.5416359979174
2010-06-01,7779.0,2012-04-01,1890.8559955546325
2010-07-01,7047.0,2012-05-01,1851.6411943514136
2010-08-01,8247.0,2012-06-01,1813.8225422845144
2010-09-01,11275.0,2012-07-01,1777.3302020349693
2010-10-01,4283.0,2012-08-01,1742.09880693299
2010-11-01,10094.0,2012-09-01,1708.0671140242964
2010-12-01,7646.0,2012-10-01,1675.177688638315
2011-01-01,6325.0,2012-11-01,1643.376617193827
2011-02-01,4902.0,2012-12-01,1612.6132453566054
2011-03-01,3583.0,2013-01-01,1582.8399389939923
2011-04-01,4357.0,2013-02-01,1554.0118656599577
2011-05-01,4194.0,2013-03-01,1526.0867945967675
2011-06-01,3463.0,2013-04-01,1499.0249134608766
2011-07-01,3280.0,2013-05-01,1472.7886601752004
2011-08-01,3089.0,2013-06-01,1447.3425684811532
2011-09-01,2801.0,2013-07-01,1422.6531259147503
2011-10-01,2694.0,2013-08-01,1398.6886430643526
2011-11-01,2439.0,2013-09-01,1375.4191330855087
2011-12-01,2488.0,2013-10-01,1352.8162005527586
2012-01-01,397.0,2013-11-01,1330.8529388209186
2012-02-01,2223.0,2013-12-01,1309.5038351506942
2012-03-01,2242.0,2014-01-01,1288.744682926717
2012-04-01,1976.0,2014-02-01,1268.5525003614068
2012-05-01,1676.0,2014-03-01,1248.9054551363135
2012-06-01,2115.0,2014-04-01,1229.7827944846708
2012-07-01,2072.0,2014-05-01,1211.16478026549
2012-08-01,1848.0,2014-06-01,1193.0326286212683
2012-09-01,1778.0,2014-07-01,1175.3684538488517
2012-10-01,1784.0,2014-08-01,1158.1552161466327
2012-11-01,1680.0,2014-09-01,1141.376672931528
2012-12-01,1674.0,2014-10-01,1125.0173334464407
2013-01-01,1666.0,2014-11-01,1109.0624164034582
2013-02-01,1554.0,2014-12-01,1093.4978104302295
2013-03-01,1631.0,2015-01-01,1078.310037106988
2013-04-01,1561.0,2015-02-01,1063.486216399802
2013-05-01,1394.0,2015-03-01,1049.01403431206
2013-06-01,1511.0,2015-04-01,1034.8817125910452
2013-07-01,1411.0,2015-05-01,1021.0779803399776
2013-08-01,1386.0,2015-06-01,1007.5920473981341
2013-09-01,1322.0,2015-07-01,994.4135793628146
2013-10-01,1334.0,2015-08-01,981.5326741370599
2013-11-01,1241.0,2015-09-01,968.9398398962654
2013-12-01,1431.0,2015-10-01,956.6259743752528
2014-01-01,1293.0,2015-11-01,944.5823453850555
2014-02-01,1113.0,2015-12-01,932.800572475686
2014-03-01,1454.0,2016-01-01,921.2726096675738
2014-04-01,1334.0,2016-02-01,909.9907291802388
2014-05-01,1314.0,2016-03-01,898.9475060921302
2014-06-01,1273.0,2016-04-01,888.1358038705048
2014-07-01,1257.0,2016-05-01,877.5487607147219
2014-08-01,1219.0,2016-06-01,867.1797766604915
2014-09-01,1163.0,2016-07-01,857.0225013964252
2014-10-01,1248.0,2016-08-01,847.0708227477285
2014-11-01,1072.0,2016-09-01,837.3188557851186
2014-12-01,1159.0,2016-10-01,827.7609325200011
2015-01-01,1091.0,2016-11-01,818.3915921496852
2015-02-01,937.0,2016-12-01,809.2055718189334
2015-03-01,1068.0,2017-01-01,800.1977978664715
2015-04-01,991.0,2017-02-01,791.3633775272301
2015-05-01,929.0,2017-03-01,782.697591063078
2015-06-01,720.0,2017-04-01,774.1958842966352
2015-07-01,692.0,2017-05-01,765.8538615244634
2015-08-01,940.0,2017-06-01,757.6672787874912
2015-09-01,833.0,2017-07-01,749.6320374779949
2015-10-01,987.0,2017-08-01,741.7441782638008
2015-11-01,833.0,2017-09-01,733.9998753116353
2015-12-01,901.0,2017-10-01,726.395430792697
2016-01-01,878.0,2017-11-01,718.9272696546152
2016-02-01,840.0,2017-12-01,711.5919346449589
2016-03-01,873.0,2018-01-01,704.3860815723884
2016-04-01,850.0,2018-02-01,697.3064747924127
2016-05-01,819.0,2018-03-01,690.3499829055187
2016-06-01,805.0,2018-04-01,683.5135746561966
2016-07-01,856.0,2018-05-01,676.7943150220739
2016-08-01,863.0,2018-06-01,670.1893614830361
2016-09-01,793.0,2018-07-01,663.6959604608129
2016-10-01,854.0,2018-08-01,657.3114439200746
2016-11-01,806.0,2018-09-01,651.0332261226234
2016-12-01,823.0,2018-10-01,644.8588005267509
2017-01-01,823.0,2018-11-01,638.7857368242967
2017-02-01,731.0,2018-12-01,632.811678108382
2017-03-01,810.0,2019-01-01,626.9343381651905
2017-04-01,788.0,2019-02-01,621.1514988835514
2017-05-01,795.0,2019-03-01,615.4610077764328
2017-06-01,781.0,2019-04-01,609.8607756087863
2017-07-01,695.0,2019-05-01,604.3487741264986
2017-08-01,714.0,2019-06-01,598.9230338814889
2017-09-01,589.0,2019-07-01,593.5816421482779
2017-10-01,747.0,2019-08-01,588.3227409276016
2017-11-01,710.0,2019-09-01,583.1445250328858
2017-12-01,710.0,2019-10-01,578.0452402556292
2018-01-01,674.0,2019-11-01,573.0231816059515
2018-02-01,594.0,2019-12-01,568.0766916247645
2018-03-01,611.0,2020-01-01,563.2041587642107
2018-04-01,588.0,2020-02-01,558.4040158331971
2018-05-01,646.0,2020-03-01,553.6747385050136
2018-06-01,655.0,2020-04-01,549.0148438841784
2018-07-01,642.0,2020-05-01,544.4228891298151
2018-08-01,636.0,2020-06-01,539.8974701329893
2018-09-01,554.0,2020-07-01,535.4372202455739
2018-10-01,609.0,2020-08-01,531.0408090583335
2018-11-01,658.0,2020-09-01,526.7069412260353
