t,q,t_model,q_model
1989-12-01,17.0,1990-03-01,2075.440251741771
1990-01-01,13374.0,1990-04-01,2050.0559793379375
1990-02-01,0.0,1990-05-01,2024.904907441064
1990-03-01,3714.0,1990-06-01,1999.9856079338588
1990-04-01,2200.0,1990-07-01,1975.2966570435713
1990-05-01,1392.0,1990-08-01,1950.8366353422548
1990-06-01,1109.0,1990-09-01,1926.6041277470156
1990-07-01,994.0,1990-10-01,1902.597723520275
1990-08-01,789.0,1990-11-01,1878.8160162700262
1990-09-01,724.0,1990-12-01,1855.2576039500939
1990-10-01,736.0,1991-01-01,1831.921088860394
1990-11-01,676.0,1991-02-01,1808.8050776471941
1990-12-01,464.0,1991-03-01,1785.9081813033752
1991-01-01,544.0,1991-04-01,1763.2290151686964
1991-02-01,241.0,1991-05-01,1740.7661989300543
1991-03-01,3102.0,1991-06-01,1718.5183566217504
1991-04-01,1968.0,1991-07-01,1696.4841166257545
1991-05-01,1828.0,1991-08-01,1674.6621116719714
1991-06-01,1528.0,1991-09-01,1653.0509788385075
1991-07-01,1259.0,1991-10-01,1631.6493595519385
1991-08-01,892.0,1991-11-01,1610.4558995875793
1991-09-01,1009.0,1991-12-01,1589.469249069751
1991-10-01,655.0,1992-01-01,1568.6880624720532
1991-11-01,599.0,1992-02-01,1548.110998617634
1991-12-01,413.0,1992-03-01,1527.7367206794643
1992-01-01,665.0,1992-04-01,1507.5638961806087
1992-02-01,357.0,1992-05-01,1487.5911969944998
1992-03-01,776.0,1992-06-01,1467.8172993452172
1992-04-01,593.0,1992-07-01,1448.2408838077567
1992-05-01,440.0,1992-08-01,1428.860635308312
1992-06-01,433.0,1992-09-01,1409.6752431245516
1992-07-01,390.0,1992-10-01,1390.6834008858966
1992-08-01,338.0,1992-11-01,1371.8838065738014
1992-09-01,358.0,1992-12-01,1353.2751625220335
1992-10-01,347.0,1993-01-01,1334.8561754169582
1992-11-01,504.0,1993-02-01,1316.6255562978167
1992-12-01,773.0,1993-03-01,1298.5820205570126
1993-01-01,281.0,1993-04-01,1280.7242879403964
1993-02-01,300.0,1993-05-01,1263.0510825475505
1993-03-01,248.0,1993-06-01,1245.5611328320772
1993-04-01,247.0,1993-07-01,1228.253171601884
1993-05-01,210.0,1993-08-01,1211.1259360194765
1993-06-01,179.0,1993-09-01,1194.178167602242
1993-07-01,7443.0,1993-10-01,1177.4086122227475
1993-08-01,13259.0,1993-11-01,1160.8160201090254
1993-09-01,8723.0,1993-12-01,1144.3991458448706
1993-10-01,6648.0,1994-01-01,1128.1567483701322
1993-11-01,5710.0,1994-02-01,1112.087590981009
1993-12-01,5054.0,1994-03-01,1096.1904413303487
1994-01-01,4145.0,1994-04-01,1080.4640714279376
1994-02-01,3191.0,1994-05-01,1064.9072576408087
1994-03-01,2976.0,1994-06-01,1049.5187806935332
1994-04-01,2625.0,1994-07-01,1034.2974256685252
1994-05-01,2232.0,1994-08-01,1019.2419820063419
1994-06-01,1876.0,1994-09-01,1004.3512435059866
