t,q,t_model,q_model
2015-01-01,4099.0,2016-02-01,1252.822589986511
2015-02-01,4728.0,2016-03-01,1172.9956086844
2015-03-01,4988.0,2016-04-01,1102.5540727513196
2015-04-01,4481.0,2016-05-01,1039.944058234221
2015-05-01,3120.0,2016-06-01,983.9358052175944
2015-06-01,2454.0,2016-07-01,933.5435102293027
2015-07-01,1893.0,2016-08-01,887.9677866926264
2015-08-01,1913.0,2016-09-01,846.5536606700475
2015-09-01,2018.0,2016-10-01,808.759422558047
2015-10-01,1698.0,2016-11-01,774.1331989228258
2015-11-01,1464.0,2016-12-01,742.2951023044719
2015-12-01,1379.0,2017-01-01,712.9234698793953
2016-01-01,1256.0,2017-02-01,685.7441392649753
2016-02-01,1278.0,2017-03-01,660.5220077871452
2016-03-01,1149.0,2017-04-01,637.0543278426348
2016-04-01,1135.0,2017-05-01,615.1653358924443
2016-05-01,1086.0,2017-06-01,594.7019157728017
2016-06-01,957.0,2017-07-01,575.530071354059
2016-07-01,908.0,2017-08-01,557.5320377827559
2016-08-01,814.0,2017-09-01,540.6039004900913
2016-09-01,707.0,2017-10-01,524.653620887963
2016-10-01,669.0,2017-11-01,509.5993900200021
2016-11-01,853.0,2017-12-01,495.36824837546436
2016-12-01,955.0,2018-01-01,481.89492302294803
2017-01-01,748.0,2018-02-01,469.12084319652683
2017-02-01,573.0,2018-03-01,456.993303208559
2017-03-01,746.0,2018-04-01,445.46474761329625
2017-04-01,650.0,2018-05-01,434.49215830439215
2017-05-01,704.0,2018-06-01,424.03652699634193
2017-06-01,639.0,2018-07-01,414.06239953925893
2017-07-01,635.0,2018-08-01,404.5374809180833
2017-08-01,648.0,2018-09-01,395.43229172073046
2017-09-01,591.0,2018-10-01,386.71986842409007
2017-10-01,697.0,2018-11-01,378.37550111877647
2017-11-01,288.0,2018-12-01,370.37650333257733
2017-12-01,429.0,2019-01-01,362.70200946509095
2018-01-01,417.0,2019-02-01,355.33279604852976
2018-02-01,401.0,2019-03-01,348.2511236308819
2018-03-01,438.0,2019-04-01,341.44059656036546
2018-04-01,574.0,2019-05-01,334.88603835257965
2018-05-01,204.0,2019-06-01,328.57338065850576
2018-06-01,362.0,2019-07-01,322.48956413424315
2018-07-01,564.0,2019-08-01,316.62244975154266
2018-08-01,228.0,2019-09-01,310.96073928947965
2018-09-01,371.0,2019-10-01,305.49390391823584
2018-10-01,395.0,2019-11-01,300.2121199310323
2018-11-01,357.0,2019-12-01,295.1062108039525
2018-12-01,535.0,2020-01-01,290.1675948691608
2019-01-01,204.0,2020-02-01,285.38823797769606
2019-02-01,335.0,2020-03-01,280.7606106059577
2019-03-01,331.0,2020-04-01,276.27764892715913
2019-04-01,342.0,2020-05-01,271.9327194270308
2019-05-01,381.0,2020-06-01,267.71958669327904
2019-06-01,324.0,2020-07-01,263.63238405188713
2019-07-01,313.0,2020-08-01,259.665586761244
2019-08-01,330.0,2020-09-01,255.8139875081178
2019-09-01,316.0,2020-10-01,252.0726739783366
2019-10-01,352.0,2020-11-01,248.43700830027873
2019-11-01,333.0,2020-12-01,244.90260818140766
2019-12-01,288.0,2021-01-01,241.46532957752558
2020-01-01,308.0,2021-02-01,238.12125075152693
2020-02-01,326.0,2021-03-01,234.8666575935161
2020-03-01,470.0,2021-04-01,231.69803008747294
2020-04-01,178.0,2021-05-01,228.61202982143172
2020-05-01,13.0,2021-06-01,225.60548844858062
2020-06-01,216.0,2021-07-01,222.67539701595348
2020-07-01,321.0,2021-08-01,219.81889608562238
2020-08-01,262.0,2021-09-01,217.03326658063077
2020-09-01,505.0,2021-10-01,214.31592129444465
2020-10-01,179.0,2021-11-01,211.6643970085339
2020-11-01,198.0,2021-12-01,209.07634716791566
2020-12-01,70.0,2022-01-01,206.5495350691614
2021-01-01,184.0,2022-02-01,204.08182751955925
2021-02-01,248.0,2022-03-01,201.67118892988097
2021-03-01,355.0,2022-04-01,199.31567580658418
2021-04-01,338.0,2022-05-01,197.0134316123196
2021-05-01,276.0,2022-06-01,194.7626819663544
2021-06-01,279.0,2022-07-01,192.5617301589945
2021-07-01,294.0,2022-08-01,190.40895295632026
2021-08-01,162.0,2022-09-01,188.30279667357
2021-09-01,130.0,2022-10-01,186.24177349733134
2021-10-01,271.0,2022-11-01,184.22445803835805
2021-11-01,288.0,2022-12-01,182.2494840983293
2021-12-01,239.0,2023-01-01,180.31554163523546
2022-01-01,314.0,2023-02-01,178.4213739133112
2022-02-01,272.0,2023-03-01,176.56577482456714
2022-03-01,237.0,2023-04-01,174.747586369997
2022-04-01,225.0,2023-05-01,172.96569628947532
2022-05-01,192.0,2023-06-01,171.21903583021424
2022-06-01,189.0,2023-07-01,169.50657764442974
2022-07-01,187.0,2023-08-01,167.82733380758063
2022-08-01,192.0,2023-09-01,166.18035394919676
2022-09-01,191.0,2023-10-01,164.5647234889113
2022-10-01,213.0,2023-11-01,162.97956197085952
2022-11-01,184.0,2023-12-01,161.42402149010977
2022-12-01,0.0,2024-01-01,159.89728520525384
2023-01-01,154.0,2024-02-01,158.3985659317078
2023-02-01,47.0,2024-03-01,156.9271048106645
2023-03-01,77.0,2024-04-01,155.4821700489982
