t,q,t_model,q_model
2014-10-01,59.0,2016-01-01,689.7490134356252
2014-11-01,0.0,2016-02-01,674.2149210343216
2014-12-01,0.0,2016-03-01,659.1516765243846
2015-01-01,926.0,2016-04-01,644.5413987253418
2015-02-01,792.0,2016-05-01,630.3670204455037
2015-03-01,783.0,2016-06-01,616.6122453812196
2015-04-01,595.0,2016-07-01,603.2615076135131
2015-05-01,629.0,2016-08-01,590.2999335268802
2015-06-01,529.0,2016-09-01,577.7133059880763
2015-07-01,524.0,2016-10-01,565.4880306347251
2015-08-01,474.0,2016-11-01,553.611104134617
2015-09-01,421.0,2016-12-01,542.0700842866912
2015-10-01,406.0,2017-01-01,530.8530618440486
2015-11-01,371.0,2017-02-01,519.9486339479166
2015-12-01,414.0,2017-03-01,509.3458790694254
2016-01-01,477.0,2017-04-01,499.03433336334484
2016-02-01,366.0,2017-05-01,489.0039683446686
2016-03-01,349.0,2017-06-01,479.2451698051568
2016-04-01,461.0,2017-07-01,469.74871789268605
2016-05-01,396.0,2017-08-01,460.5057682815615
2016-06-01,1126.0,2017-09-01,451.50783436686487
2016-07-01,725.0,2017-10-01,442.7467704204375
2016-08-01,869.0,2017-11-01,434.2147556503193
2016-09-01,702.0,2017-12-01,425.9042791093418
2016-10-01,807.0,2018-01-01,417.8081254021952
2016-11-01,638.0,2018-02-01,409.9193611436296
2016-12-01,706.0,2018-03-01,402.23132212355364
2017-01-01,649.0,2018-04-01,394.73760113768043
2017-02-01,729.0,2018-05-01,387.43203644504393
2017-03-01,511.0,2018-06-01,380.3087008161917
2017-04-01,530.0,2018-07-01,373.36189113818193
2017-05-01,553.0,2018-08-01,366.586118544648
2017-06-01,502.0,2018-09-01,359.97609904120986
2017-07-01,508.0,2018-10-01,353.526744598359
2017-08-01,498.0,2018-11-01,347.23315468569064
2017-09-01,473.0,2018-12-01,341.09060822296675
2017-10-01,473.0,2019-01-01,335.0945559249988
2017-11-01,432.0,2019-02-01,329.24061301875196
2017-12-01,430.0,2019-03-01,323.52455231237644
2018-01-01,409.0,2019-04-01,317.9422975970995
2018-02-01,359.0,2019-05-01,312.4899173640542
2018-03-01,403.0,2019-06-01,307.1636188191902
2018-04-01,404.0,2019-07-01,301.95974218040936
2018-05-01,304.0,2019-08-01,296.8747552420008
2018-06-01,355.0,2019-09-01,291.9052481923288
