t,q,t_model,q_model
2004-01-01,720.0,2004-04-01,897.0886193847483
2004-02-01,803.0,2004-05-01,866.1327277057535
2004-03-01,761.0,2004-06-01,837.2409620428379
2004-04-01,804.0,2004-07-01,810.213562231241
2004-05-01,782.0,2004-08-01,784.8757369537111
2004-06-01,724.0,2004-09-01,761.0738809220791
2004-07-01,748.0,2004-10-01,738.6724595375531
2004-08-01,803.0,2004-11-01,717.5514275517062
2004-09-01,777.0,2004-12-01,697.604077907657
2004-10-01,772.0,2005-01-01,678.7352393855508
2004-11-01,775.0,2005-02-01,660.8597588060178
2004-12-01,784.0,2005-03-01,643.9012167223925
2005-01-01,815.0,2005-04-01,627.7908357451439
2005-02-01,783.0,2005-05-01,612.4665486130926
2005-03-01,880.0,2005-06-01,597.8721993892311
2005-04-01,803.0,2005-07-01,583.9568561114365
2005-05-01,582.0,2005-08-01,570.674217167946
2005-06-01,628.0,2005-09-01,557.9820968192043
2005-07-01,686.0,2005-10-01,545.8419778228567
2005-08-01,631.0,2005-11-01,534.2186211684085
2005-09-01,557.0,2005-12-01,523.0797245935233
2005-10-01,608.0,2006-01-01,512.3956229135197
2005-11-01,517.0,2006-02-01,502.13902431049854
2005-12-01,435.0,2006-03-01,492.2847776466828
2006-01-01,393.0,2006-04-01,482.8096666258025
2006-02-01,338.0,2006-05-01,473.6922272566869
2006-03-01,481.0,2006-06-01,464.9125855985091
2006-04-01,431.0,2006-07-01,456.4523132064574
2006-05-01,486.0,2006-08-01,448.2942980653422
2006-06-01,458.0,2006-09-01,440.4226291091531
2006-07-01,525.0,2006-10-01,432.82249268692044
2006-08-01,430.0,2006-11-01,425.4800795575442
2006-09-01,601.0,2006-12-01,418.3825011852329
2006-10-01,460.0,2007-01-01,411.5177142682807
2006-11-01,491.0,2007-02-01,404.8744525716215
2006-12-01,443.0,2007-03-01,398.4421652516352
2007-01-01,370.0,2007-04-01,392.21096096312067
2007-02-01,392.0,2007-05-01,386.17155712574
2007-03-01,319.0,2007-06-01,380.31523380271824
2007-04-01,267.0,2007-07-01,374.6337917099216
2007-05-01,354.0,2007-08-01,369.119513930124
2007-06-01,29.0,2007-09-01,363.76513095657253
2007-07-01,366.0,2007-10-01,358.5637887329176
2007-08-01,248.0,2007-11-01,353.50901939409135
2007-09-01,195.0,2007-12-01,348.5947144455347
2007-10-01,330.0,2008-01-01,343.81510014695937
2007-11-01,298.0,2008-02-01,339.16471489210164
2007-12-01,318.0,2008-03-01,334.63838839817447
2008-01-01,324.0,2008-04-01,330.2312225383289
2008-02-01,298.0,2008-05-01,325.93857366776024
2008-03-01,279.0,2008-06-01,321.75603630940884
2008-04-01,295.0,2008-07-01,317.6794280787826
2008-05-01,305.0,2008-08-01,313.704775739476
2008-06-01,268.0,2008-09-01,309.828302291667
2008-07-01,282.0,2008-10-01,306.04641500540987
2008-08-01,240.0,2008-11-01,302.35569431903843
2008-09-01,186.0,2008-12-01,298.75288353058596
2008-10-01,185.0,2009-01-01,295.23487921691145
2008-11-01,166.0,2009-02-01,291.7987223212996
2008-12-01,187.0,2009-03-01,288.4415898557452
2009-01-01,188.0,2009-04-01,285.16078716902723
2009-02-01,149.0,2009-05-01,281.95374073606877
2009-03-01,265.0,2009-06-01,278.81799142803726
2009-04-01,287.0,2009-07-01,275.75118822620414
2009-05-01,338.0,2009-08-01,272.7510823457971
2009-06-01,369.0,2009-09-01,269.8155217389849
2009-07-01,393.0,2009-10-01,266.94244594875937
2009-08-01,336.0,2009-11-01,264.1298812878586
2009-09-01,164.0,2009-12-01,261.37593631902917
2009-10-01,284.0,2010-01-01,258.6787976148792
2009-11-01,257.0,2010-02-01,256.0367257773525
2009-12-01,362.0,2010-03-01,253.44805169846373
2010-01-01,344.0,2010-04-01,250.911173045407
2010-02-01,296.0,2010-05-01,248.42455095448557
2010-03-01,351.0,2010-06-01,245.98670691953149
2010-04-01,344.0,2010-07-01,243.59621986159655
2010-05-01,305.0,2010-08-01,241.25172336771294
2010-06-01,322.0,2010-09-01,238.95190308745177
2010-07-01,284.0,2010-10-01,236.69549427685772
2010-08-01,228.0,2010-11-01,234.4812794801191
2010-09-01,250.0,2010-12-01,232.30808634004381
2010-10-01,388.0,2011-01-01,230.1747855290704
2010-11-01,257.0,2011-02-01,228.0802887931419
2010-12-01,292.0,2011-03-01,226.02354710132602
2011-01-01,123.0,2011-04-01,224.00354889457054
2011-02-01,78.0,2011-05-01,222.01931842745404
2011-03-01,245.0,2011-06-01,220.06991419721973
2011-04-01,301.0,2011-07-01,218.1544274547809
2011-05-01,294.0,2011-08-01,216.27198079274922
2011-06-01,241.0,2011-09-01,214.4217268058792
2011-07-01,249.0,2011-10-01,212.60284681963128
2011-08-01,185.0,2011-11-01,210.81454968284706
2011-09-01,190.0,2011-12-01,209.05607062079648
2011-10-01,111.0,2012-01-01,207.32667014510332
2011-11-01,169.0,2012-02-01,205.62563301728684
2011-12-01,373.0,2012-03-01,203.9522672628664
2012-01-01,321.0,2012-04-01,202.30590323317546
2012-02-01,245.0,2012-05-01,200.68589271221293
2012-03-01,252.0,2012-06-01,199.09160806602924
2012-04-01,300.0,2012-07-01,197.52244143230297
2012-05-01,241.0,2012-08-01,195.97780394790973
2012-06-01,172.0,2012-09-01,194.45712501242144
2012-07-01,310.0,2012-10-01,192.9598515856014
2012-08-01,230.0,2012-11-01,191.48544751707843
